ll,T_NH,T_OOA,T_LosStu,N_Anc,N_Vin,N_AMH,N_Yor,N_OOA,N_Los,N_Stu,m_LosYor,m_StuYor,m_LosStu
-1192.838126944131,868322.1099118622,88510.0344782306,44999.999999996624,14715.09221623078,2253.9599794348114,30684.122084290197,17683.946821888243,2407.0129755979738,960.0176490814789,6397.620089834747,2.8805157489218724e-05,0.00012022757044279655,0.00035872889496616254
-1183.488606543146,915504.4527396585,61081.97346940476,44999.999999999505,13963.28265445589,2255.7812170822026,34280.85043748314,11005.352670146802,814.2144212613607,909.7628011129755,6046.955255993741,4.571466749547767e-05,0.0001244651288529926,0.0003488006449153611
-1176.7412496842103,904721.3199682606,64398.70913701387,44999.999999997504,14106.198161952436,2252.9625096983964,35248.984651759485,9928.942063865587,922.7387953539439,878.8470742400084,5322.807079951851,5.007089543154075e-05,0.00015273190027475755,0.0003587546313298941
-1184.5252864179201,897008.0655743387,80237.50800730106,44999.999999987194,14245.344631086888,2255.318825467881,33184.02974202479,13521.947762212521,1808.223131349549,906.0716729645594,5824.099788315988,4.393773334136419e-05,0.0001370588308399183,0.0003622435783189693
-1209.2724901542038,881770.4708185056,62201.63589747663,44999.99316272384,14520.29718405589,2270.5796437042322,32963.467417872904,12030.704858174226,876.0585196424084,1070.0008393363673,5356.330945743646,2.1816878364762065e-05,0.00014295751366688228,0.00034450539816441837
-1143.4328875244328,892387.5933635613,49203.12408451286,44999.999999995984,14235.877083525267,2265.0471919928946,35026.98152633041,8151.046070448881,168.1540463849448,918.2516067378605,5503.877372741777,4.276182277472069e-05,0.00014605244731240118,0.000355902628038331
-1216.5955071141002,922321.2063311533,75861.79325688783,44999.94578465182,13910.672745680433,2272.3159315674466,32083.764346833563,17226.56328845936,1733.2409431979604,1101.5713830908846,6146.491905633123,2.0904304660139593e-05,0.00011303417867429112,0.00031751249123350406
-1150.8274582049469,825064.1567120336,48641.588929621576,44999.999999999905,15257.470203039442,2254.4376012128964,32417.56830699281,8435.812006261931,144.6678488068813,944.1972205946855,5537.108526064036,3.866106544327162e-05,0.00013296372859003135,0.00034089247976206734
-1171.0315584099724,897769.5577283186,55438.292068641684,44999.999999999985,14121.73983419676,2260.2801293059338,40549.944202249055,6325.518041350573,393.44501183939707,778.6165885882515,4176.267756556295,6.473509844236008e-05,0.00022553245613877345,0.00043271846570789636
-1144.919440411632,888627.6602223814,49032.964258905464,44999.99048802402,14306.339640795417,2263.753148337108,34290.86297717228,8615.037659855012,164.38633043924017,940.725028285462,5687.660032055063,3.971176586427917e-05,0.0001345309453877343,0.0003398180744949748
