model,rep,ll
null_model,0,-571.7820900462013
null_model,1,-505.8926667345228
null_model,2,-494.3314262671228
null_model,3,-616.812417384055
null_model,4,-714.2971967422984
null_model,5,-635.8015029174769
null_model,6,-654.4443757909825
null_model,7,
null_model,8,-496.9523777500973
null_model,9,-671.2652666807755
null_model,10,-506.2518913136743
null_model,11,-553.6161396688838
null_model,12,-805.1458960810833
null_model,13,-566.6008889873626
null_model,14,-567.9867521776437
null_model,15,-579.4232484219735
null_model,16,-634.9084383087312
null_model,17,
null_model,18,-722.0700405973841
null_model,19,-603.5763391427413
null_model,20,
null_model,21,-621.2486977450343
null_model,22,-796.894153907726
null_model,23,-578.7595132677836
null_model,24,-663.3978770662179
null_model,25,-512.6085175718113
null_model,26,-598.9353063688094
null_model,27,-507.26977395651454
null_model,28,-533.7329072818677
null_model,29,-435.6762824779608
null_model,30,-650.0250476361431
null_model,31,-510.36124047242504
null_model,32,-518.8710327095462
null_model,33,-478.4050587909105
null_model,34,-566.9747613771146
null_model,35,-544.9928911581144
null_model,36,-542.5567964795853
null_model,37,-619.3675995400067
null_model,38,-588.455750169512
null_model,39,-690.1045156242527
null_model,40,-416.5581652621685
null_model,41,-586.2292546178463
null_model,42,-540.8235884023791
null_model,43,-845.1909928465652
null_model,44,-559.1864449193613
null_model,45,-668.4610056135873
null_model,46,
null_model,47,-617.1509905371202
null_model,48,-580.4265984958431
null_model,49,-710.4555368343367
null_model,50,
null_model,51,-492.9227486093628
null_model,52,-637.7226414977995
null_model,53,-522.4600460532461
null_model,54,-416.6691417895927
null_model,55,-517.6574768691675
null_model,56,-548.7496137932701
null_model,57,-610.1746975011764
null_model,58,-600.9184624197824
null_model,59,-578.4526054765821
null_model,60,-586.5401411325629
null_model,61,-556.637089638775
null_model,62,-633.4999174751724
null_model,63,
null_model,64,-450.31496525046873
null_model,65,-659.4245571689478
null_model,66,-576.228546171568
null_model,67,-500.4604390937181
null_model,68,-459.47871009296557
null_model,69,-758.961339792339
null_model,70,
null_model,71,-640.9332186027284
null_model,72,-559.5625838630374
null_model,73,-621.5489556105415
null_model,74,
null_model,75,
null_model,76,-635.2061884983978
null_model,77,
null_model,78,-567.4864355564835
null_model,79,
null_model,80,-563.9897244653315
null_model,81,-449.57589462247114
null_model,82,-503.40870729288304
null_model,83,-395.8613922062067
null_model,84,-640.593936519258
null_model,85,-513.1422026789353
null_model,86,-506.8608472285329
null_model,87,-503.72972437622343
null_model,88,-354.10012070429207
null_model,89,-648.7514525082208
null_model,90,-667.8558678367435
null_model,91,-758.7024112594249
null_model,92,-389.1809247226148
null_model,93,-637.5081570965557
null_model,94,-570.8547731872361
null_model,95,
null_model,96,-368.8358033499252
null_model,97,-656.2392984057315
null_model,98,-616.7899727781505
null_model,99,-653.4949881736441
admix_model,0,-349.1734384573348
admix_model,1,-279.58856143899123
admix_model,2,-356.03022083686074
admix_model,3,
admix_model,4,
admix_model,5,
admix_model,6,-374.1103357506895
admix_model,7,-277.86031511106694
admix_model,8,-300.3992441610213
admix_model,9,-463.5149444861712
admix_model,10,
admix_model,11,-393.4732247176572
admix_model,12,-501.329811399827
admix_model,13,-394.49196277882356
admix_model,14,-391.4963869926634
admix_model,15,-337.5633699810588
admix_model,16,
admix_model,17,-423.6999037288035
admix_model,18,-520.4397740532163
admix_model,19,-442.7982503592566
admix_model,20,
admix_model,21,-417.2450237777118
admix_model,22,-506.449258136443
admix_model,23,
admix_model,24,-473.85846517716607
admix_model,25,-388.3092780367889
admix_model,26,
admix_model,27,-327.821515098781
admix_model,28,-355.34589837708074
admix_model,29,-272.28931656532495
admix_model,30,
admix_model,31,-311.93672890140556
admix_model,32,
admix_model,33,
admix_model,34,-346.0393185780831
admix_model,35,
admix_model,36,
admix_model,37,-396.6436678881279
admix_model,38,-341.51738260153456
admix_model,39,-417.38872616565504
admix_model,40,-275.21430669107554
admix_model,41,-342.83014220469823
admix_model,42,
admix_model,43,-637.9265849761462
admix_model,44,-402.29442849625224
admix_model,45,-483.6616346079234
admix_model,46,-475.4915776465667
admix_model,47,-426.70667648524835
admix_model,48,
admix_model,49,-422.7055487607144
admix_model,50,-361.534140773866
admix_model,51,-327.8582591779889
admix_model,52,-471.8443049841421
admix_model,53,-319.6437217248133
admix_model,54,-267.7924346913778
admix_model,55,-380.6017806721152
admix_model,56,-346.2448937965902
admix_model,57,-351.45587395713153
admix_model,58,-393.9180751369633
admix_model,59,-348.00704384618257
admix_model,60,-409.7198592216787
admix_model,61,
admix_model,62,-410.8762478201581
admix_model,63,-253.46764920338325
admix_model,64,
admix_model,65,-386.58924955449186
admix_model,66,-320.1874273880204
admix_model,67,-281.4740111534908
admix_model,68,
admix_model,69,
admix_model,70,-509.5320483300557
admix_model,71,-399.4568704982365
admix_model,72,-345.7567870806556
admix_model,73,
admix_model,74,-459.0935727213662
admix_model,75,
admix_model,76,-441.5678810100801
admix_model,77,-341.4790566100859
admix_model,78,-358.1464885234901
admix_model,79,
admix_model,80,
admix_model,81,-318.29635930202437
admix_model,82,-313.461733521906
admix_model,83,-273.26348401685823
admix_model,84,-422.78751272080376
admix_model,85,-365.6571855750731
admix_model,86,-391.1253448897374
admix_model,87,
admix_model,88,
admix_model,89,
admix_model,90,-457.6952493701086
admix_model,91,-577.4628234443129
admix_model,92,-279.2490101776701
admix_model,93,-464.5173346522362
admix_model,94,-418.09241961767054
admix_model,95,-351.9856993996491
admix_model,96,-229.79339182829966
admix_model,97,
admix_model,98,-401.5116404148181
admix_model,99,
deep_struc_model,0,
deep_struc_model,1,
deep_struc_model,2,-72.2390166988833
deep_struc_model,3,
deep_struc_model,4,-77.77989417798034
deep_struc_model,5,-63.53068044581841
deep_struc_model,6,-68.8646873026379
deep_struc_model,7,
deep_struc_model,8,
deep_struc_model,9,-63.239847272623116
deep_struc_model,10,
deep_struc_model,11,
