T_NH,T_H_N,T_OOA,T_UL,T_LS,T_L_S,N_Anc,N_Vin,N_H,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,p_H_N,p_N_OOA,p_L_S,m_SY,m_LY,m_LS
794939.665949484,187060.46796472702,65721.63193682945,45000.000000425964,55677.433530379545,7000.0000000578575,15701.341259967206,2159.956148604868,33177.41290131671,8742.478065232624,575.4538327133189,6285.185656288268,9991.26981119896,978.8573480821849,0.08138471494033131,0.03905441513197527,0.3301990012492611,1.0000000009232456e-08,0.0001506220312986117,1.000000001279476e-08
839902.5258937092,159764.19392851728,66080.88727686265,45000.000000000065,59912.92792987987,7000.000000006155,15143.826623850322,2299.6202409121456,35097.03404145109,8929.055339147106,374.5955173034334,3736.1867518629324,1781.2692121098228,1068.2172410134597,0.06514562873253237,0.04166178000857472,0.3678858692184661,1.0000000004998722e-08,0.00014614848989617647,1.0000000160807387e-08
846748.3829648317,204925.0158647369,79446.09027258611,45023.19146509137,58837.01568373299,7000.000000045447,14873.495945394205,2390.215529061162,37431.44620996475,9285.996431399357,1025.2192103901778,7537.188874229351,35.105899616756446,1105.223924924364,0.07479921440316076,0.03355838595228431,0.3297871239422525,1.0000000029436063e-08,0.0001506026635227565,1.0000002216014019e-08
794290.2133949972,181686.15062011426,82167.88193571792,45000.000000032116,59989.9908520547,7000.000000060108,16027.179199306942,2275.2970735401823,36383.079827052985,9160.508856201057,1149.5040465205357,5706.463202654362,9649.680326571699,1052.8930402505757,0.0684488052987847,0.03852373193103682,0.3586480385411791,1.0000000010403749e-08,0.00015816678816181248,1.0000000152671601e-08
791439.7850353708,191521.72102067727,71063.99606755908,45000.0000004079,57623.12145047564,7000.000000031185,15721.857477418562,2253.1356616954263,35987.0951511173,7862.278457568747,731.1534944920293,6071.723354264026,9938.994983204588,971.7726762710856,0.07584051202036302,0.0377127114485553,0.3301762799220736,1.0000000006183445e-08,0.00016357017151424764,1.0000000623426503e-08
808361.4363547862,154681.14415577325,75732.61628066131,45000.000000197906,56470.80217279987,7000.000000049054,15820.155960770324,2290.7049138393663,34832.873345893844,10536.459489247376,1045.0264052392859,5975.502955488223,9835.161752165295,1011.1717670065098,0.05531573050477133,0.03833193876301355,0.3395126506690493,1.0000000008705019e-08,0.00014914511629408894,1.0000000000532782e-08
828542.3933656056,263563.72423229914,71501.09705082896,45000.00000003883,59452.88805696347,7000.000000042202,15192.854568536908,2408.8513226386367,35012.85576065416,8030.2937726981745,672.053266172301,6982.739909732139,9648.671947216462,989.0287532894376,0.12553501537468667,0.03694452395687177,0.3331664481715413,1.0000000002512533e-08,0.00016140847271991303,1.0000000083655803e-08
825684.396051745,163786.33282625888,75722.02517554817,45000.00000009231,59936.579815910256,7000.000000043284,15107.700925821138,2263.039652886435,37680.63295040481,8461.777180487712,855.1473267901557,3660.8767133963197,9900.987383384812,860.0438256847282,0.06521916326167937,0.03988432133568535,0.3273500875583437,1.0000000002250626e-08,0.00017716210368784897,6.780762387459174e-05
741611.6991568164,161120.08885437183,80112.60947194869,45000.000000361375,58756.54859586731,7000.000000058242,16063.369101137794,2201.348066323175,34540.13063437167,8516.672769820143,1080.7193775494095,5723.555790036386,9999.517843035555,1077.8906652057615,0.05623049723710166,0.03159254672572498,0.3954283038710602,1.000000000437142e-08,0.00014625847815480806,1.000000014141799e-08
829276.9768106003,144800.30821250108,76921.62406191013,45000.000000000065,61110.52706919939,7000.000000047561,14998.83490266153,2190.8045217933886,38833.79094674571,7801.20611651245,818.5970731100426,3941.527428017492,223.4846335633255,1001.226591258497,0.055794703626101366,0.031165296740469146,0.37846397880930954,1.0000000084739878e-08,0.00017134075914171208,1.3560797491912691e-05
792660.2227184532,153391.24779626622,89102.70265327326,45000.00000019407,57160.60720756236,7000.000000026709,15796.751274801887,2164.3503318824787,33332.64002109573,11056.264106196575,1578.5090300293218,5174.995807812692,9967.415204379762,1144.7175137100487,0.06596347851458374,0.04081576773499893,0.3106050490142554,1.0000000003140545e-08,0.00012524799720866733,1.0000000259881774e-08
849315.6285767622,227461.76845530877,84056.76876471663,45000.00000014475,59796.04396184536,7000.000000007087,14901.67720758917,2341.3633189284055,37882.63111131757,8868.08813016018,1272.0804202745428,6441.267322817039,9895.953792950711,1064.2622296915636,0.09992543923506447,0.03916893469591052,0.34413943842716843,1.0000000018806841e-08,0.00015404499069867063,1.0000000068322078e-08
805385.4855680881,215145.67971141572,133934.790917932,45000.000000032756,59664.862901031636,7000.000000015866,16031.193153259566,2122.7383287203374,36346.51101795407,12101.395097584831,2925.3034090374745,4863.606834946873,9694.421477063108,1101.958279495248,0.12651256181319206,0.03704382330478625,0.3605379848705527,1.0000000025907046e-08,0.00014205673412171795,1.0000000151805912e-08
