sample,ll0,ll1,score
0,-118.96831706030346,-118.78153905127878,0.37355601804935645
1,-111.34625995046856,-106.94503418753564,8.802451525865848
2,-99.30402761215966,-98.81866732470851,0.9707205749022876
3,-108.83801032399496,-108.52374782958232,0.6285249888252906
4,-127.77036549294309,-127.58779196640396,0.36514705307826034
5,-103.41150559542778,-103.52243017362878,0.0
6,-119.88361032463126,-119.18420744058136,1.3988057680998054
7,-152.39231311203844,-152.60974929291336,0.0
8,-83.87114781286911,-84.05323542285673,0.0
9,-136.64012247046088,-136.16538125386774,0.9494824331862901
10,-101.37716637254132,-92.127193355475,18.49994603413265
11,-100.44510421512788,-98.42412034120524,4.041967747845291
12,-98.0385491308484,-96.4388516347564,3.199394992183983
13,-110.19481462237906,-109.8826578574734,0.6243135298113032
14,-109.18676912230536,-109.1835496760605,0.006438892489740056
15,-146.84267632404743,-146.02239420186348,1.6405642443679085
16,-193.0264858647788,-153.03992097470183,79.97312978015395
17,-120.65578087336344,-113.43264346766524,14.446274811396393
18,-112.49975133824444,-96.26407918077116,32.47134431494655
19,-120.34522255305968,-121.00473211247518,0.0
20,-107.4980586072682,-107.30983908942297,0.3764390356904812
21,-116.45790441361012,-116.63301152518368,0.0
22,-130.13399161504344,-130.12103534646366,0.025912537159570093
23,-153.9316344600249,-153.9360682646588,0.0
24,-100.9268036553104,-100.57381087073884,0.7059855691431096
25,-105.54940420720682,-104.92391366786602,1.2509810786816047
26,-124.01661717360894,-123.18049321806264,1.6722479110925974
27,-131.22220919560473,-127.3516565484997,7.741105294210058
28,-126.8069189287932,-126.2181193421971,1.177599173192192
29,-88.69839262506738,-88.54234320153286,0.312098847069052
30,-86.49698490592675,-86.27337824597403,0.447213319905444
31,-123.31797737029362,-122.99992128641028,0.6361121677666688
32,-124.21707047721398,-124.34278850386848,0.0
33,-138.25408238787833,-138.18213447587044,0.14389582401577172
34,-115.94335603247244,-92.87832668783255,46.130058689279764
35,-85.03946538537959,-68.62627426845526,32.82638223384865
36,-98.37343230892508,-98.29559150259963,0.15568161265088065
37,-106.16861476049952,-105.8603540020357,0.6165215169276337
38,-135.14722362522372,-133.80019542583833,2.6940563987707833
39,-102.13676575853006,-94.80716161376505,14.659208289530028
40,-108.3218231517662,-105.11230076800577,6.419044767520859
41,-121.9610640457992,-115.5389055462955,12.844316999007418
42,-192.2218609772156,-188.18246106322133,8.078799827988576
43,-135.12526726234398,-133.8709402813704,2.508653961947175
44,-101.47617940468946,-99.94518621429192,3.0619863807950765
45,-98.10549116071029,-95.46422963010149,5.282523061217603
46,-134.35567447790513,-134.51880195387082,0.0
47,-104.27245528097916,-96.6901374017167,15.164635758524923
48,-99.33432674921865,-99.13236594262088,0.40392161319553566
49,-124.29377730731473,-124.2402581128445,0.10703838894045248
50,-106.337635738346,-106.6441652661035,0.0
51,-142.1320813227557,-141.75197881460775,0.7602050162959131
52,-112.78953398928168,-112.5285576094249,0.5219527597135709
53,-87.2263085634865,-84.26191886818208,5.928779390608838
54,-108.5837428757196,-108.68474788366292,0.0
55,-119.23815556968567,-119.31875012460706,0.0
56,,,
57,-115.14436779327212,-102.0785866442052,26.131562298133844
58,-136.57995636700247,-115.90306797902996,41.35377677594502
59,-125.81534632290123,-124.70129373055109,2.228105184700297
60,-137.0731844780915,-136.69962123659838,0.7471264829862321
61,-106.38739860586364,-93.410989031425,25.952819148877268
62,-90.4745251960496,-90.46605845201262,0.01693348807395978
63,-98.3680148311305,-96.22933479912828,4.2773600640044265
64,-80.62298873551435,-80.6532348637855,0.0
65,-90.18052423122376,-85.59025523610677,9.180537990233972
66,-118.84717754945429,-118.38855342721382,0.9172482444809305
67,-134.6195634338448,-133.68139809552736,1.8763306766348933
68,-93.29008038983866,-88.10527178064368,10.369617218389976
69,-120.31520179430518,-117.54011533109522,5.550172926419918
70,-132.08587762373557,-131.96053050417413,0.250694239122879
71,-129.15825959375195,-129.36729280561315,0.0
72,-132.56879088228482,-132.289846805575,0.5578881534196398
73,-152.32906293223562,-152.547089032091,0.0
74,-85.17465062629557,-84.9205560789261,0.5081890947389525
75,-74.5784961522672,-74.61139090299025,0.0
76,-99.01966165546936,-98.35537586215985,1.3285715866190344
77,-94.2618133610545,-93.91783148253822,0.6879637570325485
78,-93.98922385911813,-94.0240534042093,0.0
79,-122.45394878483162,-120.0505588339918,4.806779901679647
80,-83.0335464571371,-74.94150331929534,16.18408627568354
81,-84.02321212012353,-84.03815906707018,0.0
82,-101.01481331770428,-96.382195396243,9.26523584292255
83,-80.05199687690646,-79.89389891933618,0.316195915140554
84,-98.47635499700856,-97.8978330110288,1.1570439719595242
85,-114.97162398955604,-113.24403949449729,3.4551689901174996
86,-108.12026999566578,-104.87762944122484,6.485281108881878
87,-107.35720301032508,-104.78312241600736,5.1481611886354415
88,-122.00588539139235,-121.37532139485684,1.2611279930710282
89,-132.19304154290765,-127.69208566753592,9.00191175074346
90,-139.3304848677122,-139.53665035125562,0.0
91,-105.52102931393114,-105.78419329279566,0.0
92,-84.87326940006386,-73.1664212643315,23.413696271464715
93,-118.07933746145169,-100.29238394369784,35.57390703550769
94,-131.55295157755884,-104.91102971645066,53.283843722216375
95,-93.04282820468067,-88.00706013755456,10.071536134252227
96,-96.55864078119518,-91.7215046506555,9.674272261079352
97,-112.7076346732622,-103.33012621213636,18.755016922251684
98,-149.74621458037086,-149.25965260295885,0.9731239548240183
99,-97.29589610602751,-97.06175823932692,0.46827573340118533
100,-121.76152876852976,-119.95963192444997,3.603793688159584
101,-105.75935585929818,-104.0538297011573,3.4110523162817685
102,-100.1741797881672,-99.866713190858,0.614933194618402
103,-121.73970232676102,-112.557163322445,18.365078008632025
104,-104.23079372782452,-104.0985045064052,0.2645784428386264
105,-101.26817195407764,-101.0928283717896,0.35068716457610094
106,-110.40831351024752,-110.37831361818118,0.05999978413268536
107,-131.93265639194962,-131.76283553324174,0.3396417174157591
108,-138.7963795452123,-132.5106798753962,12.571399339632194
109,-89.94237800486107,-82.34269347287123,15.199369063979674
110,-122.02714626648137,-121.7141440856145,0.6260043617337203
111,-120.7113036354643,-120.86738132434152,0.0
112,-85.35153369355892,-85.50573292436167,0.0
113,-139.90924134012164,-135.1560583351549,9.506366009933458
114,-118.63283654432428,-118.84461389217358,0.0
115,-89.340822962927,-89.3460557357175,0.0
116,-148.63038548102514,-102.68196163457046,91.89684769290938
117,-131.44972200690347,-131.57606677059965,0.0
118,-137.51105768169057,-137.62400799553785,0.0
119,-135.24996205582906,-135.0670926067092,0.3657388982397265
120,-119.7548533371902,-119.53136532157532,0.4469760312297524
121,-102.98476590810516,-102.91943681803394,0.1306581801424329
122,-91.35400914575776,-90.58538293300892,1.5372524254976838
123,-60.56904894941505,-60.52916845605958,0.07976098671093723
124,-117.77882050950912,-117.13909642608628,1.2794481668456683
125,-86.10095857364851,-83.72881468728323,4.744287772730559
126,-125.1139086872061,-125.00727564571908,0.2132660829740587
127,-125.80570064934662,-124.4571737688606,2.6970537609720395
128,-126.77187937506936,-126.9012291474639,0.0
129,-139.81902553705538,-139.6195593091004,0.3989324559099714
130,-97.2757974120531,-96.54279923107865,1.4659963619488963
131,-109.97903825972936,-108.539041822784,2.8799928738907283
132,-138.51402029625737,-136.35117626617358,4.325688060167579
133,-102.59821269593895,-102.61561938043832,0.0
134,-97.0609772313704,-93.42513159188157,7.27169127897767
135,-148.79978255045373,-148.74830067974725,0.10296374141296383
136,-85.0017117782577,-83.1382163984259,3.7269907596636074
137,-122.94568370667052,-121.5465935865333,2.7981802402744336
138,-135.90716935209642,-135.87216016960252,0.07001836498778857
139,-129.9979171829361,-129.72405053991542,0.547733286041364
140,-69.75734764464896,-67.331326766847,4.852041755603921
141,-108.62006352044918,-108.56756158533068,0.10500387023699886
142,-82.35217101651656,-81.42622767196067,1.8518866891117796
143,-125.09859501949488,-124.29161966912916,1.6139507007314364
144,-84.35416591875347,-84.48065309000984,0.0
145,-157.49821047872712,-154.8584758205352,5.279469316383825
146,-109.04755324830482,-109.27461565133444,0.0
147,-91.72976565946138,-91.70044883409302,0.05863365073670934
148,-123.77457320724356,-122.22165900209096,3.1058284103052074
149,-92.09081119031532,-91.74860750479962,0.6844073710313978
150,-134.49199303330323,-123.25627015497308,22.4714457566603
151,-105.12405753687996,-104.91334439744044,0.4214262788790393
152,-140.1765522950306,-140.04711138780962,0.25888181444196334
153,-129.21365856391634,-129.712727974496,0.0
154,-168.01681560702858,-167.19306779017825,1.6474956337006574
155,-147.7756018076767,-145.65498342743177,4.241236760489869
156,-115.11964919380452,-110.48875329142662,9.261791804755802
157,-108.76973633466493,-108.7649338025864,0.009605064157057086
158,-100.0876052025288,-100.1044989641126,0.0
159,-94.32343940180442,-94.06267125628708,0.5215362910346926
160,-152.3636494227176,-151.69316367741462,1.3409714906059662
161,-108.03828073501104,-105.19598089678551,5.684599676451057
162,-80.76627448457134,-79.85962284640524,1.8133032763321921
163,-139.50929677194645,-138.97127390925914,1.0760457253746267
164,-123.63281906828198,-123.16778584318035,0.9300664502032419
165,-159.35113355186263,-156.71860297201437,5.265061159696529
166,-107.94297044018052,-107.9920783055141,0.0
167,-130.97815282455122,-130.99040430148875,0.0
168,-115.3963804222996,-114.29976229270412,2.193236259190968
169,-122.73343156553152,-122.67854885999223,0.10976541107856974
170,-146.54861618995648,-147.55610621545043,0.0
171,-112.6271147838547,-112.40797829351928,0.4382729806708312
172,-148.9184102693523,-149.0693945242952,0.0
173,-115.22189870427896,-96.0340556064604,38.375686195637115
174,-105.30009167737164,-105.08822865050551,0.4237260537322527
175,-125.8887802539113,-124.8725009740887,2.0325585596452242
176,-102.4361541881288,-102.10796573152535,0.6563769132068842
177,-108.42860236977648,-108.6371204759002,0.0
178,-120.2500066983975,-118.46701179289344,3.5659898110081087
179,-117.76769538225236,-115.3686361282501,4.798118508004507
180,-159.16384486734552,-158.8389606487494,0.6497684371922219
181,-78.74117172217574,-77.8822864732742,1.717770497803059
182,-94.18105036344004,-94.20571309299876,0.0
183,-136.24711706393256,-134.88878023028477,2.716673667295595
184,-92.1687898431144,-92.20589084205132,0.0
185,-102.14122869492718,-102.21405983619128,0.0
186,-133.51354860041408,-130.57568575626522,5.8757256882977345
187,-100.84639718707513,-99.75157179382828,2.1896507864937007
188,-186.9176978260018,-174.8343420959277,24.166711460148235
189,-93.6895178126369,-93.04042069156628,1.2981942421412214
190,-118.81143177167306,-118.67472456812746,0.27341440709119524
191,-99.43766801285348,-99.27646112414388,0.3224137774192002
192,-73.40218937899687,-71.52831550676677,3.7477477444601845
193,-115.6178141970852,-115.36186763097054,0.5118931322293179
194,-107.45231543257908,-105.02260761470907,4.859415635740021
195,-116.52476699397036,-116.74237760829678,0.0
196,-131.98517796186283,-130.07577525800704,3.8188054077115794
197,-81.70408429539498,-82.44546937240582,0.0
198,-122.7822812324029,-121.8678584551626,1.82884555448058
199,-97.5125635510228,-97.83540429992128,0.0
200,-86.42058915343077,-86.59319747930638,0.0
201,-131.39006792710674,-130.7569123252224,1.2663112037686801
202,-128.68451426562635,-128.3941015766621,0.5808253779284769
203,-130.87742836653428,-130.9518276914739,0.0
204,-113.9676298427816,-113.54177158982212,0.8517165059189722
205,-108.23777825157666,-107.43595662231428,1.6036432585247553
206,-145.97442188315352,-140.77811956571924,10.392604634868576
207,-130.00941880569803,-129.25611123783068,1.5066151357347053
208,-101.42813006819924,-86.44763808587888,29.960983964640718
209,-126.60172180996166,-125.79289242328773,1.6176587733478698
210,-115.92142579342266,-115.55788946824104,0.7270726503632261
211,-91.760171757641,-91.42894439676716,0.6624547217476788
212,-92.41467771910976,-92.5782742955076,0.0
213,-125.51268119130916,-125.58080041832012,0.0
214,-159.0150106419494,-158.4163295159858,1.1973622519271885
215,-57.740610962826935,-57.94319015078287,0.0
216,-92.88206447733518,-92.99973493819354,0.0
217,-146.1348253317488,-146.18146706068137,0.0
218,-129.6115460906944,-129.52344222130074,0.17620773878729779
219,-112.52966179476807,-109.1053635183248,6.848596552886562
220,-86.09933628047884,-85.79564326905452,0.6073860228486296
221,-116.26857456014172,-116.14853915117573,0.24007081793197926
222,-98.16138786972672,-98.07213939569652,0.17849694806039906
223,-107.45075422486492,-107.04535341987972,0.8108016099704116
224,-92.57401112988944,-83.74856886352455,17.650884532729776
225,-146.1396738078141,-146.2304186600501,0.0
226,-156.76089381061826,-156.93132427946043,0.0
227,-122.91792480459316,-123.15497821938789,0.0
228,,,
229,-105.6002070656712,-102.0726638785413,7.055086374259787
230,-133.48739398662758,-133.3817441178113,0.21129973763254384
231,-115.1529372660486,-115.10624448978352,0.09338555253015102
