sample,ll0,ll1,score
0,-57.62809358207474,-44.35155582429263,26.553075515564217
1,-99.0825395097591,-93.44046602359452,11.284146972329154
2,-49.33196646686992,-49.2783023702397,0.10732819326044307
3,,,
4,-57.12993066710236,-57.059795064014274,0.14027120617616617
5,,,
6,-47.78929206382033,-45.29288445925964,4.992815209121375
7,-43.10860378020787,-43.13240825155479,0.0
8,-80.61932579408546,-75.01029313612905,11.21806531591281
9,-48.48195303658924,-41.91203259304493,13.139840887088624
10,,,
11,,,
12,-52.859736659921055,-51.24127025072747,3.2369328183871744
13,-52.57290342074707,-46.36635252758933,12.41310178631548
14,-74.1648212616145,-72.94915822031938,2.4313260825902603
15,-54.621105686299046,-54.199374751051145,0.8434618704958012
16,-87.1208935002029,-81.02169526796993,12.19839646446593
17,-51.854577074537126,-51.250970584733736,1.2072129796067799
18,-75.2460758999769,-73.83962027148925,2.8129112569752976
19,-64.2079082524197,-57.25471696825883,13.906382568321732
20,-62.86785810752593,-62.797790390868194,0.1401354333154785
21,-72.60317444381658,-72.5875201961882,0.03130849525678059
22,-85.29973514182092,-82.75172339635482,5.096023490932197
23,-63.48389995600238,-50.77810176671812,25.411596378568518
24,-117.07681309700892,-116.86278448623406,0.4280572215497216
25,-62.89717059102849,-48.940508756627565,27.91332366880185
26,-62.34978206247867,-62.30719302113465,0.08517808268803151
27,-80.46163208474502,-79.90383592134468,1.1155923268006802
28,-77.34824398438454,-76.86607804676879,0.964331875231494
29,-48.63840978365496,-48.56155236338429,0.15371484054134044
30,-52.406762511215966,-50.23547421708346,4.342576588265018
31,,,
32,-65.04234061083358,-46.89587106792261,36.29293908582193
33,-56.22463690709674,-55.52206876439636,1.4051362854007579
34,-107.40739210641284,-107.18748274810004,0.43981871662560934
35,-45.43341821494146,-43.560753822727335,3.745328784428253
36,-67.34643058229562,-65.95564494692962,2.7815712707320017
37,-48.35782841687042,-48.233622288376,0.24841225698884273
38,-54.14358361724861,-48.72930135630355,10.828564521890115
39,,,
40,-79.3622927103957,-68.62892163279948,21.466742155192463
41,-47.57195895240643,-47.2906772967018,0.5625633114092636
42,-50.09841571876927,-48.395652373877816,3.405526689782903
43,-53.96386012024109,-53.88332001609678,0.16108020828860958
44,-59.23314470389894,-53.35981109430783,11.746667219182214
45,-47.00440895314247,-46.89765502564426,0.213507854996422
46,-66.61439705309428,-56.88545372188216,19.457886662424244
47,-99.71569081342042,-93.7690428868642,11.893295853112448
48,-63.00867986418135,-58.56166162994936,8.89403646846398
49,-66.47637533899368,-66.04450073414834,0.8637492096906669
50,-52.98442462270056,-52.38560535393832,1.1976385375244831
51,-60.81734170837175,-60.825644379539895,0.0
52,-76.27852861455355,-70.75846056703946,11.040136095028174
53,-66.13777634080876,-59.21459117405308,13.846370333511345
54,-47.390039910339546,-44.38346257875916,6.013154663160776
55,-81.18349430612574,-75.11298268901186,12.14102323422776
56,-66.83318792947301,-59.99150494841705,13.683365962111921
57,-80.70146110451672,-79.89022145857734,1.6224792918787614
58,-61.57487608421266,-57.54341633584667,8.062919496731979
59,-83.63726232934347,-71.11237618459907,25.0497722894888
60,-61.42399280027188,-59.61386125533481,3.6202630898741432
61,-61.90900303382167,-55.77006970585853,12.277866655926275
62,-62.83784201736316,-62.60134317352013,0.47299768768606043
63,-105.82178566411427,-102.50329851017898,6.636974307870588
64,-51.20124958560793,-45.29662156519915,11.809256040817559
65,,,
66,-74.69795196795526,-73.67583927558528,2.044225384739974
67,-151.0482476384419,-104.39641137309252,93.30367253069875
68,-46.058925377439664,-44.9551995884742,2.207451577930925
69,-92.6930785632149,-91.79275540695342,1.8006463125229573
70,-64.17420759446313,-61.14340916459621,6.061596859733839
71,-60.2749532538799,-59.7817612266503,0.9863840544591937
72,-66.50723266369519,-61.10537579551334,10.803713736363704
73,-58.97899830157358,-55.72904556080428,6.499905481538605
74,-55.359483274719565,-51.29670587501241,8.125554799414317
75,-41.304980674719125,-39.876450536230166,2.8570602769779185
76,-80.34827358985977,-39.67941354465818,81.33772009040318
77,-126.8708464340807,-121.90892786090971,9.923837146341981
78,-66.89939297458051,-66.86770350012677,0.0633789489074843
79,-73.29361075418612,-66.90732383267647,12.772573843019302
80,-45.06251064546676,-37.05256754733962,16.019886196254276
81,-61.658198711040384,-61.30666865135979,0.703060119361183
82,-47.96470195020501,-47.692653667639206,0.5440965651316105
83,-71.37459068814883,-67.38062687657307,7.987927623151506
84,-48.605920235185216,-46.02652011230253,5.158800245765377
85,-103.89371311011372,-92.6796690549383,22.428088110350842
86,-48.055281140198005,-47.98958357748744,0.13139512542113607
87,-44.5038284373597,-42.70384375876087,3.599969357197665
88,-82.01089411163383,-77.15659903396669,9.708590155334292
89,-52.4161583874204,-42.81339039237621,19.20553599008838
90,,,
91,,,
92,-45.19001509690639,-44.71658568323447,0.9468588273438456
93,-125.74108214112032,-125.7145959873819,0.05297230747683557
94,-63.02931815436127,-62.63511848681154,0.7883993350994558
95,-56.998665637457776,-55.76802484918002,2.461281576555507
96,-70.64969406988034,-67.15164876053514,6.996090618690403
97,-40.77463843878139,-39.14646571794007,3.2563454416826403
98,-45.81738241366173,-45.58077278617901,0.4732192549654428
99,-68.3175044481713,-54.43039102612042,27.774226844101776
100,-107.351553438156,-72.77917758397322,69.14475170836556
