sample,ll0,ll1,score
0,-62.13337413251212,-53.66423001362489,16.938288237774458
1,-73.86327084566118,-73.95671778631353,0.0
2,-60.84618170135546,-60.87521853743437,0.0
3,-71.51682062027217,-68.90672716874707,5.220186903050205
4,-55.30983628814533,-53.59806446911261,3.423543638065439
5,-62.04709917651616,-61.97894806194379,0.13630222914474643
6,-54.95680097443375,-54.963898389227175,0.0
7,-45.30110880749421,-45.23257830888808,0.1370609972122594
8,-65.61159143421051,-64.50043059449109,2.222321679438835
9,-103.37662423312578,-96.01368048122296,14.725887503805637
10,-51.966827180421376,-51.54944526641435,0.8347638280140472
11,-88.45184280465361,-83.48043921406997,9.942807181167268
12,-87.93071790744837,-87.97953014507033,0.0
13,-77.17787898651429,-74.90682224269338,4.542113487641814
14,-60.6963741226264,-55.8818975966437,9.62895305196541
15,-66.2348262915707,-65.37462350271934,1.7204055777027065
16,-69.4310382520298,-68.99501142943669,0.8720536451862131
17,-71.29359984598966,-71.35712005267408,0.0
18,-62.55320839304658,-62.28641778815271,0.5335812097877408
19,-108.05211203318996,-108.01162206818968,0.08097993000055226
20,-70.37455914136694,-70.39112263700297,0.0
21,-39.9866524239937,-39.94083383798825,0.09163717201089128
22,-123.4929338199349,-122.89137547442998,1.2031166910098534
23,-61.98621105664958,-59.90607418446911,4.160273744360936
24,-61.74560531008028,-60.91662646500543,1.6579576901497006
25,-74.94094390793624,-74.92827438785092,0.025339040170649696
26,-91.28346761972506,-91.274263044282,0.0184091508861286
27,-56.54239017614628,-55.443455075785685,2.1978702007211837
28,-71.76213185755427,-70.67641373036642,2.171436254375692
29,-128.2567406653602,-128.19633985078195,0.12080162915651727
30,-75.7863949642009,-73.6615029100196,4.249784108362576
31,-54.68380451032874,-54.56564048146852,0.23632805772044208
32,-61.84727384123242,-61.85199341077234,0.0
33,-65.44369565685219,-64.83143026703267,1.224530779639025
34,-50.82800112799481,-50.76677430785914,0.12245364027134542
35,-53.63485826015936,-51.1042644749769,5.061187570364922
36,-86.56723245406735,-86.32421391962717,0.48603706888036413
37,-88.70645904838202,-87.00757567822382,3.397766740316399
38,-79.13287522509435,-77.27552425509049,3.7147019400077284
39,-72.16720798543858,-71.37893969624578,1.5765365783855998
40,-53.66718818172196,-52.73134924162298,1.8716778801979643
41,-73.37140359838713,-73.507418114116,0.0
42,-62.94496113509192,-62.268759597223976,1.352403075735893
43,-70.65542174498285,-70.61527877120659,0.08028594755251106
44,-65.18126392176764,-65.02761528604657,0.30729727144213825
45,-55.51172119548356,-51.19603155238047,8.631379286206183
46,-59.117846007594224,-59.13657769274384,0.0
47,-79.12216731967372,-79.1054091484834,0.03351634238063639
48,-75.4929850142979,-75.14291252535662,0.7001449778825588
49,-61.36451224647221,-60.85605352619173,1.0169174405609596
50,-67.8777337787956,-66.8627434253592,2.0299807068728057
51,-120.21892411240864,-118.66617663404054,3.1054949567362087
52,-99.82645906191442,-99.25685580650163,1.1392065108255736
53,-70.7701816927819,-70.73582846296071,0.0687064596423852
54,-59.44317521779939,-59.08170760049607,0.722935234606652
55,-84.09823563956948,-83.49076962103419,1.2149320370705823
56,-62.09933913262431,-61.915710011775744,0.3672582416971295
57,-64.40274075664149,-63.35057157085831,2.104338371566371
58,-74.21634092391965,-69.6080077009093,9.216666446020696
59,-88.99134984473564,-87.65377399062017,2.675151708230942
60,-85.86554033272886,-85.55604324704322,0.6189941713712699
61,-82.16094844689717,-81.9290165835495,0.4638637266953367
62,-86.57551780017823,-71.61967447115946,29.911686658037553
63,-65.65526592636404,-65.6825487035861,0.0
64,-86.91812431748221,-85.93284928663917,1.9705500616860832
65,-46.93045937706965,-46.25523774077257,1.3504432725941626
66,-59.77760713490844,-59.80297865557344,0.0
67,-61.02504639292546,-58.41275929116441,5.224574203522096
68,-91.0012471634254,-90.71327005342069,0.5759542200094359
69,-51.53094446908602,-51.38259562410521,0.2966976899616327
70,-85.95212829578338,-85.19016157003712,1.5239334514925247
71,-58.13809782032105,-56.43141818113868,3.4133592783647373
72,-86.17809452509638,-80.1297060966807,12.096776856831355
73,-47.049948431992505,-38.67162533010613,16.756646203772746
74,-66.5200567291366,-66.61954661742816,0.0
75,-47.61362953148112,-47.59948971609771,0.028279630766832042
76,-53.97176477622475,-53.72359466904644,0.49634021435662135
77,-79.7264206381021,-79.31588978364405,0.8210617089160905
78,-83.172173105444,-82.26511498221404,1.8141162464599176
79,-48.69851579821203,-48.47823452409216,0.4405625482397397
80,-63.50428513805575,-57.174940324497065,12.658689627117369
81,-82.43970685950663,-81.9789291259217,0.9215554671698669
82,-68.49275942247186,-65.09300064784468,6.799517549254375
83,-82.44566930879262,-78.46472638142775,7.961885854729729
84,-100.26952117855905,-97.59045547619476,5.358131404728567
85,-69.31669120196689,-69.25304366572655,0.12729507248067762
86,-83.08478742348021,-82.55474286461487,1.0600891177306835
87,-39.883186464546085,-39.718911764612486,0.32854939986719955
88,-70.31349159786873,-64.12823204785305,12.370519100031373
89,-91.91074447486878,-89.4495211287598,4.92244669221796
90,-81.36537359072295,-76.06183223041205,10.607082720621804
91,-57.00562742911546,-56.932337629136896,0.14657959995712133
92,-79.9648337347837,-79.23646867718368,1.4567301152000312
93,-66.95466196102544,-65.35233725867324,3.2046494047043836
94,-64.55257433473062,-64.54093239366938,0.023283882122484556
95,-50.42548988996271,-50.33850510453421,0.17396957085701104
96,-82.01151407625991,-78.28739316355139,7.448241825417057
97,-70.17523553248314,-69.76926116017265,0.8119487446209916
98,-120.53296340674456,-118.0773366079962,4.91125359749671
99,-60.82346283741788,-57.93949315949378,5.767939355848199
100,-81.89447269067472,-79.00903107273258,5.77088323588427
