sample,ll0,ll1,score
0,-84.69164648527389,-84.69119159770489,0.0009097751380124919
1,-83.51572251053355,-82.86711951134565,1.2972059983758015
2,-101.19608229596876,-101.1978870774962,0.0
3,-63.220407571348034,-55.59277220930119,15.255270724093691
4,-63.66542359903645,-63.58826686710473,0.15431346386344558
5,-54.00863132906628,-53.51600276865075,0.985257120831065
6,-97.20869951981815,-79.05379513627508,36.30980876708614
7,-55.64316711887104,-55.45957359046176,0.36718705681856534
8,-56.373907324601575,-56.32810427305685,0.09160610308944683
9,-75.83211851329786,-75.80901256031969,0.046211905956340615
10,-68.14818686513185,-67.80203356562507,0.6923065990135626
11,-69.02653336296196,-69.0329853661406,0.0
12,-62.9097710532257,-62.89111465564915,0.03731279515309893
13,-63.04562073590378,-63.01775027314712,0.05574092551331944
14,-80.0587563081574,-80.0540523647815,0.009407886751802153
15,-73.71249574069805,-73.69417628111853,0.0366389191590315
16,-71.8537417681581,-71.31245706157043,1.0825694131753494
17,-96.94004819782396,-95.70314909141976,2.47379821280839
18,-83.38607655015912,-82.48020436682054,1.8117443666771464
19,-69.69232558097823,-69.67464548861537,0.035360184725732324
20,-74.34648669713042,-68.217677892259,12.257617609742823
21,-102.8436326622969,-94.866069487176,15.955126350241784
22,-66.29846006065038,-65.38774895611563,1.8214222090695102
23,-82.81339024294422,-82.78461414356495,0.05755219875854323
24,-64.22396495339663,-60.47144384904935,7.505042208694562
25,-76.32795635190712,-76.11749005972999,0.4209325843542615
26,-125.66182325927672,-99.8978043158156,51.52803788692222
27,-107.92449813111423,-104.60602111261082,6.636954037006831
28,-108.13962204507806,-106.73088043890527,2.8174832123455644
29,-92.27383886652196,-91.35963854170603,1.8284006496318455
30,-63.65226987576104,-46.713036434427295,33.878466882667496
31,-89.4054379928537,-81.83805423987363,15.134767505960156
32,-128.41433988263478,-82.4356479565265,91.95738385221657
33,-95.0344572896363,-94.98712553892956,0.09466350141346425
34,-112.7577422830134,-112.79563939370148,0.0
35,-82.6844837813096,-82.61282695542792,0.14331365176334998
36,-92.84214502111584,-83.39178675419231,18.90071653384706
37,-100.8288024021168,-100.8436188735392,0.0
38,-67.7040454707339,-67.68969005832032,0.02871082482715792
39,-60.66438181859316,-60.69629269470663,0.0
40,-66.06578206254017,-65.57319169269562,0.985180739689099
41,-52.05470695458244,-47.93276750718006,8.243878894804766
42,-100.66077883778638,-96.69159659016697,7.9383644952388295
43,-82.62471461523921,-79.6404669528077,5.968495324863028
44,-128.72434433174328,-128.58444054783928,0.27980756780800675
45,-152.8460488430054,-152.6978750937754,0.2963474984600225
46,-98.9432588295835,-98.62742573467398,0.6316661898190432
47,-88.62478290305009,-84.67540506302048,7.8987556800592245
48,-60.94629096437359,-60.93066088633388,0.03126015607941213
49,-56.84871510935211,-56.8463312510486,0.004767716607020134
50,-63.164491621897824,-63.15043749346858,0.028108256858487835
51,-53.09835363298992,-52.99948504198615,0.1977371820075433
52,-95.05916601390398,-94.99721160015126,0.12390882750543142
53,-62.53182230540776,-62.582763872981,0.0
54,-93.8602677156163,-93.02346723329708,1.6736009646384389
55,-85.60681607201283,-81.62351382021617,7.966604503593317
56,-83.29454927343195,-70.51853903445593,25.552020477952055
57,-81.20964205325915,-81.21208584961708,0.0
58,-64.85161535230488,-64.70492535842939,0.2933799877509671
59,-56.877894845547374,-56.207973751669165,1.3398421877564175
60,-117.9164322231952,-117.91976783562356,0.0
61,-60.5526312014418,-60.55721655563464,0.0
62,-95.2691979765327,-90.6175456773959,9.303304598273598
63,-78.61463053485136,-78.58211142765715,0.06503821438840873
64,-74.8385153304388,-74.86175132879282,0.0
65,-68.25706378446687,-68.25035539329454,0.013416782344648936
66,-62.62326826086178,-62.59798727670388,0.050561968315790295
67,-53.78841653570335,-52.79968467309276,1.9774637252211704
68,-79.24973361656549,-79.19669015896713,0.10608691519672675
69,-79.57868273150359,-61.92025778049037,35.31684990202645
70,-96.7369651376518,-96.67273886106956,0.1284525531644647
71,-62.83089329783439,-62.83206494076144,0.0
72,-84.62350581440555,-80.34932977109627,8.548352086618564
73,-39.02092748355774,-38.98480560531865,0.07224375647818704
74,-86.84711671353209,-86.19782668355738,1.2985800599494155
75,-96.46743132932616,-96.461446073837,0.011970510978329685
76,-76.83943445636396,-76.61555341575863,0.4477620812106693
77,-85.14169497472385,-83.91235620388623,2.458677541675229
78,-66.20173398371239,-66.37887131487926,0.0
79,-58.93784940279989,-51.33941313537719,15.196872534845397
80,-76.39557256030557,-74.92534214204565,2.940460836519833
81,-74.28580875195026,-74.11122261136032,0.3491722811798752
82,-92.74484053147307,-89.17995585555153,7.129769351843095
83,-98.58309967646288,-94.79655722932694,7.5730848942718865
84,-88.36656542814707,-87.8185662587814,1.0959983387313343
85,-71.17263195832483,-70.90927691707537,0.5267100824989086
86,-80.60862284395691,-78.03111872984076,5.155008228232305
87,-78.73604974465599,-76.81885001077532,3.8343994677613296
88,-78.52904590110697,-78.54705802788038,0.0
89,-99.59394366137585,-83.8393067173705,31.509273888010682
90,-85.66075075403234,-85.67522089800549,0.0
91,-54.497918525579735,-52.47951103344428,4.0368149842709045
92,-76.77263030260349,-76.67267792773667,0.19990474973363348
93,-90.6502331670319,-90.64487466158964,0.010717010884519595
94,-85.71030202769626,-85.42348056981278,0.5736429157669534
95,-69.82600784981072,-69.79025283608595,0.07151002744953416
96,-98.67620087298548,-98.22153944708064,0.9093228518096623
97,-70.13765704556587,-70.06938921557594,0.13653565997987016
98,-120.4596179919042,-120.49388003143912,0.0
99,-77.53764524945193,-72.6103289519477,9.854632595008468
100,-74.0152102785712,-73.99246090660391,0.04549874393458708
101,-116.31686235168178,-116.31954658988016,0.0
102,-104.6583940069642,-101.79210143143234,5.7325851510637165
103,-62.498013793249086,-62.07576862298038,0.8444903405374191
104,-86.85050037637771,-80.46698202975213,12.767036693251157
105,-87.58487773894478,-87.59563181912672,0.0
106,-98.52735687176798,-98.51927432190328,0.01616509972939184
107,-73.7017253002734,-73.49740573652718,0.40863912749242104
108,-115.65795540771953,-105.30595743440952,20.70399594662001
109,-111.60277989962924,-111.63686013812791,0.0
110,-120.11165418851816,-120.07039128184589,0.0825258133445459
111,-78.66553451607466,-78.62469494831451,0.08167913552028949
112,-72.43284616837435,-66.53719442412441,11.791303488499892
113,-44.6020253050449,-44.66000610077153,0.0
114,-99.858853190486,-99.83190844237376,0.053889496224485356
115,-69.96563330846698,-69.99837541918058,0.0
116,-72.22685245480533,-72.2157403576146,0.022224194381436746
117,-50.88935543735421,-50.028066080358535,1.7225787139913535
118,-58.85306257508228,-55.40792072432036,6.890283701523828
119,-90.12386887516404,-90.01160670776498,0.22452433479810452
120,-68.62940785936573,-68.62981914813116,0.0
121,-75.47047216647995,-75.45205228347191,0.03683976601607242
