sample,ll0,ll1,score
0,-77.6519703097051,-71.14182376135167,13.020293096706865
1,-112.6590373983293,-99.12860328949108,27.060868217676443
2,-67.50292951483965,-67.350320206763,0.30521861615329726
3,-98.97266319584908,-98.93123145811563,0.08286347546689399
4,-121.48173915788324,-121.2833179803886,0.3968423549892748
5,-117.65993354435916,-106.70789836971352,21.90407034929129
6,-155.15522917625697,-154.41142010422266,1.4876181440686196
7,-80.3343993208844,-80.30077239333899,0.06725385509082571
8,-115.67466180521797,-115.0652461831462,1.21883124414353
9,-82.56040776216705,-82.30127249855555,0.5182705272229953
10,-89.29378885765087,-89.4480171951186,0.0
11,-106.57574506334032,-105.93602031626033,1.2794494941599908
12,-105.49834065105892,-105.67409946710004,0.0
13,-101.61368016334826,-88.6074605877958,26.012439151104928
14,-103.16943416268364,-101.17418810888772,3.990492107591848
15,-130.28915865629338,-129.9485161740656,0.6812849644555854
16,-81.0412764285924,-80.24791513441716,1.586722588350483
17,-85.41260191712422,-84.72690571855708,1.3713923971342865
18,-101.02505812726886,-94.25758506504708,13.534946124443564
19,-117.20893884128908,-117.20018827530298,0.01750113197221026
20,-149.20025068633225,-149.25495036986308,0.0
21,-97.750382921881,-97.48134750672456,0.5380708303128756
22,-119.32934607055503,-118.0589798598468,2.5407324214164646
23,-81.1044883931329,-81.83068917368941,0.0
24,-108.13701080085414,-108.49326181661876,0.0
25,-110.61024263819854,-110.23369160372384,0.7531020689494028
26,-114.08218226783252,-113.9553827744989,0.25359898666724234
27,-113.3034982119863,-112.8448384476871,0.9173195285983979
28,-94.83538348482884,-94.30935829265331,1.0520503843510483
29,-156.35210515940838,-155.34723794930898,2.0097344201988108
30,-130.18999947225936,-130.2642175439764,0.0
31,-108.245440698082,-104.92191706238808,6.647047271387862
32,-134.91149745992988,-135.2120232997416,0.0
33,-97.06759796834972,-96.64591471603586,0.8433665046277099
34,-111.09856416445284,-110.86139195088109,0.47434442714350666
35,-203.0787999871155,-201.97884507374567,2.199909826739656
36,-134.83450750251677,-123.31580084025056,23.037413324532423
37,-89.2987354320154,-89.68452111731587,0.0
38,-112.61001136899674,-112.44259989668063,0.33482294463220796
39,-130.4223028166157,-130.54030489591116,0.0
40,-128.94310855777022,-123.67807113179629,10.530074851947859
41,-113.44557025584731,-113.8475564828671,0.0
42,-143.00127664551624,-139.274889761515,7.452773768002487
43,-170.3013254109806,-156.36018199303334,27.882286835894547
44,-135.53182089332876,-126.758992455993,17.545656874671522
45,-108.77300359277126,-109.0854369961946,0.0
46,-128.09066431329043,-127.99247500456649,0.1963786174478912
47,-130.84074385609318,-131.28668062473025,0.0
48,-166.35544581365542,-166.1873600357723,0.33617155576627056
49,-110.58543142136448,-110.39701158859953,0.3768396655299
50,-124.0815335626101,-120.66826014912112,6.82654682697796
51,-109.2718895697594,-109.04097991620432,0.4618193071101473
52,-101.48497044933303,-97.67306045146444,7.623819995737193
53,-101.25074945770872,-101.49349093414088,0.0
54,-123.7833163592776,-124.30396013581398,0.0
55,-185.74216422271425,-171.98292647074098,27.518475503946547
56,-117.20229207498464,-117.5518439735586,0.0
57,-122.83740301297472,-123.08804178647284,0.0
58,-99.50290117470128,-99.11101442092767,0.7837735075472096
59,-145.82648144376122,-131.532571075462,28.587820736598474
60,-104.24761626173115,-103.45735670380236,1.5805191158575838
61,-122.44668881208057,-122.57959338947506,0.0
