sample,ll0,ll1,score
0,-63.44133809642636,-60.47128830619174,5.940099580469237
1,-66.97611133947514,-57.55629009162617,18.839642495697944
2,-55.55172320645411,-46.686758941310416,17.729928530287395
3,-38.90418648280226,-38.74808988808616,0.3121931894321932
4,-64.41075631251492,-58.61358807947346,11.594336466082922
5,-67.41884724781806,-67.11738343628757,0.6029276230609923
6,,,
7,-66.96586493767867,-49.60246685255889,34.72679617023957
8,-40.30451586467895,-40.14439486045767,0.32024200844254835
9,-53.989695889052825,-49.295952460469564,9.387486857166522
10,-48.26190061645664,-48.07773157943317,0.36833807404694596
11,-80.53346232975554,-75.69136434955533,9.684195960400416
12,,,
13,-41.958192600821576,-37.98306510904513,7.950254983552895
14,,,
15,-50.3538859360064,-49.38483927740474,1.9380933172033252
16,-69.58419028878899,-69.45891727316092,0.2505460312561354
17,-44.03592935005045,-40.47171735876836,7.128423982564186
18,,,
19,-54.95097835347164,-54.86095148295042,0.18005374104244254
20,-82.79135534865182,-71.26527248255057,23.052165732202496
21,-87.26469236311307,-76.15107724670281,22.227230232820517
22,-47.52697157184308,-46.94594906542558,1.1620450128349944
23,-75.84329758946551,-58.20240325947641,35.28178865997819
24,-41.837223622285805,-41.60146942538451,0.47150839380259413
25,-83.09628130327654,-74.5591327094125,17.074297187728092
26,-66.16727625050098,-38.66818473858453,54.998183023832894
27,-40.52309455965312,-37.181100205173486,6.683988708959262
28,-59.031144824870026,-42.28240533608979,33.497478977560476
29,-61.09856039690066,-60.79584499169614,0.6054308104090325
30,-66.88338555870594,-66.70043737110112,0.365896375209644
31,-49.82598490992274,-49.559366327591015,0.5332371646634471
32,-59.17996958663911,-59.03667007840652,0.2865990164651748
33,-63.49942153682485,-48.88475716654587,29.22932874055796
34,-57.41689529397476,-43.82345026153487,27.186890064879776
35,-46.5938582590852,-41.53438536832284,10.11894578152473
36,-36.32323524025698,-36.32222327581794,0.0020239288780743436
37,-41.44318883307624,-37.97869481790215,6.9289880303481794
38,-55.00955047297275,-50.99355938860984,8.031982168725818
39,-58.555832928970105,-46.767872564623374,23.57592072869346
40,-51.75113680137639,-48.71361123392524,6.075051134902296
41,-43.69263428220617,-43.024139956171744,1.3369886520688539
42,-50.54746578342235,-50.47225926861134,0.15041302962202963
43,-95.57261412653835,-94.93398143805868,1.277265376959349
44,-76.486504181197,-62.33074754979419,28.311513262805633
45,-60.756644647345766,-56.25252645202781,9.008236390635915
46,-37.41316557170445,-36.66379674637038,1.498737650668133
47,-53.462414039391206,-51.86668078348883,3.191466511804748
48,-60.44519964970213,-60.3566046776,0.17718994420427236
49,-53.79178520998396,-51.83302727790297,3.9175158641619845
50,,,
51,-48.17111738072289,-47.77222427879897,0.7977862038478349
52,-51.620737423613534,-50.561698517925166,2.118077811376736
53,-36.35239500381005,-35.42415365771606,1.8564826921879813
54,-85.20861315746359,-80.96055000435331,8.49612630622056
55,-74.96538554834504,-68.24033136020203,13.45010837628601
56,-54.51379238172455,-52.80778403349132,3.412016696466452
57,-72.22406693729542,-71.38811731112827,1.671899252334299
58,-40.93854212971698,-39.81767189161728,2.2417404761993964
59,-54.25859839875798,-48.43236844409657,11.652459909322829
60,-62.30330285283853,-59.27386360923464,6.058878487207778
61,-61.60708088127954,-55.31381013789333,12.586541486772433
62,-49.76878053222863,-39.20713499356066,21.12329107733595
63,-66.56717037009682,-53.714910508180665,25.704519723832306
64,-81.77326141768324,-70.51911558212933,22.508291671107827
65,-37.05060854251256,-36.98003201190184,0.1411530612214449
66,-80.60529242141176,-46.98204128600211,67.2465022708193
67,-72.35135815832348,-69.52525388959786,5.65220853745123
68,-37.58485440457999,-37.57281837083987,0.024072067480247483
69,-57.86729650483476,-42.32678961994196,31.0810137697856
70,-43.10758530194048,-36.65479498771735,12.905580628446259
71,-48.76885051917057,-40.11688295488791,17.303935128565314
72,-59.30427735332791,-54.09328958224015,10.421975542175517
73,-61.49017700209658,-59.9973419083512,2.9856701874907543
74,-50.971416240984766,-44.58422926790284,12.774373946163848
75,-41.08117238538776,-41.07587429091551,0.010596188944504092
76,-61.79660165983432,-61.74380995890938,0.10558340184988424
77,-49.05994370857511,-49.0377139842758,0.04445944859863005
78,-57.75935069479219,-52.78130727639446,9.956086836795464
79,-44.60474679698268,-43.68995817697412,1.829577240017116
80,-66.2211050532004,-66.211414109136,0.019381888128805258
81,-72.2514018151539,-68.36175997327575,7.77928368375629
82,-74.44293261946456,-69.8485304616265,9.188804315676123
83,-68.62473332297435,-62.1903237138921,12.868819218164504
84,-53.46147106121292,-48.41309004493672,10.096762032552391
85,-60.91093047269119,-58.81712980729416,4.187601330794067
86,,,
87,-87.78519453423095,-87.86763062597424,0.0
88,-42.35204715043971,-42.36425408531097,0.0
89,-80.011245363558,-70.92043527439745,18.18162017832111
90,-45.58595778245983,-45.59081916828825,0.0
91,-43.16083445297825,-40.28573677638051,5.75019535319548
92,-91.76978048505444,-91.62076004300457,0.2980408840997484
93,-64.13474784180829,-59.42090841348916,9.427678856638266
94,,,
95,-39.75157070535607,-38.33072836223178,2.841684686248584
96,-66.40390840856023,-65.91286000308685,0.9820968109467572
97,-62.88387874443321,-44.95709968308984,35.85355812268675
98,-84.7004064842454,-61.40307607319504,46.594660822100735
99,-76.96831877425048,-76.98586002648742,0.0
100,-62.06610990029656,-56.46004587722147,11.212128046150184
101,-51.89100251474943,-48.73318823773471,6.315628554029445
102,-70.1151147771279,-58.28789352700906,23.65444250023768
