sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
0,-740.0323092747353,798040.8738959604,692382.3826996754,125278.34335281291,60716.094232199335,48000.00000003485,17396.369018966714,6799.2520746931295,3010.703871324692,3399.234961971045,522.4022533207816,235.5805968829155,1025.2179689652003,66544.37818263263,2646.288117544485,369.45624104280637,6.452736058538455e-06,0.000476246599173262,0.1201380644003201
1,-594.7283221024635,800936.2009839634,635861.4641897854,129045.48572914724,69948.58056546083,48000.00000018228,16666.06417756953,11262.939769160903,2885.6803658414788,3169.103841858613,596.1493457394665,769.0444291047235,1529.6448852993747,48912.75735457704,3725.2879477167744,475.00510918693755,6.822240540907437e-06,0.00037693204149392816,0.07858092378540273
2,-739.8802790394939,791194.1551927127,628823.6765962053,127956.57863183014,64123.00680555115,48000.00000000407,17016.21299720991,9101.961020512594,3152.51821479521,3340.0182725547284,748.2347914177551,478.0075864760122,1145.7800826258817,56091.876105392286,3187.271795911155,430.66806486605856,5.510449887176132e-06,0.0004258845344588328,0.07688978699765932
3,-602.1703864900185,854826.8446751393,698331.9785526766,118522.96622849489,64300.29079172634,48000.00000024025,16107.80991339742,13184.832377999857,2939.877367217557,3245.000517759587,131.63964876870492,405.64764805819755,1310.7213610262124,54510.40316748471,3420.8306353306243,447.82780876214235,7.29071122357005e-06,0.0004189917327970559,0.08067648095064112
4,-722.3929194704789,795829.0802137041,656202.2980610973,122762.04642710502,61917.11169192928,48000.00000013239,16633.50276633792,9235.798808375255,2904.852770424383,3286.859081713299,307.94637598239393,296.45248735809156,894.1422351119612,53358.65092771688,3341.364831709746,454.7254959350615,6.259572556520872e-06,0.00044026958981044817,0.08957922813554897
5,-648.844768909541,796224.875488757,679087.0548720921,122288.44232919508,65879.64534209658,48000.000000000146,16976.73046090876,13691.884950063579,2659.7787517020656,3039.7162933622017,253.5275623794606,668.684170352324,1115.277305178346,52303.63842238538,3308.4203027238145,478.5817189323653,9.65175712164605e-06,0.0004182672547165463,0.08922549591895045
6,-595.0747192530948,808897.208309684,626765.3426762369,124321.34129070317,67665.57552423266,48000.000000000146,16980.3072955274,11325.258994747965,2969.5135802608083,3166.8382338486153,351.3532222579362,642.1897399189589,1301.452671295427,54690.413324776804,2884.857071530602,456.8560672145901,6.784343022913299e-06,0.0004244740994876235,0.1005729994325944
7,-621.8495538408304,778279.6706076043,720284.8218581765,124300.82421716259,61918.92764878432,48000.00000041334,16846.976657052925,5705.3762398597655,2869.306627134506,3315.487070262035,376.762674642767,307.47695886851596,1060.8059310613048,39414.895314755544,5242.820658145031,577.9202899277024,7.940313476762852e-06,0.0003050972385629274,0.06754700840222119
8,-815.6580639417816,842052.9976007082,629634.8251622248,121163.03407592501,61005.579976063505,48000.000000042695,16116.557079238362,13004.245852884227,3146.5318535319784,3341.2237343236975,229.5771317156055,232.0388923878196,1096.0487083858686,51758.474985332134,3347.773282277268,465.7256583024313,6.275168402351834e-06,0.0004303714226804371,0.09442230086241087
9,-609.44693053348,834049.2364141077,628015.6403111503,125787.30310636862,71966.08491763353,48000.000000216125,16425.84901033311,16248.606566408193,2874.5940630572327,2997.8560482133867,540.4366953246237,842.3463497192461,1742.6991361681232,50988.194952222235,3538.048595843903,485.0363150612615,8.298329325883103e-06,0.00038874329583117785,0.08041402708672733
