sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
0,-646.1356418486566,767439.230111779,663489.9670033372,116471.24840225131,65978.06385895264,64518.925549784464,17591.378230333183,3344.713485774989,3950.43302355204,2652.633355002394,69.83934601670771,444.3374998049379,1262.5836618433827,27859.434100183284,23526.69350231861,1198.29598199542,1.0000000111108333e-08,6.919482151303546e-05,0.11967139335762705,0.024067644422169486
1,-537.4502477231067,767576.3628052782,710565.002348246,120002.59710051239,63404.42705948848,48000.00000058328,17070.21063737939,2296.4714696343644,3674.904253985621,3000.862629520873,212.87510341244715,399.8016179441598,1043.4610541949442,31591.907238897777,9965.10502906272,755.7588768350615,2.268820394858874e-06,0.0001666021891574919,0.07352578271319787,0.03494369881548012
2,-691.7657069441284,786604.1725204135,749330.6460070524,123128.26024027297,65524.9779394182,48000.00000116547,16969.941834179695,1425.5312148934308,3925.5097706352963,3013.595572007632,482.2459242395604,544.9948350744696,1171.3300871108179,37954.33331090306,5717.578016428681,606.0132768986596,2.3226373983310513e-06,0.00026348720746995037,0.069339303872165,0.03745006575183395
3,-549.8480153577177,822573.1300125517,731732.3259037557,118502.6412879783,69353.43095434934,48000.0000004101,16505.36771540598,3907.8995498704976,3706.669115136636,2936.548341458371,135.92208464024029,630.9293963673463,1611.8393742847195,35826.12183552429,7179.6348891211655,667.6929356503521,2.543752106063296e-06,0.000230523096083369,0.07067628206502061,0.03635374189973637
4,-686.7028093100678,782221.5335050446,718776.4808513746,118470.75593294438,62784.96920069481,48000.00000036585,16743.808449957585,2613.836598332755,3585.9861461009277,3006.3259950654506,134.73824147488597,330.09475178129014,900.1292946261282,39628.46665806513,5087.904773767403,585.262579117653,2.398253629861251e-06,0.00031550675321540813,0.06717815448032115,0.05370199929561825
5,-596.0291356321892,770345.9558236137,723468.2963207914,121235.18292281953,72099.66362376677,48000.00000009871,17270.579118923273,2482.974042253225,3291.5134726839287,2647.124868254994,223.53588904637957,1048.9406316808224,1388.3622165822028,35490.091740541335,6249.217031642858,688.8110681107693,5.054554232073852e-06,0.0002437633915699664,0.08229691914298351,0.04459640944739127
6,-546.5632888232556,753560.3880497912,671086.9366781441,118787.40015238221,69742.96431178358,48000.00000008328,17679.002350380186,2990.67366125825,3827.1361613138465,2768.637878849433,141.4223036244998,728.5101432132644,1321.9647394383258,33750.91947776666,5805.2195013787705,697.8654372732472,1.554546994761168e-06,0.0002228811748693707,0.08910705104107336,0.04627550760010621
7,-585.3440467641301,736630.8850542721,670202.8805465663,120989.65032567896,60087.71958151801,51212.18048345779,17451.5999233874,2996.166081686438,3526.1970036671137,3202.9980512165666,250.76167005547137,215.33752303187674,900.325739364649,30809.103174677333,10385.896183986704,812.7137196180272,2.586196904928513e-06,0.0001724510065192617,0.0560190846163367,0.04049313534637168
8,-733.2267700420946,769017.4032130429,714428.0636956368,117647.00926020523,66346.6584484098,52768.0966987729,17090.109002772577,1926.709315837153,4157.546501478521,2893.246450413205,96.13449767795291,445.26603933643435,1350.5023408460186,30191.86245471399,11159.933230259228,902.9826024976846,1.1964641950364732e-06,0.00015293838575166754,0.09445443610468343,0.031469057593064585
9,-548.8582789745785,786088.3702579696,714287.0506998372,124868.71015980585,76567.89530288958,48000.00000049963,17063.42166029179,3269.276950047555,3628.2589453499218,2678.0971883363572,528.2094741353981,1060.284644010718,1915.2796714027254,33074.759900625955,8201.382785663372,750.0417987284305,3.866357975503072e-06,0.00018802357530566522,0.0777379469550861,0.036544983197909275
10,-765.6847814052073,811583.0559272823,749444.271315486,118293.8557695068,61455.243708767426,48000.00000037387,16755.49107899362,2382.2097547943913,3782.8701391566897,2847.0949203497735,140.87686332684106,273.69852191166814,881.1019141723015,32490.2910674457,8192.452906570075,745.1010023170941,1.8139815277977106e-06,0.00019269348726222584,0.08892245279417896,0.03423973307878694
