sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
0,-572.2209162497172,820163.0375524791,628449.7057106626,124060.50685073278,63396.13529107312,72619.2079902574,628449.7057096858,16933.895949267666,3721.5341827861384,3165.8481111904184,3281.673124564032,473.03704166231046,339.0189355476967,1105.892290307608,33021.15024790472,12161.85691550559,1084.9148276591502,5.704775108565041e-06,0.00012309328073566872,0.5642773624141941,0.02736887522234415
1,-512.8189586868398,789191.2980875967,733881.9875905829,127567.63080496398,71289.55693420095,48000.0000000056,605477.2789821824,16843.667644459372,2460.0642945458667,2984.3637743322392,3088.579374445357,531.3714675635875,811.1225682609252,1522.1192647826551,32563.30006440777,9365.014022018164,740.9227010123209,7.372554842695548e-06,0.00017613754894725038,0.3552694173279522,0.03389104484368059
2,-674.8806197281956,797256.0072479139,763417.2052854446,128760.4996301414,68583.39293072192,49408.30233653488,545192.9143581644,16853.8876441728,1333.6885943823993,3432.0372155064606,3225.3483277984874,806.1940221673531,708.0987790159134,1354.6071042241208,35867.14203424833,7028.270443841495,681.9351858081458,5.550359097400214e-06,0.0002204212999740225,0.2445914111343173,0.02898412650730134
3,-532.6064693442482,829792.9175150075,783692.7490812704,118583.84171542904,64782.17798262046,48000.000000609114,651528.0451538287,16464.721865195213,1917.8300130471387,3161.6206792229814,3287.5734385543883,137.10163463924448,417.1124661790287,1279.4434010617615,34839.68399804744,7968.649859755778,697.8453495117208,6.547966392404222e-06,0.00021121137702876487,0.3925966594566103,0.031226340568673662
4,-679.9141569105255,798787.5216158706,737320.880036118,120712.04242967829,63335.55121891336,48000.00000072814,440414.5950748211,16505.521754111647,2784.6082431970663,3249.5451448177273,3152.9662156644354,227.78083755788919,351.22024334013156,922.5586942920163,38874.10318157672,5526.435642597094,610.9288038813419,4.790818802619341e-06,0.000295919370756004,0.1511966143345395,0.046831366441011164
5,-590.2607460161163,797773.2516098219,724919.6736598159,124201.0045920409,73362.15107785731,48198.809696205746,506571.7310155279,16924.343170800264,5501.284793965383,2755.228528780981,2822.753077937281,324.4856606526092,1114.4994223997292,1462.8377366322668,36279.159964493985,6331.05076776792,694.6765487868815,9.299834163651919e-06,0.00024184962712736066,0.23609300205629163,0.04188906514901806
6,-525.3519205017633,805123.0370289795,701066.3240119148,130279.14030995041,82228.0155760929,48129.35088490566,482750.3119799852,16961.693167014186,4956.743582628925,3093.7830447309857,2807.5850961474234,578.4733714218564,1378.1162794806157,2059.4381379688048,34928.19876689606,6158.886491790612,718.3601999723204,7.078079690540786e-06,0.00021249550941227784,0.21785483353125018,0.04283664168177463
7,-586.6405528813294,759631.3457159022,738561.8295095719,122269.46021971351,60661.02626960816,72946.03598074014,333857.56359995843,17089.344720285637,1056.163356317757,3412.4439131474505,3258.2879186109085,304.6023164784704,240.80998963616827,939.84731393585,32764.007781870445,11657.457319605495,1101.029156718943,4.246072135653636e-06,0.00014442256251432948,0.08093944816674079,0.036181761295392
8,-719.1607608297518,789462.7847126755,665881.987562701,119591.35871432812,61264.04230589303,48216.631932397584,418129.5536550495,16830.24490241597,4455.91645874939,3771.657429147389,3296.8583254982846,174.69623853006934,234.18603084661532,1019.5361395166253,32115.66863704473,8520.86867863749,763.0018349429157,2.772430067184807e-06,0.00019692219361034925,0.1616281707417289,0.03526999532429782
9,-544.8161567475727,800255.5547816575,756517.879531264,125572.07257629037,71922.2898113187,48000.000000560765,401832.3415681661,16888.993205858507,2212.8782481328153,3410.588569698306,3002.16683373199,559.1103253015178,818.1633051315174,1638.2985578725704,35177.97076450927,6869.401627479084,697.669754649178,5.761393571770805e-06,0.0002199473839399313,0.13179364715675165,0.03906990971360796
10,-741.6630479111078,848385.8326590601,812863.3134343058,121527.38587398382,60578.63647226125,48000.00000071714,539020.3778081884,16269.61181970785,1749.525004112514,3101.772237289534,3154.5363103823174,285.0509806876981,232.58420108059073,827.8663245549652,34102.02585235049,7663.796477506963,725.49981045217,6.379265250143162e-06,0.00020555480420380112,0.255633406362914,0.03314723685347887
11,-538.8241575235579,792625.8613523036,713782.6925288452,120262.77523588936,59487.74692741644,53904.1107943089,329125.2824215823,16749.325942316304,3304.297276465552,3467.022030135714,3033.133083268234,261.2766618590495,204.49647956622246,761.3238671826712,34459.64558801992,7194.034539858393,789.0374019003818,3.800419488538495e-06,0.00019190970139881097,0.11704932245125907,0.03362995319904869
12,-591.1558728446398,789232.5982205307,734610.8826746073,119290.86536264882,58395.95919936728,48000.000000067594,279405.5936149631,17425.025327046664,2065.7751314820916,3729.6904307603468,3031.455397562878,172.2979622227826,140.15676999555072,758.2384261460408,37562.37222186644,5154.126873835155,579.2916449524255,2.7141171524491934e-06,0.0002896403064962765,0.09233226467748543,0.06061605314870899
13,-638.3439576507268,821631.1582187491,717542.5351330811,121538.8203832828,67768.65638585678,51276.765127463696,522189.8214801559,16667.217401049475,4304.966114358039,3229.8918041857055,3028.428680523702,296.422216475156,762.762984972099,1406.4043807683038,32828.65510253519,10907.071197431216,820.4037994032121,7.384501513487128e-06,0.0001703335648914764,0.29788831156752227,0.03757201893010911
14,-487.64505675395196,812802.3733059274,725581.4871582363,120160.56033515879,58394.65669925876,49862.368895606654,344341.29594894603,16561.851642963273,3932.637714450695,3385.048488973572,2967.911294367398,191.54338266844215,133.37878896181965,659.570870184202,32576.09602202292,8811.777159622294,762.1964978501741,4.701329802319396e-06,0.0001594481419393054,0.12179012956269557,0.032465648695571885
15,-500.94820684382637,817411.6966325027,703724.8165617243,119822.83694325764,60027.32494870623,50734.456357798816,613261.0432313854,16551.502787402336,3018.0195445146437,3109.789235476718,3370.538234645342,207.18991071097327,166.3815509501725,779.6687159711923,32859.234961463364,10996.60852605983,774.6416506566098,5.224659815716274e-06,0.00018129080760509545,0.4682125030976007,0.017906389558294246
16,-682.2643365483311,788945.7467833017,712177.0052734013,117988.16992147254,62984.411687806285,48000.000028946466,595943.198053099,17408.458203685554,2677.716544299327,3013.0213269805154,3217.7691117492714,96.68926578772597,392.4933522731914,968.7486773090966,30757.803008131054,9129.629149861503,810.0265571292059,6.479860189330011e-06,0.00015118492615932925,0.39235055306106287,0.0312660745293317
17,-559.0091750164974,824435.8733348127,780671.1822862573,125364.7278644418,68439.77445707368,48000.0000003152,667754.9754633612,16450.114333633057,1523.8849903944274,2837.474040728569,3308.303218042547,389.892239659299,661.9851602114559,1170.2913022304501,31802.448792297484,9967.977775678219,781.4929277669929,6.558553331462667e-06,0.0001490175697259988,0.444829124375025,0.03183804783014097
18,-448.02879747145727,813288.0250957794,715298.8821836829,127650.83415733761,75573.9864443991,55590.920803722416,644922.8438807287,16580.57819536257,3184.9373325293736,2694.152317603322,2948.188168566308,577.4388867969648,1015.2033319950847,1734.1540847408655,34437.48111564793,8775.816832404029,778.8240185549253,8.957791283466147e-06,0.0001937007371323794,0.6125682106574271,0.0313756624591183
19,-618.2813510276962,761038.8958751494,736560.3863702436,120567.1369129214,61042.07874641185,48000.00000006597,426838.3981595147,17498.993797501047,1632.0520482084746,3019.394952394202,2964.730923149136,203.78809661924666,254.46407863742124,1038.6458796661707,38795.97630530728,5411.993310592858,557.0050786833472,7.174480712334536e-06,0.0003004101975830718,0.14661493924000643,0.0529277597730872
20,-567.0173005498966,808150.2892600675,798640.0219423047,134170.33931487435,78122.37175513177,48000.000000374544,436520.43188285606,16922.86082802749,573.7370548926576,2990.4813204954457,2870.8404830585064,691.4056057129814,1678.7162421493276,1978.8618567651083,38923.007006611,5014.975010574764,595.5303742685543,6.992350002759871e-06,0.00029132613121252577,0.1587926842209298,0.05537480830638396
21,-465.28547380577845,817458.6911758952,733281.0940703903,119220.02230593812,62081.93506544926,49796.573375559856,312773.8367863766,16463.29573956241,4382.244589886565,3175.491896133607,2807.7439175880722,158.89531826590095,325.8424905803714,894.1438420888627,34406.41403871065,7878.0805137825855,735.2841797172754,5.205745880038451e-06,0.00019172686912066232,0.11539783352520591,0.030307506575489293
22,-564.9425311076169,828324.4234242095,807456.4188613853,117497.61095287921,60717.422125450474,48253.818641390026,487922.50451130286,16365.346637581772,1386.893717328411,2929.202216444384,2977.869329731533,85.92037216002362,234.14640613739482,796.8285821489786,37640.385030208105,5923.449805458241,653.3460768810492,8.06513688610524e-06,0.00026016907359396917,0.23643776878018527,0.04756211775081108
23,-661.209416836343,836170.5150921524,776558.2507599827,117985.61728279019,61478.653500483575,48000.00000016744,544085.9890051328,16224.013131094207,2532.724190049687,3081.365741301311,3264.8324043114076,113.7286206239851,343.36895843964663,988.781114944339,32601.403136556208,9697.237901104825,778.7655011587694,6.04715868093009e-06,0.00016216965948179154,0.25539426849333363,0.03979529982214025
24,-484.4261077497057,823150.6655476685,798735.5644617965,121173.5748304848,69387.43053446084,50063.383431435526,319295.74401352776,16634.724901439884,1008.5436950742513,3786.081796455235,2996.436256325284,288.12395099251495,729.4766482191162,1645.3056345762895,37255.77968402871,6920.040187652862,683.5489183744937,3.5782030542481613e-06,0.00024688977253442123,0.10923736345669406,0.04632566265755905
25,-619.7309396582746,805503.9450337712,771357.7799152083,122657.7765024662,65241.07561430747,50240.509260701496,480666.86934965797,16677.02919020009,1715.775153064072,2956.8259537591525,3007.5898749901044,334.26663684375194,458.65623843669044,1035.550684073047,31370.09199617774,10248.368604619094,828.4450138646943,6.714471499690159e-06,0.00016679501433817428,0.23826889142349383,0.033533711458913186
26,-840.1645758463249,794053.6577966756,695151.4807751637,119011.31803334622,60882.861932828324,48000.00000122174,392616.8213966723,17313.2511856393,3711.2122959175185,3514.587473375218,3159.524518627254,182.12996672274934,241.24929573406706,812.662681905968,34133.13145551535,6256.0501922517215,670.0199148594756,3.733450202622581e-06,0.00023743884562345694,0.1654859469097926,0.051462630515050484
27,-574.599204553917,828911.6032828422,748385.1085468162,127523.34570602908,74112.21136128917,48000.000000023,385976.9767236141,16414.705459569403,4324.691385942058,3375.5442313426374,3025.2887970182987,541.4959307377468,934.4072531212076,1568.9825919569485,36101.03868164869,5767.785741308182,633.9792830539856,5.476073480797224e-06,0.00025041139226758893,0.11158498472747004,0.05371381009510291
28,-732.1951833185401,780409.6050826524,705292.2957413167,122989.69956486838,64892.58762932712,57651.85878223553,403475.35650874797,16797.18012403658,5611.6093832099195,2953.113503504667,3008.9240492633166,318.63328026133144,485.9853941624977,1274.9818979266677,37666.224639111046,6002.704746929518,766.6860536046854,7.205586919985361e-06,0.00022697214922556372,0.09521350738774349,0.030332096897593384
29,-494.7938689139519,808177.7620083037,732577.2952108518,140961.88794173216,87284.14196006978,48000.00000131733,693026.8141191531,16507.33480374933,1692.2022205459004,2909.614951230037,2962.3693805835674,975.2145373236481,1492.4130601952716,2522.714894276469,35364.949959952675,7464.170351917612,725.211006575153,7.968925309181213e-06,0.0001955909225294417,0.670965111944183,0.023585331194599983
30,-465.46631069638465,802010.7677455699,777211.9124994179,123320.90446350738,62188.97911049561,48000.00000031887,473074.50412161025,16582.35088756263,1001.3851583353287,3427.818118884027,3104.1201700049546,376.78424515060277,361.7246769978514,1036.6829279253207,37003.785311909276,5763.047685763576,639.662843126413,5.720296060844062e-06,0.0002703530663078249,0.21147145572054665,0.05866326621407679
