sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
0,-552.817548007082,772232.0957938974,712876.8787252015,116188.6812264533,59458.109738450636,49096.02768948583,17578.9899038386,1975.4730752911041,3916.3772165066334,2449.58971422672,75.45420414739591,158.56952896628664,835.6719375926559,27453.1840312504,29493.32716272505,976.7354822849494,9.624550541607185e-07,5.334710209781247e-05,0.1168525854043983,0.012156060013047455,0.022099126309101057
1,-473.5382418177952,763570.0456564124,703277.7141639821,120087.41638532505,59672.939515151076,48000.00000033584,17170.70060861729,2377.856678777777,3674.578665474084,2727.271511302155,268.38708366355996,196.63846385626783,797.2711802916147,28559.590660126483,20024.081840098082,921.9158027759577,2.1014094083159244e-06,8.792822724999954e-05,0.08020648019770728,0.010360944242997943,0.025095868742694056
2,-560.9116083393301,759112.9014237219,649844.0198026864,126686.33877092238,60625.43937362114,48000.000000068445,17428.908786513122,3825.128944338807,3929.6657617011942,2644.4909283138963,1261.5467850275531,247.60156420296119,839.2443015748053,29783.833018653237,13485.11446671007,852.251203190101,5.007359268907272e-07,0.0001221426055392503,0.07712753618117542,0.015236932787257303,0.01913705463231232
3,-468.57614457988814,813429.9410914971,761679.8867871593,117932.20974363244,63627.14392565504,50126.2498673728,16665.29884655971,2306.4543951351466,3670.6052401911325,2636.5636043539116,141.9457319254535,337.3701187085878,1174.5298995109115,30540.532497997698,16064.063134864089,916.4083399722322,2.9461272358692094e-06,0.00011565658747377521,0.07548899042009126,0.011547844609470585,0.02228980583578231
4,-571.119594131769,743731.0829796657,674272.7637470018,119843.61727012231,61209.25731566845,48600.990924616635,17340.206796496575,2792.7098845497794,3528.514055484657,2472.8494916489403,269.65615395025003,233.96155307846453,772.5899923723545,29571.054738794763,12756.750909715816,871.5458901072999,2.0126796398133026e-06,0.00014646638701774225,0.08442438871259782,0.015440908075709796,0.02640608011396304
5,-482.5836822319929,776587.5538466622,711691.0838789328,119543.78013876225,64889.33450342991,50406.716533327395,17193.554332143838,3421.2771936259674,3247.060709594108,2343.526676616506,204.28406804098424,521.9590593561564,962.1678499937502,30071.213708827716,14233.638146362337,986.4620085086431,5.059151414632087e-06,0.00011208342807644302,0.09066137337223126,0.014436276519094696,0.02567230765701715
6,-403.3931457152199,761760.742133104,627657.2838552315,119975.86951703884,62765.23410302788,52099.726772583665,17578.986802620697,4707.744058177662,3769.5927102571127,2466.237676110464,264.59495143370856,328.2772485430534,898.3795533602001,28713.402202509307,13190.341298458634,1043.5351795081342,8.008698468803604e-07,8.938209142449615e-05,0.09289466740311689,0.015535002847478456,0.02713867405564545
7,-529.3776113062062,749531.3770257749,714255.9163480981,122714.9521214993,59783.44074680254,48403.09909153374,17284.08456281289,1772.0509007529959,3410.251197528719,2843.403171689372,386.1055591254225,188.97667448033968,858.3709943493797,28859.443257886713,17152.15644524594,901.5334486890208,3.885392610683442e-06,0.00011621736236502282,0.05994802484823913,0.009705883856055027,0.032486330165265136
8,-624.5555231608704,790433.1447885276,661083.656780447,117687.8972276481,59677.640840915075,57394.797179679175,16809.854320057908,4651.969963174184,3974.5234717775825,2639.482522409925,125.10138546252016,159.03068607297385,880.6313006629008,27970.733487369613,24622.595927466224,1222.4777610369879,1.0892935623910516e-06,7.347381620912044e-05,0.09292847392540991,0.013183734678971737,0.022263949705122025
9,-464.64485021450275,793135.2928590948,719561.3386289987,120666.32518232746,62679.09370687751,48000.00000026899,16980.709752635306,3125.8028407940938,3734.4157919377235,2605.7736588719877,410.44495232571234,324.8390351139785,1004.1705000720366,30166.09620225674,14395.008696656416,912.8888505989277,3.1420505525184864e-06,0.00010944115914069284,0.07872630178953968,0.012035604434832634,0.02627927631252411
