sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
0,-486.6963845520853,793951.3705891815,707849.9118213871,125573.89491180272,58408.17917768048,52020.73770656593,645067.8698357457,17396.44632928582,1193.746343301216,3237.4711163581596,3056.7622195369263,721.4828397184273,120.5535640992643,764.5721540919276,29139.12961768961,17453.694440631876,936.8531896607102,6.212447968912124e-06,9.164678394389423e-05,0.6583849304242206,0.01100125582638202,0.02355209098278208
1,-449.3657253505636,801486.1475138413,765649.4881424465,125318.83246949046,60501.68128193499,48000.00000020845,590898.5145300255,16677.303072312465,1627.0481257084996,3054.8969204296714,3006.474784541538,532.3788972120145,234.88028786391692,847.684517809916,30421.70533910505,15470.738610217682,869.0788877758401,6.883092738193429e-06,0.00011364988809647404,0.3113053392978945,0.009897544004507727,0.026070992565238003
2,-549.9638077045538,774993.5754829587,738851.8467565121,129350.86824065154,60091.742441421215,48031.337868025206,393755.4850337566,17221.7714238288,1393.7679708092344,3682.581021330548,2872.5891997941676,1392.3794787107156,221.26580844924695,808.8167063851746,30511.122045230404,12797.633229672298,841.3259619990118,3.5579064636317516e-06,0.0001291991455615348,0.13478029549886308,0.014318934685854899,0.018482253498895478
3,-445.4151976859874,838589.6750960441,778269.8425679854,117956.05567113221,60678.51949864216,53368.929912855376,528554.5793417528,16352.641861100758,3690.620745893117,3058.0493387513106,2875.3294423515626,139.49291288684452,214.238625560093,965.3184442303723,31041.292939405583,17025.539518646146,984.4409824271532,6.958630565565023e-06,0.0001103956696748912,0.21350253318043008,0.01155745635128023,0.020572590591956274
4,-556.8584453173455,774423.5577327891,731705.6947290921,123145.89324959717,59569.7789717291,58460.064126512756,402603.00582096586,16902.54988084993,1930.6595345848264,3241.3094185620907,2729.0084490193562,459.87702834215776,167.6049788218405,690.3015073858455,30833.86382462113,13484.296864509806,1036.5541368398399,4.6507721092046634e-06,0.0001360225116830823,0.15080370742612856,0.01514449264542477,0.024240306070185152
5,-472.4944420059574,773167.2791985931,748038.5493861439,118932.80879935672,60147.42238306508,54980.474965979934,387175.83462248725,17299.733073614374,1719.9393656273025,2930.265699985806,2571.6818730817013,174.36047449391097,257.6200960361997,718.0438163158724,31244.01337048969,11457.125590869753,991.4046007960329,7.783918636824172e-06,0.00013730003651233336,0.1561110325532353,0.014656395966312387,0.026788403721916078
6,-383.80498418340255,769888.5736360938,648570.1487824939,121644.77826346198,59980.82854987076,48000.00000123461,432254.1525440885,17511.25012477246,4897.433325090918,3274.0827158106267,2737.9879582821964,346.5940968208086,202.8096136682148,747.1152059595543,28352.261441369203,14584.530686328075,1001.9496579994083,4.831201974202121e-06,7.569773730027127e-05,0.181084146295544,0.015168455937310327,0.025713203589445288
7,-527.1393746052819,749645.4188187191,716566.0511839323,122480.59875852571,57875.47306633189,60132.3469974317,282130.7288940828,17290.49221172906,1616.222422659859,3429.5831587795165,2934.196478338564,377.1195300276819,109.35461932431916,739.5648299110983,29567.230686169412,15730.493130944147,1066.9707734730898,3.8144132569230144e-06,0.0001187299270424685,0.07002973266297453,0.009792392691551093,0.03204084544731455
8,-606.0927564871554,783635.4182067994,731893.0205994719,119919.8844351122,58968.364779280746,50085.341585287875,413112.36109534494,16973.178968655007,2267.464010514716,3517.652486803445,2843.41610127493,231.4216568778091,132.95491678075783,827.4669919656598,28086.70105140466,20569.095469735774,1037.507698486846,5.142672127875652e-06,8.720116882996693e-05,0.17030886238973944,0.012968400472188333,0.02274529687319453
9,-459.3256993486302,808719.8088284497,749469.23200378,121374.04770819,60972.87874109077,48000.000001215005,326747.30163331196,16764.7407685562,2772.8413630554637,3548.882364570378,2751.2668229476726,457.4627285293011,246.5120465300691,901.943990916741,30856.09980660236,13593.241501290473,898.8378197538187,4.644243027837132e-06,0.00011686407817302022,0.10463805132955985,0.011873025918633175,0.026336783949911707
