sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
0,-684.2836984335074,775926.7994754317,636420.6089185065,139025.3903927594,63826.07920873684,56880.54935795278,54452.23817320307,30125.689176320608,17011.356976503455,4828.921255493132,3585.9853424176795,2995.6916472458506,349.84033784181474,1118.799157127546,2046.9596364461725,30816.870802201815,19040.732433035282,191.71512139736913,1313.7222959686035,7959.411256108835,2491.366086709678,9.419279170585377e-07,7.305387491020707e-05,0.026495640186779523,0.04284926326565176,0.012661447607734397,0.021347349416476917,0.6132498834428357
1,-640.5166434068844,805222.7546002486,707879.7614759966,129099.68622709141,61999.516167172565,59826.17784871871,57582.12884657503,31139.535511197962,16090.701198313023,5042.3429168973025,3165.7044057736643,2988.3407168573494,317.0241982243486,942.4239536047172,743.1211289292243,32155.590742894223,18623.85686984142,171.91970402477367,1421.2501027323137,6878.013151957312,11142.391696051667,5.085706564359442e-06,7.883364716669199e-05,0.02134503358687499,0.029230994624436946,0.01020227761304153,0.020374252870449992,0.5433625332038005
2,-790.7893086329268,782700.1249308926,668344.176250175,132950.8456793392,62323.917777916264,57179.42580885658,53888.48018148831,29707.222962088763,16766.760347812495,4392.148192006799,3665.030065590567,2814.364379387494,334.0816051912006,968.1485968493377,1626.256622807392,30966.496503046474,17917.25884813311,235.21969713277892,1400.080227364634,7027.880462767292,99999.61319550854,2.181763528634712e-06,8.092170701287215e-05,0.012458340163393792,0.05067521182055302,0.014950987114383547,0.012599400529705658,0.5150635235790192
3,-632.4610657257829,806429.945625035,730527.9173122746,119090.33116975416,60830.72608401365,56948.1621639418,53414.11514136597,21203.27513720743,16386.875015692858,4427.907450324946,3197.9936990504734,2859.159154603678,225.19326227305945,967.6478097365192,192.48696453665525,31572.002089805403,18273.053494652042,236.06186294315935,1413.7258920261545,5224.7707534280735,99999.99999431976,5.408266998197391e-06,8.382911591217284e-05,0.019910209627572464,0.035562423044208785,0.011242831092133367,0.0180006884329202,0.3995542632366283
4,-779.4955673236778,811477.4655809058,707201.0101734931,129623.9281700804,60777.8416520848,57831.57030158596,55988.90738214328,32705.330723174848,15953.561755919149,4124.558144446827,3490.8572376241173,2889.503365134373,220.65211181867662,775.8329987253577,878.7083667300706,31495.703740274912,19867.753670548485,149.29568940236555,1515.3633098914443,6832.064982005007,5088.280909232152,2.221281328536971e-06,7.92292941256136e-05,0.014881853399220784,0.047246026018684606,0.01478924515128042,0.017784539438834786,0.6752577382993977
5,-658.9999253218507,761301.436749538,692543.4514127353,119781.46691948072,62655.38781617439,56467.75014912119,53152.19708332574,26995.16249284225,17025.87652583379,4901.112938818231,2879.5688142003683,2527.739680573618,404.88384386646334,831.4106106392203,216.69988150447597,29764.430026484966,20607.932556612013,237.0805692219265,1689.9008288271116,6469.907844593125,1350.2470024219099,7.428306808496032e-06,5.953397550838595e-05,0.01730165541364081,0.049835118221453284,0.01423649798939496,0.017471604368033074,0.4922006659380597
6,-668.8654676002735,740793.2837694758,622681.3699015136,130019.16608921341,63692.01496440337,58606.75214334544,55940.08223231575,29468.3133680665,17519.44872315996,4573.012272678045,3403.9379412996072,2821.3687285375568,374.9384753046182,942.9021985031293,827.6882516119251,28004.58079991589,20373.69730997245,227.37564657309704,1691.8505843036583,5762.998693840668,4566.836947225354,2.2599379549632255e-06,4.406359714418207e-05,0.01753315915294679,0.042895262580622685,0.014787851686639453,0.024030308778810253,0.5662639613353433
7,-707.4101021661124,711515.4175716043,643036.9327994172,131409.31485836944,61758.36934338765,56676.46499247522,55551.99384677631,30079.380098726797,17516.687560675462,3232.53982933721,3324.9905383609034,3030.375579664211,287.489500879137,952.6625419380738,905.98796851012,26996.73086645232,28308.61927628052,92.19033954205436,1609.4166972505684,8618.531600574071,1163.3765272923877,3.0581384243223956e-06,5.178482985127075e-05,0.010242504453991993,0.036928596602562244,0.010544042895512043,0.02333726843975368,0.6529417089007126
8,-802.1304315946934,798006.2389996776,688060.2740419507,120118.75059574051,59251.27097632809,56752.83732765386,54190.34668614529,18391.119358853215,16264.58617359189,4765.430422667651,3572.518636952346,2774.5965298722695,149.24993942972867,824.916274787428,245.68823042105436,30716.373009352126,17313.636150827646,188.0623221740792,1527.3630679010375,5058.1433728937345,99590.60992558597,3.7433288969539925e-06,8.020425593413874e-05,0.018375693006712594,0.05808639145866463,0.014064209011429659,0.01671432434426291,0.41904325315455415
9,-636.789323507135,797125.9464379803,705982.1899916957,123676.64090194152,61288.50411046292,57710.998594838115,54530.26631088407,32366.45019782146,16518.993518593197,4432.15320202655,3408.492510018103,2847.8965396257645,263.59113114445125,883.0101614518861,627.574451633731,29446.881786696296,26499.21897575077,256.87621963170534,1659.062571643952,9491.641323353046,1120.6014482526784,4.504365319391465e-06,4.796958416324544e-05,0.014471864946590435,0.045498118639614275,0.01172244172043784,0.02085679098443998,0.6514753362848505
