sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
0,-762.9381206114313,668625.550662688,561448.1247409406,132426.97607244478,58892.47698472243,55390.66331294295,51370.95836880702,26755.942421155643,14900.054187599415,3547.4006038390808,3242.0291489117203,2626.4407213704435,142.08200040384105,815.9106188854332,2354.487729694817,25231.131690592923,22111.266217123157,301.25710374499903,1348.917436716709,6192.635911614345,1610.1093730707876,1.4414815046177383e-08,5.8735582657468415e-05,0.01742578463154524,0.04929178270144425,0.018926178995115277,0.018883502089790293,0.5036302832757157
1,-663.0587555728534,684963.6602856151,587500.0728175015,117677.89252680044,59209.74658407345,57137.60592932613,54123.204726656724,23946.370794768587,14259.743433877105,5508.866135955758,2627.207916388274,2354.4477830974342,174.948147191196,780.5222924913696,162.72553884701017,26174.94113194124,20379.24147503091,215.9934271440636,1454.8383780176705,5482.679612898927,3623.325492426866,6.935139384037266e-06,6.884130279486043e-05,0.013001188548621683,0.04114054447604172,0.017277226130047865,0.017161446539111343,0.3845159114870135
2,-894.8200003723302,697814.7582931458,590158.2038172743,117145.51884611003,59842.66423732681,54688.93983855286,51559.144982795944,19948.221425385196,14365.786238688468,5147.896126830851,2877.9945728940397,2165.844024405918,202.22706046893512,823.8977573628404,235.0340380132295,26169.36434592787,19688.97762629133,216.9187069517719,1427.3617334754158,5155.011209662948,11132.981185165398,5.677356778379306e-06,7.289122694092027e-05,0.005850630838021949,0.06703584270743765,0.021736717754465576,0.010092601135135978,0.3457404797188743
3,-746.9893661175203,699111.9424946554,624115.3775543292,116127.64828301358,60335.27308677424,55443.742200850145,52306.83266276896,17554.44675377206,14197.640727683605,5576.853040480455,2585.970621413024,2406.9461734294214,197.93721824844712,943.4323803040859,61.47064531953073,26598.35473373265,20140.337118199517,212.48239242882738,1430.5137086104444,4555.35004062705,99999.9992390727,8.15186872821527e-06,7.632812978657623e-05,0.017520124889110693,0.01841173962360309,0.017436803236244743,0.01696142983044592,0.35604292982345154
4,-868.3744100374613,687575.2602722641,592061.9712832051,115168.3275971013,60602.049038837715,58454.23473103891,56724.26372971379,32306.916390550476,14233.820131515055,5257.876255492926,2600.946266801046,2112.357865165806,205.14503941122132,774.0991844537159,10.0003233112654,25675.443584306842,20987.123430266372,145.5364238178251,1527.984861247208,5963.938268268692,8675.761502206758,6.422552740278301e-06,7.541513804659901e-05,0.007388126838134476,0.06150235276955464,0.02184777705872896,0.01863304153208389,0.6796470751627963
5,-739.8300800685679,656365.8275605424,586288.9521365262,116326.56898747932,61696.75923764807,55701.07168470873,51783.865873312636,21976.288203883734,14853.061672999715,5456.1069629558015,2423.4603794582354,2137.3191719990123,336.8874443284117,795.5439256971538,70.95592173097455,24918.187128917994,21834.131345579524,278.1398537237517,1694.5915633850216,5223.920995743636,1387.706156563999,9.515774826082421e-06,5.4625237521186265e-05,0.013042579138395837,0.04318601070470804,0.02129743487721109,0.015974641747759623,0.4086184555527244
6,-768.3297391976706,670136.1969720358,532030.7144053696,118106.15572512883,59589.860826763055,57230.397215268385,54935.11882449243,28278.14951793054,14912.464029048602,5375.1388666036855,2901.84662778028,2302.535058207516,180.06944845506302,729.3800655397671,196.6850875367872,24038.385819406973,21540.00116582561,197.06949132641532,1698.8144016456417,5160.213122256183,6232.400695871435,2.796815333572015e-06,3.919022896359142e-05,0.008668209592079881,0.06076281979138727,0.021110692038777256,0.02246831802841249,0.5418020968710435
7,-731.0435911436607,650869.4566476154,574753.7325919943,118736.72482216178,58029.732228373425,56152.658280997566,52905.234907591584,30064.729731239448,14711.533614136235,4706.358265230389,2618.4030600697024,2447.717878426284,115.61137933316061,723.6778999401221,221.5509551681747,23411.26063538077,37531.73055361095,259.6148589709417,1663.4566935905361,8175.021637252745,1055.0944918037833,6.712984263512287e-06,3.88126043538537e-05,0.007408841925418246,0.03496367603970672,0.016658109307857234,0.021448450096310356,0.6398114220090149
8,-891.0454968168355,699313.2063721772,592880.7082295102,117408.22891656247,57655.69138484703,56588.91752727844,54858.3228290847,27488.79655311554,14036.315960241804,5093.307985302735,2970.670600263653,2433.522065170207,87.53886812454586,731.1040804295546,134.6271486333263,25616.1828662539,20433.104067392054,142.3109056048393,1558.723256301907,6389.746508945092,99991.53548817516,5.331051484263624e-06,6.548510892631147e-05,0.013783780834018544,0.04664823435100399,0.019460865816140666,0.017906231232360292,0.5712026172575239
9,-721.6925782051384,699277.4574215835,601083.5784236356,116007.8014281746,60057.41314528016,55003.01628063153,51423.989818169764,31989.487611971417,14298.50837603592,5453.460692088839,2790.9502611634225,2277.08847824571,199.30635788555108,815.1401473237613,92.18602806250287,24599.999059945018,33139.23791105195,280.0856722174231,1717.610834912818,8434.823186661753,876.6505687706258,6.692249850243182e-06,3.247987650788469e-05,0.008265522302231404,0.0528274402548183,0.018662789367272718,0.018799119423774175,0.6126323313425371
