sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
0,-761.8965927536892,930280.9771466326,853747.7693145442,144215.46361351383,69175.90938499583,56547.03686777744,55141.425108811156,30604.657131112723,19666.573327812086,3252.7199831386633,3928.2122177350334,3535.260729185132,600.7437651851379,1474.1452572037172,1707.1299361718814,38483.23157710157,18828.113112338833,110.73402180588685,1332.1880981623638,9279.1305492823,2232.6185826319443,3.4669899156435997e-06,7.478386003737341e-05,0.05004544501162248,0.03108565889478979,0.0065903600709856834,0.023044320248162307,0.6226702202829244
1,-768.2315979668674,888348.9947889994,844974.8359638837,144203.1177019915,83196.58525916064,56777.59899311158,55529.9500833368,28854.48136594735,19764.83673172099,3307.957831452647,3335.429251234735,3240.8393481722883,1458.830093691646,2214.1186201688147,1190.1292068080681,37444.8868982778,18734.35544452297,88.90363734266685,1460.0289892285346,7285.203224239981,2008.5073064503495,6.458202751357995e-06,7.405536315574591e-05,0.040309963252379566,0.020361814784316343,0.0037412522933567465,0.020138383009754884,0.4498977979883331
2,-840.3220656336683,908790.4318357942,840670.919650091,138805.1615728162,66447.48485249268,58186.488807231566,56802.407664664024,33592.60623128713,19841.465192783406,3303.1474617034437,3959.6503719942716,3336.5815206556326,562.6665999622024,1214.958208563887,1494.6073322869415,37889.48545547101,17199.050607955673,107.32878968284915,1401.4133511996586,9311.369630654817,25907.399082185035,4.052732595943068e-06,8.480899530189021e-05,0.027652957198880782,0.03513574312291806,0.008632180931772161,0.014946159314645104,0.6397966843208824
3,-672.3096831018834,912589.5067312561,850054.8171233605,132563.11515591096,69256.57247578765,58088.48817618744,56602.52271853039,28136.989293439914,19906.107882430944,3295.662188307955,3885.0241027579177,3514.52836390273,615.6782272887896,1543.8683743016586,751.9339469589389,37319.892704226055,16867.764652742306,105.16658162877827,1417.2667447374354,6606.120771627613,99999.99998125927,3.871242946779929e-06,8.887594492131283e-05,0.02912615762126633,0.0309362936376249,0.005194043314222169,0.02096151276698131,0.534249734311915
4,-808.4290921840071,913339.1528866987,849615.1725319405,137256.40511980167,68758.5359824713,59495.91344492083,58164.39990160127,33028.43957492818,19365.684430457608,3342.5599828475542,3649.277819687151,3244.205077799516,581.2704869323143,1206.4457908073707,1017.4329289168847,37798.23038872856,18395.115971650295,109.49675302224644,1507.0614488788424,7499.365278626503,4395.022938460638,4.112071607278762e-06,8.58046877380454e-05,0.03004537286435869,0.03451113191671046,0.009073234375374334,0.02003428355360679,0.6911300646336797
5,-715.3545234420028,912075.681596906,866302.444895484,132508.2683027275,71215.60472859957,57081.82365481629,55542.052513348804,28403.76594728232,19759.87994233311,3489.029537165141,3413.7436953325714,3049.4304891617057,954.2849135486346,1276.1868629183462,696.5620041227479,37634.73937246777,17760.207380680815,109.83402570290644,1647.1334530099662,7536.388489095214,1832.8927310838908,6.229080509507986e-06,7.395931291736007e-05,0.031131134515023036,0.040805876986889464,0.0077670527646116925,0.019421085941471822,0.5433234311916363
6,-725.0968855230965,923834.4946697514,852965.2024400689,138687.66233372607,71451.41630182076,56582.74600956156,55209.81281498379,29284.503752445074,19722.940945224203,3287.9174856705486,3858.382381591517,3344.638648205338,773.9059310968589,1363.8762364688293,1028.3771656272818,36027.464366884225,20397.571536799507,112.3132154362617,1724.2554586267022,6547.74279546059,3146.6450983454893,4.00701221075632e-06,4.429893145832509e-05,0.03626231754551707,0.03260464724744497,0.008569839469651008,0.024878215182737858,0.5427515507174738
7,-809.9548513033005,874153.0804651234,841191.9897925468,153785.07114484324,101516.97735972384,55771.5557193707,54578.269977101605,30621.89326966749,20050.612944801145,2918.1859718466317,3338.5645619736993,2880.5234099585145,2289.2838900695338,3456.283743874802,1474.6081008742992,33768.91065543795,33821.81249400197,94.4688106072301,1684.1218671572822,10528.882046679139,958.001313400059,6.48180314674671e-06,4.5332409652583664e-05,0.02093632450714727,0.034956996333514866,0.0018430400356515438,0.024565871586632853,0.6453041918661133
8,-860.3643636488318,910456.3321626022,844312.0974095778,135135.72605291224,69393.70179204292,55536.06976313743,54077.71158136855,27869.260884811643,19478.435812980926,3290.3144146126447,4038.152914652503,3345.3699675285793,569.8131621708897,1457.5405434156442,859.7635403349658,36183.48141621796,19249.7328244905,112.31881448891816,1583.826988156376,7977.023837298405,2383.410915694131,4.186368211091338e-06,6.804367870339798e-05,0.03658598741163626,0.03817595520293858,0.007719663007675228,0.019093273716838003,0.5478198170610262
9,-704.7769339299928,908277.6984677359,845811.4824737593,135007.6680218954,69573.08966536878,55502.49566114332,53980.85424861321,33047.85561441669,19847.187535275352,3343.6384334397067,3891.010714358172,3363.95190700907,677.9983038021019,1373.8859234869885,1176.048099624457,35215.109414284016,25015.994756131804,118.40463559144025,1672.7888644975828,11458.087967227531,840.9509832469897,4.439765965217717e-06,4.9130074731312046e-05,0.028070149887238438,0.035618460704208044,0.006175387924701642,0.021976626827306812,0.6522256760153489
