sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_H_N,p_H_WN,p_N_OOA,p_L_S
0,-785.3343524178997,815453.0134568994,676522.9874398337,117996.29896088972,58482.0548461691,56422.425787118416,55133.49931324754,31906.042176052204,16884.22436272833,4597.134848910395,3848.802120130833,2488.0089945104014,125.55680653598031,792.4981228426609,198.87089543005374,30116.180945048844,18798.12941011011,106.37716249475785,1321.7991686444325,9061.534347289335,1807.3249374763639,6.590326548534916e-07,6.978830976512311e-05,0.10958860592191413,0.012704233375368865,0.022316420763506276,0.667031018151426
1,-689.5544471734377,773613.2165957857,659835.242232731,116238.57171342292,58938.79691026567,57865.114460219265,55982.430361403174,31323.145703414903,16949.264398029467,4753.969181496203,3430.7677074550584,2568.614603547669,168.50080647324,759.0464001076375,59.06133916285399,29470.576323850815,18565.78125904812,141.1178090436229,1434.9902804426695,6807.693142555372,1908.7861803888188,2.847182041134206e-06,7.16475489407206e-05,0.08946983616653949,0.010759230594513312,0.019635213820082285,0.5202248725907808
2,-805.0295482893082,801614.5546120016,654455.3343856416,134257.19382744207,65385.43890009454,56767.62062834312,54913.698608249164,33363.2894341016,16686.29518984184,4928.420861436955,3992.3333847929107,2604.528483164007,485.3132802424643,1153.407617981451,1968.5413798249765,30538.62594172609,18174.175706633334,142.34694497188215,1403.9884643685377,8318.433530470069,7967.620209648866,3.474075634505042e-08,7.640744582401676e-05,0.07664584982040738,0.01566131259148531,0.013595076569930259,0.6220759285510582
3,-668.6123113376347,835318.1273180735,734263.1703873646,117652.79358829786,62890.74773276726,57573.327498294435,53675.10820814612,24029.99116033664,16270.073680960206,4615.865364643271,3551.9437731191447,2612.135453442631,310.5231629017744,1122.412988370923,123.30059927233548,31081.584282633597,18423.48724757868,263.98147937331095,1418.9808911129685,5591.6093136853315,99999.99994521309,3.253270290533558e-06,8.1366178721416e-05,0.07564219209885906,0.011321474748618497,0.018626338349863873,0.43925471137783445
4,-783.2012141055045,764115.473789078,694217.4605508483,116242.26499694995,60861.301063940344,62593.6830943454,62216.8331715581,34098.48891607397,16974.186678051043,3183.3606676327645,3281.7819777528057,2352.424522856334,222.92194000075375,780.3677121587366,60.30540071881755,29514.02485548831,17659.847393978125,38.45708206877679,1466.8229230116842,7061.780495258529,11513.254509480843,3.6574057754453155e-06,8.851778964226887e-05,0.08922491303392928,0.015524827105101878,0.019777158911113434,0.7705855424104431
5,-675.8689701386473,809971.0793922723,733429.16297065,118176.54717985782,64080.61987058542,58570.09888896464,55318.356043334075,29846.453040808847,16576.65504912131,4373.6892899985805,3161.508380276245,2341.6455070863212,485.9040108978743,907.3787745216949,142.72689342191887,30357.37988674756,19605.023401022478,242.14683620763657,1663.3200796996266,7102.425715379863,1924.6811720153082,5.699499151278371e-06,6.507412816740247e-05,0.08839834217182423,0.0143501505851297,0.018457775149523452,0.5829205849540742
6,-698.5224558604068,794082.7864886041,636785.3590150352,128963.58560642612,70310.95017319449,58241.000526678305,56835.13500792678,30090.570939426754,17024.2062368662,5315.527760658775,3766.962588401526,2433.9995390983227,683.8182654814227,1299.256262319316,775.0077452387699,28661.539264115443,19278.900265680884,122.62548900934225,1671.004427754165,5887.405771811708,7629.856862659636,4.737348063899622e-07,4.826694534769432e-05,0.08812985811853331,0.014629444845865758,0.024547481145956354,0.5944520273285528
7,-714.3628282540163,740812.520777173,667401.8019811996,126153.6202919273,58902.98828425379,60271.71646923615,57392.428996298186,31025.014423580316,17243.59822679395,3166.9397583234318,3565.063727256336,2937.170610026606,159.21617809650854,778.731487965495,609.3656357441157,27460.193918829405,25781.160128683598,247.6778150067885,1556.4315473861548,9734.310387586956,1513.149804462411,1.985951531547967e-06,5.987034744209561e-05,0.060879687562655146,0.010311730980465825,0.024240863449637974,0.7030024879335333
8,-823.7419475558693,794113.6873975851,672128.6276100855,116745.3873138259,57516.02386367965,57665.49285409684,56064.79639483122,28957.869796897656,16645.179392829716,4198.222796030432,4071.708437177223,2657.6891997935422,84.93268902111504,720.1958363506061,80.07747422311508,29228.447772764306,17401.3290395645,130.21835506776907,1508.9443037051149,7325.966624660316,8482.596910972345,6.353019621561498e-07,7.570086665943612e-05,0.09730571473611292,0.013592236993022378,0.019567083927303316,0.6049604468894908
9,-656.6105909843894,807384.2970449611,683180.9606854429,123448.84528727728,61181.37667690713,56276.67020024582,54213.055482151765,33071.50367221618,16607.863417430995,4574.7764671947725,3898.610679156511,2765.5939538463267,259.7495028013257,879.9653037052414,666.3872343752183,28891.08705551337,25813.614760925604,167.1060816185484,1658.6827668001456,9995.512158621306,974.7392409868119,1.2332863329939573e-06,4.567536335519967e-05,0.07671951032128427,0.012017685405139384,0.020924811485465454,0.6689798797066868
