sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
0,-108.73223957012279,809265.1446497308,54122.59896471967,52434.33264355833,23997.62772057064,17099.55665669138,2322.650312736451,30499.697017568862,16542.68468278696,121.88753949340325,5379.676159154718,2242.7530131988883,1287.7640338118233,1.655725403240139e-06,7.878568160047678e-05,0.1423429714451672,0.021578041380414113,0.4774442118646152
1,-119.66748431439564,820729.5549661638,57293.036560216155,55865.64314192619,29839.192401581135,16714.086607677542,2230.960899496947,29858.970414170843,18305.223603977414,107.2247535445244,5925.556832430613,2486.534352784207,1405.9335836825178,1.0000000079722558e-08,7.451837488682314e-05,0.15621698772406892,0.020645250312661928,0.49922815296897155
2,-154.57243470895412,827109.3696161185,54894.849032256454,52828.75575759747,29967.107802645416,16706.880362464362,2230.4386507826034,30413.84815546893,16364.56334353108,151.7357021949337,6334.498555061935,5000.47796933386,1390.6384419838373,1.0000000018523903e-08,7.647504790562017e-05,0.14920018466190924,0.010571439155691276,0.5177918878183113
3,-108.34688523733506,858010.7763479716,54506.6638000991,52576.609194897435,17322.535797979628,16377.425984450616,2323.545128337577,32017.69826786128,13359.801790033669,117.08337036571609,3988.1052383610977,19999.99999998023,1345.3375908304795,1.6850554827343594e-05,9.474268427925439e-05,0.14871189433935422,0.021395487233205664,0.3743946948618504
4,-127.20995413991139,801920.2270541241,55691.951788680664,53909.27241719746,29942.285381899288,16765.694528950156,2165.7392534367955,31161.00109878858,13222.91596910158,119.94798453668623,4552.365546419185,3241.8791544001506,1459.6954738976322,3.3005084359604114e-05,8.230399099957533e-05,0.1514919209819538,0.018690462078198144,0.6182528612942063
5,-101.73464617457337,832931.9081559606,55865.551389945904,54381.84536662394,22425.874800112237,16499.564958824347,2331.079128554813,31236.169409646853,16501.08282053539,103.8167948326713,5013.105928227207,2229.0228073741005,1568.82238657854,2.9902223271671395e-06,7.711229553411873e-05,0.13341283014874186,0.017796997829531907,0.4527952790068854
6,-101.33292891754255,788042.0211152193,55843.907065270956,54121.255577123724,19166.328268606474,17576.070066462376,2159.9622169291074,29115.915758794643,12719.013436663501,120.08054945484197,3690.030604121244,19999.999999863347,1604.812552465057,2.5446302527937553e-05,5.761321123304556e-05,0.1633730871548695,0.02556888907798563,0.4043288233383005
7,-94.59207826136544,773602.8476254019,54609.77246175679,52927.04542200998,27785.97576113535,17482.072747374747,2304.1236417828836,27159.715793834315,26707.61904171909,124.6075793926872,5921.356458454005,986.3605696801183,1621.6889506721855,8.92960955306089e-06,4.9037691482957074e-05,0.1520128394192035,0.02470378624400061,0.5854635446344345
8,-103.75682865648474,816806.2383563151,55950.64702492097,55210.35366366995,25997.24662529721,16922.227395718754,2144.9684906891334,28495.816248225365,15767.496409200452,57.60892371243979,5489.156245515321,19999.999999826967,1475.950369392377,1.000000004292195e-08,7.807991079414981e-05,0.18936180070098318,0.019574995056495455,0.5394777249403117
9,-124.17058916202765,863312.1355393468,55474.81498321794,53922.88681574071,25828.363783786554,16275.030458446034,2326.892703709382,30130.691468734578,20907.766484011117,116.6943929935217,6070.344759850642,1459.938059900238,1575.0734814030716,1.1505184110759187e-06,5.826444021954994e-05,0.14368053576116613,0.020699304959374505,0.4985175455982613
10,-123.48906713257776,853435.6368256432,56539.98340000856,54286.854059847705,23049.841337961643,16276.832998075162,2367.6903742720383,34834.16361462418,8965.060347280545,133.47689134192507,4946.979850290143,18959.90524982769,1307.82951988948,5.518298580043886e-05,0.00010591453500736845,0.11710109113695087,0.02285549198048879,0.5385158673985266
11,-102.90220231898594,817343.5790819463,56814.8111280934,54028.742495471844,34422.39108095997,16612.138236134782,2323.4297182310056,29545.406955469287,15582.931924904873,210.28932075011457,6061.626683976844,691.6733912412119,1618.9362135267666,3.789130252677549e-05,4.1793331973822975e-05,0.13182446390120658,0.019464119351805906,0.7164854225139355
12,-121.28441557774967,793082.7575315656,53206.73109982126,51595.58013717238,24175.645889741052,17535.011613085884,2356.6642683546997,30418.742754528743,12743.030733194724,101.8253219508571,4964.200236570472,1417.7833088074033,1333.6051977549412,3.659035777324542e-05,8.24162368051409e-05,0.12947169232559913,0.029202273509635283,0.5096597864850642
13,-114.44984771652497,818141.1761555875,53545.629635305886,52042.22804871083,19745.27010169957,16926.931280992612,2306.256813872736,29186.392405041348,25950.006378238908,107.06463122890388,4595.451721242559,1512.5212664413766,1513.5324805164519,1.0000000021010163e-08,6.343241068823999e-05,0.1566436061231652,0.026358547241584613,0.4179839648355415
14,-103.2952870405654,859763.9872923022,55267.024463839596,53581.760535075475,32504.94339792404,16039.817222631853,2339.277678671448,30935.620066896026,15386.967199099217,122.64519584506405,6491.063805074102,4658.753418927428,1392.2725389595764,2.5042012559073737e-05,5.469682071484285e-05,0.1214693607813096,0.023032157156025638,0.6367978935174764
15,-133.7007459996625,835964.7236011603,56218.28268002958,54377.684413181334,12178.765116069584,16289.593512040192,2347.093705525335,30706.253431880086,20267.338467944297,129.10906089553845,2943.9897835831157,19999.99999982423,1417.0625897070315,1.000000004535897e-08,8.199039573786993e-05,0.1351389215503556,0.011163294450550492,0.3625634893074349
16,-153.57557375896477,794665.2125498907,52586.5064709415,50983.38965452725,30119.655861664753,17327.244729104408,2422.020232674709,27688.943095274484,20408.52132467285,115.9928035566849,8031.139964409736,2911.6747769234576,1642.2675913631892,1.000000015100076e-08,3.671427983112059e-05,0.1240257417404958,0.017850797558181974,0.4769917140412091
17,-108.43205154740795,827765.3902148016,51780.12417596005,48591.482702149966,20828.125687757365,16733.49444300521,2273.574228518815,29808.182583959086,14781.681251613434,203.66694031754784,4350.75482895316,4198.330400629145,1391.8048294498392,3.711542810533473e-05,5.5369875861287744e-05,0.1431397339957059,0.021133134434998643,0.3960751755152858
18,-84.00214700763902,824790.6258897738,53938.94578686427,52527.024200701606,33279.317361980946,16605.435583109265,2181.201541867484,29896.863873176175,17668.968740013806,104.17005266739991,8182.300654057181,1091.867160557114,1451.244255647161,5.27624251521923e-05,5.2771008474090204e-05,0.17331361505827866,0.016916879930670287,0.7888606347959838
19,-153.68712051914443,805995.2931363713,53972.12718900824,52358.66584047228,16182.39641392276,17069.475499658147,2193.4190753840358,29363.039896503153,20180.70898427099,114.63360718671755,4471.372011874825,19999.999999983782,1323.2292348279636,1.0000000019164208e-08,7.984483439705094e-05,0.1668540309257806,0.0163179476087114,0.369927973479185
20,-148.8665392491618,835730.4680843941,53778.88406338217,52159.16208218858,34453.64133600088,16624.469898478295,2335.1995685711554,29194.309868533837,20814.25499639183,119.63362977456224,9999.990078246245,982.4246124470648,1560.3491124960015,1.0000000058973253e-08,5.2577994321861326e-05,0.14189228987626448,0.020807580433824913,0.7109712985998343
21,-147.0428033753598,814222.3822481423,56208.5518875756,54556.2484212842,13433.28755297453,16809.867545328125,2257.853592983093,29635.568886572233,15074.246776253483,120.70554070812878,4538.282291667386,723.5173616083297,1371.9336041484812,1.0000000004751951e-08,7.763906934129225e-05,0.146396525667171,0.01853545666647086,0.34898251601415825
22,-128.86065262674617,805734.9425992935,55766.79921440126,54255.7001010812,30175.941623832503,16734.30207810889,2238.3188310307746,28876.981568380055,19988.558230336534,119.88075977652292,6665.849126610512,962.481017296629,1549.258572234613,3.781175557472799e-07,6.128090674503548e-05,0.14207109578531682,0.01932887238965685,0.6063431585739307
