sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
0,-120.83079651835945,794311.3408722102,52566.58526847627,50777.464575023216,17271.55689318112,2336.087428696758,29778.69095692637,18195.850024646934,131.57689532260554,4651.5835482683015,2732.797951318844,829.9570533135794,3.821017844720766e-06,6.66750722187109e-05,0.0003845762692652042,0.13967993439078802,0.02299554804770009
1,-130.61608664912183,814245.1551560628,53532.74346148768,52976.712246169845,16731.043108222002,2267.0765486975342,29686.817393818463,19288.93285280349,40.46018726527076,5239.295226825873,6275.090167521645,975.9571489598139,1.0000000135650515e-08,6.694739315098218e-05,0.0002829106746357262,0.15065363526208028,0.020059239372027093
2,-158.50761539307794,812452.7549005251,52106.713708320596,51011.204881596306,16859.927163262284,2265.9525892794654,30181.78429191563,16143.481766497678,78.67452778975048,5094.323523983321,9999.99999989023,939.3714485275749,1.000000000892312e-08,7.500275773647591e-05,0.00030838607042739765,0.14264753358695825,0.009181214526368171
3,-118.32449102917808,836490.9302774197,53097.09736064525,51294.863328330015,16618.458699717834,2375.5555566382945,30892.910224414678,15122.795093301645,115.93054877169982,4320.209219503578,9999.999999963611,914.6474447534939,1.6877385161697835e-05,7.904473104971588e-05,0.00034691052614761633,0.138551685008863,0.02319781101384748
4,-150.2067341688085,797174.9652693016,53717.976943388465,51874.94753929132,16765.102758861613,2203.425914976346,30672.667189244075,14636.019044087423,124.98289594197547,3775.026910700932,9999.999999907852,972.7181146227274,2.1260177900590824e-05,7.91203798109189e-05,0.0003483584141433396,0.14611201409313407,0.017152527403491064
5,-117.02262920145169,824801.6722584999,53565.207425607725,52564.184945839486,16581.2209958893,2333.5330015949858,30987.833970916774,16618.659303655764,70.63402705039647,4602.803542154341,3771.9989513196924,1033.0287965201085,1.17595584539848e-05,6.636657728751477e-05,0.00036389156939900286,0.13287272520901938,0.01814102336380455
6,-119.28884969277951,774876.3244773806,53738.77423610322,52134.16326180119,17698.392098689794,2193.8348054526373,28407.173955966173,14002.547398705936,114.47023190565812,3862.9892986600275,9999.99999994377,1113.3211795279071,3.227649738912719e-05,3.639013047823247e-05,0.00033311316073924424,0.15663642862998084,0.02761265797505023
7,-124.14440084268439,769063.5094389572,51049.35545075998,49754.994929468194,17464.14727626867,2347.0698836694273,26787.60210649108,36444.22600923051,94.94830312140643,4690.998634704014,784.413920321524,1109.662263572905,8.999400184411013e-06,2.8427105484672403e-05,0.0003766147897446941,0.1468649253677048,0.02488458679774534
8,-124.48934731002745,806260.2404906362,52789.769720019365,52161.864901244735,17055.208486989883,2144.641249568279,27764.42201487244,17853.025727682034,48.70513221325402,4663.833715705146,9999.999999976382,981.0388217931406,5.084777001117712e-07,6.16173512413485e-05,0.0003754511484859236,0.1907545939913177,0.019541629314581282
9,-127.10938646614557,858198.0743056212,54316.426285835965,52689.58254121749,16286.780046746348,2351.7297402610916,29975.373641701168,22304.184544692776,123.65406082050173,5131.415480776262,3958.86779795353,1005.4703612034831,2.362308282685175e-06,5.1609418164641e-05,0.00037400670554697075,0.1399728100484385,0.022646236197860724
10,-138.2639845606052,830547.2215539655,53626.76521461119,52006.20757385762,16570.261355894527,2401.2614086083377,33054.20364047249,9949.462957363108,101.38575837561939,4172.549447058499,9999.999999983791,817.0009638040804,5.490423594118795e-05,8.516903788237403e-05,0.0004566086309409426,0.11252304734729213,0.024264365303150775
11,-130.6048963332873,818283.3945591013,54511.467678976456,52739.987927187605,16524.514521424644,2368.089288829457,29404.039155743438,17527.168141555157,133.3739707869244,4588.735514262181,1552.3238240357828,1043.735810487606,1.2693430449398915e-05,4.8818887564656956e-05,0.0003282363552611477,0.12770660303870857,0.01875008513898769
