sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
0,-356.4849293506453,737800.606712797,625605.7230135002,133930.5361068657,61733.10187957622,17581.217306717812,28439.401689227125,4076.7146200855063,3480.6289718482635,2923.9727251607733,1643.2094731108364,251.0535905090339,944.1985104656852,0.023472990364143714,0.04842477643871144,0.013286492975843058,1.1015539766376795e-06
1,-333.1456721643213,766430.2648151709,726390.7222716612,128633.1075882226,63651.59853290876,16760.860938143345,29297.750031954685,2038.093131198747,3254.1970755160296,2922.177242036387,728.0634378459761,384.8722198899914,1007.1024338553573,0.015804892541699325,0.039131871304594654,0.009663148635985153,4.626880183079142e-06
2,-390.1030527301902,751437.9669025452,696225.1920993871,133781.25496252664,62878.469795312754,17329.057118767385,28194.889517812044,2053.397149009106,3834.388900071157,2755.0461386510856,2054.315938340691,355.6135048318766,926.5546505041985,0.006109398535185987,0.05877490016440337,0.01513404441682733,1.478866956705192e-06
3,-359.7177691072392,767151.4430156949,731735.0556170684,118927.6737545805,60597.077853109164,17081.868126645793,28873.83973072323,2065.6347717175604,3230.9105176964194,2812.5169698247746,196.02401859527058,210.3720002390358,958.7143389130889,0.016763562472043355,0.03869214235315785,0.013085724584129476,5.096836013691456e-06
4,-380.66419971050794,766830.4140023454,735399.4630362374,129055.65087209831,64100.36400698727,16693.5696184865,29090.883285477757,1405.7548356868033,3379.653943798094,2708.956129448875,814.3263878180961,347.1342443423042,910.3028768761309,0.011278711385201897,0.05218976550183424,0.01451927620170785,3.279610599703296e-06
5,-308.4981609617635,770268.2811248708,686550.8865540024,118672.55675337696,62738.15313764808,16965.36993604373,29098.34369947572,6180.390921577347,2831.8299654020657,2439.9511203674388,156.497641255104,390.16717698451066,827.4334045529481,0.012718133759710905,0.06012299891625674,0.01403645649732816,7.514932335911682e-06
6,-279.9222276512813,753564.4534057688,669443.740250476,124878.06230325003,63266.39123313033,17439.579283048202,27406.582346208204,3356.4449474567823,3547.12591396381,2665.901506791402,538.0104540518339,345.67020883921657,916.7320419578361,0.012490660037704007,0.06074521603454211,0.015177337584781282,2.7427705500854016e-06
7,-370.3676707696441,745211.8790218361,742312.9003038025,124583.41090193007,58640.30396342924,17240.750663616775,28211.346120547863,150.2913527707223,3393.0325383595455,2864.1106278007637,504.32235195289996,137.90680393114857,751.7431730339539,0.0021225056134135663,0.05505369918015528,0.011757299999432013,4.0688597331054036e-06
8,-401.8028554742242,788708.1702403845,745078.6285523162,120400.23606837037,60633.44493988385,16517.035245816194,28841.057353644548,2001.5361333387755,3607.3356893180194,2760.7271176834956,248.7930154199273,189.79116472262783,930.9101667761868,0.013518776893070177,0.0627576158286312,0.012512710428862168,4.153509723901305e-06
9,-309.84243084990567,765178.8101575444,697557.7929156034,125253.36823477132,64722.41914246375,17206.2067920546,28363.839085462456,2990.93213479607,3599.7134308414647,2744.690593471127,752.9721002288454,412.9168332263086,1110.8169953798904,0.0087467576198506,0.06071836112894841,0.011090137086622518,3.4608001679320368e-06
10,-459.8337642454995,820973.3459105275,698349.1525566352,124813.29932911298,59454.467927751975,16363.830875624672,29145.76878317039,5667.828951647799,3315.227718498289,2640.3473993945254,633.435719974038,164.87455611495048,708.8513068643233,0.014365051105031354,0.059045017821788746,0.014514045913928396,3.5696027875383366e-06
11,-289.7836156146182,801520.0280399484,770812.6296844283,121011.15071478252,59155.276075289265,16493.943150472336,28458.621880024533,1518.8850042634137,3357.4316781201264,2607.1580473887007,377.86896599224536,172.03307220042618,705.2996005380171,0.003344500782770279,0.07755270020354983,0.011116474554705616,4.615319565035785e-06
12,-396.98477720384517,813732.8791068161,736126.1488540075,118372.75468456226,58551.079446729345,16793.970380589493,29524.921116309437,3907.7389604273058,3250.356110578991,2569.4346321591424,162.36316114771455,131.92830768152857,714.0433512292074,0.012098902104460133,0.07275303104272747,0.011999836414079394,5.418621181590266e-06
13,-408.5910907163016,759138.4491150787,581824.5223770499,125324.44431506429,60869.178322800966,17239.2926688752,29061.89713406219,6079.907316826115,3697.0294721688388,2810.64574932153,726.2016565881213,298.5649885353575,914.2869558235085,0.01529775869153549,0.06811208680468679,0.013580922383432182,4.474936665271731e-07
14,-356.19306241846317,767451.7899649609,698220.8359088685,129227.79785337295,60559.23261611874,17089.827347288956,27584.743307780383,2577.6526440404855,3759.263049040947,2851.300181663786,668.7569931063931,212.35603866633363,765.5190153084176,0.00857068949993785,0.07035880939518366,0.007829326065446012,1.750705627988997e-06
15,-349.9515279650218,772175.4292990809,645808.6460985388,120281.04989683254,58856.676006767484,16728.515290577598,29778.26418903777,5546.732605707112,3140.777074262927,2904.782618360164,286.05163658297846,117.65731185401059,692.6218978237943,0.02350671669416784,0.05128701878509338,0.010661831962665722,3.2264922007667186e-06
16,-381.74285945819116,741455.969095051,725251.9692475108,118426.02954303088,60561.98269669086,17671.092255443564,27168.982134870515,732.066210671044,3265.721969099654,2939.0972563082446,127.1599939773299,240.538749188928,815.1499242649741,0.01928280605694254,0.05297288625405633,0.008550117523684536,4.028527893057659e-06
17,-342.3740524855135,769372.7242395565,753938.1912501785,126915.56194774195,63459.27097641321,16906.628013818296,28196.27501566271,737.2053796661469,3096.355766865965,2990.8763984067973,556.112520391482,367.0546039975079,887.8713701654938,0.017321209444513826,0.04026042258086412,0.010644512531809636,4.073491925046687e-06
18,-257.80932248303907,735594.1094987427,659998.6997310092,125900.59162509546,63790.87937396546,17211.87904594946,28323.45197661509,3517.2780474584383,3123.19691001356,2798.091385051255,679.6433178566582,377.02461763412964,991.6766321887408,0.020140959088014287,0.052980079705595776,0.01075364301201433,3.981120944484849e-06
19,-305.34511496778816,750956.0643523971,670414.2573944094,117771.06975496699,59768.87660933823,17289.270033756497,29109.82877372337,6519.192668085195,2779.1084753509494,2383.5211940290837,115.45372080645868,177.9140183047701,911.4804991705148,0.011464505345936004,0.06249142656872383,0.012455609386782175,7.688734709133377e-06
20,-296.7346256403895,751983.7182779935,683646.1228391487,141035.2405683322,70470.1573149093,17492.415356982514,27599.449517157584,2485.688113638693,3647.130581889633,2623.7962246203065,1404.1777415521158,981.6816075016538,1452.397866306627,0.010391592107083935,0.0690715985382432,0.014132433329040578,1.1286717436487988e-06
21,-299.0025093568516,806755.2633790167,771424.6205602159,121691.69344655532,61304.25189438385,16352.69060212793,29427.376724924412,2298.5145865953896,3020.6884882574345,2646.5983587595797,288.1780878611557,269.9491363482821,850.8156641028065,0.014639245893295294,0.06259826402665279,0.007611658189581736,6.20353043510733e-06
22,-348.5678680980959,786745.4880783514,760385.3495590313,119559.20055864527,60097.80657532759,16523.865668518996,29386.165190527878,1450.1522464239072,3195.615541384823,2722.2187826641693,185.18338607559403,192.87178898773524,736.9614190517563,0.017808851572142265,0.06598171848977687,0.0083882873421931,5.278662813835537e-06
23,-397.1389455153396,763286.9278690629,694596.3275968832,119914.069500963,59991.53825767332,17036.98209462183,28260.716288758384,3060.606085976281,3264.60107101577,2775.6949575269086,255.35264433430737,235.0362957967078,820.6118244850737,0.013710757971471659,0.05675694084996095,0.01309393325214602,3.6787309110668195e-06
24,-313.4741047480754,771027.316861517,699211.0932075239,129484.36561795614,65683.74400152134,17218.840779985705,29083.179306440066,2437.82246470596,4102.653780506798,2862.178064646966,1064.6178768062462,489.3348005230138,1308.211310041896,0.00934636385234874,0.07065319382739857,0.012541915991364807,2.5858776310942186e-07
25,-355.56454066950334,773554.498580722,601338.2510225162,123525.82495929791,62164.626810602895,16862.033384937575,28251.924093846766,6925.679095849905,3204.737007326559,2709.3081604662566,483.3327237604396,286.0166847491773,853.9191723869434,0.014107788031997626,0.07052715276159859,0.010073285692842979,2.2089650464862782e-06
26,-568.0159891815733,726880.2596534889,698955.1404717434,133007.70258305437,62328.47668190311,18043.44006891911,26457.320278625062,900.735314394605,4055.198169922688,2864.9329776980376,1426.0346972839006,279.84284020270786,842.9845443605245,0.010933379093471127,0.07459271339881911,0.015119189223566434,1.0000000007171775e-08
27,-335.1061868880348,772218.4919338871,699296.5807523346,124214.78341108102,60756.38172182596,16978.946872653432,27686.79948362982,3619.3223543505223,3451.0219390333245,2793.0854512470364,561.7257524986148,231.09141097524451,751.7139996599087,0.013265561292050346,0.04863666240419029,0.015045293864793901,3.994650532891983e-06
28,-405.9668555178639,736407.4887489041,687428.9716034314,118686.30260999766,58174.08786871572,17464.097638695006,26418.777863739862,4377.152502072037,2816.352411812321,2350.8189866972584,197.795072588942,126.07898927380461,774.1786960440579,1.0000053764254014e-08,0.056462990898408456,0.018883934562680463,7.568429243721865e-06
29,-342.8810840319993,748892.9395276359,700030.6179865705,135621.4783479402,65646.95420063246,17042.324586658837,28663.423147442827,2312.401146078574,3288.0170085098675,2843.94900200858,1112.988637251555,426.52158130665885,1124.8139973197115,0.014583936429111594,0.037265155763603536,0.013104147346397296,3.8891619573952535e-06
30,-263.0969948085425,753964.2818641878,652521.4289166355,133617.8201348089,61243.94701983833,16905.48413001427,28393.984137497937,3263.5796480885792,3957.5658338428275,2869.399525043891,1351.7458091021883,286.9959294648222,940.5750462253535,0.014838083718410012,0.06534343866638585,0.012463298514115689,1.7320722245750652e-08
31,-431.2657944703135,767473.1364594318,597130.2856759656,133576.03749511874,64018.334321681956,16756.547694188426,29148.558917586506,5741.768566636873,3654.390613029212,2892.670283738463,1063.0153782908346,449.0717836431407,916.7675396481421,0.01630124200572405,0.05030998670026499,0.011102877808352937,1.0000000024805598e-08
32,-369.57024667260333,809062.5497943307,717594.2939908404,120092.51337012138,59271.846677985995,16297.653658756146,27783.100402402622,5097.574671505566,3196.170675299365,2724.422166203499,379.50647989683023,167.9776741386609,737.1264003800005,0.009047106759010885,0.046192005131449505,0.011604327605499457,4.629123418013048e-06
33,-260.4418950268262,779281.0292941503,702450.1278535235,131378.4596741394,64066.40597639834,17022.492798278083,28791.69160695838,3019.210030749767,3850.6635444697604,2811.4251934096833,1146.935295466697,435.7553746392241,968.3424385666672,0.005061977515066715,0.061538745690987114,0.01402074727937625,1.653817442083136e-06
34,-399.08203192599166,803458.3847802687,703049.9489552787,117957.1406173794,59001.88470272008,16335.796495787961,29354.472145877062,4566.938465594629,3389.661921541681,2746.913541582574,115.63372336811229,140.16443153042758,744.6732086072924,0.010741788868537494,0.06630179484625259,0.012229330964528709,3.802436321853926e-06
35,-484.57089836817806,770229.4259725303,762455.0051459123,120440.5946524892,59929.7383696974,17183.58675273378,28031.747199358742,466.228554692847,2971.288583606249,2778.6239711795915,220.0081437720847,167.54580955553448,754.1775065722738,0.000812478876047597,0.05468371217275163,0.012945693881201998,4.971875132854093e-06
36,-358.62003930540857,758188.0412768648,718950.6620901896,123496.24869216434,63080.37128175315,17023.23169698041,28202.715127458043,1682.1258166423577,3478.3208477979,2903.0345384236853,419.54429030455077,398.6149258860905,1098.537645890278,0.017505635263737603,0.05503641418841615,0.009256856354082474,2.8848244648147632e-06
37,-361.16770722349884,759780.2626879008,676779.0332196061,119113.65104053864,63943.000858647494,17504.262395431986,30008.11638922959,3419.265159421679,3606.60938432902,2796.3388179133276,214.17784866005636,419.90301871380586,1049.0186866244012,0.009892767491454164,0.07240842965863033,0.0083497137887395,2.768786008098804e-06
38,-259.7649284363388,805324.2852797321,636701.6869843845,138490.6505930141,65166.428826149386,16524.00865147576,28754.74183199793,6251.3755811820565,3519.998356436001,2774.5132377673826,1322.2329253683395,445.09857721994746,1287.4004182259455,0.01439781524101223,0.058740937161727104,0.013173001591937645,1.1919795645243436e-06
39,-310.45737818861176,746969.4223756474,596543.2378514773,136117.31903918172,69548.86684963286,17311.792473442383,29252.68245934685,5378.929960870578,3755.780501388364,2843.202821263336,1551.3177898355398,777.4909374436576,1375.315806686349,0.014499922053054962,0.06066596850158137,0.009240832087791593,1.0000000004438671e-08
40,-308.22620547534547,826479.1659094525,744890.2631903115,118346.64855727603,61527.1416603726,16318.565181194253,29013.519605897727,5043.628936654836,3200.10443179056,2578.1859242592063,147.26589301407,374.0907733009439,906.9694037276499,0.007201744011244338,0.0657166047750268,0.010488511164573201,5.7286958789141505e-06
