sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
0,-355.5614934153134,2499999.999999615,751774.8574746856,648679.7206551549,133105.14141062746,60633.54457355895,17412.599237476854,28676.936515362257,3564.4430981796877,3660.4121950988665,2912.317965459495,1625.1662151008652,207.00031595152166,877.8170606013374,0.014294831361869847,0.05732247818154479,0.013654066929458034,5.275729415974171e-07
1,-332.70561603561345,1071227.6009068533,736854.0257239568,691890.550344538,129429.26190997436,63650.02737501221,17190.80699817769,28515.994218654363,2167.8889535386784,3182.1785475208058,2957.2385448664236,772.2982675610921,384.96456428181403,1007.70542392673,0.07194987463963617,0.0328607355131229,0.009654187090857877,4.701845725798568e-06
2,-389.9109948764783,1000000.0000015858,737055.0112699408,706119.7175300142,137341.0968578602,65906.9406949929,17534.22711467168,27825.051795001487,1110.8068799515254,3833.815465151431,2739.0761277985544,2440.7021897922245,506.8760370906512,1094.147215441933,0.03768242318295024,0.056523278555076155,0.014988602506648244,1.5872112171368174e-06
3,-358.5251838584107,2495638.5118923276,788163.1032243662,764620.7296486023,118284.72039118184,60410.74938877887,16797.156825706712,29339.3582641768,1332.9917183035725,3318.1689441170124,2783.8076742206354,162.81200379254463,202.5143549153059,946.8756541022606,0.009982131875457632,0.0456911184727073,0.01320242751436343,4.828448537620464e-06
4,-379.8980191900603,1261553.914285234,750924.3220282051,686812.3926865992,126411.2576694907,63384.532860786625,16945.337344413467,28625.33018387135,2934.383275171963,3237.188385983056,2652.3825046357924,645.63098000819,316.60626504767055,872.5381922379105,0.030185855607635807,0.05228000339547243,0.014653890626993293,3.617997094137286e-06
5,-308.1290750512238,1000000.0000048863,750265.1564181616,730681.4197844535,119700.42111448798,62189.608469029976,17240.935828178157,28607.545703564883,1415.185952035017,2882.3982308953964,2517.5479713993564,202.21672682212724,361.8004567207738,803.1386014699082,0.08094705899180138,0.0550458506259838,0.013800762488565578,7.482849670321068e-06
6,-279.3643781870526,1557541.035342096,753943.9750182364,669036.6733938718,122172.28031416376,62189.908945431715,17382.62300910242,27594.064855610493,3804.3861963841377,3327.34314367721,2643.3971745317253,371.3325700937967,296.96115424982105,858.4405684752143,0.0251143809825133,0.053134885268847507,0.015067028149470776,4.208399602181717e-06
7,-370.2519231938858,1000000.0000050568,688315.9683676835,676319.7733577011,127092.10763575553,59001.30233976835,18087.678138594463,26557.767675824736,567.4120200731485,3402.7501396758344,2922.169266830655,661.3040664950798,153.1260432424982,772.8305179618241,0.017415221946347443,0.05027806580756236,0.011931253425573104,3.1867475381068454e-06
8,-402.2800648357394,2291795.531557188,775151.248299857,677369.789091039,120492.98948501928,60862.07260273868,16727.16696811397,28487.013745642813,4436.323714485921,3501.937368160155,2745.497912028997,254.33524372798894,198.05836062486202,944.765595869301,0.010705040059244197,0.060639294935749224,0.0126047094752932,3.92164970222817e-06
9,-310.2846834772454,2499999.999982806,752675.5914370955,669111.6225346539,125313.2751519013,63834.28160135722,17418.86194664973,27929.294266107736,3456.3815193342107,3670.3446676629974,2769.0349898923637,780.2439579913723,372.5516807656061,1056.175986831122,0.005190949738496634,0.06356421884187506,0.01129212698064419,2.5594515216242057e-06
10,-457.98680099486035,2499999.9999885214,801101.0899063135,734112.6347293608,124721.2478721513,59002.635837480964,16673.191398068804,28589.734186014484,3117.2159376774002,3385.2020715235476,2654.1368830904867,628.156128521807,147.36310199683516,684.6354740388986,0.009439792489124268,0.060338320616023976,0.014575881528373247,3.5865497707152298e-06
11,-288.5362962519555,2499999.9999975455,773454.243480476,739637.0375434221,121710.9024634042,58941.85534956037,16921.343647673388,27705.325349418785,1586.8590608661386,3395.0299297959846,2640.3265048769704,429.2134925755564,162.95290899499398,693.8382313282644,0.0025207754658755632,0.07673729885205711,0.011113131888389229,4.129862921255814e-06
12,-396.4683204804819,2499999.9999981937,788580.2181288443,689870.2893798973,120877.41399384192,58031.14610976158,17197.62043452855,28758.51542434768,4144.14260553628,3444.2137284530995,2689.169393584677,300.16991252260493,111.9839231245803,687.0585555520697,0.007317976176956074,0.07299778670448924,0.011792631691167482,3.5923872721375286e-06
13,-407.3650974478667,2499999.999999992,760022.8095652192,608071.242433597,120124.48681573382,60897.470221449636,17194.65618482603,29224.882021722664,6200.439230119266,3416.6906171534624,2658.6726082248038,316.81231489023526,298.3529743157166,911.1664966830349,0.011855490637586397,0.06718609553023772,0.013414284833241828,3.4214494298365907e-06
14,-355.8327696209011,2499999.999995969,744950.8758186705,725979.6029484853,125752.35523700764,58501.40492271929,17445.50980112691,26912.619155406584,731.7044855955648,3743.6186354539054,2833.0058541292497,486.77660255068224,129.27484248872128,656.4976365323078,0.005559218720135205,0.07323471831128656,0.007765287185976274,2.305070121919167e-06
15,-349.391081669022,2342743.7582585723,780509.3623058854,676353.4110591678,121625.86438665827,59147.9156792603,16621.539515510518,29926.40868119363,4381.936537487179,3281.1699649349957,2936.749526463914,368.6692353125102,127.38679693366898,708.9048790623427,0.016748187823998062,0.055372400336773465,0.010668961511312207,2.7752417203673843e-06
16,-383.49524839709665,2135153.1473625996,725711.9713398737,685608.3910897468,117654.2012816884,59843.65005594513,17929.895562697227,26663.0799968849,1751.659434594523,3262.903798001957,2929.4478491773953,97.82052821384106,206.94450450724898,773.9052577467684,0.016184978009694633,0.054827610572944906,0.008686457512288106,3.568736263645311e-06
17,-342.8869961062463,2499999.999998429,765113.3959013494,712656.3442247004,127329.99942476545,63500.594949627404,17024.540769756604,27898.540700020076,2234.6663185319794,3225.5399064310527,2978.913280714528,592.5505610708667,368.4870739474357,888.7784694652834,0.009683240386551457,0.04759605139795802,0.010814247864621549,2.8698565847129196e-06
18,-257.80035876112044,1957401.0387794718,743812.7116366655,696369.7918928004,124857.0715910433,63722.195095069,17064.284393463757,28644.42771406712,2418.9937305519575,3068.151228336844,2775.40352849857,597.3581869890072,373.6392736365042,987.8558237804115,0.022427899033970508,0.05144398345554043,0.010654824568417919,4.893439280993663e-06
19,-304.0463509039826,2499999.9999969103,768165.2731956645,724468.6623965056,117741.3214357478,59375.468993258095,17025.668889669603,29610.693451839637,3867.4570576324436,2834.8576438333075,2399.664832972756,114.1233723747303,162.5079915308896,886.4474466220063,0.007658057737338392,0.06416648800658449,0.01243543573577115,7.712534674818307e-06
