sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_H_N,p_H_WN,m_ND
0,-411.43318564768913,743849.1654806,679908.0869170235,117895.32773376528,60202.14967542108,17951.015752710577,27071.976279709677,2187.2423156767927,3792.626558714034,2403.988494761208,197.40727917581964,185.00024548015077,859.6827220201914,0.1157904570302726,0.013547616816565852,7.852360446107155e-07
1,-354.92754194368,761098.7270028363,701035.3147565899,127115.08758197354,65504.52816546091,17116.797212216337,28137.122375239727,2435.40504682451,3608.53132965879,2675.8038887941034,670.4806381055567,471.3624217064534,1113.7812487869842,0.0752090735357199,0.010092186881329918,2.168284184961434e-06
2,-396.34414523921834,761005.4537417553,728528.2460747425,132980.42337967633,66001.91917151882,17284.681040191852,28105.08954313195,1210.7681096605556,3901.4619948970526,2575.6807830310822,1902.1633449939927,507.5213520398626,1101.0951752951855,0.071603108836757,0.015106851558885264,1.6532845491996015e-06
3,-376.9937062402977,765995.6586985928,731307.7410909453,117048.77205328338,61693.886836286896,17400.68805169014,27826.944658298675,1522.523320665583,3654.9575983342133,2607.7635353067835,100.15799948256603,253.02420627347198,1040.6410874477253,0.07818895344786722,0.013345411745456955,2.584371217230587e-06
4,-389.2037126041706,772740.9227309438,683499.8180641526,120716.38704814106,61580.0014789085,16816.564824821682,28519.805523755596,3665.2508556226044,3459.550115875843,2493.463648213596,311.8615016003815,242.33793134156357,781.5837114426279,0.08250322351262575,0.014949975667448118,2.2333466389632694e-06
5,-316.45858312890573,753580.7526960096,720176.8648044346,119473.47768618817,64700.485985666615,17446.372686215207,27839.33395668586,1902.8998921306106,3149.726660386392,2346.405163143711,194.44178554709083,497.3898715824382,928.639489304799,0.08945929933011158,0.014016482493421434,5.472741723303911e-06
6,-295.33547671719543,757964.8223842258,644852.1519461501,122102.53668449105,63353.928138239164,17601.505132326547,26790.07660955647,3912.414945915144,3844.4628937543594,2510.40295650345,386.47183655289655,347.3068634286455,922.0986438176192,0.09100315064767117,0.015380116436258919,5.57904094710629e-07
7,-370.1150784172804,719599.3075269079,706438.1957677695,125679.97916694873,59280.28563341997,17671.970832516938,27307.248131645698,626.9395957311062,3476.131743300755,2851.666808618697,575.5855287752368,164.2325780674177,789.8307822703398,0.059553740448805535,0.01185383422723679,3.168730326189951e-06
8,-414.42134042945366,761017.4544021867,725786.1486110268,117470.80025084586,60570.61445062634,17190.441449821465,27257.259114552366,1384.2780882062732,3887.1968815920427,2580.3774775587412,109.17312037901662,186.3455047544061,934.2419740059804,0.09380338287082562,0.012890496510645586,2.429723119641175e-06
9,-315.7843971794788,766411.8127279561,708887.0191304006,124547.89055733928,65820.22473678869,17341.433909056952,27856.82351308875,2277.1155601374753,3852.7816787802903,2621.296151858702,713.9121448916785,461.80439265194957,1175.8289973453227,0.0813286730951524,0.011279790778287944,2.20928218473939e-06
10,-477.8284325418854,814883.4729440984,683943.8875961287,122627.81114289507,59465.770829191206,16706.023495868434,28144.80449568783,5049.804170793521,3646.773904463238,2491.737894350966,502.2461574833277,164.5675812099766,711.0125062909106,0.0897152558042083,0.014987594095496626,1.4240214406810256e-06
11,-293.0223651536536,767287.8829778495,645648.1225763177,125606.77310907593,59660.26244846679,17080.620845603364,27301.97686249258,4586.3419403713615,3631.5358441909066,2696.1091737197407,752.450535610729,195.82853141806623,733.275514247182,0.08314576081560206,0.011327964175021608,1.2463158027471758e-06
