sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
0,-462.7098720231096,766691.8173260413,624186.9222121905,126920.77019450103,64789.71805713226,16730.08010470812,30537.922177103104,7801.015613685267,2824.8993604362668,3311.7579482607484,620.7065001786714,400.98348774092847,1162.8416299447097,0.04228071245374807,6.179453755983612e-06
1,-393.3285312729429,770950.0464424359,679998.9821153008,129489.9130153025,69951.81151011318,16394.539850497626,30310.194577899536,6468.5477087907975,2830.9856456260077,3239.62086306255,615.6607613681446,738.3058572134308,1399.6906400656621,0.028801170156745652,7.3295084865223775e-06
2,-533.4163148553371,785975.582764657,653170.7662343663,130488.32740024665,70850.03437163004,16344.148771019163,30594.170326757103,8510.443885230829,2930.1545805639566,3181.845105909336,876.585649553254,823.9544480486653,1420.748625817087,0.025804466591163536,7.05144921674658e-06
3,-473.54684319717603,799450.3643212862,660419.9153695084,119264.29366535529,65611.25806364387,16257.830889154582,30691.958104513946,9740.70458952352,2889.2998093946126,3270.634669981765,163.27433115725856,451.4876796237822,1331.2049884811363,0.029910299952346304,6.771052089331312e-06
4,-509.8990060916848,782683.3304440719,633122.5485109147,124965.39959188875,67624.94584066661,16048.336701073138,30750.804178140428,9708.44425390928,2736.6742124650714,3181.072179986435,399.73082916508315,531.6283784497206,1118.6970630375247,0.027784680683114172,6.693723747211778e-06
5,-428.0459089187506,763043.4624773312,644459.1779519819,123438.11362933152,69950.42328672812,16619.302313487915,30228.837358929974,12750.618150916504,2518.4600022797513,2954.1977141920784,294.06793773812984,862.1116827835779,1233.6850469836522,0.0326814939120279,1.0022637724274969e-05
6,-432.1226987343143,771123.8269533173,659782.3396377475,128216.49529193225,75797.26063998426,16666.147961878738,29297.20027668497,7718.468338996486,2829.6452843221796,3072.7130103947666,498.4704051980716,1018.1118909803652,1662.833850812358,0.03505092622286815,8.044617660785478e-06
7,-453.29752018577875,730707.2882789314,675283.6013995784,131456.01473756597,73171.78401381192,17076.587750417497,28959.311132479757,5002.972230243614,2761.647053340612,3150.05641298686,664.9198311108745,836.1094357650368,1672.2233928592582,0.01862997563049845,8.075026471998824e-06
8,-513.3011934191695,786724.6483362794,625753.09435951,123165.85671288292,66838.3798098708,16093.291552520079,30132.58524979325,10147.847704806421,2953.2521861004684,3237.959553120462,304.0958232985993,451.7701934823932,1361.4372175321466,0.03348170729362115,7.2038456786117885e-06
9,-404.33655129024675,777061.0539976843,636830.4179629323,127779.66091631504,72975.25586739247,16584.880203778026,30046.31836192744,9783.97824516805,2896.4576922670085,3111.751183088151,661.5160660331505,848.4954308231269,1668.945848756198,0.028728695959523626,7.743698137811244e-06
10,-600.1726843346105,821504.6896693988,653074.9635272591,125930.49849682681,65024.20777949638,15869.699542097416,30569.687506342827,11779.885776724494,2755.4389209272977,3182.2207642691956,485.77110867318794,430.1329379499773,1040.98713913492,0.036387739109324954,7.169984592101622e-06
11,-385.98919109504277,780234.3863586161,585354.6378252954,124061.09443684045,63122.73828438412,16289.563421450972,29493.903061221383,12978.542625870954,2651.0262559048856,3091.7152815398663,444.80554611968756,378.81870280333266,940.0118704338104,0.027471434387010406,7.74342661362492e-06
12,-511.9336727430665,783872.5306275272,609163.5007726285,123601.48251003274,61440.34596427093,16741.104069248155,30232.34639410328,10340.956399884693,2790.153016422765,3241.3136498504864,351.4923210925648,268.61556936463523,905.2888398186886,0.03468056738576851,7.223456484256214e-06
13,-531.3992912987956,772880.7399304284,596370.8048318321,122055.6402220381,65560.51145741042,16494.598835397173,31166.205893386752,10284.787489631695,2885.5049954888345,3180.1524458211184,320.8271278113524,614.4188676993278,1238.357021430597,0.03956608058074642,7.620579280379773e-06
14,-414.1936811784288,784188.0193004907,579123.6597716856,123464.64123789071,60438.5658640756,16356.985512529456,29573.037714373237,12466.374198118181,2726.4596737908514,3100.137550591088,314.54303606881865,215.0501397905197,762.8964652707789,0.0313976060865744,7.256668581211727e-06
