sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
0,-873.3991758503462,782737.027456151,700613.1443246248,126490.60058950157,63366.952713201594,16911.265573739547,29387.418567227614,7428.628322313574,2783.5222910800244,3217.7193973194703,596.484991648007,355.04308493287266,1075.785925771049,7.384194762870192e-06
1,-555.3799537603361,777123.5620582213,731829.1613896718,128541.37803426689,67400.62467740726,16590.440443988075,29376.12925888718,4581.503773552162,2818.788554474288,3222.909949913946,576.5866910751648,627.9265237176558,1248.22287601762,7.74471347884356e-06
2,-666.9507645768605,785890.0295349702,704369.6963273472,128995.71692903398,66798.94514733848,16600.85873663189,29597.48812481293,6705.44012350138,2969.5712211817918,3221.5533376433314,803.9244232163538,624.8738451658339,1183.833892998055,7.2646643799296065e-06
3,-652.6321757896326,813196.390631275,740796.2088341612,119403.16916608505,64245.915046535396,16336.568688764304,29970.830172044156,7974.733359255948,2887.0671479833322,3250.8096147881897,169.60616440221375,403.30091866688167,1243.763965678379,7.472554710757284e-06
4,-670.6361767449512,790746.9022186886,658228.1559337621,126135.31675850046,68763.74953870493,16206.403016769544,29896.74020760456,11419.449975794814,2702.7759802372357,3087.449242957428,447.26950484958275,601.1255096845165,1174.8315503934261,7.239592778019323e-06
5,-611.2218453428702,779363.4983962823,656554.3403701573,122803.84090663308,68906.93234513247,16703.139098596657,29449.005400840677,20812.677177053363,2472.626412685171,2875.7034317970138,271.82587463863655,835.6095155724757,1172.3709111525843,1.0443143213392103e-05
6,-669.0749393787491,791233.8103737917,635926.1641108124,124777.68510636609,70746.45518542465,16708.362414657866,28604.002251602804,12718.510734950187,2793.7996695753613,3012.8527484336355,372.02404094406256,787.2926784286318,1366.5749932992292,7.867402628973847e-06
7,-522.4665750066391,733197.2992432724,685385.9209117304,128962.51503386698,67260.47903959024,17229.762303567648,28290.27743337461,4607.143793301962,2816.626292297541,3238.7575575223395,576.1390987243961,561.2488476157117,1303.0555849263244,7.567530365569363e-06
8,-739.3781153420379,803816.3121734727,638635.4632903582,123083.00070616961,65942.33151952474,16165.387138868235,29364.993822501492,13441.995405158814,2941.2398851005746,3159.1472189451624,302.4665375503772,426.3743993115514,1308.8654817812053,7.470309034768413e-06
9,-569.2464734462653,784759.3406873716,670365.084706531,126223.70238102341,68514.50254974287,16752.261729732316,29184.409238310323,9972.345526487281,2946.122576760893,3155.781720846393,591.7759165266308,648.7750370507639,1390.7363458931384,7.679564761948893e-06
10,-849.7341804742146,830964.4314085712,708890.1299347329,123979.19221607286,60734.74293811478,16074.300177122008,29531.280053067854,12979.173877025021,2749.587780688379,3174.0400792463333,400.27648768830153,244.92514771419087,799.826303818604,7.647321120269911e-06
11,-542.2502876580256,783812.6184215042,618551.8693338769,123958.9320681081,61922.34956645748,16513.800713206874,28590.195517918943,14742.491105922229,2650.5331048588664,3057.3272968691917,441.6143111494257,330.2290619934063,872.1316914789018,8.285427539199237e-06
12,-768.0138371490566,804004.5721101739,671438.4631049483,122223.95674668218,59768.86250822188,16772.62673051537,29542.89268412503,12800.884024433984,2732.2790037234545,3144.2302218069326,290.9803609405804,201.7342213179248,804.417922272115,8.58450919500987e-06
13,-860.681137065318,788602.0155443829,622232.7994960519,121857.13938644368,64412.966296591934,16652.959197413154,30046.295449649573,13549.217097604209,2874.6395007022297,3090.0818572238586,314.19789116180976,578.8120062581849,1168.211981684521,8.176362856670398e-06
14,-625.9222200364923,796717.8104674936,608508.2772636855,123858.84702677588,59661.25003513561,16479.214806293825,28789.31426375542,15158.016786511354,2730.1252285880714,3045.5202230758714,330.4041209187634,188.60429687503185,720.4251823477583,7.777843475798686e-06
15,-786.1484716042378,799713.4968626308,670570.4148017141,121065.1274463134,59648.49309167596,16329.315636167707,30165.39823287056,10851.150045557417,2717.936501412235,3313.884824541575,263.5512069884526,155.64217674111293,753.4818938422635,6.6418207208602995e-06
16,-747.8794267471792,749972.7453510069,680710.5326738938,118451.75998842556,62015.23859195138,17527.152035482333,27210.94657914523,6288.08552599485,2687.4198687251,3217.803656037241,111.40814610459807,342.31421699199245,910.0662203129268,7.648188127311627e-06
17,-621.5125502619611,790734.7774558138,730290.6283424622,127846.68673045827,69090.7149724518,16569.758534302164,28542.65759838228,5447.209893694306,2633.4573381772116,3308.383585487059,484.2873176520812,708.1868807555987,1202.5078666784152,7.0210471438436006e-06
18,-623.3825371307295,778259.5104814289,655311.2055239944,127372.74301305648,72067.87643968908,16559.923020647377,29325.855018100607,14946.896354969247,2496.6451806692003,2946.252152517697,571.3651913913441,849.3804195477193,1501.6110018849408,9.065119704462714e-06
19,-568.4712999935214,775945.8680389009,649403.258811187,120991.6978361394,61300.23507498539,16777.01546007049,30030.811884242696,20848.905701218824,2492.6033593101556,2889.509323385401,212.15418096583545,262.49023243583207,1050.7887979122156,9.953576273169892e-06
20,-674.6472193690518,780514.3035460351,668108.6895423684,131478.96313360435,71159.55550648154,16884.399378603644,28733.41894883939,11601.070098830061,2606.205741061649,3030.8544417561275,592.2591405377977,1190.3782980590834,1566.1081084794257,8.349536444711735e-06
21,-567.7562492450645,814037.786186639,677132.8823540402,123835.0217289357,62624.51486373125,16161.636043511025,29690.222898011434,21475.190815021753,2496.8884315759396,2962.9296229476718,334.85414532950415,361.86518502588575,938.3132115104195,9.651208782271438e-06
22,-695.4244109560343,772243.6911589274,704432.4647999672,119697.91053709587,61679.80474881462,16702.60447698561,28929.01183850927,15874.7735481231,2493.759852738326,2950.98411790873,162.93769797575084,279.95450400700696,824.8287016330456,1.0287125977577974e-05
23,-727.7778854997309,817967.5693610408,694725.5735255282,121288.95886402749,63771.91362367993,16074.832691260728,29844.608929217535,11337.310911757555,2709.0109664318243,3220.039629543715,250.9772199404803,499.3197208081867,1075.7437332307436,7.632179815437763e-06
24,-670.1948043595644,810368.9869834069,648129.8563016593,122518.12600750111,66527.07687273745,16426.26503023243,30631.580236619728,12872.996658494993,2936.583793149017,3196.7564505977166,350.3189871916808,588.4063785865719,1413.3760768421905,6.961564936084519e-06
25,-727.0359626295644,800144.6408140184,595494.9592959445,122997.8698830031,64163.103485030646,16326.617759461855,29139.06355842622,17946.735171248867,2516.709819003534,2988.821425832629,348.79862334564973,409.3089648198462,978.6341617696677,7.98363140110454e-06
26,-1041.3122670834146,776954.221305228,597814.7319155404,122156.55913867036,62698.65340264856,17080.11488122102,28293.250015930465,13003.527051860026,2764.9207882660066,3179.855248828259,332.3964176335425,326.64318439011384,877.912032684778,7.010422781695453e-06
27,-672.6958175063054,803324.042197473,667789.1594272812,125344.40784289919,67449.60374704615,16390.52418646541,28548.891827725936,11928.459320301985,2949.7856213761715,3221.3061269314603,446.9500333655273,599.4820457184447,1134.9606000631493,7.13881315100734e-06
28,-666.2827668082382,765571.1690600038,653857.5443915338,123693.32677827655,64201.05514611456,16729.25640295176,27783.787458251994,14464.423002012347,2603.8794599783323,3011.0934376781847,340.2714353633312,451.7815093725592,1207.3982759218813,9.039733376704843e-06
29,-590.0471405711246,781110.213054219,749814.995316189,138635.45691122604,79506.38843771332,16520.16415420237,29464.820491687526,3328.9481043322317,2797.3182216033338,3106.816928996009,912.8252948456582,1150.4653941023264,2028.4124873997775,7.852847622854726e-06
