sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_V_L
0,-695.1069988861809,754990.157421326,661144.5329368149,124036.52765234455,62046.27289871999,48000.00000042997,17452.070035264936,7770.197723160343,2757.9237969028227,3274.439325823223,359.6707589953293,363.2356818057606,955.7639513343507,56445.682823665746,2950.167775419804,413.25915323544376,7.449179927005934e-06,0.0004375030683534995,0.0981090832061082
1,-603.3363357355903,805452.2659714428,689990.9138696578,118172.62780057342,63962.39965977578,48000.00000008234,16721.42940081799,13156.3178146496,2752.4810907433443,3010.2362315653704,119.2330380085554,441.66039990753745,1125.9372729566835,49151.97896734476,3853.022043883286,462.2980417277405,9.362158901251897e-06,0.00041083055686751786,0.08348755472840402
2,-789.981654330059,783433.6836970409,691567.0547047086,121260.46065599183,64462.93651255588,48000.00000015729,17294.649147869248,11710.485563214395,2833.1731235118104,2965.96068341051,267.2727631016879,777.8297910767033,1618.6271721718583,55996.90825397236,2964.3029182540513,432.903229003433,1.0256333549172845e-05,0.000454279059853136,0.1090666588127842
3,-630.1103423014597,790770.2564616068,733139.3756551492,118015.16968493028,63212.773144428305,48000.0000000421,17017.499653330677,8956.441523877233,2843.635137116569,3027.481051573563,121.63846313021365,472.69743595834774,1295.2513400996493,61459.8019237677,3115.862469143219,401.05693225734905,9.532510060062015e-06,0.0004849105786549602,0.09184821996458402
4,-580.6739968257332,784948.5214790846,665962.9832435267,120552.04740270172,63030.790437298776,48000.00000044506,17109.914817369838,13617.202802674308,2608.9245856960843,3047.9818788349207,220.16420098808976,383.05241052908644,1025.8787523285162,53080.49722926485,3635.385109640858,447.5794099518362,9.558461403484875e-06,0.00040489076019195516,0.08976348744336557
5,-739.1979954746384,799260.391911837,676691.1570028232,122522.29679431026,68862.68434136044,48000.00000001805,16741.910562995796,12821.715591782076,2711.866618406985,3088.2297477186644,322.07938862068795,893.5375562611594,1506.351072208737,51448.599335138315,3456.9308563017066,468.6375105307594,8.981586052125747e-06,0.00041959860990800087,0.0925022281966204
6,-475.154682111601,770028.4723305262,677214.0719391265,120620.13103115275,63776.129607743474,48000.00000039049,17393.628229615122,7471.350217514092,2765.2086697218538,3240.813109843969,252.2245064654923,442.399825949215,1135.0920854060244,41614.57012747212,4514.479522585969,527.7196116480343,7.845309281977975e-06,0.0003206975202309639,0.07066017865661894
7,-729.5758076295834,828501.6833216109,794821.6371079971,117922.90269018851,59952.19102200157,48000.00000053919,16454.794435676304,5438.32116790868,2928.9187916233036,3150.7600197016072,107.54829998512537,290.74379730332026,927.66926147458,53188.49803274752,3509.572661899845,444.2022684357597,9.538465908306436e-06,0.0004287613466968046,0.08809445470064943
8,-618.9793563234307,822560.166413222,678740.4686324821,123038.91021576461,67209.49456621439,48000.00000018901,16777.77931652259,15990.5760458773,2700.476756152292,3037.8674861280197,342.4820567962006,789.7278210705306,1746.0917906479121,50300.8861172966,3785.9186349959864,479.40806451540794,9.523635923621416e-06,0.00040288522156296574,0.1102076567492571
9,-822.6490324806302,785382.7832464938,714552.696158756,120878.9360030099,76009.70822315483,48000.00000006069,17105.363858554538,15917.687645503482,2481.658836854703,2841.6164986277536,277.8265376434686,1702.3300101816965,1845.2460955758302,50422.50711397893,3763.341122060199,447.3085045563558,1.0987978702938547e-05,0.0003785137561753641,0.09203770831207225
