sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
0,-632.692882157723,742089.9114468405,705681.1398762115,121728.8526498152,67120.19884129542,48000.00000041283,17544.207197051153,1484.0932656744155,3600.310264315609,2850.5664767233147,280.4950110335761,629.339977687528,1197.932882100898,37961.3877845863,4801.409075406097,562.5400278543215,2.0483116282397956e-06,0.0002912651634371267,0.08907900255353403,0.055584046338416904
1,-550.0462332859393,760174.5851981156,713214.2207035334,117683.77239799681,68182.31455379787,48000.00000036525,17333.02638077704,2138.1306042270094,3543.5161843875508,2752.235967612918,105.69074880809801,641.6893071558736,1325.429045953554,34399.813306389675,7143.548399126125,641.4480963064428,3.599968008152697e-06,0.00025530214083799405,0.07848146716618305,0.04322470012224351
2,-755.7830616013919,706389.987521712,689879.2643887022,119464.67966345587,69511.213068546,48000.000000087886,18355.78510781859,774.0339816538307,3600.3022534660045,2596.348309277329,196.9031188764533,1175.7553068460218,1914.004204387026,37319.621743741634,4423.177508929681,564.40065458786,4.289890942453771e-06,0.00032136403691819656,0.08970479702504071,0.06552895571322419
3,-573.7788304542668,717816.3100864969,639890.3948872284,116628.97760997129,71632.84361626164,49616.10529716057,18009.98000168333,3408.8098198884304,3602.364728360851,2511.0416447250977,67.75243728573471,944.9582793256482,1798.9486678407668,33865.26657184933,6981.540171920952,648.9194159652905,2.6471349422354522e-06,0.0002577601386485216,0.10371246737479341,0.035115527771008445
4,-540.6863523903079,736204.180757367,717146.7904062326,118967.8147482181,63469.50296392245,48000.000000068874,17783.146784575856,938.7959726553734,3354.3118780239406,2908.690467216635,162.96200236248035,396.93067571465406,1008.9228731706722,38788.73479697478,5363.408946227195,561.6373547734229,4.121397185514472e-06,0.0002964849743536374,0.07117581125000937,0.05861350413975227
5,-703.8666188601171,723141.0742602869,711741.3333798114,119493.00449627986,67468.42692808076,51266.5750260119,17823.710403798657,483.8690183197555,3625.416787912501,2979.105981398916,200.35064406719255,772.820161603654,1339.469172712789,39115.7670737356,4785.240712691727,598.6306533864471,2.621521333870506e-06,0.00031163431200845654,0.07486628137094019,0.05961025787704387
6,-445.75812031423067,770655.0803010804,753938.9951217137,119678.62862854594,64621.058731469966,55147.23799392983,17336.486299817152,842.1282192689476,3300.896739763778,3116.4657862982317,216.41604074754528,479.3077032946004,1163.8676521237028,37395.792433429284,6396.496458355486,693.3529545770577,4.507016604493293e-06,0.00023122053166837293,0.04928625687711386,0.04892680318400428
7,-676.4226422586429,782448.1113040592,737391.763486883,116847.31558162172,71350.78097095969,56130.38851564187,17079.94617917667,2500.7234316763092,3413.787164792992,2497.900158848336,67.90772924185515,1002.1135202444577,1554.9162604648932,38739.206101155236,6200.154657844151,679.0685159340134,5.658290158097118e-06,0.0002631315040751793,0.08800375273658652,0.045412469226746646
8,-578.5668912837077,745763.4745863262,653293.5053586201,119797.41019021625,65292.76224208972,48000.00000023889,17851.612926677637,3814.9627591281687,3583.133822620216,2910.0965132889623,216.27328244844148,632.8474220297065,1494.510948709062,35584.178422182966,6231.739377388968,629.418473690216,2.278498917932057e-06,0.0002716209528270617,0.07853254185427824,0.06979942240810788
9,-771.8156239759746,777297.1122991106,774498.9474875028,118522.412611644,78959.5798626323,53179.22719137682,17141.3868617907,178.33618635007605,3087.9767469037474,2518.2273345424983,172.29034863231303,1865.8306516734192,1917.5515873492984,38552.73899905743,6463.374218789046,638.0327481316074,6.1639447797545635e-06,0.00024101304166340007,0.08170742333404707,0.05411190369414228
10,-578.133645833859,743803.6213243173,712912.2479529352,119350.07051292357,69481.19439168368,51905.08452711573,17605.982591481818,1631.572944748437,3300.274721614469,2608.9947302928126,189.19549502924875,1172.6318246575402,1398.3611078259357,32126.439415989775,8187.751750117874,762.9496489323304,4.184337947758807e-06,0.00019455496992762673,0.09083945927512867,0.029688292447137214
11,-521.2098660195177,736397.8250414643,700671.150761161,118774.91415046323,65947.41027389075,48227.165442098136,17626.279607796645,1613.1075058203137,3613.9674383659767,2746.521370407656,151.84183906927825,588.6373175777203,1331.231131964634,36615.905890388225,5680.968157779128,537.0937384214275,3.412856445156608e-06,0.0003353438945513815,0.09141629831482741,0.06340666520946812
12,-628.6107264060522,757673.4974981798,726830.7437000421,122632.19300473014,73467.9676785937,50769.34746856349,17700.478421506745,1502.135825048842,3486.677194891488,2416.1686925963345,289.23271803516275,1118.5292623000391,2054.2205947999933,33952.6507573643,6595.17867467281,675.5886171459573,4.529318953079287e-06,0.00022601437466562307,0.10115693483896754,0.050407370744380134
13,-623.3183024507878,803683.6841695255,779977.3194925849,118565.42562272203,74090.75937930046,48000.00000049008,16419.431253051804,2115.031754743684,3125.7819832047244,2356.917149541507,136.33692301057124,1207.9762198533106,1386.0580282290223,38098.533393141726,5640.185580617961,581.1163877559887,7.609678392854291e-06,0.0003149754732354515,0.08533219719323845,0.06196638455042208
14,-443.1656722689062,762538.1709231725,706573.3948389326,118873.98000420835,71255.30588677587,48809.04100602655,17114.36104304864,2392.6421604416614,3558.6838346339823,2640.2121067389007,152.7258602083986,843.2584972077883,1432.5240697020179,32004.67840888761,8013.042714887835,770.2146831370031,2.9402108656210803e-06,0.00018253322118331157,0.09809642764688235,0.036498052615038995
15,-549.3388836993673,748467.2941161697,714448.1574602815,123269.74020028736,76703.24591880153,48000.000000000065,17654.701031424498,1636.9507461573808,3271.412949291545,2652.0877663259994,320.89658797691663,1209.7306848630642,2052.6991123740604,48333.71033643634,3797.7249768968654,445.7438933099583,4.344008088416446e-06,0.0004124297122951414,0.06941622184859911,0.08911065912407444
16,-490.3707817564215,747598.8780025748,725796.1535161528,119627.12680314611,65357.75188157574,50810.23299337538,17835.105513652827,1086.4933331624434,3539.7220028714114,2864.625954068764,160.24643165399695,532.9053304131693,1182.4260123904915,35525.67812641994,6040.900155893294,622.5460746738079,3.851272661969668e-06,0.000273303037024267,0.07277069198530428,0.06036671579428763
17,-529.7127923347687,754952.7845538447,717268.0260890881,119911.91158246197,67647.6127604749,59832.44776902721,17400.477330841244,1678.5127146821023,3469.5125003251237,2814.2066085595243,194.41330758015738,699.1762083215131,1081.4464590131988,30626.918292644717,9657.521464661299,971.2502281421279,3.228950320183218e-06,0.0001462292297814581,0.07841177282877806,0.0323083376454206
18,-794.449212028158,749383.7919959783,643832.8441883132,121888.82660339278,83978.82657992496,48000.00000000535,17722.58085443823,8747.951599319571,2906.4026800555584,2217.628023875766,294.814529185308,1990.5615824410884,2886.584814689823,38915.767695461356,4870.930793216812,566.3988199250059,8.63495217728538e-06,0.00033587007326882823,0.07620244176947542,0.060921942616905964
19,-685.617123278606,727218.557085271,688279.660919662,118857.29100983773,78359.18221848873,48000.000002366,18034.099109409297,1827.6964363335521,3465.5135462140693,2477.0973809218017,142.9406314443089,1173.3035419182236,2080.8598166818233,36204.4376947932,5654.437520187325,592.149106180235,3.7610400823542436e-06,0.00030864847375976413,0.10284820145138185,0.04937890853817954
20,-370.03663869323975,754516.1799352078,730333.2429445377,122429.35804768887,72202.94306991305,48000.0000007093,17316.091785449895,1169.563553530023,3508.119129353393,2796.6808362913935,335.4820883591799,771.9785366266918,1463.3393556413735,36651.37664686079,5294.471142798071,587.0231924941822,3.1074634732990694e-06,0.0002974583319758021,0.07380973657577108,0.05231875306442066
21,-635.3143038704114,741421.0273965664,714425.1113458513,121419.43280643407,69734.43228050343,62396.42529770083,17500.550665601153,1809.187054351735,3221.844825312445,2663.0460527089836,285.19636061305107,798.199084396929,1557.3108715199833,35120.436994871445,7265.2541600776185,822.4296297641082,5.7928114878596034e-06,0.00019083113165344135,0.07307276327510781,0.04019424819870492
22,-533.5425244956439,753081.6670487325,712875.1705170254,118029.22923549182,68684.66044374573,48000.00000019532,17252.125679566678,2204.385483567199,3426.5412682149404,2816.6201036950783,116.50683324593649,936.4904792659856,1375.4214706965563,36752.941772743674,5922.557079803491,590.0264754788813,4.922593632433336e-06,0.0003006286045439099,0.07394969452984125,0.046560478456291306
23,-576.2578494649351,734064.2159593876,693792.3870141096,118798.36515234566,70717.01822213145,48567.75294555559,17682.205466936663,2173.702239450046,3470.013894475153,2708.3791951477556,151.6457650527687,953.8896600020475,1503.6120629233828,34133.85869169549,6139.65193515849,644.3065105630449,4.887566240560874e-06,0.0002793999917076386,0.08036764501689561,0.047233705757624964
24,-751.9880269769915,741507.7253274582,697824.1431018494,117492.30008415048,62245.920068703985,61558.7760746532,17627.84536597249,3069.1410261053175,2875.9301277415907,2859.058745155426,94.54406732170894,435.84380723873943,1151.5556100740014,34158.58725766631,7173.73543650404,841.4248970807602,6.282437650364355e-06,0.00022294361180036042,0.0534818784660201,0.04250142872064682
