sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_V_L
0,-626.332501223314,767218.8164490295,757686.8560261998,130274.34692040883,79703.62140146423,58101.547587507834,366323.9442306379,17170.957122232398,500.56511372647253,3106.107806818851,2712.7535854346074,641.3084672585467,1318.7194662743264,1903.571469600264,36918.72697322659,6532.60812052136,738.9301583307995,5.7246586481957226e-06,0.00021705151478438044,0.16319853411659316,0.04101203532076786
1,-547.8555533936866,782873.8407730777,750038.1562149586,117702.31784382374,65633.83703339077,48000.00000068884,302167.9234100562,17000.154545224235,1620.8437553217996,3434.4899232037933,2889.023330425165,106.37187157138288,509.8331217515195,1174.8296211003776,36545.066215188286,6419.623748949295,611.8716977503929,4.6822959360127094e-06,0.0002771975793828751,0.09204834270883011,0.045390344360555425
2,-743.1224785015215,792829.9260828563,764252.5588671181,123859.56403627325,73593.65657634565,56344.51360357825,465640.1780797929,17070.304751067255,1997.1679898400887,3038.403407608448,2699.9806956181733,393.0411201138061,1500.4870136502248,2238.5932165671993,42988.7297195003,4849.950058812562,646.0711414259417,9.115165822119226e-06,0.00029018353889119985,0.2412233204611006,0.05506089754912524
3,-548.6800280823004,807736.9414400822,792368.4544688553,116755.74534631427,68203.27213185393,85283.8901315728,594364.0809149913,16699.070787905683,832.3444733037751,2877.963553085738,2786.5371114567374,71.86214032906605,734.3791060754403,1523.2132837914357,41709.23398735183,8610.517435048898,1022.5407618636515,9.688482947217549e-06,0.00018728942335034693,0.5443787979380448,0.022902403266071146
4,-541.3899904749383,764627.8473806563,743048.7290202336,119280.8980404733,64617.752472872344,59913.00974488143,347764.05464679503,17341.779112371463,1207.186447592765,3123.3090616195664,2899.88447715519,175.77218759224388,449.6029907264037,1066.815360483397,42329.057949795584,6012.703496960422,680.1997934212187,5.9767881320566655e-06,0.0002560826023456483,0.12410412459823231,0.04996705040458832
5,-702.9092435426635,840860.8909656913,827687.5667168044,124866.09828943333,74416.33234039786,74194.01779796861,402977.0745658249,15970.706172733508,736.0990709336287,3203.2257954104343,2950.58794976718,455.50990962915273,1222.3392344076942,1772.044976958716,45395.78672000158,6673.84851036533,879.4655186955479,6.160147111485516e-06,0.00022098319315653448,0.15621410337008645,0.04367643785758529
6,-446.3365972046545,757338.8813598359,711688.4461037174,119663.0742633081,63594.55676580187,51367.554334116874,224019.88341277998,17547.836097339896,1967.9881507445186,3488.1493975653866,3164.714722175382,218.3862171157441,424.02701870014636,1097.7019682572452,36269.37352422614,6189.787089774077,654.0894669221516,2.8722464129075785e-06,0.00024024549594181825,0.04699116108407927,0.049776077174131406
7,-661.9118503504457,817043.007165093,693013.5049897493,117614.67276836962,67410.37339051922,59808.555266424344,468540.6344760646,16604.904520009517,7397.646967232555,3005.339552092602,2793.7087697422685,97.3986580690291,734.443673893486,1301.7015008132323,41081.705968508904,6239.678891108736,708.5823747366653,8.321601569364384e-06,0.00025762898663036035,0.22093457469176603,0.040369199028190764
8,-567.7541939311722,821941.3065256878,779775.0431214906,124108.97491222834,72591.41149007653,54291.20220173466,365308.0213704984,16701.597620382272,2651.451678778669,3113.992967160962,2814.7666350677346,408.82995709180125,1116.5942791816572,2065.646174293939,40089.32926597238,6422.936979384306,686.6732532298995,6.925838821314307e-06,0.00026015621028040837,0.12895551066605068,0.06509057367399493
9,-769.8923579659506,779688.1284416562,718509.6210880938,119886.19225022792,76328.51359638748,68082.82708094595,372761.7521208665,17107.573861282974,3438.4976769430946,2994.67969394384,2782.804262128967,248.10276001345912,1622.3704247514634,1754.6173233997108,40222.36623923539,7433.77899170466,796.3980548616847,6.4092758366321074e-06,0.00020109970217388161,0.14602950470665038,0.046006989667544754
