sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
0,-556.1419339654175,754323.3327936836,714024.6987902522,122711.74391883837,62416.39771895867,59458.54268043946,17307.031720240833,1633.1316728803085,3563.485405929297,2527.7922833010007,415.13578727024736,327.98263562054785,895.594285615655,31443.771815758577,10387.513623303797,936.2870540064887,2.098622945333669e-06,0.0001402088289022156,0.09656143965538402,0.013320866681807365,0.029530038619375858
1,-498.3855993343347,785795.5621381828,730913.9882116852,117799.6620643317,62573.297924475555,48000.00000006742,16900.114392707186,2607.985601790248,3476.3911252991206,2555.678453470926,133.47475326305891,321.2758836927665,957.8418763318792,29810.827347511036,17742.434970657716,863.5233521157797,3.9526452800708806e-06,0.00012760153665500993,0.07814825075359653,0.010346250627671447,0.025458116363777247
2,-613.4287322840966,735934.1217919036,697321.786713094,116662.97459140925,61140.617734486965,56950.63502724994,17827.56663231543,2000.481853206491,3421.059286705074,2217.1342250846533,100.84030647635531,377.3330223988015,1143.7216929388017,29351.22581446662,12171.33953951136,1015.3139829325145,5.223020456034743e-06,0.0001239069135409248,0.0990574145606698,0.017488225179042048,0.028909842398611236
3,-520.1487158197701,714008.7566032714,676310.9682146265,117438.73018136589,62304.6362697503,49871.101141786894,18048.450860778088,1596.0755484264205,3744.334000213009,2498.114942094856,130.0477142239986,355.50721105024263,1120.779766761793,30868.07582420733,9560.915618490842,749.5395620490862,2.183127517235008e-06,0.00019669077465221143,0.09521004705159865,0.010938818928141811,0.0245978884963268
4,-465.27266318648174,784896.1543357313,742996.1207939464,117529.4811742707,61854.09841878301,68920.36058075262,16987.57596742078,2473.910658539002,3122.8990403929965,2392.5991919345483,128.31142826612566,282.4761596859984,874.757335307787,35222.5718484691,11211.910747071357,1006.3978856841233,5.6631722542906625e-06,0.0001513018559767698,0.08599335627532964,0.013533240356918627,0.03197825231387521
5,-532.606200800517,775365.2883670882,743459.0200881133,120291.60646243983,61524.361615446374,87725.09698667531,16950.063337878953,1569.6157409817047,3381.316434895657,2475.2129902299707,362.71618510521955,323.79325423273406,913.7687393884494,31899.907198446537,14705.109247228635,1461.2858696573505,4.032110089338799e-06,0.00010894816240058075,0.07734332188156334,0.018906826683573484,0.026537240740468232
6,-367.8425821688369,769283.8475330478,753139.3492408318,119465.7743659431,59479.15476530711,67588.24217385575,17330.448267155618,864.0793040894583,3189.978376821411,2769.212752853887,265.5605771763201,186.66805440120757,812.8974784670879,32217.7288277133,11969.732033059334,1057.2012555257427,4.939303887254069e-06,0.0001287818141476336,0.05310898566781239,0.012088266330315208,0.03158659150901239
7,-645.568062464178,771679.4937227071,719440.2078031227,117571.03784664892,65986.31704392661,51736.154056101244,17237.66099786459,2629.30474935045,3484.3180873349947,2444.588571638443,110.35679765816171,604.5268856775507,1186.2446912174055,34051.84395890706,7892.095179657416,726.2221555408236,4.802727682568229e-06,0.00022041243750060664,0.0863080837383691,0.008036499081560008,0.03580550654020652
8,-495.30020666221907,749037.109239694,708578.9805781473,120102.98388759657,61635.67000758379,48302.14695754048,17737.909262955432,1759.6143876550323,3544.636566065264,2537.9929662921577,297.0553932307197,345.24572497781577,1148.7378065400453,29638.976164259308,15327.227088957243,871.3653329065634,3.1624333639213084e-06,0.00013124948881838874,0.08937453269643517,0.01287332277326247,0.04176335337296303
9,-616.9863900057517,744784.7763231965,722561.075813488,118735.93056291944,64718.35323006297,75079.30859183831,17585.990952220243,1041.5922311294137,3325.0975853582663,2481.991680960398,301.834966279574,599.1003008167892,1033.2864310211573,29472.362460258508,19733.60506815257,1267.9961654595577,3.6514622607108745e-06,8.73766699868967e-05,0.078998043475504,0.017086469040142355,0.02873522097017495
10,-550.959483150508,733842.4183767018,690931.0979922052,118936.81128234781,61564.423386328235,59358.99425753387,17749.168763732323,2014.4970580151821,3417.6487319838175,2634.3388368269516,197.67085789731146,458.73857467457884,903.8278387018743,29619.813569095397,11986.95914047121,988.5599981052505,2.956088987547024e-06,0.0001334676594699826,0.08813732782671649,0.007342057775359216,0.022009637570000892
11,-486.21324479052026,764244.2506077243,696291.1683484121,118027.96931616729,61339.36869399153,53746.00899789514,17143.188537066348,3061.111036414438,3576.491856684135,2543.018484916648,142.39492942425164,300.29710777651167,988.2955634168919,32788.133177672724,9792.765492856714,732.0017067831457,3.3874924344570794e-06,0.0002234349155300838,0.09789233673068302,0.009531359815924526,0.040768692740421913
12,-580.3856088147493,750093.7802156137,708348.2795863128,120205.19286345148,60046.505075011264,48151.06913712343,17776.573442599056,1705.4965116246053,3726.6337224832832,2501.888402058644,232.36289495600965,252.50312565974048,1004.9377590654558,29062.023113457766,12004.767555030836,821.0319909619919,2.5820828158324685e-06,0.00013022503435381367,0.09852794669347263,0.009816180068794408,0.03433081787227109
13,-551.9503915116937,749269.3300812256,723355.5833594282,117742.40768044244,65308.54002280148,54014.68744964527,17185.25701463229,1593.8755294749305,3284.9445591093204,2224.0545480473193,132.49091830115916,547.368619836569,902.8430410517886,28834.42387088813,15162.173703657207,935.8625537307838,5.713398468496668e-06,0.0001406978814773813,0.09676609687280566,0.012975021093959363,0.030958004327289585
14,-416.185710984875,738525.309403781,711742.6476994914,118109.19321828036,63570.88725810439,49389.85660096818,17469.533668567798,1093.4519001501685,3646.1491812089716,2636.3358577100157,137.66001065943277,397.9673290422882,975.5200313275652,29007.580344861664,11478.813215161454,894.3180666193731,2.3292819767625847e-06,0.0001236094849779461,0.09490216582797945,0.007402898943589063,0.02847875701662093
15,-460.9671319373322,740386.6736938724,710043.4840656732,118069.42979191194,69366.06012996896,50497.2432398242,17639.036211266186,1458.7728369434997,3185.633480995996,2092.915022558854,152.82493737701876,658.0142979584671,1421.9739465230707,31159.25169568933,11716.879022136332,772.5949558207949,4.589959783015029e-06,0.00017621316478327742,0.10613717533079088,0.01600408975819021,0.03458975768932926
16,-443.4839344337855,755534.9816865242,709367.0547943942,120064.40614195271,62018.843248887606,62808.47159270742,17674.13736618793,2196.93284567827,3539.3825699299105,2581.136420935499,206.71134770129245,317.4879140707435,945.2207131053442,32093.041981107428,10303.422318308702,915.0739879143724,3.449567093522776e-06,0.00016897474553642522,0.08320582682901427,0.01033592829620765,0.039514595600294106
17,-483.18226388365696,753790.2995309584,723854.3731629751,118799.25274090323,59953.93815215298,57203.287911352425,17430.587974803435,1350.2439973694711,3436.376080303003,2712.1221161379267,171.43305681815318,233.18840654762235,681.2672557925508,29496.34605100809,10976.871483432049,1000.9426493109893,3.323987035565205e-06,0.0001258509860454182,0.07499294259100786,0.00898185423768419,0.027600833424884355
18,-672.8895614249861,728745.6491559887,641490.9381567424,117178.99081591825,63763.01626370118,48337.166196803126,17932.468846284522,4820.100980021342,3253.594691934633,2288.137975339472,134.70282366045186,475.42296078770113,1244.2217550475475,28290.18816255482,15205.252120287012,903.0773827811744,5.097041578383724e-06,0.00012818564288892786,0.08166993478127708,0.016708367181313535,0.026288796133115442
19,-610.4034905714643,742066.0565216206,675636.9774738383,117420.53898817295,67680.09563977843,52754.82135927434,17766.02488077547,2896.435014996281,3525.6947384033615,2376.0000902496786,110.73557172853002,549.4790096472692,1334.5507596964835,31554.017127789863,10147.792096634641,823.4647980424133,2.8613965617034994e-06,0.00018934179967913646,0.10296665717230313,0.012940581360629902,0.028804560480768123
20,-314.1138060035905,783091.7546365793,738281.2211959732,121117.61475729822,63442.59391589556,51039.66779929347,16822.683010973273,2148.961403147756,3500.0003366374294,2606.5356589238836,347.54881917775964,327.2724976852708,939.2165081613449,32524.798847543774,9001.161782470715,783.5808563222407,2.9968318499207325e-06,0.00018853725969042705,0.07652512555420145,0.011298908963970494,0.03282508750244297
21,-601.2424676042692,785597.5182770538,771558.4663965985,118252.68052013934,62326.85909344559,86296.26302842268,16800.062148916728,1259.041565492302,3087.880456394728,2507.78346884665,160.78212556098467,351.0077755353006,1044.4016190994992,35319.31701306782,10569.657504971407,1210.2374036305434,7.040872059585554e-06,0.00013050919967135698,0.07071928432883116,0.00847563131970788,0.031190120271810673
22,-497.33675010547915,773756.2162601425,737827.644995723,116432.61795545604,63594.816216096486,51778.92895793611,16893.442977406678,2200.20475213586,3322.3949412368697,2586.7355711981195,61.720242971570364,514.8780251592706,1030.307539524094,32084.732836469113,11022.172717054735,807.6034500265553,5.672369773769267e-06,0.00018528106598735987,0.07788666148895251,0.009272677082720112,0.028835308290454834
23,-459.3568506850234,727771.1090309162,675348.0065159402,118428.66554886689,63394.652368583316,53916.68755694663,17740.98292444529,2831.7156856485713,3389.2177018939337,2425.4096772557664,178.20994809062157,421.31975157023066,1006.0823340228584,27937.342464006437,15456.655946980442,1004.2752691157581,4.831578225811304e-06,0.00012461915362717724,0.084053933377084,0.01516176435398188,0.023534178684653857
24,-686.2209005857162,741131.9073352929,719494.8060206282,117208.88771118794,59435.0387798599,48182.884749002136,17600.716375356205,2151.791869752471,2657.0879373521752,2521.8723720935855,97.58326279573983,228.14348061948456,907.7005040211003,26803.526250457886,20641.141053569077,1003.7774031571302,7.945038181377404e-06,9.181031399833623e-05,0.05282623062162364,0.011080667353442122,0.026393932675856928
25,-498.3951513964556,791635.5379687839,753029.2824165091,117409.02949742164,62344.64422141331,48849.56841101216,17078.134540517596,1855.8454179918174,3340.9278131690453,2437.0881537060527,117.55079155549433,355.69061148788194,1147.9564238273442,33530.244649603745,8017.170422639133,715.5423190163706,4.758825376662451e-06,0.0002123096289396271,0.10123701622428953,0.009005543708435015,0.04078070241026349
26,-627.3794250988005,689371.5952558955,657258.9905479416,119307.20154126869,65356.089053285876,49388.56397349907,18054.958970689546,1388.9827705028542,3423.5066504211695,2824.6556324247244,171.16081472495873,521.0123410577048,963.9191480748241,29363.77967307134,8692.19969747498,735.0751276498528,1.6519629049636045e-06,0.0001758803109772027,0.07279166641139842,0.005703018220471069,0.030075637356597046
27,-400.1551155822634,778937.5774140456,745274.681583036,116708.10841998781,63635.002891989025,62878.06018095495,17024.08786340024,2079.2660983735086,3207.5645386622964,2414.6376196179435,91.21475437467267,483.37883932580854,1238.8300750774517,33995.36705396836,10392.009911734873,966.4308059404252,6.300041553755079e-06,0.00016888872395167916,0.07989205579015948,0.014143071725710272,0.03376463680652551
28,-383.59806425099964,790508.6891929129,755551.7151978627,119321.00551674385,59178.18305230917,54469.631627951094,17036.162348707017,1851.1927925253506,3502.945968716372,2642.5937184528716,250.30335916132336,167.19512905228083,705.8243650000562,35023.281047400546,9245.90295982805,799.3473811115224,4.447234375221823e-06,0.00016576289462029328,0.07359729532478908,0.01062752563197914,0.03133941662366569
29,-507.8117624225124,734248.1199338657,699707.9467294491,116650.13720052327,60219.57761408746,62188.16616792274,17719.98968490439,1829.3605928068969,3144.8835723455795,2431.4651687489454,68.67370872466182,259.12613511494857,778.7161260824817,34069.91335825784,9005.378206850073,831.9708963685947,4.593346836193677e-06,0.00017635105470435126,0.09302521267882428,0.011899821798019078,0.02921335594513739
30,-498.3073994690465,735997.6851427493,704786.9447981545,118827.55896544618,61102.199574422826,57775.772763009096,17883.25202481127,1596.4301027488104,3691.2676164073255,2706.24195171338,176.72392174572704,308.8892965098243,892.0487947703024,31844.839196431796,10515.586819693995,849.0122557369532,3.9627584334950356e-06,0.00018216685569727938,0.08047824886553805,0.008805089276056383,0.021642361831790174
31,-643.3101853361625,738415.123897878,691532.4711160127,118388.38414600589,62050.8916854552,59655.85347784356,17838.960227607662,2303.1003018750102,3246.5708069641196,2409.6893544096038,188.21949845623294,407.24612180728036,843.4592084047877,29551.854444106048,16169.9946163455,1040.239005430123,4.1080090225162795e-06,0.00011695489939376989,0.08660013203676163,0.014955954342216147,0.030307837573068378
32,-565.8313385667113,820600.69700865,809275.8527247977,117090.30542131588,63074.11370011532,50024.10365653368,16441.920264061282,707.4832786867947,3246.6730674003015,2408.2658271111823,105.7888172410214,378.98611020426233,945.702857562017,35758.8814357783,7954.245858098303,783.3547466368253,5.306753945007625e-06,0.00018420855778983008,0.0717910217436158,0.01573850237686597,0.02722626643214729
33,-524.4817514083895,721493.1924401225,674242.2660909898,121275.65420349389,59200.26383366673,48109.432314699494,17503.611616555325,1927.2602930143191,3565.595840863199,2777.940879941048,362.1477570829957,183.49174556936848,685.8805205887719,29706.1836409622,14789.947505644575,775.0245117987045,1.2725309495118106e-06,0.00014907874053593574,0.06407346648180101,0.012291366742700564,0.018513737977612393
