sample,ll,T_NDH,T_ND,T_AN,T_CV,T_LY,T_H_N,N_A,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,N_MH,N_Yor,N_Los,m_AD,m_YL,p_H_N,p_H_WN,p_V_L
0,-546.5030096263114,761825.5976812576,713578.9648811136,124487.83385297975,60201.32127354456,61885.88457691738,355468.7439488954,17239.0810052612,2127.711585797445,3264.2273837316334,2738.503422243364,511.8712047508871,222.98280354922636,773.3137511970106,33766.766442879554,8605.976719504431,890.4553344886345,3.969686201932659e-06,0.0001658026185578532,0.14786777709571725,0.013088886111999128,0.030288167244454243
1,-494.2201909700607,800828.8952352656,760270.5470442824,117460.19650536703,61428.74842197927,48000.000000960834,316574.364372743,16693.911858273572,2356.1593780390685,3217.852595158561,2624.8233293889375,115.03977408236302,268.8836999903546,889.2468789251753,31139.55057594343,14159.890957524174,815.812084707846,5.924637926936613e-06,0.0001523030282872934,0.09966317872085143,0.010214358221677976,0.026784639435249405
2,-601.176393796736,766219.9474600482,721174.2233992738,117063.35373137238,58947.52857469875,66380.14955024881,364646.33578643267,17413.742974932575,3089.663491686051,3048.5375316245763,2370.3961191364815,125.43707421587264,232.14863869943292,970.2886494424282,31844.49900913749,10861.313394516532,1088.2315930740851,8.270883137572326e-06,0.0001377963571704271,0.1608316965151671,0.017330934077960727,0.028636762316395833
3,-491.42130355152835,725463.8351571064,675160.4626953827,117812.34422683246,59821.90400750798,59040.86281045252,592094.5013240991,17984.60191541217,1482.8483780591068,3008.2522644134856,2756.7065762466627,144.8914770772523,224.98252802273078,926.2881073744189,32542.733061086838,9155.620809803733,839.5861675565068,8.00426499460881e-06,0.00019456398003052578,0.5925755435191887,0.010548723114054711,0.019867882248647023
4,-462.0608306338535,768501.4731816018,742353.1290053894,119259.84656130994,60221.05839744648,72361.0061476561,300954.4777568957,17254.146055708406,1510.104661338392,3095.3439605144654,2545.864178765232,223.8978711690676,210.48240737704177,784.0800234431631,35338.449771275744,10834.12585132228,1027.7728636279496,5.842549805949108e-06,0.00015251785797639882,0.10588266645875798,0.013401846515280768,0.031555302387620256
5,-525.9868205154319,761328.817162839,735303.5756174366,124391.77020208405,62014.99637979863,92533.66099053163,311143.55952448223,17185.05143816255,1224.0068460589343,3360.15061324281,2616.214271953419,673.4531410791045,347.43102009414963,938.4282750244633,31457.484932594725,14925.341048978185,1525.928552412595,4.055603719082401e-06,0.00010628178500211684,0.10152961721406485,0.01857647704821386,0.02546672037140743
6,-367.9398746820265,769299.2615619571,741704.3756613475,119808.80935418735,59348.02960345554,53004.23100149098,249094.01244067852,17340.268875292975,1440.1149579999371,3205.8405022678403,2798.869006525502,286.19665531926483,181.21171939547858,805.372565506603,31598.34860664472,11007.254371622394,852.7161285708601,4.743069685175086e-06,0.00014438271883884595,0.05153608859198661,0.011866587216113927,0.03346131586196048
7,-624.8229568686975,812337.2670824546,755422.7094039097,116754.9421040975,59925.906510694505,59607.79700829905,436579.35292148206,16657.747804488612,3429.8624972554194,3136.0634143256157,2733.5042141676813,74.81147393353838,250.68134978253158,819.8500694280365,37910.824011701116,7393.292225298645,777.2922707308154,7.553635816895787e-06,0.00022433428472506449,0.18660647795639237,0.008434460487051024,0.03291667410275983
8,-484.8100165201679,803129.838026266,769084.0145912718,121966.58779415867,60952.51793265427,58894.6463601849,341407.42756865226,16946.216552420206,1762.486492808526,3270.2102784657227,2681.6667023517057,406.7471461571359,305.74623745557795,1101.8448782135126,33902.00628607227,11272.186228100281,930.8218709014001,5.467959151286632e-06,0.0001620597602100683,0.1255059295498515,0.012659724939193347,0.04384237295937886
9,-611.6300031876872,761938.2405270026,729391.0133314275,117361.74335481878,64048.81885701586,106698.01743019136,335633.28687634866,17351.565894420164,2034.5094970694688,2917.0449924464347,2490.6585726471835,181.6831408116447,547.5732246873736,990.106759848521,30903.34437371714,19603.373665614887,1646.6024636214834,6.553738173388333e-06,8.28501783399539e-05,0.11541794182205484,0.017172163485293587,0.0274170848580215
