sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_S_D,p_H_N,p_H_WN,p_N_OOA,p_L_S
0,-814.8566126628612,750674.9451831817,706173.3432077572,122865.89251112522,59830.92419291368,57675.821280573036,55422.863800275634,33384.7509720171,16987.6264525899,2357.6103306433643,3167.648049128964,2782.427749960348,204.22864602792072,753.6153517238828,405.119880515154,27990.87127948959,27097.41048716921,198.707347432352,1577.8321671680208,10290.907955362609,1480.1810520582007,4.671046340098034e-06,3.884597013062444e-05,0.016637673595878956,0.05774157219958147,0.012038192403564256,0.021790018574638012,0.7106968135284812
1,-687.1566128877781,760779.0266730614,721738.2035609267,118139.55891869546,61809.75208541787,58064.963380188325,55457.0090064279,22774.053179176255,17031.072087014978,2241.402162907812,3184.361900014907,2621.434258535215,285.22015346285224,914.0653396941684,153.07653726132406,29927.92037044571,19525.659266903254,192.00090480239132,1381.0935792441894,5609.766787013427,99999.99994821957,5.608939482932916e-06,9.35383170362435e-05,0.010866197360736504,0.05733165402924241,0.010441044916847332,0.018935470790819087,0.5114879614361543
2,-877.2244524625652,733136.8667478875,696673.9481641782,118381.43866147382,59309.54962765575,58218.12113724173,55589.67406702949,27008.257112113984,17497.45096975231,2217.2776521127525,3241.6870461469384,2431.210987641705,249.51365344509347,996.574885410202,220.40808224958377,28529.073543689366,20493.476643504055,201.17162586592673,1659.1902730711013,5457.554020629033,745.2695455462508,6.4881620741908215e-06,5.985592966470373e-05,0.016388531658914903,0.06320381842938905,0.017114063101343172,0.01718363028751061,0.5521216527503693
3,-811.5575663233519,724690.657310684,685967.9185393064,117662.30768076969,59567.19521717579,58377.89931804726,56096.42787064687,25783.243290783437,17353.000527612203,2182.689908098941,3271.605641065789,2758.611829859665,208.2273732704099,912.0871546901927,141.54447660075323,28521.186812483844,24634.399844614276,186.06772192041223,1507.894054382982,5985.667424049972,99999.95626052484,5.180656380021555e-06,7.43607188710029e-05,0.02084267359028875,0.04890757291819245,0.010600057823990908,0.013844385951803104,0.5386891510622083
4,-750.1593366113239,740335.9161346398,705826.6543423816,120119.82449757717,60553.852767758544,58086.60358365414,56084.09161089291,32812.39299409719,17365.20784342237,2227.8134694345063,3007.479125513367,2572.8005135974004,223.134522080285,774.1561796131664,272.2797858623903,27607.456381061882,53497.8926651821,184.82953404019094,1630.092705425732,8111.035959448251,6931.467067849282,6.233916598101287e-06,3.193577691309333e-05,0.009456620130479793,0.058675884503401284,0.013608017994697063,0.024491666065849488,0.6958800926950958
5,-809.4822070269494,752221.70620676,714742.2091316947,119130.98386137775,61394.22834470784,54978.544602818925,52507.42143551229,33145.70887822137,17102.689666625873,2165.7155070357508,3096.7925642640976,2560.029670971968,294.9155543896566,887.4235674508283,254.2783519412729,27904.86629747413,31296.631962293548,196.2854013592913,1688.7562272999573,10558.32581070381,807.5839095231668,5.5077929625434924e-06,4.3063207525061816e-05,0.01040343412130877,0.0616433699642229,0.017179677672593843,0.01985971519936125,0.746455453134036
6,-614.4322092777232,759565.2338072781,717932.595564704,120759.47092404866,59212.718062854336,56770.83577532995,54646.72280820845,35669.073405601615,17284.700564080576,2208.5244724715253,3197.5509303077015,2792.400585489271,180.43902176651736,784.5985595065606,364.16735196081265,27102.89510545653,51536.49633040611,195.2671914566884,1705.3862647183648,8673.393789526539,7574.174563663711,4.888307656373538e-06,1.9256556903617415e-05,0.0030253402125921948,0.049527628899193904,0.012557545591970132,0.01901367554592261,0.7998370504468453
7,-940.7758528819907,760803.5919368095,720110.1924945184,117698.06209247059,60675.365135307395,58194.74222626276,55566.05035469177,22703.130522410756,16952.374543964714,2319.7074647387026,3302.8468557028255,2716.4278735251883,291.8698476395026,841.1628350801138,118.97611716870254,28933.45214527468,25866.72942937757,203.45086555721082,1491.758861784964,5308.727215109072,5489.358249532638,5.870577759871937e-06,7.368246641517393e-05,0.016403926843596713,0.053330760727479595,0.008546203118651728,0.019698450429617004,0.46127657310740905
8,-725.7134458491596,766292.348314069,723965.7443546201,122647.14670575823,60147.96722924726,56814.47015994712,51360.18026382008,21830.804986610816,17130.705858882586,2050.0138559596116,3437.819100477956,2706.3008801634046,272.7890919107165,1021.9525745477216,460.58966414654225,28013.08284436943,55859.49257583936,416.11408821903467,1768.5265122383694,6085.902872119153,1396.3429420270925,4.158128730933922e-06,3.0781425806143155e-05,0.011599152923090227,0.06733238074123178,0.012823776104101708,0.023653093934281624,0.4368393753535465
9,-883.9721737615116,750978.3384329205,701329.4013813252,124585.41352448594,64434.35539527822,55944.22995998073,54719.36567924349,33294.475282356456,17261.605021353786,2171.3931854223124,3349.476202151396,2758.564495926638,555.2033962152539,1024.2508590620264,786.3847016737628,28336.019270285116,35291.867942476536,101.44135568027404,1478.091229018692,6823.0554809485275,99999.99999992186,3.080310798637162e-06,4.167509182951912e-05,0.01001516948920469,0.05942414457173656,0.01564429634543672,0.02493403868494991,0.6346010163021834
