sample,ll,T_NDH,T_ND,T_AWN,T_CV,T_OOA,T_SL,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stut,N_Ust,m_ND,m_LY,p_H_N,p_H_WN,p_N_OOA,p_L_S
0,-838.9202112363771,748214.5163091137,690687.7977741376,120208.09278149079,60795.509421638955,56436.668366049584,54406.77880909252,33777.72481027129,17323.403188486966,2367.3128692464393,3564.5844271235674,2568.054327667741,250.78629236151025,813.7950048916395,270.7937619670663,26915.481865386188,26455.1220267391,173.00038180516066,1581.7666026839393,10727.917398474343,1190.5143568567883,2.1010875735461764e-06,3.629742719433669e-05,0.09960011074036554,0.012589244918042615,0.022457008472796948,0.7140554686698212
1,-695.7358170057237,763241.5051340042,712587.0125131932,117697.19746251128,61316.73034349698,56898.77605355098,55185.41048472802,19013.89078636017,17187.22284321342,2201.4056396521028,3573.587673070354,2571.3333319661606,265.7489401900379,903.2825016510366,136.0078469078781,29314.040997216278,19039.048264578683,123.65725170719104,1405.2855942538797,4889.412711271857,99999.99943069808,3.1089463279034915e-06,9.232832821006591e-05,0.08349939126864198,0.010851105318763212,0.018892731345738618,0.4573031207429694
2,-898.6304071161692,772134.8792476249,722989.1864033313,117131.57802946182,60323.134692100895,56380.685641517695,53690.19680829353,27959.12478965414,17188.51659251877,2399.098075112928,3575.018197509524,2255.0904650622074,312.57218690334213,1093.0701600508582,143.80367748667072,28440.286855064864,21843.548328621524,203.69406502971458,1687.787798952009,5857.933333342306,639.7151069471341,4.601335522531616e-06,5.072283607766175e-05,0.10054623888349364,0.018371505717202072,0.017032191068300746,0.5450672716153699
3,-841.6800316297184,709938.0777725998,649601.9792076574,115757.60213284491,60315.50817979115,58517.70759634587,58317.98070681171,30701.369221877456,17975.279899060704,2473.122659313221,3745.5142153121883,2503.1646236343545,247.53471932202982,987.3569049172054,40.109629695610906,26560.95359184631,24876.790471450924,18.822147225504246,1518.7902201480426,7517.901032821295,4524.860395427242,1.6802866956552437e-06,6.8017774404207e-05,0.10129711955142112,0.011627789405124959,0.015923911383531733,0.668564368693582
4,-750.0963715520597,743441.3601329414,700062.9344162091,119292.6025934165,61751.161057746926,60518.50054416167,58600.85978151512,32810.15376200515,17487.9729741298,2466.010905243921,3151.420446188787,2451.78306946147,278.25386802952704,847.165421817878,227.06100363786427,27325.367848206384,44124.99337190313,191.36760062832687,1602.5554454781573,7993.385765256498,99999.99993536639,5.242040967997352e-06,3.898864212478055e-05,0.07967772328333558,0.013694204051283796,0.025527243071375064,0.7206848100574198
5,-814.0442074170913,778002.783182918,730032.3713681789,117894.03974353454,62412.29037190764,56456.22437583207,54127.63088114605,32975.32589688371,16890.086402953984,2466.9185870528054,3283.388940169715,2439.46667522277,350.02759017320693,958.2172933405496,175.85314024144068,28122.052765037177,29907.971487733248,193.31426686905004,1692.7324226991227,10435.482176723157,922.0075072689341,4.5116630293087824e-06,4.553698655650696e-05,0.08415619216020205,0.017266083272138126,0.020542337251358185,0.7572713307933603
6,-619.3444410570207,728788.8858053067,676675.9041091228,122888.6189923365,59488.712306622,55807.481453395216,53704.44121772686,36245.09706321847,17813.16008453947,2351.2390542879193,3373.653478768955,2828.245166640827,194.12037243976334,805.4655816323772,528.7740790060647,25914.562681095817,57133.24168444501,189.14260099818284,1732.0982147998266,8984.425333798741,3252.9684836731312,3.1853400095268308e-06,1.3120007670854477e-05,0.055671145654951446,0.012711632396779879,0.018866494630375368,0.8158118086214606
7,-969.2880553934856,814380.1468060188,775147.5335776461,117009.17878381527,64773.47894969353,57284.25208475468,54910.39410812008,22431.532263994966,16413.611495530018,2078.597842323165,3509.912807281286,2412.925577792498,530.304274810394,1094.8206928362404,87.92118485389287,29285.536281341003,27555.931183667726,184.83939080583596,1531.1629953800111,5422.094173148036,4248.919121189357,5.1723611906196875e-06,6.734436618899206e-05,0.08991783055901785,0.00913862896945892,0.01977576744585688,0.4500134795542242
8,-744.8474292814803,743669.8472321193,696102.1641944558,124348.83551136634,64883.15911564835,57183.440560263705,51870.3713075913,19681.237469645777,17681.064128922284,1925.7315822953567,3723.732683874603,2494.337680333804,553.5340011420544,1383.318684240924,593.6425436945943,26961.530338366705,43213.96853160604,398.57462680958946,1719.0219361216991,5504.7222909461325,1574.1191144196773,2.2034161859485165e-06,3.808065852967992e-05,0.09573198619380983,0.013354387913294932,0.02400001944363957,0.4152418936299578
9,-885.3863072326607,731880.9700052456,684738.1365982136,117006.8867801007,64079.65117910706,58755.8804332572,56408.85147756807,33995.47310659162,17732.945194952947,2367.6527216729714,3152.7664195692505,2400.735126605734,528.5745417285509,1007.1751787096636,146.50900851496183,27230.342201552834,32238.19044899784,204.4625748515034,1459.4892715820754,6969.79407862123,99999.99999999984,4.388918389116549e-06,4.596330777785455e-05,0.08431457799531292,0.016930425379526597,0.025971934315961807,0.6787711089844384
10,-850.4228848907201,786498.3046288181,743648.4887960323,117731.2519866916,62825.74669891632,59902.99324093932,57751.53227383473,31036.265527619245,16905.151171934223,2301.753696818708,3338.8527135339937,2559.7894178636384,495.72717939440355,1035.438705471237,135.2106793038115,28484.48620399236,23190.251313659333,199.81925590849062,1550.4279532722908,10527.287133712007,99999.99999955096,4.347411556911443e-06,5.813026930931007e-05,0.09235191980994963,0.007057433688350178,0.019286057396919663,0.689253161499518
11,-741.9535035752374,777633.0229218543,719704.604602593,119837.19083496046,59315.34793020873,52248.438794989306,50803.84649595307,20612.56882130085,16794.576958750033,2234.4895412874725,3947.5193909465465,2640.5315399789242,198.6605026994264,877.0735739489547,265.34838858193604,28861.072865827817,24522.239901911616,95.17439501027704,1334.8098233466485,5781.285340207527,99999.99944251582,1.7230972001782135e-06,9.371633220748963e-05,0.1015939745190674,0.011767780476321757,0.0207878150331284,0.4471666303988471
12,-827.3641135526624,768479.6669285771,672853.7434264682,151379.56646196876,99311.65546337463,63384.91573394794,62862.17911776086,30786.020351004416,17427.63539621552,3876.427045709087,3669.194056035236,1866.5491457255582,2542.6155550660574,3878.3583460411987,1800.0933897661112,28247.7397879276,20396.339885089412,60.6943490535333,1452.4148294294473,6768.644136700706,99999.99999888163,2.566191411666731e-06,6.563051881238256e-05,0.10891249943556999,0.009541493136093388,0.0221929408426776,0.6835000318942015
13,-820.5255606947562,746007.2008201502,709114.7427915614,116987.94974236481,63838.745025323326,55949.36728275478,53822.11029229137,33140.51272386857,17178.82088079407,2083.1378148740987,3360.7781606877506,2220.9206957992833,457.0151984731928,846.4658014970626,100.41825308479574,26353.19897070119,40688.68317200114,176.54931221767802,1653.9286970996245,9874.572401380703,99999.99999905145,5.240786945913855e-06,4.505154052810975e-05,0.10496005329903145,0.014179464312645296,0.02052674970429289,0.7090350412535313
14,-644.0743334181225,740964.9194321143,689227.0065478849,117491.9257058207,66031.28352665283,54978.07659508618,52292.95142773593,32678.327770077733,17402.965043432916,2428.0697784185445,3375.619439796775,2472.43395716455,513.1398118618465,1132.0682365776152,108.422531471326,26706.004313717753,26183.22637487365,203.33536425750108,1705.4227771005328,7427.705956245217,1066.3227475773097,3.868006394115966e-06,3.6775421358330306e-05,0.09946597449188,0.007431710922421736,0.021151923184862875,0.5894155380388336
15,-773.9053783094455,798758.7695728969,743580.525123255,116926.92398641458,68642.20905924444,57657.298568203754,55569.79404022213,23158.079945632857,16548.12507167936,2598.2979825861466,3278.4921642701966,2123.592418021573,622.4938200988299,1382.0977772204826,94.19161308064066,29055.07673519686,36294.4939945303,166.82053777951484,1552.2629589876408,5037.098995655622,99999.99985688587,4.477142483260499e-06,5.866399358635268e-05,0.11317805437546401,0.015627618179769934,0.01689997707835584,0.5144995897298101
16,-709.6331790371178,779485.0628034126,722945.8477086214,118686.73643315825,62831.27448071492,56361.44370719095,55977.339704669284,25543.01740471276,17151.08320916446,3142.2604147767956,3356.903573482385,2400.1748764499675,360.34677130745143,975.6816521505107,156.31953118364814,28551.136638315853,25442.945729504816,29.893548684614775,1506.4857532608185,7418.2799042782335,9493.552592434678,4.893667883820471e-06,6.859204663807902e-05,0.08920363913979092,0.012353152609051702,0.022389262995119515,0.5567978728099646
17,-741.5450462761428,797189.8513611348,749902.8890700157,118574.69190228522,62204.58750483503,57681.84401487559,55466.690361515495,34773.030613779876,16743.608621349937,2369.155113128455,3289.4277802810943,2593.644834456843,329.6625532526264,809.9030966169407,164.38800316032783,28650.121593241252,20120.390845403756,175.94722793532767,1609.3887884081146,9778.043128812194,751.7429884749697,4.442860859367217e-06,5.549101837037895e-05,0.07804901786863895,0.009466879324206734,0.02264474386145947,0.7141578140066633
18,-877.3216021412759,728180.505527369,696611.6013085827,116571.14764204838,69085.43858796958,56118.90659558994,54695.06152768446,19439.131088559716,17843.85536881982,2698.0741662929913,2971.6900933200095,2051.06121712354,788.7153879850573,1623.5858353944022,96.60338251469709,26313.492236115322,35915.10451165544,110.50528007976263,1780.5803408679294,4921.3416457010535,958.0054501924478,8.007592745869025e-06,4.7648239077166256e-05,0.0878523177950161,0.016659966650703326,0.020016123373219036,0.43088643304683644
19,-804.165993646611,765516.9064318896,718381.0999801354,117187.99741842186,67431.15937384486,57484.234459668514,55004.484192774355,31222.30011950763,17287.18342428687,2326.408647153921,3451.3160929167943,2335.3631728401842,545.5402426317172,1307.5011958353223,100.27757880338532,27878.390906327546,32991.42039376958,209.52097448652344,1623.3772034225087,5521.810253273496,99999.99999965238,4.0846213903191355e-06,5.722851451267357e-05,0.10251536540909308,0.01322169216755899,0.01582409747188775,0.6344346487129592
20,-636.6586842116535,752861.8285256901,706928.0644742076,118458.61393538791,64174.29908244508,55747.89189340662,53476.956681793956,14207.911060280048,17178.52886241271,2240.53354648578,3400.3095461944463,2456.144878314019,345.80193530748534,1001.5958485017462,199.2890563582463,27601.770632425985,21929.52853579981,177.16064471168178,1527.6162423914025,4841.508026906987,99998.7147912841,3.235314158070652e-06,6.598245914276914e-05,0.0899515521199987,0.012434945310954307,0.016368984003414834,0.39107411860657876
21,-971.6131496716259,746582.6880232643,692821.5884912253,129121.27094330979,63636.73047598077,55155.48257132704,54256.016197643185,34534.49661526784,17291.359834224295,2543.4551075889776,3628.4108710574587,2795.816736513659,406.5756061717905,1136.9530307296627,915.4341915634949,27674.130250069025,23559.762607364293,74.0078159934159,1519.0980718680164,10602.424571790125,1191.1995129027034,2.645129909722256e-06,4.6612375840719936e-05,0.06671874519776505,0.009629129902361557,0.02229788317639548,0.7192463999955605
22,-783.0510525112327,731206.9779208652,683263.9225179341,117230.43975756048,63930.30327031321,58605.98425175572,56143.58946632272,28365.229542963847,17488.414958433976,2337.350791446973,3449.0976267473593,2628.021795596908,496.8508902958195,1073.0040750845174,102.43931742439383,27264.03607988291,27059.38515119828,201.8391353259257,1500.3436395234621,13891.105907192981,99999.99999776448,3.9462833250144396e-06,7.48352615056191e-05,0.08735493267564434,0.009278230757257502,0.01848962886679094,0.6437734527379475
23,-684.360649757159,724993.4676081487,668915.6960553881,121720.3181287552,60920.49071950442,57029.95341545082,56134.98236255936,27251.209161713716,17715.819789823654,2232.412350044304,3882.990477954193,2659.1228771383994,291.33420269920674,885.1484593861194,389.16440012353354,27295.421366150822,18738.843170999848,65.95777830415145,1560.4415757147142,6786.315717630619,3441.413526109002,1.5090559330501526e-06,8.268444847853761e-05,0.08805793312498568,0.014652798966096565,0.017957734943374493,0.5333139863166269
24,-923.6301158933677,758945.0872779768,730755.1626981203,116431.07547703096,58151.86950189452,57363.86403141074,56184.29984882267,10020.961548530278,17211.169177257463,2306.939455924369,2814.9262601567716,2469.42653373956,163.44124698697,786.2986430025474,68.04350612786405,28309.693799511002,17471.172525993494,86.02744443083986,1631.8703790704255,3845.5244423010654,99999.9999992209,6.998252966750658e-06,8.126250207313984e-05,0.06476305669135007,0.013330498760787027,0.014320391416016594,0.3764938273146868
25,-769.6934409979588,734390.3970272937,690623.0818656049,117584.78449802546,62397.796815888156,56979.564396271744,54853.3959238825,32229.679878950737,17782.945461891362,2143.2055518634556,3294.9077849360715,2385.990344142717,368.165689400705,1124.740680334691,134.8053430503484,25842.670880302787,42867.932287094976,190.37679021455912,1720.959201389337,8201.228954806813,725.4981692743306,4.694736909055243e-06,3.244016367399048e-05,0.1039101636408549,0.010598710114579406,0.018790274464896506,0.707783055531778
26,-959.551971324684,758407.9213499229,728923.4189221597,118557.71203576645,78385.807667809,55290.712631321,54432.1435601502,22508.16459767779,16976.260004410997,2329.7087379823256,2812.4958037564934,2201.2455463149267,1154.111049518549,1653.5252564681318,137.4026649915699,27809.679151709464,24706.638234406604,62.878151566032884,1572.3664945676271,5626.55419104122,1831.7761759259274,6.9648850022047165e-06,5.145887548433728e-05,0.09283490431090095,0.0057472793146621775,0.014683085928636016,0.46425772548797906
27,-656.2575729454289,718517.7194091652,675539.9983761142,116289.60629331676,64523.70866866008,57264.49802249448,55626.97026329508,28807.84790440755,17925.725908333618,2433.1577617925263,3141.134660798309,2385.806278413411,504.33427644933766,1302.417637719918,70.37900663555511,25526.8565323315,142561.6633476436,144.83637528909668,1953.3688263198637,4567.417398573583,643.7515538744823,5.890234187849843e-06,1.714476146404825e-05,0.08595413008402601,0.013687098792143724,0.01911597718629138,0.6070555405828892
