sample,ll,T_NDH,T_OOA,T_LS,T_L_S,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,p_H_N,p_N_OOA,p_L_S
0,-163.2131978572873,808591.0014978118,53744.29515272194,52359.59234268409,33759.48685957928,16505.506843334366,2345.2261384052586,28739.811354771606,25835.69719301017,111.70142714415297,9999.999999913305,941.4723228383857,1540.979523189014,1.0000000094990133e-08,3.689445061536085e-05,0.13104769400690106,0.020002065221076937,0.6668761660563739
1,-84.82442106140884,857086.4540069532,57331.86213104536,52322.18323222062,18671.381690734328,15987.452889381992,2237.165346222075,35875.948803861706,9401.794827237627,255.2603140542954,3399.465780081742,19999.999999971173,1255.771504882253,7.716461962625092e-05,0.00011027698451167033,0.1401916114301836,0.023771238866299293,0.46535515864552546
2,-119.31625034438626,816613.0623858857,56367.94743317329,53849.70957836175,23154.475278166443,16797.325373021948,2399.4747482380008,29455.78757906048,18597.905902337574,179.17046691074313,4839.015249615768,648.8749839565764,1581.2431120275758,1.0000000049233845e-08,6.185303790857433e-05,0.14449826408986008,0.01883177658174792,0.45114164034494536
3,-159.75000500046553,766155.9835724283,55759.42236404127,54959.42080473824,18342.866502952445,17319.367735201933,2373.329124162268,29345.687767436335,17650.290828158602,58.370286174382485,4899.505276322667,19999.999999756623,1364.5431948295497,1.0000000014336106e-08,9.08007108614951e-05,0.13393497531565657,0.014357709113329988,0.40684902828191755
4,-196.05739332252364,808654.0244962899,55056.08185583093,54073.43301870397,30609.965294249996,16769.93125718947,2411.763727753252,29272.94775738862,31804.516219788497,78.13378898793032,6258.308924470928,6992.386893758253,1560.9532448157804,1.1574450490968462e-05,3.873115317861471e-05,0.12306355084233131,0.02542777569634629,0.60991633408086
5,-138.35312584675995,797806.1463609188,54215.836017618036,53152.459774359064,30822.31747168658,16824.040428261716,2393.050648084284,28622.10895642298,21994.12605572129,80.87135791836279,7872.17957684091,1099.85861231752,1589.2931289504666,8.007497125152114e-07,5.533946007143271e-05,0.13165705131191377,0.020544658517995574,0.6648927739368077
6,-159.42661956744934,802532.6327411445,53060.17033978276,51596.795978645125,34549.2708160021,17056.712488730394,2488.557187127462,28010.835499892553,28411.028110206356,110.2074868200019,6911.1442345857195,3321.1076359474837,1620.5042022973898,1.2956518512965699e-05,2.450625967463389e-05,0.11574550028486696,0.020795783245719145,0.7156296653943484
7,-152.87280471647642,827426.1400578938,55915.71380962994,54120.25162377987,12699.241192216929,16521.768906223304,2371.0147732428345,29789.572012256005,20278.16576476509,126.23048581801552,3825.8198478006475,7765.189787967668,1431.4195663162313,9.297115090548492e-06,7.781537379557595e-05,0.12430759282347688,0.020600494258643673,0.3374502724907133
8,-169.5580829347514,821296.8082997155,52007.685694280866,50149.455954691504,17686.214832905745,16783.4716178637,2509.192997329754,28627.952922647695,72416.67273508834,136.43761272039652,5441.399515796847,1153.941177468835,1698.546791239842,1.1752245738628694e-06,2.7287320103505387e-05,0.1305451231508117,0.02748673619915755,0.36227500101889754
9,-167.92663608451875,804535.3190515655,55214.50085324837,53647.25342726469,33520.550221134916,17013.45880305404,2239.9129196647696,29495.541701679802,19320.842250875416,112.02340242927794,5688.824343919614,19999.999999852014,1432.451708220834,3.089404720827157e-05,4.480558875043388e-05,0.15809242274138588,0.025561128973400567,0.6727117527545879
10,-147.09262454226945,797368.0726684888,55213.772614659254,53906.59355960665,24488.142794830685,16878.41482932034,2539.018612543101,28918.664131771882,19278.377920265422,100.83573298984655,7365.948515267525,19999.999999914293,1466.8251242094161,1.0000000161250375e-08,6.3231821329833e-05,0.10635893874925105,0.016803832780407514,0.4954235442748677
11,-116.75822631469401,802041.3689032871,52474.01520876688,51197.64135392482,16711.581705193214,16535.95813315303,2424.2228705267166,30295.035280814554,17887.058715615665,78.86360506847294,4850.113257641075,19999.999999861393,1215.0612600221136,5.031975275166971e-06,0.00011279530356341246,0.1293480129657217,0.02224834183396317,0.4021751210998259
12,-140.4790035617587,810186.7509486568,58315.2098149678,57903.41357302698,29704.071197568668,16969.57443004363,2454.1564143096552,29369.128768456223,19760.97313360842,36.70457277229086,5882.226801420046,2111.710018714074,1487.506407744816,1.5949058634194213e-05,5.256073727822191e-05,0.12783153711196754,0.02289517226862514,0.6270708279061431
13,-157.50296611346403,803007.6035813091,53417.018588868275,52577.24499706739,32328.109432943085,16114.218036569386,2516.3228414509085,30797.937912590154,16012.140619161033,55.18384337105674,7343.0165443009255,19999.999999894502,1513.637514256855,4.772532059148418e-05,6.249073334636777e-05,0.08980726237566285,0.02288488692815262,0.7250025668085228
14,-119.3511033000292,838999.3138224757,52805.465533240305,52216.75497775889,28691.37118636322,16101.53257993458,2259.5840218458075,30058.80489207909,16423.043515175683,40.38446863216227,5518.535698265369,1635.7971871063992,1561.9496736449976,1.597432261267682e-05,5.537285452530204e-05,0.1421691590077925,0.020965023627315598,0.5084411720120098
15,-219.33266389920328,786661.3954547797,55685.21604453241,53956.5884724982,14485.805193481317,16679.174831501834,2483.6779722536667,29666.012991681666,27422.503200496143,123.69241820713052,3983.3632147798085,19999.999999756303,1429.5025057969751,1.0000000068506854e-08,6.79869596958855e-05,0.11126511651873734,0.01724482814025511,0.3865923322504967
16,-146.3025179518963,828500.9602842104,54384.37327740925,53948.46871204392,23425.94743425568,16483.91941594042,2525.5751094368106,33029.988206933005,12193.994365174147,26.071835287975325,4626.901867693991,19999.999999999665,1413.6030595661844,6.270363641195624e-05,8.029231068291959e-05,0.10850873358012753,0.02269752007965163,0.5411898364413665
17,-104.20544845788618,823379.8036237812,55667.950366372024,54533.920706393415,33644.64904331822,16504.713248344586,2375.0169775333006,30299.169897748914,13259.550833302126,78.87451594236185,7202.805196573123,804.1403464608695,1529.9830096200628,2.1933104704439985e-05,6.547542308685169e-05,0.1104269256362788,0.021114847701242005,0.6871442948248341
18,-117.75514009905478,829341.4189968227,52529.227556702244,51898.80869621408,16372.649348563586,16537.31447583286,2415.5105546545115,32889.384939011274,11357.902211567858,34.5020535392334,3093.0889446450174,879.6320141180666,1587.797225077928,8.353615274668736e-05,7.31734948445604e-05,0.13724671958305223,0.02171959427364601,0.41671140364177195
19,-142.23508426358396,768114.7247071371,53879.62330948784,52116.54248924702,29802.865364123634,17470.42610744519,2308.5863186544566,28114.14201242231,23708.595322302415,125.57765286930646,4381.362813836135,18169.57329312438,1574.3310450392228,2.3270612637480083e-05,5.5339324050542774e-05,0.14980251237821435,0.017378858686941525,0.5716051400930258
20,-142.58041171984502,779471.1116734719,55275.820294930236,53843.51656761846,11331.411242712507,16799.245186143955,2578.9321984191456,28958.869868226237,17691.35917413308,106.47582113439148,4830.571048769917,19999.99999999565,1424.6499537651757,1.0000000173254852e-08,7.531741795945017e-05,0.09129136170696657,0.01987093530947551,0.3614675495594936
21,-116.35618071996599,877811.5060573566,54979.92329284283,53771.163053991004,30212.098893530663,15785.171374802401,2347.830712074057,31936.524297761003,13361.178037780008,82.55299732230193,6382.325072453305,2333.3701196566635,1377.5945897948739,2.0609842993603876e-05,7.166911559892085e-05,0.14177739857527316,0.02247299978021215,0.5836222638265268
22,-123.95710677291935,793761.6802207768,54804.7382975164,53201.59406451552,25768.97692588539,16613.08779976669,2522.542614892312,33147.97481826857,10637.251201788533,89.59578251511124,8089.92328488652,19999.99999999597,1379.1181365282594,7.878303324098698e-05,9.209974418503796e-05,0.11460984449948503,0.020767679778263996,0.620037447047662
23,-112.16934149831718,821868.5963065657,55934.645508575275,54176.29054672048,23983.735178849194,16582.13813420662,2281.438802375099,30741.82449390053,13387.249967150652,106.64623654379236,5164.367906122,5330.927311488963,1478.9368466590058,3.2043604129140456e-05,8.990364206267033e-05,0.1518229414027227,0.02242789880799622,0.47239760651522844
24,-113.98997235826486,856554.4267576558,59018.126014843896,57691.383421144856,22699.82743454437,16340.214406209363,2242.7305028960204,29775.694243375572,13888.273096569252,96.63500932613421,4766.319826636431,4046.6736963160433,1565.4326830374566,1.288079275318743e-05,8.652559647431226e-05,0.16090822687004283,0.018114218178074407,0.5307658604451337
25,-149.05988244290774,849388.8069223886,54532.02176376413,53454.352408414445,31151.896453900932,16111.862189133479,2478.5315363172663,28984.925842362103,34022.1447875713,86.95817585637852,7722.316436510381,671.0734534071084,1603.944990997194,1.1031089642146045e-06,4.1170725616754495e-05,0.12554443281502983,0.0219168786154782,0.6331062472580765
26,-122.08068472363857,818981.1612883216,58139.286722060795,56045.52114817663,27075.73674318369,16083.469397095016,2414.7188330226613,31961.77132215499,13293.066338813069,134.20546305879498,5040.428244359653,3484.644129862672,1450.6498003958418,4.666245573083597e-05,6.74581277064388e-05,0.1045094035116888,0.016675717182700885,0.6096684381402098
27,-111.40245701211433,831930.9670487341,57715.9203788337,56480.05141489641,28652.167421270722,16396.275628584845,2484.7772268976114,31082.5506046444,17217.73167059586,83.52719641574305,3643.584576650553,809.6976653713342,1770.1905963095464,6.833669387378896e-05,4.2819525705405787e-05,0.13716026220023422,0.02180707079310374,0.6988729458907106
28,-137.31792686155893,809926.2593612601,53818.19737993989,53011.476088947704,22440.22714817972,16740.694792338385,2481.405025729209,30449.63087563304,20880.86522786804,58.894974550698024,5970.874230222085,19999.999999813997,1429.8848252899313,1.7183387352681233e-06,5.2149994619997046e-05,0.10202660248668442,0.02237286226969181,0.40715839225790174
29,-147.38325698659145,782263.0497011534,54259.0123693713,52331.92232701835,22678.68459032492,17197.65171445923,2169.6157946659714,27757.772586785846,28426.422103103632,134.05619779188393,4449.03373913604,1750.051175691013,1388.11811333696,1.0000000087976543e-08,5.4253476004354474e-05,0.15188692265285303,0.02309888392338885,0.4167003017733795
30,-142.4497999946944,759339.2453829815,52737.575437732114,51848.56689268699,20819.11319809758,17829.758988979214,2384.4019853299637,27168.088290399613,27124.749668135602,62.53338213158473,4137.122379534838,19999.999999888074,1389.675319070342,5.45443495242441e-06,6.836767534363921e-05,0.13160888923035743,0.02005441833074697,0.42042294367738414
31,-162.5417651345968,789389.7335256654,53921.1824428181,52915.740442708826,28142.58010093157,16987.95244571848,2392.0894540108466,28559.18412947031,32504.054379570804,78.15534372027646,7000.823295029313,2264.9478998243712,1595.7678295359872,1.0000000347823624e-08,4.0890018511175906e-05,0.11451769945025508,0.017885936821803165,0.5440039258783332
32,-153.3968612622157,811209.533543486,52819.223214250705,51943.47884567359,25903.576499322935,16669.64747063179,2565.1110815992233,30921.373288545405,16993.965794571246,62.21867102176937,5178.969429833352,6358.15773771943,1509.5127253667802,9.67692439194627e-06,5.954809557942593e-05,0.09903945325293008,0.01832997598802961,0.4534820459418784
33,-148.68693807482174,775657.7691253229,54635.43158827694,53590.55892250202,13311.783794652907,16722.001208136757,2410.6730783251837,30311.463615641966,17853.30083600872,67.43501861476814,4340.652958835614,19999.999999830663,1281.0232822659552,1.0000000020847804e-08,9.057321967754466e-05,0.09829472300405764,0.016251761845763123,0.3424957752015869
