sample,ll,T_NDH,T_OOA,T_LS,N_Anc,N_Vin,N_MH,N_Yor,N_OOA,N_Stu,N_Ust,N_Los,m_SY,m_LY,m_LS,p_H_N,p_N_OOA
0,-186.39181865778505,804514.9640803711,53410.33549342444,51572.57309308798,16455.942712888984,2406.9822660320183,29340.46232285259,22171.267163457716,141.3744410977071,5535.563574667972,3974.077262140782,960.7654373365218,1.0000000029712002e-08,4.542104113879287e-05,0.0003646523487810834,0.12237629333936655,0.019842248754199748
1,-104.85888766375885,849215.6601385702,52043.52154660412,50887.281326834396,16045.224582546165,2269.1600075374304,34742.09692753917,9733.568323432723,63.06080463299962,3333.1069018032267,9999.99999992343,791.8182934400803,8.661069479034529e-05,8.678034238558818e-05,0.0004641360061268507,0.13575297897870742,0.025217821890020854
2,-135.62025419977942,812178.0867003499,54801.74082267761,53548.13469089907,16778.92005220415,2439.9153223051812,29400.121145690988,18699.14660233364,93.42599175546019,4516.0515409440495,983.8912271716173,1016.3610904429828,1.0000000011501609e-08,5.786454869253412e-05,0.0003672485554339895,0.13835232741724587,0.019163623342463743
3,-174.56275941640104,758681.9685247842,53348.7078194278,52605.13309270171,17393.443422204175,2392.669479598375,28380.05744883096,21342.42799850754,57.81533745722726,5047.030911782128,9999.99999990739,899.6552013791982,3.5109742426229723e-06,6.769226192253431e-05,0.0003715847550057297,0.13172601458451588,0.0150145010115644
4,-208.13599233881394,813227.3758778049,53831.65871755196,52658.24332960071,16614.76290357221,2434.415773761976,29005.771999146524,42386.97152093426,94.91967892956475,4819.975962414593,9999.999999991322,1026.7784551788275,1.000000026181253e-08,3.0745072418426925e-05,0.0003662660701027089,0.12284580710079465,0.026551240958860942
5,-159.03182689299268,810162.5448928815,53626.604728719656,51529.566915700016,16546.707505401348,2440.0284226273648,29174.25276348481,22270.54659650424,155.55412540869114,4785.119749605751,3034.301572392419,1000.4269360467998,1.0000000000935555e-08,5.3940431666428475e-05,0.00041249418314183163,0.1264108232450685,0.02051116858767075
6,-213.55366256565438,805146.4910623947,51238.33146471596,50212.26218524881,16907.410444264373,2532.868896137278,28179.694121902958,30961.74010298914,77.3274652582829,4516.217688535871,9999.99999995471,1100.5251478324672,1.0000000007779146e-08,2.447408409203787e-05,0.00031549525503618103,0.1115681423231933,0.017641767191972642
7,-166.54031883672369,792369.2016898881,53672.33369197913,53370.800736310426,16964.110091342885,2430.6643593376734,28466.753080648698,22715.24804926277,23.2217776375656,4299.697250544863,9999.999999870335,950.9637406773207,1.3878257242685495e-05,5.81901791519959e-05,0.0003545869049778756,0.1154669007546369,0.021855761434770738
8,-217.51962565756253,808059.6447187351,49305.16041144879,49026.173188793044,16895.502677299413,2555.201834949031,27888.861684693384,225377.5567571358,21.458777583962036,5708.884515160064,768.2553026300574,1197.2907075753399,1.0000000198007036e-08,5.699382972246837e-06,0.0003413097998325436,0.1246663899609659,0.028694668556570053
9,-205.8519806806046,796487.7297084474,51457.8840649734,50975.12658586113,17070.479038127094,2250.3633322483934,28539.917356324688,26824.40683212646,34.83239283571385,4477.54296747524,9999.99999997221,1007.1108268618137,8.079236749820249e-06,3.4741213103115664e-05,0.0003044997172155644,0.15867287947225975,0.02427100659534913
