sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
0,-283.3055258202869,747626.101730946,705235.3829459125,130036.99713648554,62870.88577899407,17046.33846907223,28383.291949978782,2097.398383099639,3218.8584647793277,2672.2880013387994,936.1863552664292,337.0174981416389,868.137701409921,0.009779224927248673,0.058335346227825824,0.01605074327940215,3.6729079323716234e-06
1,-355.2147104325747,723563.7486366398,690686.1278380946,119617.59773090233,60617.1523267458,17729.777593468112,27646.57715549702,1430.5422402847626,3567.4056802580335,2703.130113779374,243.66016441559128,225.14175599878288,785.6474902346989,0.006011357458851433,0.06771172184116162,0.012435115488377623,3.0194738101183734e-06
2,-463.0842285100586,710827.8625460789,695243.1621426863,117406.2659214919,60479.26753466389,17966.512633490154,26899.152814570643,978.3309545639008,3190.343848657063,2313.7729052498025,145.97975376070096,316.1544320353919,1054.5873385836248,0.010878117990417472,0.07433949003849512,0.017801180529614182,6.845748617304362e-06
3,-392.1667780682952,682124.0901513351,637994.9519751363,117608.93660950585,59442.18076917201,18175.430149833686,27127.14408261725,2293.7338380356528,3296.222537377317,2669.845020188645,143.94785389682812,201.10815436795625,877.3910585305671,0.015024150676144373,0.056415381720059596,0.012237069614531648,4.286799516105505e-06
4,-293.5087562950212,730197.5989340902,714288.2759021651,121261.14764954553,61121.676451350926,17661.85245463311,28704.707550038136,849.8808300817784,3165.3684150021572,2595.312556201176,328.2177817114771,237.50058954689064,812.7791001178543,0.004930559410848174,0.0714760267318909,0.013115190556655746,4.887118096468077e-06
5,-376.61996504827556,747101.4823020966,720983.1247482463,130013.73986159303,65621.72461653748,17232.55819443616,28108.43491731565,1124.0728384871468,3509.7392558602087,2646.0610532422124,1090.0204039163589,520.1418796229154,1119.2047017142052,0.004833845934341645,0.0653261029127511,0.017942627084281567,2.7325398871622564e-06
6,-252.93088406899167,732963.7241529893,727186.0934058897,124124.53686121204,59436.68785433581,17851.36359149407,27421.27258377394,238.52876842899335,3531.8882954687847,2916.4577949523305,603.4325841580398,178.95833675989473,779.7372086451064,1.0000000624049898e-08,0.057474640854453266,0.012895458542911378,2.5714709405080736e-06
7,-432.61586929237365,761630.4729314878,710503.1736426646,116687.72231887939,62488.93556506645,17039.040269581586,29081.552890497933,3280.0503839632133,3161.2899888842885,2639.2859714831393,70.26912844218583,370.67425892389247,923.4756148763352,0.015296988089055856,0.05411839514487503,0.008315292424510028,6.819391835045869e-06
8,-376.8664863409996,734175.7091799409,701744.2292912721,123438.4774861891,61762.03617603115,17697.02194257931,28992.087684431353,1509.2544894149678,3387.0971676680824,2693.4810224468665,525.8264291706115,336.1141898440947,1082.3766830738793,0.013969151303744903,0.06492048725727442,0.014150073448929119,4.0300712240995e-06
9,-435.5563735065089,725354.190425247,713650.2208948687,119151.84972377022,63488.9779425507,17698.48442551937,28363.92580691971,599.9942388579343,3147.9780499764693,2620.3507876804692,299.13678765864483,494.71282610441517,949.4442915426424,0.007712072399012002,0.06327038098307489,0.01591076140959501,4.5257483394451224e-06
10,-447.0093975825317,722350.5794340244,684277.0473169733,120170.28796003296,64112.63748876124,17680.698777374437,27170.334138370257,2501.1672459441033,2960.9668897024685,2606.465204834168,254.12968201942266,624.0525748100029,1026.5610864386672,0.009816094191112089,0.06367657312584167,0.007269920442987255,5.84511704258878e-06
