sample,ll,T_SA,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,p_H_N,p_H_WN,m_ND
0,-282.9694852580252,2499999.9999999967,725349.0717495896,694614.0044111765,129850.90664691431,62823.92793065596,17383.05632707177,27736.55458557191,1540.3362198888676,3196.531845215198,2666.2788494770775,920.5768994593294,334.87218341070854,864.2387216697808,0.006823825463508492,0.057603301888539356,0.016121668472146418,3.72786061189705e-06
1,-352.3640233103606,2499999.999998176,760724.4348220917,733986.245566005,117063.48876885537,60646.791972071136,17141.70026256508,28828.627020942993,1413.804647667087,3355.6613505027008,2585.134917487297,102.00119584518147,225.66349587387353,787.6154875146342,0.004833571855100479,0.06596423434600399,0.012752973468083564,4.928404090894828e-06
2,-463.73742647152307,1385400.6263813714,687210.7667219104,676016.9291756734,117464.51184341758,60004.26252332361,18329.28424687648,26172.419413846415,656.5832521145705,3203.868468204196,2332.6211185616735,150.37258412182098,286.69442749425025,1019.9149443709227,0.021721306172415075,0.07410874499958929,0.01786865082558191,6.509058082868783e-06
3,-391.0382047556138,2499999.999968391,684253.779251393,668547.4364700647,117896.29469685988,59539.49191591628,18159.27329771632,27120.28604903419,803.8107728443218,3397.4340480168376,2676.778582706567,161.0100134336816,205.77796541318904,882.8558122180744,0.009695342633570189,0.06050074716427173,0.012228228017340087,4.12207162478927e-06
4,-295.55310981048086,2184325.6835062765,727223.6192179635,677923.5960471769,120840.91786016611,60782.70974252718,17720.62273388167,28570.603879796323,2497.6806246477054,3168.9976441013487,2592.871728866677,306.46223007436737,223.41969592793856,794.2510726925377,0.0037178001981745287,0.07348405931473107,0.01314725402656385,4.4280551669444275e-06
5,-376.6296434001363,2499999.999999344,750377.8968172306,720508.8529628741,132577.50065970287,65932.36700505968,17190.84249920786,28153.454187533433,1192.815384301717,3644.151759031076,2684.6427219971947,1341.9078623329374,537.7635627020447,1136.6066457400846,0.0029852227811535976,0.06613090074443903,0.018184944436704424,1.915346120214342e-06
6,-253.02347568357078,1000000.0825256355,730432.3319057438,709681.2591462125,121966.2109022505,60331.04612392695,17892.231324528675,27375.00635731389,951.5946891300069,3341.392826308665,2814.055359856404,436.33072984088284,217.781992674423,831.600459258982,1.0000006836414005e-08,0.05694358207559172,0.012704939343421744,3.5740533324501306e-06
7,-430.14795108723035,1000000.0000065881,713301.8734892922,688803.3026262148,117296.5511735715,61357.90187299534,17755.220164534367,27711.328312801652,1360.3620041351564,3180.828269431042,2730.6423048162783,97.19414642372595,310.88557590022367,860.2202666025248,0.08244036619216108,0.04849035145125182,0.0082214234645492,6.393663857484993e-06
8,-377.86279235475024,2499999.9999841517,719543.6564315703,684414.1516811895,122743.3858863222,61100.196429131676,17936.905172330833,28473.16954782594,1586.522736839933,3412.3683146950716,2688.911466549935,483.1285577768677,300.4205060392412,1034.7262695178465,0.008892923413818546,0.06776861330759525,0.014315032034249487,3.6508854499942355e-06
9,-439.9877795798151,2499999.999987105,740762.5434056188,667389.9681517478,119701.89564648188,64133.36137272005,17425.293157196444,28995.364303924798,3899.5684824212676,3023.2613613641015,2622.3632327240075,339.42316443430457,536.5404037550446,986.381050259608,0.0065599230084341115,0.05614393645738118,0.015746451509358127,4.832535973326125e-06
10,-447.4319412325758,2452107.4859963083,720035.8385321766,661422.7136613948,120460.63196108925,63137.05961485423,17709.64972751991,27119.293083451037,3501.9862976553413,3010.358269859879,2665.530657513369,272.3266627847389,552.5040809133582,970.912591338486,0.006992953632110064,0.062452532798721073,0.007264231166703047,5.137116100476461e-06
11,-327.60910867426077,2499999.9999860213,722826.9688439814,710048.3928838592,119210.29372582509,60483.08765923322,17463.71430862167,28103.670511207685,651.0461022296014,3392.0762063308503,2642.940722440099,205.20387419989635,242.89352413032387,874.1358543467943,0.008337656347018755,0.078211004800016,0.01087635539989552,4.641856894777007e-06
12,-383.67373898693165,2457894.8984228633,748908.6102813332,711498.9015696689,126267.5315758274,63916.70853517996,17455.715394620365,28261.333625532425,1938.4148662565356,3339.1970467450974,2617.5386089996564,520.9715343954205,440.2260007537562,1186.2700405086402,0.01260374012809762,0.061773444155981225,0.010553807618598992,5.06417530992554e-06
