sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_H_N,p_H_WN,m_ND
0,-290.0918710391626,745142.7270395125,709761.1640579122,127183.19853289523,63126.98984155064,17258.72407988479,27655.520251792066,1575.8061351828246,3409.046654790492,2504.772926413248,762.8233713908185,348.20769240229095,883.6368960448879,0.08294222077396878,0.016654686471507637,2.61931461239488e-06
1,-361.2329044047648,726866.6404742285,664930.7207915526,117873.24436384035,60208.33404197064,17792.179773901298,27370.368331654663,2534.1803415790882,3651.893984945054,2607.8656174542543,147.9604512241723,207.73685361789757,768.528807896171,0.0823518142097177,0.012812142232803267,2.14675997423234e-06
2,-470.9713546454718,686823.218258563,672900.6278727764,117443.02227104585,61086.334387611656,18534.44956326497,25521.344155776544,669.8079179896536,3479.9798887520737,2242.4925959187713,150.61457273019596,354.1753790090182,1107.363435474285,0.10148838467604686,0.018185843346933267,4.556553383173685e-06
3,-411.73674903286263,689414.9468704794,659718.7640646044,116271.83640529003,62028.460041314785,18349.196517944692,26378.82891536167,1308.2116181433198,3648.511585326685,2430.5730687363457,67.7342884505934,328.61841901286186,1057.751512616987,0.09861958179518066,0.012527973957807262,2.488377142810538e-06
4,-295.98999262605804,731332.6222875555,706041.3706693501,121535.67291072379,61252.03118790658,17730.660583464036,28404.338754716828,1182.5614671639312,3340.705090752168,2566.62906237963,349.78578929611473,243.0881887186133,821.57938506874,0.08346566978932429,0.013359775517120259,3.640936407065876e-06
5,-379.60234652906047,740717.1770504032,719716.7572599616,138056.8785200885,69329.41393501908,17402.201244247724,27555.5889158016,741.341748626788,3926.1851343884728,2608.2306400516163,1937.063929431746,723.723222727784,1331.778028972916,0.07567693913885731,0.018838643935829735,3.966872615535802e-07
6,-251.81880992854897,716550.2338450677,712339.620890092,122741.56330043125,60101.84682996061,18106.932285537383,26936.699303932546,184.4312071659523,3414.7516566489176,2841.8141313144847,494.44611676750816,207.67745740125457,817.2565196812562,0.0578355124191305,0.01285095616748902,3.149441664413424e-06
7,-443.32230332865925,728922.456682408,695674.7558924766,115939.61612963889,63209.48041343825,17813.422469676374,27175.16996050638,1510.0500466903673,3587.320109684275,2526.7829347368656,38.69602399526833,410.1781873304369,967.4839441270303,0.09152348545134287,0.008381924363792937,3.828825626941066e-06
8,-393.46324964829796,768368.8886979737,721525.6133741069,119862.34062374079,62863.11866200153,17417.44110470813,29105.55655552394,2007.2093618244548,3577.3252755291437,2447.247290345659,291.72801628060284,394.31480071741703,1168.9535510976318,0.09817465673955716,0.01461760047327233,3.210331539167826e-06
9,-443.3927325034456,748513.7984470295,698351.0111422122,117151.29556896443,65428.864907873554,17484.066773805935,28579.358504870506,2547.0591794828783,3146.9382732126023,2424.756924497565,146.52996284096156,617.6031357558669,1059.4282284547473,0.08293147411427988,0.015975466400564294,4.437083747579354e-06
10,-451.74673140952905,730504.7232387881,709996.4645073634,118918.93204943709,63788.307982433864,17731.543310195175,26817.478693648736,1131.5066178736736,3209.9367146915974,2518.632746009115,192.3968254802656,600.1716294806681,1010.9780717788474,0.08825740899564355,0.0076119648569578655,4.402189036686007e-06
11,-340.32337222095316,744902.8703578401,709622.3099644074,118314.04639856027,61793.00337693014,17343.87026606374,27985.499410622633,1583.6962127297334,3600.339114844004,2471.243545679902,160.8143443169676,305.81121215382154,962.458109790086,0.10578551860086195,0.011471560718151558,3.3987363200945003e-06
12,-403.67889840247165,726570.6210780869,699648.9458732911,129088.99564806238,72938.7654504502,18125.55867121416,26492.511623119706,1127.9573975019825,3668.2601331600013,2239.9333947392392,663.8984043859042,928.1943205129635,1802.8888554221164,0.10707848095122278,0.010884150001269905,3.0050586292456976e-06
13,-408.9570875328493,716292.8806541491,657689.0811175131,116318.03164033392,63510.26235626736,17615.880579295837,26607.24339176543,3301.979775158265,3245.617453336324,2200.7816047412593,64.22363538903673,425.68673501026433,778.1460159591373,0.10223032632533464,0.015065504065074531,5.181438266379084e-06
14,-323.07523098409683,711698.1371669944,676945.6027767699,118451.50319239727,63909.450853061215,17844.34162631686,26044.924805652543,1434.5321322255181,3593.6690321487986,2569.5253767619974,160.2355705799723,403.514462206617,938.0716024063587,0.09640785550763561,0.009523622937942013,2.1926356385259044e-06
15,-347.8426174082017,695609.0306221797,677894.0144763222,159675.43922848912,104307.99188613717,18289.65791326917,26862.369762943006,570.2655162887366,3842.346808245045,1611.7461771638884,2909.5771366388776,2234.0617206368534,3339.125240142708,0.1181076729556067,0.017508293533353626,1.0000000007998278e-08
16,-292.809558592587,703930.0143618622,691548.2997443292,118504.39679028686,61258.254753349975,18378.592074693035,26349.170245864505,616.4675047822554,3446.9993793916337,2476.271414716666,144.38098799296208,268.69111834028797,846.8001351240832,0.0884414886039948,0.012830879442942741,3.8109827098316986e-06
17,-310.90133971137726,699807.2905929213,678925.8904539165,127559.62592991849,63811.69019849306,18163.503939784423,25229.585820653472,853.8741241143061,3560.094218733018,2700.536031622936,709.0128514825115,421.59267394145957,816.1129035801006,0.06968227080885171,0.012233685652976528,1.8000686895625438e-06
18,-408.14252349203844,696908.6051933928,539678.0905130318,127315.43776620572,68706.6917056814,18361.529149703103,26365.343140715166,6536.60248061613,3408.688037078867,2310.4536569104575,988.5795874178689,729.357007527015,1510.1276732360843,0.08219122266472619,0.019046332312313445,1.0501452370203315e-06
19,-415.1941575313771,704526.6885193696,674104.2653343389,118989.07773837078,64068.7417196621,18218.688720972874,26833.6335350053,1177.7991466837918,3772.6034077736936,2543.6575558618206,197.78551642146257,366.47127709208934,1060.6012353153626,0.09932294784071083,0.01444726933737321,1.1757636594565578e-06
20,-231.3284944971461,703405.1454263066,684484.0733666124,120599.6745367642,61412.84262960878,18029.890114680886,25885.745622477614,777.128768470041,3692.7072130206084,2663.4454660470133,319.8905806980566,234.8954885352685,794.7041864026012,0.08574944169163806,0.011916012771515818,1.1833032537220892e-06
21,-426.094453373105,733744.9401364112,709411.1353554649,119209.1741070035,62826.06493849229,17537.902690352013,27108.91255708959,2002.466497677854,3027.1740166317713,2500.3315910531383,213.83721926378124,358.65746561710034,1016.4511161436177,0.06829868412095853,0.00955925830557352,6.949988906987249e-06
22,-385.51990001171026,752584.1655490387,697909.7383330798,117572.75187610814,64353.159382879494,17141.520825976535,28328.1649802903,3302.799881912779,3282.00034290448,2514.4228053934294,123.66919711956588,540.3738492020083,1014.0802138430399,0.07781070465648027,0.012062422186315277,5.569887473427002e-06
23,-318.56379557594545,672660.7976779952,654072.9836052657,133911.71680145484,68052.32733491874,18543.522639001443,25102.21257405753,679.8421346684373,4095.2455348090893,2588.16940310409,1323.6146601117619,654.24139215816,1205.2011279459316,0.0846464401204736,0.01786943706341445,4.842603716127879e-08
24,-509.7124083238754,749811.4699573971,748154.354025813,116564.36714777116,60302.34264305951,17383.053947834487,27126.547282976637,269.8355353757937,2519.271858522422,2398.8739319875763,70.96292499133338,264.5393628412185,937.009434595948,0.05170740783383043,0.013128216055981521,9.310816066063826e-06
25,-382.97772152862353,754338.0487870502,732047.9039074884,118523.9056639307,62075.438167701715,17563.66298738868,27671.14496125849,1000.0340586882782,3437.2251743337197,2405.567108695185,192.0796596016786,327.4985756102669,1043.7240518033948,0.10517333307648916,0.012194753036685872,4.066393929235619e-06
26,-412.48219183869094,689603.1829864363,669905.1870281204,120329.84208971444,66644.80976281644,17933.881291623096,25891.708987191192,918.3570294807853,3311.2367513044564,2703.5236291624815,234.75550353517852,561.8425979248415,943.2045489391392,0.07143994949319443,0.008552991791393787,2.462815940803197e-06
27,-285.72540740247564,728831.9384216993,681170.3764489021,115926.98976402443,62813.88770427202,17718.562035853833,27669.08932593803,2684.2186252532647,3165.035434371464,2444.8748260222587,45.49465189818396,417.91292920010346,1173.0404008741375,0.08437831485764909,0.012962957135765394,5.817742523877321e-06
28,-265.1569767631297,752835.7468111955,739085.8775370553,122435.41098208378,59955.58160713084,17546.80406478418,28856.90976250155,685.6286918754103,3576.431390258187,2634.4646705805753,493.99763907455343,193.70565152105144,704.6186649410948,0.07224337281889245,0.01315312409974515,3.8123156561595136e-06
29,-347.2093275410636,750489.9482363007,721468.3804622388,115859.78699292465,61369.41130946833,17378.01856191578,28595.165261999286,2023.7195884190583,2895.1258443425945,2329.064450523167,35.41470226885961,300.80764076630226,799.3158041033918,0.08897919224046712,0.013396097436369454,6.4789494774390745e-06
30,-368.6526226301545,711925.7634184456,670991.8112749386,127589.69882868556,65627.60636816444,18221.954537013025,27188.665378946047,1876.283540008845,3842.068212841339,2704.428332637399,707.320210859307,553.3855276633606,1097.788464775024,0.07447287649320135,0.011766826659474766,2.626176010695961e-06
31,-472.54317039556497,683792.6707064516,664961.4277909249,132441.18143389642,66832.81600537109,18555.80487024602,26568.44391362853,695.3634204739708,3739.6273101245283,2507.8696990146195,1303.4835215037472,685.5126164077432,1035.7024126623712,0.08414708403678635,0.017684283284182305,4.33136842225254e-07
32,-438.68763359502395,736289.241286307,711535.4622122315,118312.8705182233,62116.38717272352,17718.42164649119,27437.493599458674,1177.830246204345,3461.8199406426547,2487.5926209905497,179.56384798716655,318.849131323438,838.066355377158,0.07705441151871181,0.01690121858092563,3.3178476759336853e-06
33,-411.5389548927512,709941.227278658,681899.6680408443,125459.95832394544,60166.74768404373,17607.4809482188,27707.384287461133,1078.8490493892525,3686.3832190270023,2818.3154167212297,642.627766751576,223.36213191624475,732.8043909731226,0.0644013574404776,0.012609275412193935,4.889086017369417e-07
34,-306.4294361244414,705410.8256145217,666568.9606924006,127587.38005125178,62153.08405907323,18396.147105428106,26936.81472724726,1372.9657976635415,4184.441766602769,2764.3381305039557,815.9205598391286,385.31403137449746,1161.8908856018552,0.08881373873927574,0.010873789049235855,2.885797118828596e-07
35,-371.49349901779857,737275.0092104791,712572.5711626203,118843.90586574396,63467.88143491499,17599.022123559178,26888.689123073826,1092.334082401369,3586.4194584989873,2574.374840462333,213.91520369358065,497.58318417173206,1016.6430593524369,0.09048146292370039,0.010114680628676275,3.1883449859540412e-06
36,-426.83053406912455,754059.5786148297,711998.3784827498,117898.84532770408,63777.889622971576,17366.304028895225,28739.760841459018,2360.4256400273393,3257.531859653068,2424.8992177887303,132.62890020135188,525.6143733983738,1002.9556532757159,0.09225274365084646,0.008432613040121386,5.389783699613921e-06
37,-394.2628041572551,727621.3743597184,709579.0961296462,117341.80279694301,65238.65527490125,17804.478058711215,27382.19130894324,964.0747280468107,3385.7738536580696,2294.8335358519184,130.04578572494728,430.21623380980117,1223.2204455681263,0.10140435143995373,0.01817222261036914,4.660057420398056e-06
38,-424.3181229052018,712462.5095664287,649114.3781894724,118530.82654676578,64401.151096748166,18407.74593614626,27361.86728649003,2963.4244139809225,3445.547218845698,2489.1603403448257,130.5955902856812,445.8158032649287,814.411687226131,0.1068906302703268,0.01058686511767786,3.0083039461991105e-06
39,-317.38785110083865,741352.5656189255,681336.200929619,117470.16303913377,67024.02109028115,17192.008955963945,26455.03795892103,2688.3507887782107,3297.826666200587,2472.663666707561,125.07070946949906,465.1961282598696,1103.9648979474919,0.09535127878484674,0.010083421914858783,3.660933505639724e-06
40,-351.5775720470732,761886.4232218392,746388.1124817892,117483.22097042802,59770.50892774509,17645.562076242426,28537.772963361338,872.613248315208,3177.9285453001607,2454.316033889701,110.04736044128875,192.80336723699463,805.7388082713975,0.08310094502326495,0.017202940265958377,4.7506874775552135e-06
41,-325.6863274782319,752314.4650566048,718783.1138566171,117474.81500290302,63191.85808265191,17156.268947478744,28480.29572489029,2262.930434538144,3132.814347327191,2491.8592169830076,89.59665503754553,417.75383393784415,1034.3030614741465,0.06993552843489481,0.009795829978832785,6.014677718332553e-06
42,-462.24111989625675,690012.3503139629,676946.7308990428,118634.0873982746,62152.0656794221,18540.60683521865,25642.303349092846,716.6243718803039,3302.183857745035,2445.0163964695525,232.9978541240714,370.25243629215174,1000.9892203599908,0.08108906370310434,0.016457720886659376,4.689770925333646e-06
43,-378.98613978586394,707753.448541403,690134.2152503626,125589.63158288981,63103.344712964536,18123.215628748774,26650.81578226038,638.3355865995138,3850.256186031528,2754.8491817891486,630.6732280567878,350.80282149646484,822.143924836965,0.08081700901472107,0.01707947196852011,1.7006696343363043e-07
