sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_D,m_ND
0,-422.5243011655024,734694.7620103728,665242.4109204486,129573.96741378574,77382.30476463167,16808.408623939642,29571.170941639706,9042.34621159483,2440.641438252396,2897.500937179642,591.0226171208301,1147.5800128210094,1695.756651187824,0.03283152056200835,9.954855820752637e-06
1,-462.578242902266,734259.5196852732,659080.2801112896,117866.60054562373,66232.16381618081,17075.972187102416,29658.203946785317,7300.881545704723,2702.7483736894937,2995.4914365280665,110.06903509800992,524.4180875625029,1120.9337645174312,0.030567788519585425,9.43000270906816e-06
2,-646.6846095148247,678224.2982567224,655576.8036466436,122735.63374015885,70386.44148841637,17915.783970468303,27604.141072091683,2645.3331702933338,2699.452611885875,2873.1145502414747,334.24279675168094,1134.300208982078,1891.8739836579996,0.0373518035655574,1.0869384227503322e-05
3,-477.459966878344,690510.2651065713,655334.3310502941,117917.14782331744,66162.48352159487,17627.59466319651,28782.603207391418,3758.3985572671027,2738.190341736719,2965.205081096589,121.01543753182229,601.7598175521343,1358.3851711452812,0.03578574461058079,9.445851765295135e-06
4,-407.0521244472212,711718.3975789486,656739.887225733,123144.28710250028,68258.48486491552,17464.69989870294,29847.205243943703,6136.93891790149,2512.012714002754,3010.3265154765377,328.36049381816105,594.3803009132142,1247.2543393097799,0.028644570342721352,9.923787941272557e-06
5,-563.91204764401,726987.4474227682,691090.8187162358,126328.67956023151,75825.40531357776,17054.067800379362,29187.103937975993,4094.0099126346427,2596.076330427404,3041.402868516768,487.6815959315058,1210.492954118198,1805.6962555992125,0.03000186646148404,9.528255769422056e-06
6,-374.50093449821884,725199.0577099262,638260.9390791636,120457.28483737893,65338.99684039401,17583.3635775548,28450.412859305674,6337.494623886843,2691.8350615629965,3206.1936235284184,245.58760226392855,494.4641009828653,1171.3807684261908,0.01793450351375921,7.78286228578391e-06
7,-490.44646180225357,725753.3097817032,665897.0049299997,118889.29372366665,64263.50066999655,17231.208211814504,29198.57987312113,5136.719224863998,2846.318790978739,3112.440335228611,147.332970790136,500.33648516616176,1055.1584938939018,0.03266814123664058,8.967936972706376e-06
8,-502.63323562421033,747542.9704888957,633470.2269200066,126280.38518686699,76584.51278649343,17024.027037395303,31164.400500780343,11481.066236943905,2559.8983307438402,2880.5179933688632,487.969605425766,1307.0541153791671,2218.18290034098,0.03905842720689786,1.0216287402480824e-05
9,-587.2395322524255,720027.3222031398,703427.8324312043,120038.73500934168,75483.36270550375,17285.518209248454,29909.635282261275,3096.0188459782535,2400.1886423980964,2881.9378796039405,231.47957454099145,1440.9505750905803,1684.9787385110558,0.03311455374540017,1.102178126854857e-05
10,-492.73461065645006,712100.3825733201,664043.280065184,120736.453357588,67451.57121379256,17404.1365889859,28274.350761597965,8155.261996731369,2424.9639325635294,2872.529130455808,239.00074789014914,940.5096927252582,1244.6445887869775,0.03196326577666878,1.0591114082399571e-05
11,-417.0101194549352,728607.7557126476,632260.4595659988,119135.56814486087,63915.91514719283,16847.91774614143,30190.514114035373,10128.291109766287,2621.603760455051,3004.333899220039,162.14508969771043,445.45674058402926,1115.5433204678038,0.03906109547752085,1.012117444523382e-05
12,-466.5541005606742,705194.4674030393,660964.7048958956,125346.8305497113,68435.98192803796,17676.92428993794,28399.657507865715,4422.322340119598,2697.2420960355444,2959.1299488021778,381.50166269482787,747.7344699432862,1535.6977137587965,0.04094352878629225,9.869961085999467e-06
13,-504.03807151092184,708147.6080989117,624254.0431090574,118284.51177198457,65316.95662470696,17007.967383342497,28812.113265373333,9109.33902567975,2638.579561333539,2894.017909315648,125.49823842396387,590.1883259767455,887.9864578250462,0.03698796139657253,1.00108770990259e-05
14,-379.4727022787138,707148.7628601715,609895.2959146402,118805.65942074417,65851.58191591146,17263.125642086743,28011.740622545305,7914.994900711168,2626.465658525458,3035.102999023057,146.07684227228552,535.6914667571303,1068.092901070275,0.03277061580474647,8.656655785616272e-06
15,-437.1649792817022,729208.4336867332,646837.0192579903,123859.47143981817,76052.54458650007,16953.37476903585,31122.58440085411,6885.800388702777,2530.7962225309993,2918.9559530601105,330.82926145864343,1060.3127714809352,1837.2285911483984,0.044234207435443054,9.238843391000027e-06
