sample,ll,T_NDH,T_ND,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,m_ND
0,-602.3688133642007,738219.0144223577,731837.6339491901,131792.34365539326,78626.43798420487,17079.48383275377,28559.848335903058,2018.7942187936844,2454.7173523281363,2903.3407293933233,693.4894910973109,1307.2729110133596,1820.9540601762926,1.019779142997774e-05
1,-626.4538658583369,748123.0799669505,736227.8320485175,118813.37098520761,65448.88294621048,17155.395913446362,29026.2073250734,2087.611776715477,2747.033044928345,3034.0009655287054,152.34058738359792,518.7534416210495,1108.9397903283007,9.667442443338203e-06
2,-887.4463343189601,680033.8917447549,677255.6715954163,128571.69229174538,79163.68066196985,18288.72776512823,26454.844643638902,720.6530639025956,2644.5741712815607,2699.731690742292,592.9934345550629,2039.9319706421395,2737.051099137943,1.1714191461724818e-05
3,-718.363008896417,707059.576426574,701085.2943248322,118699.64213136239,65742.76393052368,17730.765438053204,28035.63781187198,1179.519637923803,2750.798759433302,2949.651746142593,159.9539665583599,632.5987202079749,1391.8933783720267,9.767391808543407e-06
4,-553.061923315312,729313.4167595588,671512.3078797687,124857.35123000105,70156.39668167813,17481.22094850196,29373.028609570116,9624.924049728555,2491.4303323575314,2947.943736300868,406.3323195492666,725.1170492892561,1396.9631948481572,1.0225845151196297e-05
5,-717.9723129718641,724049.4384478617,713581.5539866427,124381.99579754811,69033.7186385754,17383.673141421652,28027.611440951274,1292.293205824003,2708.984145566772,3213.0660214884615,421.4293771085008,858.6669923888044,1427.6938816724412,8.562257672626556e-06
6,-440.4953617417252,714485.8230301437,698739.6355158369,122268.47677512236,67078.23725528459,17922.780892725244,27541.814292954896,1590.721094185094,2691.3299359331386,3188.8295902962905,334.3808554164457,610.3526191466964,1302.7035511521126,8.485200456737165e-06
7,-684.7745409099712,729889.843940617,715364.3769139749,119219.44185280098,63696.6660956671,17484.799400958673,28203.693251311906,2060.3998904613204,2845.9269166020713,3082.730547851524,163.13756214497394,506.16375381427224,1056.3657871412436,9.487709040926235e-06
8,-764.5561620002827,731936.4049061224,729718.8932060522,127681.32771493666,74932.22799009342,17639.209175856475,29245.016182530446,487.27643308418305,2642.984252656889,2974.7721037733827,567.488816081526,1331.7846372384965,2198.895691588531,1.0247209972660192e-05
9,-752.1357349788599,721062.5327809735,715091.0969575689,122650.182181412,77838.64620676682,17608.139811892153,28741.922907895256,1849.0074380013207,2406.375919536729,2852.859791584307,365.51240725563645,1755.4979280090927,1880.5594402258998,1.0928147441017904e-05
10,-664.2104466819108,720421.5168237742,718131.5005317632,121121.16899810907,66122.49022461532,17591.808325479204,27465.516391821267,1138.6910134473508,2438.960538985847,2897.2805274680595,262.04786979671013,922.737471169521,1205.691825549806,1.0732087615567379e-05
11,-680.0197063171173,719586.9215641666,702136.2427174172,120041.98822501703,62187.08814678944,17368.85679891427,28470.009042180183,3663.3617931375725,2686.085322248813,3064.0476362168365,205.5569347395816,384.94245006042917,1050.3234492505583,1.0207653831200477e-05
12,-766.1383030919332,726342.0488703497,711911.2141567321,129936.01547409734,71614.3972117116,17765.295724993637,27722.561908666194,2365.229850250501,2758.7421729734083,2966.1888761374476,570.386753798465,1045.7299653830569,1863.6772594792255,9.707116714134892e-06
13,-749.6831102789763,737272.4094771688,736790.6254537702,118840.37928183767,64921.82998959491,16919.674567071474,28428.506184939066,409.42803454023687,2633.8074204362733,2872.882042264923,151.2318717802484,624.4482298117435,896.5322821850174,1.1101803271517683e-05
14,-598.0595767953238,723373.5843180727,714666.7035120197,120906.79386149,66639.90469455034,17334.043825691504,27432.859370573326,1545.5205877411179,2651.465915936453,3044.8679802951087,236.22292638130315,626.1432239949092,1151.5641659252562,9.58912221743341e-06
15,-793.5139581781859,738863.8945470338,731956.4908152403,127085.54359600277,77892.99932185157,17239.179302830842,29775.092140154535,1174.9146831655553,2561.614588693661,2921.2613189026033,468.59129123309793,1287.2102923492303,2057.8921028230525,9.55404695461294e-06
16,-577.0305845181015,720457.8644324987,716782.5274396464,125874.20351668632,71845.04884066175,17819.477105948514,27863.137622251605,833.5908055806201,2673.2826811160917,2948.8033715960196,381.4099301997316,924.0758815046281,1549.5914017207594,9.999755077329364e-06
17,-519.6036467107625,726357.9668612224,717317.7795740782,128656.50375924417,76108.09647012076,17518.401507552997,26825.14094095689,1514.3448606485256,2578.1025331446094,2925.0905976339473,551.4452685111346,1257.3633321377808,1480.9420975171379,9.633656695001211e-06
