rep,T_12,T_HN,T_Yor,T_OOA,T_Bas,N_Anc,N_1,N_2,N_Vin,N_Yor,N_OOA,N_Los,m_12,p_H_N,p_N_OOA,p_LosStu,p_2Yor,p_2Bas
0,1544817.9596067958,774130.4303793439,87960.1770899819,50000.00000000001,19907.75041539151,12561.51345381765,13506.17384298357,5724.7326518543805,2435.5544331830138,251777.4463469105,916.3103681633472,1225.1953612773348,2.154026483914103e-05,0.2,0.02214045818491748,0.2527854319531735,0.17507572890221026,0.3847983622973518
1,1760025.6291116923,827778.4155751168,50256.45097212501,50256.45097201073,20724.942227926284,10787.234425870049,16230.90619173439,5534.91193160387,2447.8790108762328,189889.1726353835,116.55377926260218,1304.2977712574655,2.168245329595004e-05,0.1999999999999701,0.02137429258350378,0.2646680192585882,0.12730443269269495,0.3940923980716142
2,1092208.7272463434,955961.8409619798,66269.64341389854,50745.56156149041,21039.1436106932,13220.985106147538,11820.521466911547,9220.171799900569,2460.433448677664,150518.23499774086,105.65730377120553,1511.9807110078148,9.257839451840344e-06,0.19999999999983015,0.021299229552689956,0.23212583571838372,0.33018036565310743,0.39072278965949564
3,1648163.1798695896,748443.051830256,91286.6439605309,50000.00000000001,20158.44134864799,12426.943932288423,13019.791540602831,5690.6880457066545,2431.819027417228,229981.3729235738,1158.3754562966058,1223.8108799329864,2.2676564522918677e-05,0.2,0.021927304903676753,0.2585008655587382,0.17712430808771185,0.3872302905450541
4,1429028.0232762815,810593.4827512879,70505.78630405024,50000.00000000001,21447.786267183677,12662.21216659236,14246.39922747276,5937.32606734603,2446.162976758347,637584.6818835817,756.3926755296827,1224.1754207563627,1.8971712529193672e-05,0.2,0.02098607710893261,0.2535230382052807,0.17245314785143265,0.3591629702015013
5,1143699.7328456687,951026.9200547595,51573.44485440512,51573.44485440503,20462.77487251277,12875.668922224768,13233.092407956356,8559.530571663056,2460.9095566530705,154368.69662338417,288.8694502045685,1429.7410889093844,1.1140369300569768e-05,0.19999999999807516,0.021322607935514624,0.20522843942371874,0.2875935044531704,0.36915850221550744
6,1492457.765898224,759344.0640330991,103145.07648112225,51677.97383167273,21690.72135381436,12691.340622710106,11299.213074533705,7430.539189801876,2434.4972258732514,216764.11227404166,164.13517265873588,1731.17584005635,2.4855788369269886e-05,0.2,0.02090139539523847,0.29906093324108834,0.24125285721370662,0.4538440504890795
7,1108973.6585115278,933842.9316009508,51198.871907598754,51198.87190746234,27156.225096648574,13274.265189279553,13501.810544482296,8165.908297664455,2456.7230634755415,153301.6593582023,100.00000000116667,1809.831397213802,1.1309220835632858e-05,0.1999999999997543,0.021173036498148144,0.3656609712169469,0.2807935330263757,0.48254234067744217
8,1746902.1814742605,870081.2646832059,51938.69292417135,51938.692924093855,22834.5921971066,10145.128953862044,15716.906481580632,6125.6678529306055,2457.904385802775,203099.27737480027,977.563258113891,1296.665869062511,2.004620849538567e-05,0.19999999999980536,0.021377538598699227,0.274690614779592,0.14962492103828237,0.3678467708927241
9,1477809.2755981523,696717.198117499,81837.13241189142,50277.685318225704,18572.80586755118,13754.586722918986,11904.837240823503,6293.869249391869,2412.819140118702,566261.7614292912,189.39799668314404,1270.1263734605066,2.3258353374201733e-05,0.2,0.021709418215976266,0.17507982033076927,0.20018310868616063,0.3556577488452967
10,1745141.8403271236,848096.2464859786,50207.11346635289,50207.040615831786,19348.97490113484,10316.41187381147,15190.673599223332,6592.708400503218,2455.482603739021,190285.62708595063,100.00000000027937,1298.4919519165337,2.1521632304919516e-05,0.19999999999989607,0.021471181827376926,0.18097443674489505,0.1619223855455848,0.3498833881422249
11,1111100.6398696788,956159.6789155266,51512.65726851939,51512.65726851738,48000.00000000151,13171.482355074075,14094.211849498306,8348.25992960792,2453.619008953634,176474.89716013457,116.86378292579786,1884.0301546848018,9.227042374767354e-06,0.19999999999987172,0.021385300569816024,0.4722538518242032,0.2390219559557199,0.4096271942985151
12,1318403.9287173427,727011.1913080171,146006.19226935608,50800.441541041044,28642.69905779239,14227.667004308314,9232.733249399324,6997.746285915905,2427.276524725842,202007.69063075373,104.90661917992144,1570.2394812417383,2.2322076498449076e-05,0.2,0.021578108824187935,0.40594345244724916,0.2825483369273018,0.483485798831104
13,1527219.2693944934,671296.5085100699,103968.07945555825,50205.413281003144,20468.856718980423,13795.722559222959,10355.074113912553,6548.273201560298,2410.985788977875,154732.8809633221,144.65189541263422,1272.8690964142372,2.3688491482387412e-05,0.2,0.02141597840482449,0.22133049379827444,0.23760252952508074,0.3598672606682609
