ll,T_DH,T_Dbot,N_anc,N_D,N_Dbot,N_Y
-38.95672218716575,748834.0636559926,587225.5910411222,16508.58530713456,6082.597810114201,3631.665434247269,27628.51965832013
-24.260412942388665,776637.7068872048,68580.00309356277,16356.133968091208,6212.563491643087,63.95057603315576,27268.56348054937
-27.520582776777943,769716.5289170382,69156.36742411811,16230.111748553269,7667.373327022956,61.85669803612733,27692.666073365846
-28.32889707307248,794049.7210891686,68475.42044671731,15904.398186689068,6966.457940240839,54.160553072587874,28682.753078137062
-22.837803829139094,768360.8949584909,70116.25668085563,16412.457673931865,6302.1793119210615,102.6126898228528,27470.420596382923
-27.340194984284278,779675.6269960701,71702.7757171136,16277.343288058057,6798.212922147364,123.98716569306728,28200.459236764687
-31.23261522676421,833759.0293533012,68650.87079024849,15702.93926653104,6836.602426452246,55.77674775486236,28993.397717934527
-33.61186824412064,758864.2890227658,69125.29353003009,16400.6404837555,7164.612957836481,54.89361480474277,28142.032450032293
-27.56273906346104,803548.3933048411,68730.785739983,15756.440040062522,6835.842466691605,55.62193810679195,28252.896786012134
-19.121712549437,849055.5103704782,73073.63657978286,15207.981525433175,6125.200840270088,190.02160443996843,28590.935822058727
-31.941292449610746,796348.5812080629,68956.80276963982,16194.432453554751,7161.367957838157,60.52143585416346,27327.079356238704
-25.253297437567294,761968.8097209824,68260.55290956162,16494.19976322831,8261.252839777748,36.61671393623153,27725.82705546457
-23.43531831413795,782295.3866153276,69528.4825214511,16254.45594265213,7930.75443710458,61.45911796462716,27797.93729114414
-25.43600054433079,823497.0452980719,72276.80159163057,15773.758914870834,5317.704660847774,239.30900106842768,29011.72788757433
-26.78015432720208,759061.0090002982,69952.0100292265,16083.011110698071,7159.639889468489,76.16641982379753,26757.23532958405
-24.01546123943709,769589.7305923734,462785.49425394,16601.63466605251,6203.87414493178,3341.1787213642506,27461.19292889472
-27.340306223684944,812349.2405815562,69000.7243772015,15797.840439222957,8200.366415013157,54.10472350129696,29511.48045554708
-27.2441284207677,750087.7928764388,68840.30032560094,16695.522899820768,6609.473943537973,59.963670930263405,27485.63531451417
-22.973701043411303,795549.5423294423,69043.5582626379,15850.721134773015,7620.335597244619,55.06470391282983,28250.795845020373
-36.095377112478765,733682.4875298039,69635.58971932362,16658.54593672595,7474.639175545662,63.08620841910064,26451.22956559645
-33.25173240708298,801627.5505212442,68771.89796045198,15828.81250113714,7891.357929849432,51.83671372066146,27788.36360300188
-27.34450653592155,782230.2707038402,68975.96485792566,15943.40841023126,5248.753310650885,104.14142920201996,27460.530089794454
-17.666471353843463,782310.4859036991,68586.6966590925,16044.335284194776,8178.498559650283,40.49521572449597,27682.6992301746
-20.858133934567498,791037.830321454,70612.44585549929,15992.219204037763,7005.906507874026,97.1165149087619,28472.050009283503
-31.704478305467184,766162.0973269042,68788.319617044,16664.603594970984,6836.078973362861,60.09555392485967,27071.36125213864
-30.06149023675872,790189.5869321944,67797.3746298085,15926.725221677243,6532.191599956871,50.560598563459,27898.785459915933
-29.43665931235654,784699.5429290679,68825.1286790892,16418.54211692451,6711.329422245553,63.84296807594,29226.232804866624
-30.200489472314,774194.434695169,68181.05814701939,16410.241567145484,8173.782526563767,38.55994638350541,28124.97106802504
-31.05498984222605,781385.3931659473,69217.1054146769,16310.621987992228,7216.162903726246,64.16911348779367,27894.30568567772
-43.50319616024109,721118.7188892639,611033.9479541973,17127.172664472164,4588.521423817988,3810.917952423533,26708.18273658083
-27.333643701054804,729306.7526025205,69151.56431701111,16709.89654988659,7599.278573945503,65.85694341833384,25629.829239732466
-28.619770088385074,764997.6501574022,68955.32791909171,16382.142411181429,8304.012405037665,45.07650491632136,28702.481249445987
-27.272669240881108,773945.0277680798,68120.04315302204,16285.883393495717,8854.28013947694,34.160269810994976,28058.59448375413
-34.435492963787794,757852.2721914205,72142.43837055047,16964.020693657243,5773.291853886164,168.81808021643724,28428.972160055368
-28.49404449724577,751977.7722871002,74021.04695124163,16792.615772742633,5257.829458112863,278.8048442853902,27304.78648394732
-32.79713311967218,783774.648342957,68393.07513407397,16160.919751881009,5470.055185038515,75.64312173855443,26799.482075696385
-33.60808735257871,789287.1691207526,613032.3038167269,15930.896025845192,9580.154469658528,3631.481548042316,28493.438952814475
-22.665055097229303,788068.0508691787,69245.15074093039,15970.706016388893,7210.130361670205,65.40518497257466,27500.740532478943
-21.513817414471568,786398.6291494386,68467.30010229572,15895.017308265496,5282.724293532976,86.6204939098653,27771.9749681457
-28.13827494847694,781767.8769909617,68315.64959880122,16107.065023640907,9999.985876182664,34.1005433449734,27319.3390354068
-31.383194067676065,775985.5988302231,69109.31850987115,16577.21430961006,6251.730418773988,72.4796235255198,27333.484172344444
-31.04361026351522,790768.6934575475,69579.69881525147,15971.420060637143,8446.324542226426,52.66239831303197,26870.94626530832
-28.474142466773586,772510.2914810183,71715.79818905899,16604.459666284238,5536.935846925134,213.7907019971687,26945.84849522518
