ll,T_DH,N_anc,N_D,N_Y
-37.48616498583386,808188.582448568,15679.681051327432,3834.887912808857,27864.010051228048
-17.912856533592063,838973.2931087402,15323.154507337344,3822.54356235192,28745.93335566568
-27.887291243928345,754730.8068980082,16372.376795118544,3845.4050486350175,27004.158813874765
-26.69190625779041,723477.7439087131,17275.695569257237,3841.653698811228,26771.17951163633
-33.48290046129196,786044.8991623953,16311.014556929196,3971.386575875787,27307.818139754592
-30.291792893559624,805832.9857396693,15836.17569813643,3952.835889298605,29030.800531413537
-33.42951656035196,787875.2668157078,16444.403465656593,3784.7355405992703,27895.044902424823
-27.72679000315857,764248.9267155713,16441.936009981197,3985.276565016656,26487.378258370554
-24.319311252025404,777138.4565621444,16512.915013482525,3629.257895281516,28040.32613902171
-33.9234271633021,787513.0871940119,15936.088465275414,3812.784692761465,26551.526329090862
-37.84907254443043,810673.1409983089,15689.989176323072,4059.104226989989,27401.08076555437
-29.1957910415127,821267.8019532614,15579.989433322216,3933.258981825564,27950.32045387882
-26.63228143320596,796110.9121502948,15608.771105931088,4026.9370309385895,28024.1435993236
-18.740607859619416,829427.223461307,15447.08619000645,4004.723750146665,27741.225869114285
-29.7196086937994,780754.775164086,16250.173478687237,3901.439095287245,27575.71433538229
-26.378181366375664,780540.1300515805,16182.045429008886,3920.113762952737,27342.97696295131
-27.080500929307615,788957.946881772,16163.915201504233,4020.793400724983,28236.05898370777
-29.398375964071604,775319.6678007151,16555.046236104583,3780.7891295232366,28192.535115983133
-32.28163398601597,801471.0873203091,16026.163035803422,3925.8622708944936,29147.865231741576
-39.77927794264608,809206.8852593735,16289.526660319989,4218.202525001362,28271.086416016748
-21.04527284718906,779306.4188690473,15977.232973504675,3799.355233179618,28401.15843886337
-36.429054159678,780329.3507130322,16143.233655240389,3873.1526016353378,28110.754276338837
-29.65643395080595,732344.576268859,16893.727222465444,3856.962153534207,25917.49105945027
-35.033423699329504,797852.9382065738,16144.765456148089,3938.100542242505,28974.25218400268
-29.060079753181768,775314.0299761947,16728.873608341808,3826.2630690298297,27332.88679635642
-25.657773061179316,724023.0253554198,17162.067242503104,3785.737123039965,26279.966782930314
-28.98716986812745,751291.1181533753,16672.290639803206,3776.560903988134,27172.537226223827
-17.40447923271067,814831.2396231261,15984.245457235113,3975.6191405855134,28288.638916731405
-26.41952830233774,796892.2392429619,16124.968743634572,4060.0403877687104,27215.35774865495
-27.93093497639991,794154.6913420679,16109.92014476342,4063.846055321245,28382.205554435783
-22.46064423336013,800925.0385649891,15646.583988311731,3847.575774196541,26957.29399743131
-35.0715112272341,801806.422711912,15784.274974007392,3849.979764650657,28444.760326925458
-28.837350535071334,804242.2474324044,15884.817991024647,3919.8867080723567,27534.560575403924
-23.67642753912561,794141.2215834822,15886.32884969502,3882.913777657726,28046.581534485955
-23.65007644198243,784471.6366434066,15674.841418337504,3815.3128632976313,27033.21901726605
-32.50617677459507,743314.7858100039,16961.411389399862,3806.560400198901,25476.807495057896
-31.18551879980511,798816.078347404,16013.51654222386,3970.353613670416,29237.3537803578
-41.52407954242287,804183.0498069501,16089.675448639504,4198.730530996596,29061.941671609136
-27.53262135950383,799337.6850025102,16046.129259904586,3992.005711122868,28336.849143583557
-44.92446302152648,833562.1798405704,15797.270311110133,4106.733708553871,29604.74774313976
-33.276558852843856,842696.8184687506,15333.868609725318,4100.664303450507,28837.63262522941
-28.2123478403618,766738.060405109,16372.768876101298,3908.220235061431,27275.577928685525
-27.40639131360557,790827.9863480132,16116.431864937107,4008.6188755170815,28679.240378062004
-29.99621858919364,786025.5425251017,16134.798609370451,3897.245848896552,27785.104697105013
-23.088349112801644,795597.5278156329,16121.610658119209,3884.2861349100353,28284.87629716342
-36.3675525839496,746891.569935558,16870.459144745473,3942.2106241049314,26735.82144976037
-27.823228506076404,788931.449324905,16095.11909420735,3737.904682033932,26661.68751451544
-39.59488592612133,786966.2126949904,16577.58580896677,3931.875954659317,28563.067173502062
-27.98125936157819,837064.6124341895,15352.670836603753,4182.364163228564,29373.244457161385
-37.05150282230277,780958.9925938147,16361.478693124758,3760.3138089137697,28225.809566716227
-24.71389067542768,768800.1839261028,17162.68778929288,3898.91795291733,27936.16396106888
-19.304786408621812,766429.9287678652,16332.21324718738,3650.4254731675273,27177.985729096446
-27.976637364525352,804717.1030072619,15684.776491211189,4044.6213213362967,27813.593821068647
-25.83914956969621,769630.7466025956,16424.47930885686,3969.506543144164,27323.818465976063
-29.332564793067988,811297.0421229858,15769.718179895266,3968.176085254679,28061.93418733648
-19.61330435638508,751260.2614877786,16661.57934968854,3810.464756054708,26701.5143852547
-27.954071473546737,796232.8204921726,16043.701921494914,4115.852696264103,26843.905662452507
-19.216273613754463,781477.0751127753,16370.535701610928,3904.006404462157,27619.486850763893
