ll,T_DH,N_anc,N_D,N_Y
-39.91806086822787,729758.9703549186,16803.371748437705,3807.893890226049,27036.331527490565
-29.40479090548893,759328.1474394276,16603.78164283414,3806.736282589533,26806.387794306025
-37.15725460030441,756363.1996309445,16415.58304049885,4076.379801715055,27356.14616551248
-33.29412417394501,786097.4123368268,16006.152413958956,3938.1631626532135,28491.12042650399
-35.455575513503575,736219.549651226,16889.979138897495,3949.011233951521,26561.86078170124
-43.672768841676096,739509.6463445525,16876.176522366928,4006.025629017878,27055.068864336023
-36.942624084508935,815714.7497578078,15959.356844404434,3833.5732881818662,28534.956938895
-39.251754658501525,746157.2045385484,16572.788089314294,3658.79627687673,27807.444604904176
-32.950229239423535,784647.4677833649,16026.319786583204,3766.493100961831,27765.448601951484
-35.202653029313424,795660.4229496951,16015.956401470812,4028.46880160815,27196.90193303335
-38.26123093575381,777884.0306547802,16457.596273190764,3949.6589250923303,26857.79706228369
-30.030303806561182,754753.4471353478,16582.602959724176,3682.7277277406247,27585.27760389084
-35.298498761267936,767259.9631211724,16463.084162603187,3970.84104052474,27421.4454950161
-33.92106968160539,789499.701411137,16284.825366650111,3999.201064688095,28070.002409867808
-36.50584579252005,731934.4391991651,16479.42670512584,3869.910582133051,26026.779921475707
-28.638411970846484,746464.7342135194,16960.556574446826,3826.320335487236,26753.829595186584
-38.30539723275877,787520.8024970173,16159.842051227726,4056.433942485888,28861.159343550426
-32.94135679777732,747031.430868423,16721.045244575897,3786.6332452735214,27427.10195810974
-31.887758624107192,772132.7705212949,16189.602220621073,3857.117313501295,27640.531052239272
-44.31929884875339,718795.5314750503,16865.2208794153,3775.798152642458,26065.351008939844
-41.81632840634834,788223.878310667,16013.599697563664,4016.399352273445,27469.33893671304
-32.99999797234257,773501.4757982357,16062.197157240478,3805.881384787531,27221.213428843832
-23.32706678139398,768684.7825917723,16229.709497131633,3650.744668788581,27361.827045512367
-34.90305057597332,760205.5050849632,16446.398325794748,4032.968269620545,27616.50677017308
-37.31961739238824,750525.1994609453,16885.055799651986,3883.3876203470354,26661.272599423926
-33.73794596286524,777285.2966911881,16108.77468174252,4011.406822166018,27570.279213202648
-35.44140338404731,765173.796056679,16700.7493707383,3919.866593752088,28682.333592701456
-35.34486267063845,767961.3905454291,16484.56747127332,3855.1500640095096,28008.64471784392
-40.19427256897342,767181.7923840625,16508.304439424825,3960.0210028361807,27528.098709324368
-43.69094989738197,712415.4236189408,17268.771834076695,3848.441279997834,26424.41201362359
-37.94119355236875,718541.91837679,16858.183400069902,4158.039319630831,25374.042334325382
-35.390784039306794,752905.4744594829,16544.73516930879,3695.503226550144,28409.63323036349
-34.02482655262473,770224.2388054406,16319.849378375777,3807.4649443717926,28028.335248202853
-47.07179604628352,722343.1922139463,17493.090770672017,3873.404113110378,27349.35181458031
-39.01390069803408,710817.1056321458,17411.01713497784,3843.70594352927,26080.427966270265
-36.25724202689976,770773.9476629022,16345.521945847113,3745.45042100245,26455.8956297158
-36.64445606334852,763093.4819380451,16335.037079466036,3939.492864379961,27721.96338913235
-31.365578154664767,769585.8227761398,16234.506593787017,3962.091230724828,27025.318832592915
-25.520393237560903,767109.4360833134,16177.467517711675,3748.885528267935,27242.63106832275
-37.598551305715326,780459.7758114262,16103.301404275797,3921.860956225528,27371.88859950043
