rep,T_NDMH,T_ND,T_MH_N,T_AWN,T_CV,T_OOA,T_Bas,T_L_S,N_Anc,N_ND,N_Den,N_N,N_Chag,N_Vin,N_Alt,N_MH,N_Yor,N_OOA,N_Los,N_Stu,N_Ust,p_S_ND,p_S_D,p_H_N,p_H_NW,p_N_OOA,p_L_S,m_ND,m_SL,m_SY,m_LY
0,759186.097807433,721782.0003253708,397201.8390030269,116760.93489746106,57326.61300317854,66181.6823256712,58759.871931765134,7000.771466008845,15135.53947981815,1799.7841588603733,3107.3696175222,3022.0680934629213,86.36879313266695,624.9013744041962,72.88956802206731,34357.32844421308,13604.373096632187,484.15763810666124,1298.4049226254306,5385.691883220394,9941.241946412618,0.036433441038363976,0.011810411929037494,0.10479331220516634,0.009808327555184342,0.02814529881879592,0.29698906250709506,5.788154918643678e-06,5.390440455403924e-06,1.4228688820108064e-06,0.00011366413595441811
1,824945.2058625126,778861.8672486958,399999.98821785173,116835.6043086785,61145.09623152937,67412.46540429718,60847.29583181811,7000.001103279796,13949.580703907519,3034.147800157139,2854.23541995119,2798.3715360901992,251.80454546157068,873.5047073535113,75.44715866896114,38986.496975552036,13173.248971859013,423.8010370556477,1349.3429174745318,4680.696404596387,9410.012271269052,0.0429763107594442,0.021847452941396853,0.11142988210536335,0.009753465771323782,0.024453172395972743,0.34638964031952585,8.236511803988623e-06,2.8468677458290686e-06,6.949652999487348e-06,0.0001235129428555448
2,818521.1844531395,784619.9419785728,399999.9383903627,118543.25169079575,61731.04843445203,70668.86838341596,63066.28243369779,8085.12448322688,14135.895463038256,2386.4461621543855,2884.7030049777904,2874.119471473666,281.55335513450115,923.3248208086792,152.1631764571626,39163.46113188438,12430.502766896438,470.35785020317593,1337.2008803167628,4327.0282667513875,8885.757615701505,0.03832064214377369,0.01948591249480143,0.08432675095881438,0.010126719823655622,0.030137637920232496,0.3811990929962609,8.094969262970582e-06,3.571664372684504e-06,6.497314204388457e-06,0.00013252938715511677
3,834419.7387708089,724072.6870996873,264679.3633020814,116835.12605227852,64237.20946864516,75741.21158197937,59649.88803695549,7040.912122259795,14055.61277404771,4568.010842991194,3373.8199191898993,2626.025006923856,393.85198057552464,1048.7935579633966,79.66826197202838,37179.848015429394,14035.950429539378,1005.8952600470275,1333.1697533887977,5060.575263628636,6669.316020723109,0.03650742647494846,0.01076759796835324,0.08991331047896717,0.01121120707207272,0.02118320539867829,0.32154963837549105,4.175106366981804e-06,1.1333913670680051e-05,6.511672736281046e-06,0.00011745876812725901
4,760994.6304688472,712995.2894076214,399998.41257011064,116883.02584815833,60600.75959346621,72190.3441103308,63827.540072095384,7602.907238472358,15096.082442031853,3142.719030971594,2808.67184816718,2759.3959550050886,227.19020511906365,809.3192267481407,80.9082375137014,36998.961782306156,11683.460421803591,518.4457162145504,1347.4266513021373,3872.8759789003216,9983.89643311814,0.03358861897279303,0.01765422496135943,0.09924612356881315,0.011906690070751902,0.027529106077724203,0.40066808460053077,8.158669052587472e-06,3.4655582764491534e-06,7.151427417011503e-06,0.00013494939761751035
5,846104.9847707521,814737.6456233092,399629.1519487277,116801.1362920413,59783.12462609893,70185.33975811141,61148.85323860405,8311.24416368337,13864.645291482917,2491.5021865618955,2844.5723851131524,2797.107398372583,188.2384583161054,801.5080408989388,75.54390451409719,38180.995043746945,13016.242915884342,588.8457461317303,1346.7738936279789,4974.137620163032,9997.278552754073,0.032273703281648504,0.02164474183053108,0.10332716627840483,0.010980599451961925,0.025025184107425838,0.3640139885422135,8.46138958212024e-06,4.12349475890823e-06,4.767011880364898e-06,0.00012232725589619132
6,788489.781465515,757694.5790608139,398549.0297528589,118909.53953961156,57827.884027460605,75498.41734107681,64708.05605098626,10707.361657310863,14609.708926362624,1523.1526862114322,3117.723214928248,2903.9752802820176,107.2576670303924,695.9334151414591,185.32857533264192,39272.30681265167,11586.368718864855,666.4426325396963,1325.919077118363,4526.858936952026,7995.333371442759,0.04167783408768014,0.013493169522978254,0.11312750377865692,0.013690478325067527,0.023516800079173762,0.41035071943026447,6.261842933960753e-06,8.703719226111906e-06,4.334173992321285e-06,0.00013847174220132228
7,788394.1204121141,760553.6288529431,399302.9231994713,118012.06343571174,60211.475986384874,72326.23952816847,60918.9274580598,9324.726797585927,14696.304051152325,1708.8037995116622,2949.514035680201,2915.333200058459,211.44996457463787,808.7736442342783,130.45556904637425,36048.094734059065,13952.54622426598,736.9408222185521,1361.5015466394896,5049.436957062315,9995.16797394239,0.0343537762137564,0.01665503648978479,0.09311552561227902,0.010292101842919196,0.027716158993405234,0.3620907781709023,7.334958034179521e-06,2.467428328344158e-06,5.677533209872242e-06,0.00011636190907344751
8,794037.030943141,743872.5688207317,363318.3017826017,116459.08697481971,60213.99357103149,70523.453137607,59419.89363474026,7000.037477953642,14544.647174215082,2809.4887217481423,2995.4636836996347,2832.0934738269675,209.860256564872,827.8868822867273,60.7699369655808,37516.777979250786,11535.152172296886,662.730833216961,1272.8671790653286,5396.052389857166,9999.993899760615,0.037482797924457384,0.016089542002490916,0.09359726825350492,0.010902181722160594,0.024247330248670065,0.3051050498906067,6.887305844337677e-06,3.04153900231769e-06,4.671036310427247e-06,0.0001301789814673981
9,712534.7624515893,688655.7403787937,277142.87554365944,116284.97415857908,56421.110017138526,81736.77248804738,62772.68585260396,12901.615830439916,15515.401381861711,760.251077619188,3805.3085380654993,2892.128089655811,51.945292048770455,594.4079733226824,58.385998337014165,36246.18349071469,12916.597069523483,1153.8410936785824,1309.4008866765746,4797.486339165159,9169.776691930087,0.05370109817177973,0.004260870664932954,0.09802066404175598,0.01270508162181078,0.028498220118691794,0.40466652061447284,1.1358700079391814e-06,3.9846505625072255e-06,2.761793535816005e-06,0.00012828087034477705
