ll,T_NDH,T_ND,T_AMH_Alt,p_AMH_Alt,N_Anc,N_Yor,N_ND,N_Den,N_Alt,model,T_Gho,T_Gho_Den,p_Gho_Den,N_Gho
-43.33322140690124,762903.4871419992,717896.602210091,300818.7078179917,0.1111606590343572,16497.576963045954,27013.357479093876,1555.6561972952693,4074.474788806238,2588.943183118597,rep0,,,,
-43.31672330285083,766683.1904888158,708969.0680135116,302093.49080597254,0.111446500746108,16440.34642944482,27121.64700068065,2005.9844034962732,4044.430156766958,2589.8207904706137,rep1,,,,
-43.34304562311247,761726.6127003646,718558.3625787243,301133.14941936027,0.1112690359179055,16515.484843218153,26979.647892058965,1491.55273154333,4076.819396389024,2590.8820463019806,rep2,,,,
-43.34273993594759,761941.5376428897,718785.5331807323,301693.1271809487,0.1115519795764813,16512.39199026773,26985.34570056607,1490.0369051522262,4077.553547659096,2592.793416441796,rep3,,,,
-43.92658014343791,750316.076435004,735163.8185755891,301439.5240509927,0.1118179656710506,16690.196521599046,26649.89671994388,516.6924618590364,4131.497140742418,2599.2806277856207,rep4,,,,
-43.39519380840853,771446.5235518726,697336.850053727,302904.4879604356,0.1116408003640183,16367.593048728646,27255.768743072204,2594.111954508702,4004.1304034029854,2585.4593853768138,rep5,,,,
-43.32205249279899,763715.2772989766,715539.7470688398,301531.428107726,0.111448744664377,16485.806170277283,27036.16042205972,1667.2810056744088,4066.823009396342,2590.3133488654485,rep6,,,,
-43.41071359174086,772031.7644615853,696170.2719870755,303818.577395998,0.1116003508618489,16358.360619736268,27275.244715364985,2657.4382897300347,4000.0487152436494,2591.7007601239434,rep7,,,,
-43.49185877982024,757112.7510319804,728051.492198952,301058.017061757,0.1115564431708086,16586.2350128148,26845.51483655074,996.8549945815012,4108.022449079506,2593.967080943718,rep8,,,,
-43.32112606289557,763665.3475271752,714333.947057985,302649.3072460521,0.1116468702981919,16485.69332932515,27034.96734322457,1708.3827120992985,4062.687855854467,2596.1230152608846,rep9,,,,
-33.19872115755372,787969.1496224577,726213.346977768,249431.60729099612,0.0866869010109733,16045.82998756882,27910.124072658946,2158.3973111851865,3637.976769486632,2400.082395375641,0,3998985.41750586,92126.6203901317,0.0009591861024185,5769.502609645084
-33.239405556164186,782516.6584400146,714928.0734366821,249612.06160448,0.086729873278138,16131.005210820098,27760.51724804549,2386.939730977359,3616.519804324645,2394.7336008624998,1,3999999.999991941,90791.89306976576,0.0009272382746544,7630.38083541281
-33.210049661388084,782480.0597557864,716833.3251357921,248975.64069967443,0.0872452317075199,16131.631193747216,27756.253169093823,2311.6896515371377,3612.840418821273,2383.180213975213,2,3999999.999981667,91220.65172935456,0.0009515394947881,7953.203840809316
-34.23806105998821,795761.9704870466,698202.3411864692,246748.99972238127,0.0848812351125874,15922.933865458754,28131.583959339358,3480.635494628124,3531.5206011283244,2379.002496129809,3,2887444.4107976644,90029.03544634514,0.0016371853544319,8677.278091327813
-36.29458988458131,792375.7635149979,681739.018090379,273619.9237797868,0.0991131938874369,16024.31075806953,27883.824407554363,3907.520895634831,3423.8950117549853,2449.834218748153,4,958622.540221222,92286.84459860786,0.0072861139641769,99975.6356323303
-33.15563502784472,786228.0229680559,727829.4200042412,248751.8569839864,0.0858454982418101,16069.44868224436,27874.112756710907,2041.535982169108,3632.212194726784,2405.6228151284054,5,3532547.102354744,94039.56220050664,0.0012127414483853,7497.689720193104
-34.482000752049075,774635.7759364878,688140.6557171124,258091.8255914621,0.089784386774689,16257.507753616026,27521.72529047244,3099.3703497034744,3466.711638282692,2417.1678486490587,6,1753405.9455519323,90790.69861900852,0.0034686015377915,9598.876249839072
-37.55932453230399,815241.4212279214,665734.8864977392,262010.9588257998,0.0915744676899304,15649.726397401644,28559.719736243733,5368.629432651609,3386.9325092158715,2414.171340844159,7,1244918.69581939,90000.00000058302,0.0053929903007707,99236.3386665404
-33.18894979906538,769710.5129371847,734410.187916985,240955.93279991852,0.0831285530248676,16314.532041663202,27439.9212810935,1233.5980551498144,3579.998579169107,2365.5520048301846,8,2153899.7175427126,102751.38417712924,0.0030506622713874,9045.538938019454
-36.89863371677375,822037.6797509152,679246.7202048022,262759.2166747565,0.0869234157255183,15518.778431282197,28846.50305915104,5108.811829519022,3488.1420220253726,2487.563818735044,9,3000066.940363945,90000.00000000109,0.0015264132562919,17850.0578246063
-33.08437001538756,769780.5946594735,732511.7235707085,263901.27411919227,0.0931406792937997,16331.925830976312,27386.631317973333,1289.1953588355807,3671.308124158729,2463.4964893626307,10,3999999.999999729,94190.6541021686,0.0009419949361097,6749.517398631087
-33.22301621368122,780805.3850680885,729732.8571212969,248438.8896093763,0.085343425950766,16150.666157853006,27726.46434454717,1783.115489994782,3587.697516758348,2409.996025772721,11,2361021.3665021583,94124.97675693769,0.0023976696032458,5787.766285710383
-32.66728650506166,769125.2769507536,745270.8492989854,249611.35069814263,0.0866155734271776,16333.699842611908,27393.43258773923,824.3892839473381,3700.457069559154,2413.092942795625,12,3999999.975982901,96429.09585914791,0.0009755206130885,6028.331318876236
-32.97801822671987,779762.8005081378,726024.6241894948,248395.5214049868,0.0868548218545358,16166.870432709253,27679.76387362213,1882.0908430076856,3644.244545614594,2388.1418856623577,13,3999840.0769197736,91826.72468682252,0.0009470079260705,7004.095735795564
-34.3872266657641,759865.7790287106,738204.3376013209,236727.0938938791,0.072230605121148,16397.65480441785,27436.011376081828,754.8089829155671,3652.016946121385,2493.1772448429583,14,1708399.748566791,245862.3497993105,0.009541638686999,99999.99999970816
-32.905955344894544,779754.0334495668,729534.3654094017,250024.49666170764,0.0868137506182846,16171.92166234376,27686.65632075489,1754.2776541188762,3651.8713102205406,2406.7872214854056,15,3999975.301935358,92650.0076775908,0.0009551263487976,6730.30998333124
-33.02197446429457,760547.99129699,727876.8602161027,242902.01021825089,0.0848898061053717,16466.137206099203,27162.07760956074,1150.5724801606366,3648.229612515548,2361.8126810767258,16,3999999.999999999,92520.33570675358,0.000957931020168,6912.337974482288
-34.69374871199523,764699.0485644155,727022.4831729892,244361.3263662063,0.0828634884846331,16377.088751489358,27412.94304518571,1323.3952646072123,3703.766550095712,2405.8177768817554,17,3999999.9999972703,159241.2480690679,0.0014881816968352,99999.99999983856
-34.952157587528255,790739.8287393411,684072.438041242,249260.77347250484,0.0832639287658797,15992.75849195407,28022.0773778207,3850.11108170693,3400.929488076978,2410.6556119580077,18,2089374.8198842728,90000.00000000013,0.0030672233804993,14250.339420042194
-37.12608067624558,766479.5558960165,702392.0419992581,256273.68157127252,0.098500419782749,16435.04868558399,27107.66470577682,2231.368524455125,3181.589366714746,2310.8964536653,19,766479.5558960479,96071.04255309426,0.0135189655167144,99999.9985206488
-33.11924482926271,782433.717198504,720747.3041055826,248910.36783396068,0.0867497444233944,16131.040397093497,27758.911187281767,2167.985376281888,3622.9057243519487,2390.549184316018,20,3999999.948583536,91633.13456099542,0.0009543180447892,7589.736510212087
-34.04078210308892,775409.6238257552,713447.4854767323,229634.93974268527,0.0791086815387777,16227.279883102046,27631.23611766965,2217.7687922328387,3594.533876882737,2297.521871549227,21,3999999.9930581953,99224.57249517272,0.0010775605912924,17410.17537976034
-32.773071951937894,779487.5569492669,749589.8527744025,247449.76634128368,0.0852973774173981,16170.460517304624,27692.08469973357,1029.008559162871,3686.175224386223,2411.290930422272,22,3699064.59859132,97100.9341851617,0.0011675366336369,6232.197063227228
-33.28384920480876,778316.513572801,729336.9453160679,244464.38160100175,0.08353290836503,16185.039527331872,27672.33735699844,1715.0254381664267,3561.897929173454,2393.558603325439,23,2162013.1608604765,96507.49973847184,0.0029000763567214,6953.779373253242
-35.390300239714506,760729.054251409,718994.9963351021,238155.5732740466,0.0715490865373561,16377.417680603015,27488.07526969882,1479.2505516528358,3654.5020376339808,2505.7362419641818,24,1756132.3762189632,266846.20394498203,0.0093209969413728,99999.99999938396
-32.860847010500834,779108.0930954412,744923.0908251412,244862.1774470035,0.0840048856000439,16172.47603313085,27693.32883347795,1182.489610209038,3647.819742357038,2400.39626969745,25,3071373.622435016,97854.66610285745,0.0016410956174049,6575.396765556285
-32.895822122286035,762767.1688188721,734802.3255046947,242211.33432139564,0.0854827922772098,16428.024035068927,27225.721462404545,976.4307791040236,3640.789859483594,2346.444017064049,26,3999999.3655712903,97113.26020195126,0.0010399192356504,7348.458644638807
-35.45786286004391,789116.5140205421,726269.7571526486,239508.995314895,0.0750127273591187,15965.39182469027,28193.5948108978,2211.929070257097,3684.601390152745,2470.32651268277,27,2609652.278426455,210637.08038860865,0.0038582764579106,99999.99999926194
-36.31982141830702,786597.2114399126,731253.0077115537,242556.68698328917,0.0679209848866046,15947.789694990624,28298.078722904786,1930.302744663209,3783.6379595402577,2618.9206031849303,28,1730017.847426223,348151.69116357,0.0115917956688094,99999.99999999984
-39.06518557703656,749770.2396344868,679575.7807576717,228554.11047863195,0.0565393758985751,16464.40896091355,27397.006248509,2531.8469242299147,3871.2559871641024,2623.5718955400766,29,1216372.2492019285,679558.0043808494,0.032014741110465,99999.99999999984
-34.200580590993575,792424.8187014499,692571.3567015198,252023.4009844692,0.0870634918050659,15977.560605964129,28033.690476645537,3569.164032025845,3528.674045851373,2397.2421610551623,30,3144028.404095792,90000.00000000029,0.0014006500896184,10502.56522932712
-33.731260693485524,762797.7676179576,725595.3941614466,274225.4934076899,0.0967897636926307,16452.174929833305,27154.122665956173,1292.6748503914405,3758.028249583488,2509.5113475231187,31,3999999.9999764087,92016.43600418315,0.000707264059755,3827.514020411536
-34.90218361094247,809034.0328422359,773187.2563565525,237496.40301318423,0.0789567314345534,15699.386558045671,28542.16755426428,1211.9800903081164,3667.682422961645,2412.887430537391,32,3108540.556210122,99938.68800924928,0.0018005750184117,6042.803735557136
-33.36287286875884,781288.7943436749,719870.8081041824,260070.6639564927,0.0885640122426931,16148.395232492005,27732.661903463235,2154.6084334064485,3615.901243692324,2475.043724879626,33,2958720.829510256,92558.40034930162,0.0015432382560267,7007.345780843509
-34.26936141046994,781760.5293647596,686783.1009078256,265823.9733052216,0.0933717109985788,16154.950733592734,27713.378024677582,3392.549278179521,3577.9514905510496,2447.1113663814685,34,3999999.69835272,90000.00000000029,0.0008326477383145,12889.052129589438
-32.76864970359859,769688.9894769844,738595.6371729774,243639.6245310833,0.0845852699290411,16320.15170339548,27423.65990350703,1082.2777057665817,3639.9470860735655,2376.0051089217527,35,3317089.959819888,95299.15806959376,0.0014041140037664,6506.670289540628
-34.02512227758781,781490.112649006,767802.1467748447,241834.65214306055,0.0781055678228724,16095.97256215634,27929.73862501404,465.20473071625946,3778.7910309892823,2470.305563738328,36,3999856.6075412496,182776.3233673711,0.0017553305900253,60521.41801717496
-32.6898788445075,768334.579397058,743603.4089095269,248451.37756505416,0.0864636177804172,16346.322209135047,27376.228040772065,855.9605008719013,3689.970500891583,2404.5165856368144,37,3737728.9075963134,96450.38733657027,0.001106616065776,6513.462685537529
-33.18636332579347,787187.6895979352,756695.7275722829,245330.5122458409,0.0836238808329626,16047.37841966792,27913.504316078164,1043.2598694265778,3671.863726662245,2416.383480939138,38,2892305.932791144,98162.83877799888,0.0018198622743304,5565.833881257242
-33.91879817840298,765524.4560352284,728925.5912737853,243421.66624722932,0.0849968591908544,16375.818247547244,27354.96694499438,1282.8045823754687,3669.690504799633,2361.2402361965114,39,3999993.973870976,126420.90566888604,0.001222868557192,27026.691014913027
-35.143373123097646,768271.3210516742,738156.8664465314,233185.6568152045,0.0666456439926026,16234.836641551245,27779.365085966267,1040.3762279800355,3670.986331429703,2555.912762510586,40,1356244.535236944,322676.0039949992,0.0190696512365842,99999.99999999984
-33.431338073939145,782259.3449779726,719956.072250513,253396.4135995796,0.0848472718502004,16129.268626028575,27774.240016727606,2202.2005985363894,3644.7510809485098,2458.987642992235,41,3999990.568390535,93176.42339134928,0.0009117082381803,7163.892305086159
-33.91832802468355,793324.8272640994,702365.852127746,249377.6491866877,0.0855214877732115,15960.786451457052,28067.63574239935,3237.365432453667,3556.738817631905,2400.0100321956365,42,3705364.3058186527,90000.00000099502,0.0010862997255124,8860.15249172334
-34.50359465457184,773700.7146207276,742906.3135502241,259907.72576132944,0.093412455204874,16295.33188781517,27410.460822054072,1049.7984725470897,3510.2171812419024,2427.5439871384333,43,1023943.3101151368,99528.58960400351,0.0080784908314569,6712.069628417643
-33.67726522571533,786387.4661877619,713458.4182658362,246355.80643817972,0.083614845399405,16062.3111076873,27893.667387016747,2582.1915382023662,3542.547166672732,2401.898020190265,45,2437476.698157765,92915.23061181731,0.0022845834819027,7635.38203309888
-33.7323568410615,772208.6978591073,698292.4631405016,242900.4688406717,0.0851208082010812,16287.404367711635,27484.630308586868,2653.9548345798253,3545.606538487387,2337.927298148152,46,3276250.3018470327,90000.20766331845,0.0013181711995126,63023.51011664505
-33.02882779464355,780009.5312869792,722915.6901920657,248321.65512889516,0.0864061504517584,16168.396696602182,27694.459746067216,2005.5539465597467,3631.366230105316,2391.335628924636,47,3999999.8782318905,91299.09912935409,0.0009516705959502,7399.111705014315
-32.663691471550294,772913.8660628761,745682.6854357491,249067.2298441059,0.0861852184413,16273.9603108238,27505.83466018722,940.5203795552162,3688.576330101918,2414.7612946189365,48,3999999.9995824695,96478.78062137878,0.0010038844927431,6487.692712856691
-33.16022919084126,754080.5664426672,742848.4003972071,248103.3458245038,0.0866035751211676,16563.958884414675,26971.57484726948,389.0191226165293,3680.575670647228,2395.9973986628884,49,3482849.560733,96914.0904904688,0.0012479097465691,5993.967948887358
-33.13320449817684,778178.9340074726,755877.8850075254,259880.73064447453,0.0905316589163924,16197.25660111309,27634.25595411264,758.0310403755716,3756.009545309752,2468.9674829906494,50,3999956.7860152936,106662.03047463372,0.0009901158467652,6166.153011889894
-38.69351605614239,749167.9746638407,685397.8090525942,232224.49854650057,0.0576984611873008,16477.119441040006,27397.024621479395,2192.3021589738246,3807.8794157725793,2659.6828521572897,51,990722.7133170431,604201.1310599537,0.0631202072245058,99999.99999999984
-34.82065490861335,782888.3698175963,745494.8527312899,262035.83684393796,0.0943362467361405,16155.847799067686,27657.38758220092,1266.6240313868632,3491.011220007923,2438.857305988212,52,997144.6989792176,103559.95711688868,0.0089612403107017,11213.475830592812
