model	label	ll	best_fit
0	null	-627.1863984307258	9
1	S->ND	-622.2692702923625	2
2	S->D	-433.0203821376821	17
3	H->N	-399.9000316920385	12
4	D<->N	-604.9068120325978	2
5	S->ND,S->D	-433.0355152989341	1
6	S->ND,H->N	-393.70995229185473	24
7	S->ND,D<->N	-602.6936037788588	23
8	S->D,H->N	-389.1246136158061	1
9	S->D,D<->N	-408.9019196331407	9
10	H->N,D<->N	-394.1342443108605	4
11	S->ND,S->D,H->N	-386.6771326898534	6
12	S->ND,S->D,D<->N	-408.9919428770547	3
13	S->ND,H->N,D<->N	-392.46168642562816	10
14	S->D,H->N,D<->N	-386.95047745783006	27
15	S->ND,S->D,H->N,D<->N	-385.42875980620954	27
