model,rep,ll
model_0,0,-586.7868000222475
model_0,1,-611.2835578204838
model_0,2,-548.4067801891862
model_0,3,-603.1828903390772
model_0,4,-681.2617893261016
model_0,5,-711.5067293788803
model_0,6,-813.2027213267809
model_0,7,-826.3103892632116
model_0,8,-551.2252429699703
model_0,9,-651.7249455707679
model_0,10,-862.8002821374687
model_0,11,-764.3830142627801
model_0,12,-521.9371473324921
model_0,13,-740.3724519528444
model_0,14,-717.3818714914164
model_0,15,-824.65850601052
model_0,16,-667.860534402356
model_0,17,-765.0486626920846
model_0,18,-646.1917187302146
model_0,19,-931.0537192145118
model_0,20,-698.5033738259691
model_0,21,-622.4980779090646
model_0,22,-880.0997818304504
model_0,23,-812.9281810533843
model_0,24,-749.5143300084671
model_0,25,-595.8621453080898
model_0,26,-869.3030236888466
model_0,27,-708.6294394455113
model_0,28,-659.0566712851178
model_0,29,-596.3098526519135
model_0,30,-499.3613385086095
model_0,31,-783.5264067006316
model_0,32,-920.4090115014171
model_0,33,-820.3060761585111
model_0,34,-804.9865950258182
model_0,35,-841.7057385094121
model_0,36,-724.7791513025912
model_0,37,-542.6758397685635
model_0,38,-667.0129071877413
model_0,39,-722.7864464669848
model_0,40,-748.3143117803679
model_0,41,-644.7273702731798
model_0,42,-787.6699594704107
model_0,43,-695.3565473691741
model_0,44,-569.7605891057877
model_0,45,-554.3629315385317
model_0,46,-568.6317834458662
model_0,47,-688.788425996883
model_0,48,-695.086892167176
model_0,49,-527.059775636764
model_0,50,-608.9594832401528
model_0,51,-694.118379549052
model_0,52,-733.5990976994342
model_0,53,-671.5036134705316
model_0,54,-579.1932457487375
model_0,55,-632.1887208124256
model_0,56,-614.1170625245745
model_0,57,-771.3747069019599
model_0,58,-716.7499496595678
model_0,59,-865.5738491858538
model_0,60,-717.0184283451152
model_0,61,-494.34753200996306
model_0,62,-712.567207560151
model_0,63,-649.277223326447
model_0,64,-531.8115561930168
model_0,65,-812.9355190448401
model_0,66,-641.9684894767424
model_0,67,-522.464873792823
model_0,68,-639.3945977437008
model_0,69,-595.8057134820205
model_0,70,-675.4765761740623
model_0,71,-774.1443225142683
model_0,72,-512.7581515692821
model_0,73,-627.8082787054764
model_0,74,-652.4298571234624
model_0,75,-759.6834371870127
model_0,76,-740.4260267545466
model_0,77,-593.0427767937402
model_0,78,-657.2494629929338
model_0,79,-586.9799293717663
model_0,80,-600.6424658232817
model_0,81,-637.6950626669769
model_0,82,-784.9538331189018
model_0,83,-648.837895384857
model_0,84,-612.5835557854346
model_0,85,-680.9606148556841
model_0,86,-570.3264045411197
model_0,87,-609.1545324183276
model_0,88,-648.3333140125462
model_0,89,-641.2510576769513
model_0,90,-792.687324795614
model_0,91,-716.0097938065311
model_0,92,-471.7374305157651
model_0,93,-849.0900838086365
model_0,94,-669.9802133189805
model_0,95,-785.2058009179311
model_0,96,-655.4539672735489
model_0,97,-746.1109370716902
model_0,98,-601.9396658787695
model_0,99,-540.9778122450274
model_1,0,-586.565215394336
model_1,1,-599.9967360246862
model_1,2,-548.0803255163871
model_1,3,-600.594417400414
model_1,4,-675.2080956230402
model_1,5,-711.4132715637396
model_1,6,-811.7723861833958
model_1,7,-830.1424998115816
model_1,8,-546.5590034327397
model_1,9,-646.3007589323573
model_1,10,-856.7548787090741
model_1,11,-758.6818063146013
model_1,12,-519.8673142630253
model_1,13,-734.8315156055698
model_1,14,-716.4453379107458
model_1,15,-826.218946538659
model_1,16,-664.127370662369
model_1,17,-765.7874289590261
model_1,18,-647.0612032877898
model_1,19,-927.3721050978256
model_1,20,-699.9604654627741
model_1,21,-618.339755006944
model_1,22,-880.5794643019514
model_1,23,-807.6339955669242
model_1,24,-748.1594193974659
model_1,25,-596.0889027873033
model_1,26,-869.291451919879
model_1,27,-707.1094368954365
model_1,28,-655.247292213652
model_1,29,-601.3056239077195
model_1,30,-496.174419855082
model_1,31,-779.530565193134
model_1,32,-917.5329211137235
model_1,33,-822.3725998626496
model_1,34,-802.0294030997227
model_1,35,-838.1353134997271
model_1,36,-723.2124899702042
model_1,37,-539.2873572275282
model_1,38,-666.9379159147982
model_1,39,-708.3665236947585
model_1,40,-742.7330357431072
model_1,41,-645.0170714644777
model_1,42,-787.5568690080477
model_1,43,-693.8850655323761
model_1,44,-569.7993048705484
model_1,45,-554.4591738343554
model_1,46,-568.1667821968464
model_1,47,-684.1263861318502
model_1,48,-692.2318655617257
model_1,49,-522.9633915706798
model_1,50,-610.4083150542139
model_1,51,-690.6272078221994
model_1,52,-727.0029394302243
model_1,53,-670.280632985126
model_1,54,-571.9636246852895
model_1,55,-630.5074846113312
model_1,56,-612.183082865326
model_1,57,-767.7197748326051
model_1,58,-717.1099001084501
model_1,59,-860.1803263890247
model_1,60,-712.2960379578271
model_1,61,-494.6877115078925
model_1,62,-710.1508350861952
model_1,63,-649.2292980235845
model_1,64,-532.4106363560354
