T_NDH,T_ND,T_H_N,T_AWN,T_CV,N_Anc,N_H,N_ND,N_Den,N_N,N_Alt,N_Chag,N_Vin,p_S_ND,p_S_D,p_H_N,p_H_WN,m_ND
897208.5581184458,888123.5736835854,366654.15248210414,119963.44659231426,58843.392182453674,14119.8825973771,30551.192466011882,632.5151084526022,3009.5019362730404,2718.9916905763785,223.22891065662543,133.03315117296876,711.9154646376559,1.0000005117818205e-06,0.0012619706324404705,0.11083963555034951,0.01376169567063726,6.37808394795077e-06
803037.1952651459,753594.4221336977,260404.341204297,118540.00457047821,60181.01895763598,15147.27041308999,30054.562671619227,2225.259059153475,3270.244144977098,3031.196002431169,150.47495606530063,182.19855161086625,891.6160945370793,0.020109780576211312,0.008023505557139356,0.06295516782264657,0.009584705132811948,3.2004272790572512e-06
748921.0382065795,685636.6038613647,162936.89376193006,119888.30258709259,59290.69777742885,15843.447848599095,28346.36567732638,4914.661022784887,2950.68540839179,2905.1209791084316,242.861343247744,207.93860977896017,698.1410677689634,0.0028503610115167824,0.01804692543378353,0.01169030972402688,0.010168580539967541,6.218090874322529e-06
813130.6169590615,779997.0490589895,457427.56960853294,121227.29207817039,62850.622469949645,15580.023324070584,29873.71786543445,2177.579188452377,3191.961716692076,3051.519879791184,352.6710221274503,313.6302346571879,872.6291257509549,1.000000031449237e-06,0.006756781587634815,0.14999999999999444,0.011594459588265417,6.314844787430639e-06
829476.463210389,825711.871019342,401746.31065022224,122797.51063842175,61416.66339534856,15070.079304834764,29943.349460799403,260.302085532107,3148.9411389510415,2871.7826067520778,375.36940221866627,315.44892859353297,873.6818301347779,0.01660231836656407,0.0016060395387676415,0.1182286467287341,0.010961234164490423,6.547713661655796e-06
778925.9220342144,664591.4220469224,498752.027402299,126045.70874623391,61020.91949267228,15863.08716390885,29351.821385057072,5335.810297049956,3179.2319906854163,3027.9814493465383,647.7397273777916,265.6721146199335,828.583143929247,0.0044198070208850805,0.008431031237489811,0.14749123673080905,0.014819630519203483,4.36879386002919e-06
877634.249079728,859069.7792932722,471650.09225040866,125344.99744701166,63278.06531930492,14763.15422609562,30653.71025693105,1446.6317847785767,2871.966680069342,2740.8130853824823,806.3666708838037,416.8805102309499,885.1268071964299,1.000207024866451e-06,0.006196220123209998,0.14999999999937647,0.017615458041946988,6.977730931389037e-06
679497.110050155,662961.7112918312,362240.6208775691,125777.06484957306,60533.80551299497,17187.416526144065,25403.34507392513,650.5037848370118,3705.5197369648968,2971.3571004782225,668.0779856191199,223.64602305716468,718.1186249207211,0.007943186979330288,0.0080259034877728,0.1081682592370881,0.016034383701406918,1.7957400115105597e-06
871217.2137195023,864862.0678733019,384145.72923717304,126702.80004696023,61355.3605705783,14658.276553379796,31751.94804962059,542.8375465820404,2795.1770910704913,3015.6957380553913,693.3388358124706,297.0781488142479,896.7611631580821,1.0000000173286476e-06,0.012600058648939916,0.06503923271394625,0.010336960335227198,6.6156649945107015e-06
793881.4849766217,788896.0276785842,235310.8633950787,115250.44997730268,57423.66292285717,15351.651244450215,28352.053794655756,260.95768123554063,3200.5727308747787,2560.545088434737,11.736891879819863,96.36866279877064,603.8905388281706,0.009176975398881702,0.009024489176240078,0.07068065447787486,0.014244527858794875,4.807278794429364e-06
785656.0572667259,756423.1937397964,214074.9146702521,122970.45104049501,58229.85542473128,15026.022993918605,30070.110737540585,1160.597869348197,3650.677204645618,2698.2588750294785,482.35812030211997,156.16501060053167,706.2109593925597,0.0250671576090972,0.017934804676841533,0.04586655984614005,0.01708429665378437,2.9616108564077855e-06
727923.593071917,689725.5149304558,320695.1748741911,120544.11812561392,58983.92299330271,16336.164295858964,27124.05228545227,1686.948947015149,3286.819213470657,2931.709939152129,301.79822304558536,148.40701447437112,676.623791256907,0.010778984869703434,0.012756951304175002,0.09907921223516386,0.011940755506358196,3.435957628714362e-06
795784.8486316674,784131.3839754314,276415.9423412995,120915.56719033128,62431.900507217266,15215.425933700068,29332.893607530816,571.7732754526746,3566.7137789464805,2865.9531379256146,342.3828595463786,362.8173158075216,859.1401258240368,0.0041998886116002354,0.010355866214084443,0.06697572289997393,0.010258871896645698,3.912908796115251e-06
756592.450297248,680869.3740460846,231172.2993839873,123556.30274674568,59759.88396246823,15738.299552752114,28077.75164157992,2846.7161925910495,3582.699153425779,3031.2069159931852,502.60604775433444,197.7749562258065,773.5977301902551,0.01281481614622351,0.01765041072515352,0.052239648266200776,0.010980305977937279,1.6052293796727615e-06
818670.3005238629,794033.2148217303,361653.5415540056,121066.59312707369,59066.66084701039,15447.165589798087,28729.095526655747,1173.2756232822687,3296.597368760378,2839.612409459601,257.406978671895,161.92513664179324,793.2238531288901,1.0000000533666054e-06,0.0009274619879977062,0.13393601293454088,0.011649576272907879,5.291680855845245e-06
748843.5382911466,675801.3890575654,247878.03818997866,133935.581303444,60662.184988604706,16038.055333926286,28333.698844207545,2577.7504509298337,3884.600018916203,3179.113888719061,1640.4671633251694,221.3284310583494,805.2746432257383,0.008848863775116763,0.013285209919178155,0.03952505034494013,0.018368112573407005,1.0000000002455832e-08
779372.0217885176,743071.0023875583,181091.88915099233,124534.08062786472,58687.246954885704,15654.239862008837,29374.143576054277,2168.2319215037405,3196.4769229837207,2823.4165613420278,565.1543567283596,149.08214649338282,819.2339754213425,0.0025781347077071495,0.0200292973230894,0.022494595047017747,0.015016622567421405,5.589347025121457e-06
790256.6708867595,687694.6620273925,401185.09539028734,120206.96894287976,60254.68714508772,16140.606592436478,28707.055750187235,7021.157900080867,2726.2556763298917,2534.7247611198395,207.6434855126951,210.35732712110072,890.7167393472143,1.000000010387153e-06,0.00028588692986625415,0.14411472102196832,0.017622091159660253,7.665124619870645e-06
792546.1796557554,716406.3173590335,246555.0608071646,127966.57970434614,59829.4257859076,15657.437269902584,29950.82484315852,3737.7387711504184,3323.705718565089,2860.910661919895,782.3258450400972,202.37073434908623,736.4552831866416,1.000000160015916e-06,0.013996537348371705,0.03650776757763589,0.01780728719425769,3.87913701377189e-06
801522.0556937191,765172.6108245959,260193.95537986766,125170.66994324597,60132.62135802936,15746.806425760495,29897.35021583416,1511.7932456074632,3795.198872747929,3056.9021307646444,647.8247746686549,240.27025317528643,773.5021299196892,0.00036561335888808866,0.022928066879573883,0.05784282313743555,0.011046698548103705,3.298607118198951e-06
709545.8439085698,679564.3489759231,232516.51376492335,119112.36078429523,59521.22443491151,16568.44006914548,27673.645736021863,1307.0504664509106,3387.7227592219824,2745.3812603360607,209.34617353919285,191.3121153473686,749.6894515713888,0.005146641913912527,0.009112170342768476,0.06468564301954423,0.011883563358737333,2.4907291358734642e-06
753957.0227320689,725262.116546283,404477.69501342095,119345.88198059173,61598.909958204036,15833.961565591548,29804.47950372373,1302.9498757744152,3216.0740459257195,2938.899561054933,201.863140226526,312.5268410047701,879.8522516870971,0.02398445542504967,0.0033713826391142242,0.1447806046039036,0.010950189635359415,4.895524486733733e-06
748568.6957379703,675227.2153850804,447326.08080306894,118234.91433873476,59937.637552080916,16260.34988388599,27132.48204941365,3915.754898978222,3142.4877696712633,2749.464896942806,188.6574570603823,238.44118487620466,792.8085738126855,1.0000002228600117e-06,0.009565584405971207,0.14976165557636847,0.018028852476190335,5.67706302408287e-06
901440.0943171565,872257.6876929229,416354.0744477694,122807.13462402012,61369.70359135696,14177.884955381163,32283.494367654464,2039.702212239776,3113.4674873463728,2749.092266334361,438.8020418901445,291.0726794649344,866.7306682307749,1.0000000051469126e-06,0.007117412146149963,0.12453458929547179,0.01857012851250899,6.4351447334958395e-06
