model,ll,T_NDH,T_ND,N_Anc,N_Yor,N_ND,N_Den,N_Alt,T_H_N,p_H_N,N_Gho,MH_pulse,T_Gho,T_Gho_Den,p_Gho_Den,T_pHN,p_HN
-1,-266.9042448839824,801213.511931253,558653.8510053332,15616.94258703537,29110.385496974413,11215.95468937778,3334.2761745638622,3222.839161074084,,,,,,,,,
0,-43.31569203046723,765780.0085071631,712821.1178610268,16451.195820852474,27093.95637039797,1835.494727067285,4056.826438426458,2592.234350618904,302126.21362955513,0.1115067101247681,,,,,,,
1,-273.1118905543631,679685.891350246,617776.2902671779,17467.281963455156,25555.74255968521,2819.5925127620653,3319.344711302413,3518.870045822174,,,49999.99989951514,False,900000.0,100000.0,0.005,,
2,-258.0059595248001,719393.4227422543,620202.1008738044,16854.117095380752,26781.851940649063,4429.891709689027,3040.845347720958,3529.41578930769,,,49999.950105515134,False,900000.0,100000.0,0.01,,
3,-255.88249693615305,718533.494803489,597949.7057295748,16847.88121529077,26782.221885641346,5347.627401779949,2358.621604879822,3426.185485867583,,,42516.15427979652,False,900000.0,100000.0,0.02,,
4,-256.22583315053737,695868.5976457201,500000.0000000965,17169.21218898445,26074.26043796719,9031.062011506778,1538.426065226427,2900.6549086116765,,,26662.778603731003,False,900000.0,100000.0,0.03,,
5,-264.66409180914366,652501.8105162777,553826.9890942919,17782.51601807296,24817.71128800234,4334.80511430975,1000.0000000057596,3206.4239189037053,,,49999.99999934906,False,900000.0,100000.0,0.04,,
6,-274.35180209549696,759941.010537754,500000.00000073423,16189.219758422503,28076.475964978912,11456.43377953226,1000.0000000073512,2935.607479970204,,,7077.602526221419,False,900000.0,100000.0,0.05,,
7,-350.7777962325972,823355.3978194372,500000.00488885614,15221.52734509616,29885.554264598424,13874.188082064034,1000.0000000021384,2969.289728871741,,,4197.006839485933,False,900000.0,100000.0,0.06,,
8,-462.3192404978368,899999.9999955307,500000.0066694399,14012.974991943174,31806.09590708872,16642.31153700867,1000.0000000025382,2985.693716227101,,,3155.7775414443595,False,900000.0,100000.0,0.07,,
9,-624.2810943714335,899999.9999907921,500024.7756008992,13950.783835568744,31843.260094850106,16583.250842755,1000.000000003255,3029.7885935707177,,,2542.2606233521865,False,900000.0,100000.0,0.08,,
10,-841.9283895463423,899999.9999983908,500000.0019403694,13875.32012135208,31922.89617616073,16174.941534714302,1000.0000000063512,3073.737371960925,,,2099.188883361306,False,900000.0,100000.0,0.09,,
11,-1111.5948020188898,899999.9999999992,500000.0000104589,13770.24442418542,31946.801384454007,15954.55412110564,1000.0000000000184,3114.2117657079307,,,1714.6188662479728,False,900000.0,100000.0,0.1,,
12,-276.47187301994734,673262.04615003,606596.8807679085,17563.00195192538,25372.13082705824,3064.4632316848256,3372.0375131732694,3470.2433147757006,,,49999.99888282637,False,900000.0,150000.0,0.005,,
13,-261.57865393120426,720812.3667941305,639036.358015924,16825.185843756975,26850.87645016804,3611.350443504304,3301.288698251912,3618.2210070873302,,,49999.999999624924,False,900000.0,150000.0,0.01,,
14,-243.77070328900535,727008.750003115,542490.1266948456,16732.363510828214,27064.303725905203,8491.54683332304,2642.5089679548287,3149.555500863817,,,49999.99999977468,False,900000.0,150000.0,0.02,,
15,-240.5306732027324,671647.396671327,583836.2749524908,17540.867801903736,25453.19923405641,3894.445543599469,2397.110039882401,3372.6739147088465,,,49999.98325749498,False,900000.0,150000.0,0.03,,
16,-235.24113998227995,661024.0942934833,577020.9650385814,17677.480715833648,25175.27034065311,3668.7518152187954,2063.5968406977267,3344.704518259636,,,49999.72154647567,False,900000.0,150000.0,0.04,,
17,-226.96945381841363,651343.9796867208,546979.6307429466,17797.1704612671,24910.17523314228,4553.167880719995,1764.8628660615043,3193.768454598311,,,42522.21837881667,False,900000.0,150000.0,0.05,,
18,-215.2304063659509,661678.4846988231,500000.0000017894,17632.52039475746,25247.22722492054,7134.057131577861,1547.3810120108856,2934.24022131821,,,39058.42016313437,False,900000.0,150000.0,0.06,,
19,-209.5862325805901,670815.912472944,500000.00000124495,17479.452952419313,25584.94154761261,7369.933325462963,1413.482507135477,2942.272437391878,,,29956.77443069696,False,900000.0,150000.0,0.07,,
20,-204.38890608824897,661589.3304978464,500000.42561973113,17594.227088013726,25354.530581155104,6814.018974108303,1275.7923343367313,2949.439335945003,,,44192.94026951546,False,900000.0,150000.0,0.08,,
21,-200.0258074868124,667224.7955280083,500000.000000053,17492.881170326025,25575.99230843497,6907.202727597122,1183.535987927083,2956.869310667545,,,47321.18261284887,False,900000.0,150000.0,0.09,,
22,-196.5244227199829,668066.4247862139,500000.0000072552,17461.5410075784,25651.90075178645,6796.754931539839,1106.79266999731,2965.527550523109,,,48422.82978722233,False,900000.0,150000.0,0.1,,
23,-271.5739600350772,727136.5198682693,655758.1419069663,16734.612614951846,27028.34087833101,3141.970640702919,3619.632833939803,3690.987863375942,,,49999.99477566704,False,900000.0,200000.0,0.005,,
24,-261.3432939224452,718432.2909382492,634808.8301479146,16860.41476804751,26790.0447262464,3706.614832881203,3403.6091806745394,3603.375854953652,,,49999.99999956266,False,900000.0,200000.0,0.01,,
25,-245.20911707263105,689480.6043269731,605702.6763559084,17290.58752265714,25965.18721182765,3734.2521517704895,3044.1272635012374,3477.8811510031305,,,49999.99999984315,False,900000.0,200000.0,0.02,,
