ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-162.2609539714058,782943.7238561505,725724.5101191435,126956.22110330124,87274.00124393022,15957.185247370762,27278.709023504984,2126.2893960687293,3549.1257817159726,2869.64848359808,490.4408507791763,281.0893831281937,1578.9707545954354,1.7561319142578755e-05,259506.9295200054,0.0885007425555814
-151.40039115184408,774647.4326022494,721630.5986640393,126395.22040486928,86219.1647196614,16216.04472065512,26946.245013643354,2091.2177614844627,3546.3674967731054,3054.0448471571312,531.6922371958144,232.61799154667315,1712.7788510592354,1.0938982827524896e-05,259491.37008393297,0.0857278441151179
-178.6698833984421,711711.3047596419,662801.4845482627,125743.36255202488,86296.20956742036,16886.730058432502,25600.32199300259,2190.31310400452,3520.031701146338,2883.10698649933,521.9555893831375,332.5639685088687,1472.0918004372206,1.6768095186553005e-05,223254.9826647412,0.0624115167763589
-213.5704622392106,713796.6061521628,663685.2078918604,123182.53838647332,88053.80516648128,17249.359306380644,26318.55258771291,2075.1447052951657,3667.953065750345,2969.758944575831,466.6285270995822,336.4574889645245,1530.5648458130545,2.0036020873255475e-05,273090.39933455014,0.1027217952097533
-219.9438748561921,766354.4660092877,719104.3369146592,127702.22408895938,88479.91877044395,16484.67557322069,26707.59354333209,1914.858020967564,3721.445620181475,2867.7992149732536,546.6567440674495,456.5366067781611,1684.1525595027688,1.7567169648977957e-05,241588.92850661572,0.0810555110807366
-139.92482524464836,745349.422574291,693756.8335723785,130956.42323047774,90858.07770526074,16668.300358190096,27239.354812580757,1976.072798669476,3635.753595146705,3076.015919915013,690.8345394264622,543.2342959543752,1768.174719018444,1.3584557208496177e-05,336710.4365516445,0.1193709381533386
-139.71309635956118,764480.6206498711,736559.9869267903,135469.6322212716,101433.29689648568,16664.356440446692,27120.8365125618,1056.601512789113,3469.999927494945,2744.3531609718325,918.2924001949484,1268.037163748843,2176.362052360784,1.5283547709825162e-05,287001.49141229613,0.1070627395471602
-173.947041630437,749366.8492684849,695326.2404718114,125863.9169151239,89153.40925325484,16522.517919344205,26150.296290032536,2093.3435322499504,3792.466532018766,2921.4544132691717,501.03764777889455,404.80650396341423,1520.9693010634155,1.756326286352953e-05,301557.4308650873,0.1166336788052021
-189.9901372529761,750369.4067649296,706443.2282058531,136055.97838396035,91961.25513734964,16778.395417493783,27278.196099715464,1772.8169762386158,3373.184359477252,2905.485945255554,1001.4675438464176,634.6356113163692,1903.495480346041,1.064994764397932e-05,245228.15850497544,0.0713140767548914
-184.23891983355907,756611.3571385565,701647.2422512022,126884.43300706922,85430.66448360692,16326.06052356034,25895.551864071236,2055.1338846892304,3642.888214615446,2765.1881833363163,599.3653605368676,245.48051635049003,1423.8639592596114,1.1509031933680571e-05,249150.4021887157,0.0976180019539692
