ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-491.1362814380909,792108.4629739539,450967.45768908574,129267.80559362208,85460.9842602655,15800.54896512235,28259.298272793578,19409.49072918083,2656.5519194420976,3039.7017126243213,701.9444432773986,255.98275622145852,1554.4064602916535,1.2464701162282574e-05
-405.7358002321307,805761.8923436231,510100.9932586451,136718.5572941774,84911.11038610102,15465.002877573726,30019.81377178419,14842.55540265606,2899.186433835039,3317.105489969545,1050.83416329022,238.7419513789944,1561.2787326095145,6.283419393992847e-06
-566.13706789999,753438.6081060786,487845.3504099253,133517.55371431378,86492.0145123465,16427.494326807762,29084.030419390147,13468.408142290327,2915.295816953784,3166.568226160276,886.6503718648211,289.1403645183992,1521.1312873011188,1.2148504797286324e-05
-455.9532683101761,763414.8980733594,524612.7285652589,127987.3949988869,85865.68757798376,15633.91518849224,27824.524848851936,13116.862532738647,2924.4208267659483,3423.147776676282,627.2556690300497,266.9395783380335,1466.144864025372,1.4178508041289426e-05
-397.9026751700234,788695.0766122661,507021.652747841,128396.3588374697,83920.3869852287,15428.641425674596,28973.18378648648,15050.029645880424,2797.7032503952905,3285.2754845480044,620.1119066207846,166.56961596775076,1403.4976024092596,1.871187149872397e-05
-389.12712878814193,774435.2248422831,480413.80727479554,127814.341494278,84074.97110890198,15958.250759930916,28948.17998150468,15927.502863715708,2616.303628515492,3127.4832460532098,644.6987018864783,191.54233969747744,1269.197231280065,2.172717719218297e-05
-537.3469582298361,779774.3454318526,498396.0256592436,131285.89868004055,87585.95526354655,16016.84600115159,28942.460909263387,15081.775917808138,2889.842464567082,3223.9959679451013,803.7704885829648,443.652372984091,1508.681097825856,1.32731830573442e-05
-490.4407417806465,822337.4148676038,476013.7148420483,125099.19842839891,84768.79999133912,15225.469102956957,30149.593158686326,17378.227389711243,2660.158346717178,3165.273274758657,555.8605487095813,224.48848396009936,1358.500165374976,1.818007919973436e-05
-387.3341295657864,793001.445654834,487487.4974625128,128784.27358971078,86705.96732555449,15507.4058042534,29595.1782660734,15181.560573062405,2696.7256345627807,3130.6016253157622,542.0246598931709,339.13843417476124,1590.1932895251753,1.906919905701592e-05
-570.4718840215764,762187.4365318863,468230.7820159581,127905.08647641692,84564.29197651391,16058.040116986356,27671.22839414317,16508.444947003194,2642.6276772129795,3030.520976925792,735.2371873438418,237.36508699243365,1683.6130627281198,1.491587902599044e-05
-414.40675863958006,779749.7213670466,498343.2301385798,125937.61686586271,82283.11410630826,15642.643451045033,27928.71162010657,15241.96315568924,2752.553902186483,3315.634895035386,731.0529079747105,107.83148588810998,1260.794912750362,1.990699537060382e-05
-501.7851688738935,720720.131167866,475479.3712326656,131995.42136856492,85368.80716443482,16806.46965255939,26854.007962088737,13267.360825439198,2876.190703269214,3088.1499091172213,832.6689317966267,302.0795014767415,1556.9852176102595,1.0056110473994224e-05
-571.718803980194,770381.8309663596,487448.9920707652,125491.12321135002,83941.9951611009,15840.403957885286,29163.84043246207,15119.799634737392,2809.853071110276,3245.134281720821,498.4476691032503,166.51298493012,1428.518247087252,1.4354762918317612e-05
-584.7841381459382,791108.836261771,484939.0624014451,127867.78817614574,84541.80798395186,15381.68882634768,28804.39450461484,16277.162698707663,2645.708060572581,3157.195539172729,570.7188548169257,170.03873856621505,1242.8689727827882,1.5442822107933177e-05
-435.1554831189235,777818.6145515913,529271.6174051964,131902.63523000546,87922.1305942614,15668.909385555788,28770.222558775906,13232.971937510112,2946.617369190255,3285.3226600654875,756.4595681751744,340.3467838336196,1461.388952190784,1.662142999007523e-05
