ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-317.6460467828068,754730.7968443537,478163.98463328416,123078.41385594357,83288.54922315484,16082.391267038109,28536.63567332903,14223.690363632655,2758.13405336351,3171.4354897147264,406.61063322765335,123.71480284571952,1457.469373355471,2.486508778171891e-05
-642.5288965826192,711164.777961032,500651.69648459967,128299.39672681315,84571.92133472387,16857.302599506023,26654.78377905302,11049.02012770797,2783.6451350121465,3183.3009728888774,617.5821300128574,278.2285874076162,1260.1624907801431,1.5748782408870164e-05
-343.4592540181516,757783.2981152068,530765.9904026539,137416.0123560492,88283.4985136638,16121.570605707208,28223.24413052852,11165.628594966673,3023.875896397002,3380.062879149047,1036.532401854925,490.9387005247688,1618.337974168149,9.14108875457301e-06
-411.81695922978224,722682.2924259423,497341.4923190235,125160.55565839476,86186.48047737933,16764.76672433739,26957.31556096954,11983.908662032783,2917.65291163778,3277.5116804328645,496.67582039161135,314.59527337313364,1696.0708118652492,2.1326931172314524e-05
-383.91312181364606,751292.4798381899,490501.6690418332,135279.60839756177,85550.90089173372,16399.45410153634,28298.515578226208,13127.452822482332,2944.263175615379,3154.261845638463,813.3418344973677,266.0618487327581,1528.6699022052428,1.2795917101940624e-05
-372.7495887548022,786276.7940962116,524995.1155085124,131570.5050409919,82565.7112895517,16071.918763154212,28433.994483646053,13639.841340572622,2765.6678458609026,3358.224303353016,643.0592626116942,113.36942790900848,1427.125924705928,1.3603359376043528e-05
-414.9142491963681,739607.1691899347,521935.1287190665,136927.70032765955,86574.73522563871,16277.757929096046,28515.24333188512,10988.376422626334,2825.673285670517,3309.305533872143,1004.4751518135078,356.3341486507811,1484.3109750547087,1.0365609699450576e-05
-249.97063349941808,751569.8830181091,513007.7950511298,124315.14288365106,82819.80500380207,16350.496292424805,27275.994825883983,12644.446979078488,2700.9105349001115,3333.9048370677865,456.55347902455327,135.68015637229303,1493.7090512316277,2.4671181573733355e-05
-439.3121454886292,760719.0056613409,530650.7651397352,128755.12385323086,83990.32806556682,16196.4802119736,27022.356422589488,12209.759165256171,2983.8023214444656,3404.31373373237,613.8331665791603,180.2736507290014,1625.3416736687582,1.6540118679802142e-05
-504.03477554731865,751850.1783052348,533553.0606516749,124915.39914995772,82465.64158728215,16412.736499238057,27222.20755178547,10869.426560848096,2953.6498610806866,3469.0115633363807,410.4523112097364,111.63051386883636,1500.7490840806065,2.6558641678138127e-05
-334.4449440507236,733254.9000888146,485842.4704097799,127617.21396931924,83342.47381750248,16620.963194616852,27491.851316396915,12625.968877917689,2686.000665209936,3228.35591497755,657.2484513991644,185.6017418310232,1442.0090493369144,1.1109170512119572e-05
-456.4683383205088,749262.7227849455,469167.9160428745,129262.5112283503,83034.12204150912,16356.45214638156,27866.29081640921,14485.740821632588,2719.0000492058434,3115.415662339892,586.4410948223027,135.27579435048472,1349.8207755501571,1.682236522640073e-05
-443.4186740947789,781556.9847071025,500003.4672080999,134162.36494094244,85099.15210459183,16093.707648154888,28536.06320282751,14346.777651310107,2868.894096053666,3218.669325865003,797.6847827021274,257.0752776728395,1439.348744089328,1.0445806662611529e-05
-322.6355984471448,746077.0808511175,459858.6867390685,125515.43614682068,90172.73588658824,16058.3242591384,26931.147767426897,15485.83686224603,2606.470702935724,2968.068343980718,471.46625447810464,644.6917171473705,1682.9776262628718,2.696756208790986e-05
-381.174878287865,732067.4851160555,474853.2289891639,128063.91582457794,82663.52366994617,16868.82722461759,27199.50292992284,13732.774706398935,2743.384240847256,3163.6149864051977,625.8317574420072,104.20024106877784,1340.8703304937976,1.2724952750906618e-05
-300.42794035573223,745227.6329615264,522739.2099156848,128923.99090291392,85933.13202473258,16523.937531741092,28420.075172656278,11232.826881685036,2990.367671555213,3291.9120005308814,667.295221688181,295.007684542862,1631.2145163207133,1.857926820433693e-05
-316.0225794190603,736767.1116541103,511570.12951788405,132048.63704755777,84309.7286249392,16571.74294370068,27848.532292811287,11711.534613025487,2848.653832042293,3279.497696766861,676.2967010667903,214.07964292807813,1571.1602792397991,1.3703745995385229e-05
-426.0357208961791,751326.5895592028,455123.6845118028,124279.90836111344,86582.35923530157,16215.23432148623,27817.241562799398,16496.932421536018,2545.973219384268,3092.8277431961046,415.6206184988727,306.5381251821205,1215.861914829218,1.9969922187512583e-05
-350.99231462751857,692762.5642103115,505141.35153727065,123337.854598311,84380.310400004,16972.225623670613,26033.806729780725,10381.904947816727,2872.107928475022,3329.798900208367,382.60954291814585,179.2754392615818,1175.936552034842,2.1087864489552755e-05
-454.4282456532608,749840.0061809408,505931.12090716406,128788.5886425083,85581.01826902243,16241.432203684151,27514.457575281085,12711.30589480789,2876.536908141267,3290.1810221787364,648.7730631031736,295.84101230631967,1435.4949982211035,1.7767120510814965e-05
-329.38926124787025,755502.1336003954,466531.37625917885,126760.56911158042,83193.22730778491,16079.434153426326,27240.105303577173,15750.842646755813,2576.2828793036856,3139.9205654940133,574.3036733476125,147.01228814603058,1492.2204523329456,1.52599332058612e-05
