data_set,model,rep,ll
Bherer,model_0,0,-586.5730105432377
Bherer,model_0,1,-608.8485451789156
Bherer,model_0,2,-548.2059374919011
Bherer,model_0,3,-602.7506611571474
Bherer,model_0,4,-680.3450810157192
Bherer,model_0,5,-711.3488800319599
Bherer,model_0,6,-813.5102583692385
Bherer,model_0,7,-827.3177525639462
Bherer,model_0,8,-550.8984572842019
Bherer,model_0,9,-650.3274339678562
Bherer,model_0,10,-861.7822497384282
Bherer,model_0,11,-762.8811879820387
Bherer,model_0,12,-521.6498282146146
Bherer,model_0,13,-740.1809112098201
Bherer,model_0,14,-716.0743227684636
Bherer,model_0,15,-824.8945758421642
Bherer,model_0,16,-665.0508528763423
Bherer,model_0,17,-765.187876700989
Bherer,model_0,18,-646.9531987434436
Bherer,model_0,19,-929.4463619225664
Bherer,model_0,20,-698.3799716071145
Bherer,model_0,21,-621.2000272309256
Bherer,model_0,22,-881.0789238284542
Bherer,model_0,23,-806.7967505908179
Bherer,model_0,24,-746.1367212524765
Bherer,model_0,25,-594.7488303383548
Bherer,model_0,26,-868.4938320809244
Bherer,model_0,27,-708.1627985695573
Bherer,model_0,28,-654.8542398729358
Bherer,model_0,29,-598.1976343537787
Bherer,model_0,30,-499.9961592599982
Bherer,model_0,31,-782.6158308924541
Bherer,model_0,32,-919.0262039474381
Bherer,model_0,33,-820.7253238873159
Bherer,model_0,34,-804.4645415916495
Bherer,model_0,35,-842.5668992220947
Bherer,model_0,36,-722.6592843168576
Bherer,model_0,37,-540.8061569081656
Bherer,model_0,38,-665.986556438301
Bherer,model_0,39,-720.6009669156763
Bherer,model_0,40,-748.3348000264045
Bherer,model_0,41,-644.84941729099
Bherer,model_0,42,-789.4963856641507
Bherer,model_0,43,-696.9856996962601
Bherer,model_0,44,-569.1132062929371
Bherer,model_0,45,-555.2362266690798
Bherer,model_0,46,-568.2878756525547
Bherer,model_0,47,-684.8116900472696
Bherer,model_0,48,-692.7626579464777
Bherer,model_0,49,-526.5804753813683
Bherer,model_0,50,-608.7380485387741
Bherer,model_0,51,-694.4402729961053
Bherer,model_0,52,-732.2272413770866
Bherer,model_0,53,-671.3558123845667
Bherer,model_0,54,-576.7159941767441
Bherer,model_0,55,-631.9343928339322
Bherer,model_0,56,-613.6501666667294
Bherer,model_0,57,-770.5742053364345
Bherer,model_0,58,-716.6947704884399
Bherer,model_0,59,-865.7370172294935
Bherer,model_0,60,-716.3556731741569
Bherer,model_0,61,-493.987685424873
Bherer,model_0,62,-712.4326152152116
Bherer,model_0,63,-650.3622804957666
Bherer,model_0,64,-530.8203545559413
Bherer,model_0,65,-811.8836802265673
Bherer,model_0,66,-640.9433360462256
Bherer,model_0,67,-518.5457268338942
Bherer,model_0,68,-640.264312273898
Bherer,model_0,69,-594.4463453724454
Bherer,model_0,70,-675.0889831722366
Bherer,model_0,71,-772.3754307262942
Bherer,model_0,72,-514.5643786718254
Bherer,model_0,73,-624.4094412341944
Bherer,model_0,74,-652.4613381025049
Bherer,model_0,75,-759.7782446340957
Bherer,model_0,76,-737.1745079376524
Bherer,model_0,77,-592.659833785481
Bherer,model_0,78,-657.1666853901875
Bherer,model_0,79,-586.3197118604514
Bherer,model_0,80,-600.7892451559443
Bherer,model_0,81,-637.4522183083278
Bherer,model_0,82,-783.505061400771
Bherer,model_0,83,-645.488674141089
Bherer,model_0,84,-612.6602363392028
Bherer,model_0,85,-680.7404814067804
Bherer,model_0,86,-572.9054601230192
Bherer,model_0,87,-609.4603108544375
Bherer,model_0,88,-648.1111001765468
Bherer,model_0,89,-641.6035311689393
Bherer,model_0,90,-791.8510774096603
Bherer,model_0,91,-715.5591804627593
Bherer,model_0,92,-468.79294640187817
Bherer,model_0,93,-849.468162924839
Bherer,model_0,94,-667.1005031167908
Bherer,model_0,95,-783.1539679691866
Bherer,model_0,96,-653.3549451750596
Bherer,model_0,97,-745.9976724635321
Bherer,model_0,98,-602.306351203337
Bherer,model_0,99,-540.4520005641816
Bherer,model_1,0,-395.16442389271367
Bherer,model_1,1,-415.755317078057
Bherer,model_1,2,-438.22641341159664
Bherer,model_1,3,-370.74148737949895
Bherer,model_1,4,-497.05141597025164
Bherer,model_1,5,-494.04257404501476
Bherer,model_1,6,-557.8130135438271
Bherer,model_1,7,-566.5370148546215
Bherer,model_1,8,-403.82132000835884
Bherer,model_1,9,-387.4792381660878
Bherer,model_1,10,-557.2093950548406
Bherer,model_1,11,-413.76563069565634
Bherer,model_1,12,-307.83338772388635
Bherer,model_1,13,-403.70616723604974
Bherer,model_1,14,-459.6775170897472
Bherer,model_1,15,-594.7772555583733
Bherer,model_1,16,-477.6870362578103
Bherer,model_1,17,-558.4458214943444
Bherer,model_1,18,-476.4808549734935
Bherer,model_1,19,-529.0663806116881
Bherer,model_1,20,-475.28506379500675
Bherer,model_1,21,-373.72747860264616
Bherer,model_1,22,-599.5156246443187
Bherer,model_1,23,-559.7146156770916
Bherer,model_1,24,-468.63215795879864
Bherer,model_1,25,-409.2228450976991
Bherer,model_1,26,-652.1117881020612
Bherer,model_1,27,-405.9754663618345
Bherer,model_1,28,-443.29625564609665
Bherer,model_1,29,-469.8061846349049
Bherer,model_1,30,-367.91980125707187
Bherer,model_1,31,-527.9084477109354
Bherer,model_1,32,-647.254521418701
Bherer,model_1,33,-671.9909211199542
Bherer,model_1,34,-520.5510800128939
Bherer,model_1,35,-460.55180686204756
Bherer,model_1,36,-513.7751941300551
Bherer,model_1,37,-391.65777983629357
Bherer,model_1,38,-459.95252186995566
Bherer,model_1,39,-601.9712300507366
Bherer,model_1,40,-509.07229659646157
Bherer,model_1,41,-459.2304548079154
Bherer,model_1,42,-553.602844690703
Bherer,model_1,43,-438.91412950877486
Bherer,model_1,44,-405.5816843185174
Bherer,model_1,45,-382.2009768723772
Bherer,model_1,46,-359.34185265185874
Bherer,model_1,47,-506.7955367984274
Bherer,model_1,48,-526.0348730663421
Bherer,model_1,49,-358.9512156942723
Bherer,model_1,50,-345.3633327546213
Bherer,model_1,51,-487.8230932881619
Bherer,model_1,52,-462.27477219745333
Bherer,model_1,53,-434.9308187578117
Bherer,model_1,54,-380.1324305578081
Bherer,model_1,55,-407.27115817618386
Bherer,model_1,56,-389.3368051886534
Bherer,model_1,57,-544.0904494014741
Bherer,model_1,58,-485.0280892454215
Bherer,model_1,59,-602.6842814370533
Bherer,model_1,60,-466.0563654376957
Bherer,model_1,61,-320.38167687684006
Bherer,model_1,62,-478.1064547550228
Bherer,model_1,63,-468.131898882128
Bherer,model_1,64,-442.28842728619776
Bherer,model_1,65,-516.5827800612852
