ll,T_NDH,T_ND,T_AltNI,T_LosOOA,N_Anc,N_AMH,N_Yor,N_Los,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-77.97756803987417,774750.1253757396,642576.1857332246,110000.00000000012,47000.000000000524,16272.609815857359,25880.858610942014,138527.39983004783,1114.1378353099071,5013.024516903387,3785.0537461263,2055.8614509860768,217406.47973932567,0.0832270250204515,0.021365369393265547
-70.91578211929735,791554.2894366507,696025.9383449077,110000.00000003685,47000.00000013811,16028.125255004945,26264.046788805274,142811.26854414094,1117.8594084281249,3384.7551230335735,3990.1056680241472,2402.134286539592,265364.0975746768,0.09862435658965922,0.020876498542843114
-122.19642682834544,616319.5080481304,571079.0251364275,110002.03071556943,47000.000000000524,18689.888567981852,21352.712400335527,75381.45538912191,1098.6182902493392,1756.1766418281688,3493.9763327587143,2296.8395445981823,291378.49277557636,0.12091389363105859,0.02221971448841045
-80.27733822479365,775648.6238132576,553353.2792007274,110011.21207778655,47000.00000000002,16284.707038274515,25787.646367820456,139712.35187027868,1116.203746151486,8294.130296559208,3384.8756747221614,2528.5527815181554,346571.24032131047,0.12865906854846268,0.020551603054886763
-154.44258496053567,596651.7010435926,494217.4987654544,110000.00000058435,47000.00000000002,18995.689768967215,20734.9659533482,70131.65883200511,1096.8033023381179,4189.049849648485,3087.8293157575476,1964.3790213304167,257835.27572870563,0.1158282272389672,0.022109072022117694
-85.61267003609186,698765.960077245,603126.7242994471,110003.11983094085,47000.00001673326,17447.38072918396,23777.830637009578,101795.02984250817,1107.9959303663975,3681.3451340796305,3628.374527244814,2226.0338366848946,258925.80575479683,0.10187228129314016,0.02159279221174865
-118.82646823433222,625447.2634576205,566738.4552487456,201787.48427009166,47770.03156461752,18561.78075148,21502.81254030268,96113.69562099526,1118.6290632346766,2189.487852388606,3488.8621883140695,2517.7322937093886,349999.999997405,0.14862362762912362,0.0247335552661894
-75.26590612824648,730980.3579241,663303.0204365919,145034.69144253465,47000.00000001388,16958.00307385766,24627.6683767515,127661.10926224368,1110.5928939450464,2388.124317658853,3887.3161568309456,2753.135701110098,349999.99999998644,0.12793419553636953,0.022137546448093983
-77.50325954255577,727152.9682957687,627857.7872349989,114395.36769075615,47000.00000002599,17016.245166577643,24566.162426014725,122546.2074419722,1110.6581322924853,3614.2258484211925,3746.502636855785,2725.708203159826,349999.99999999884,0.12551203397738173,0.021481561130834614
-78.02732958415272,742160.7831500456,640247.2856501924,160541.39402288807,47000.00000000019,16819.267046602217,24929.263803083413,130349.04378112261,1116.4578021460975,3710.357970340327,3815.381133265182,2451.914659622085,287821.1770023875,0.1150808592265046,0.022012034723200808
-105.41982543305706,642405.5745628175,609738.5774056212,110000.00003081985,47030.23877490177,18280.891222729824,22115.569828396405,79876.08133401941,1101.2511102688175,1206.7250505118932,3665.826267015406,2591.86474254504,349997.550680469,0.1415548744019245,0.021845891460642395
-78.41963473243834,745087.2042397609,585330.1621316392,110000.07960319532,47000.00000000002,16750.15984318217,25020.222808349525,119693.87329257424,1113.6450389755066,6089.456326732596,3540.6979646421673,2263.6926304146878,272058.9110942927,0.10664140089713556,0.020933716966243434
-70.144259978153,777164.3957955996,709662.5951072773,110012.4313314566,47007.95197238211,16245.09377990486,25896.349099506977,142215.4942109392,1115.7983056572916,2355.821968313846,4043.1149911161438,2629.8417875714385,300398.934213463,0.10562278412142466,0.02118750044738612
-70.29370739039112,775621.6147790169,717081.0821255764,110000.12798416248,47000.00000000094,16267.303894137245,25860.241904172744,139746.71319802955,1116.1527336862314,2033.5767412118232,4064.5359661323882,2639.59164196659,300595.87806039583,0.10550452096500029,0.021201890757932936
