ll,T_NDH,T_ND,T_AltNI,T_UstOOA,N_Anc,N_AMH,N_Yor,N_Ust,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-75.67418119248381,761705.4947354262,702988.5983573506,110000.00000000012,55369.64592489666,16498.980317572998,25774.530242954777,52320.34140687298,621.4278505897478,2111.1977154313345,4013.058899191675,1949.5058527810943,215759.25172650508,0.0899327607159612,0.020213939816134043
-67.99605907282674,806945.2682319614,758237.4475937175,110000.00000004387,60688.54445447297,15797.311193202193,26738.141703047808,64544.49275601683,982.8658713519552,1638.0666867824054,4186.783832563303,2643.762961605622,292858.467370319,0.10103796146432932,0.020083945914972822
-65.38499508487357,770080.4013237737,721598.7627677469,110000.00000020939,56117.6018922937,16370.17850898865,25971.427848036474,56344.99152399533,671.8514668157726,1674.2190266046666,4084.8777966685134,2654.4276722218774,306558.24517715344,0.10876357859582715,0.020273772972730298
-112.63872401733806,663468.30135996,544364.5934641059,110000.00000000012,51979.66850328582,17992.366711498165,23125.703066106227,42313.92886561223,392.135590309736,4880.768499382379,3340.9488757918402,1718.9425322901113,206590.72870346217,0.09268370089020118,0.02085521758073245
-66.80778833296989,772306.2160354926,667324.7059997495,110000.00004319703,52284.484485507026,16343.559563770355,26196.390809421562,53396.937200825734,428.38339420891344,3809.6531757213315,3892.8421404250194,2421.739300465971,274642.180859241,0.1015144981104365,0.020480295221541014
-167.54694473965955,567944.0324829265,503760.9721388798,110000.00000000012,53143.94811247443,19428.55155712739,20073.010805029757,35952.76072574598,442.73634990439155,2595.0642043287744,3142.2264552371057,2091.9096630289455,287148.1567201365,0.13111568738170645,0.02107070827535773
-97.95273052518564,643418.7578632565,623328.2643672704,110000.00000090012,51223.126998986096,18308.03498023422,22553.379474533715,40620.07590392278,346.2174642052952,762.1701408193723,3730.5349845612504,2154.2410766879375,254566.3612325207,0.10696843315100805,0.021147041423242665
-140.65396474018382,579168.5598126901,569048.7992009647,132717.08099173178,60463.135596564774,19263.748949418812,20120.03467490005,42927.27591688826,877.6583125814522,371.52335110339203,3508.878239387143,2480.2906783571752,349999.9982899787,0.1587230178284363,0.02144852159867475
-66.28548882252895,791557.1602702239,748923.1907082999,110000.00000000793,55880.58697848453,16040.765150651981,26548.77232147659,58143.35637492483,661.7971680121274,1438.6008523287076,4166.596243045282,2683.183292352984,305573.8627167833,0.10688570689736357,0.02022569254825949
-65.17023317845229,777461.6274744514,707086.8557106905,110000.00000108282,55463.42531443584,16259.05692422381,26202.181803182455,56522.34419929929,630.4478134091852,2465.649045897947,4034.8853341379267,2593.2380654162735,295946.6807427904,0.10522641871766716,0.020295740198960053
