ll,T_NDH,T_ND,T_ChaNI,T_LosOOA,N_Anc,N_AMH,N_Yor,N_Los,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-173.96770877353094,550520.5455957463,543671.5448813025,171428.1759545002,47000.000000294654,19555.46044876243,19118.124985822007,999999.999932029,1088.9311239402136,304.13082582697615,3352.3100566580856,1752.4442005011458,185346.89852532666,0.0792991447637048,0.025409633066378598
-122.78288641589992,642270.5699918035,551348.9153525857,127791.72587429656,47000.00000000002,18183.74123469386,22026.60387068713,999999.9999966689,1103.370126011708,4014.117972594648,3383.3137674491986,1932.58669726665,202536.81757598664,0.07924257914759637,0.020903226674700584
-130.0064612529208,911292.6583594284,729772.3271043507,80000.00000060804,47000.00000000011,14029.697269239525,29079.263078906883,999999.9999867764,1125.3414420968215,6675.450243763722,4072.8116604823854,2108.812528956239,197014.70159847356,0.06906431800792394,0.019623041574745842
-105.87985079720909,673353.9097156834,631863.6474081394,111235.2681717739,47000.000000003696,17712.769949209174,22941.00353484271,999999.9999952584,1104.6843037372134,1719.8814387395862,3752.874775952088,2058.077328965896,211597.05043001025,0.08045465230860933,0.021670853264242347
-120.71775104035066,688977.9336960042,648262.9023321065,80000.00000050329,47000.000000001106,17450.900487790244,23429.31270098265,999999.9999995661,1113.306026304487,1674.1408995486427,3797.884464809342,1308.5299889870744,147920.1402212632,0.07479042536930497,0.01555216771011641
-108.2353324782463,695361.7921016768,629513.7554340861,102927.08960593381,54912.86124910023,17394.892361197813,23190.79418904979,999999.9999999995,1332.1170720172386,2691.1468848437007,3741.1740109914613,2066.864007316593,221699.04620702288,0.08790279898755328,0.02043605223700594
-96.99868307447005,757670.7387552512,599030.5893042744,80000.00000000009,47000.000000173015,16433.532402946206,25309.67891116019,999999.9999976228,1113.966858254182,6634.340436995379,3599.297442640466,2093.6967147692085,213567.70876720376,0.07695170309926924,0.020329213812671235
-123.10004469733258,645909.5127564376,592348.2897965781,154085.83646483495,47000.013581406805,18141.132996236825,22106.128580401386,999999.9999999995,1074.2943679814878,2286.4660951362202,3560.3305999858007,1627.8076437157513,174128.1868630574,0.07913216216287712,0.023551029151932915
-117.72485310124699,667342.4897065422,573544.2802597827,80000.00000000023,47000.00000000002,17789.295247176167,22836.469883624526,999999.9999966973,1107.167310646907,4160.155877688868,3467.8292157435358,1484.6019552418277,150725.92042849306,0.06659084578968458,0.020951835176261216
-155.09132603971847,586931.530375327,532950.5142211992,138009.04824565887,47000.00000324306,19014.998311382515,20314.024324950136,999999.9999971129,1096.0788137082561,2434.537407212565,3284.964872112595,1566.9810485659484,166340.9747609378,0.07535494467554842,0.02343304622963424
-119.90498000212247,655111.0406606836,534358.3888157862,80000.00987801171,47000.06776046367,17989.95046901816,22450.909028369908,999999.9999950115,1105.002818562418,5437.6719817741,3288.3785760951423,1861.9828399713927,190957.57664053733,0.07399679249361277,0.021124639737467955
-96.81697360036227,720541.6210671476,671991.4324388931,80000.00000047743,47000.00031376034,16985.77698570022,24309.36299023681,999999.999999376,1112.433911216475,1959.4359560549196,3901.534949232392,1976.596705878405,193687.20350768187,0.07397861929839024,0.020699603847929255
