ll,T_NDH,T_ND,T_VinNI,T_StuOOA,N_Anc,N_AMH,N_Yor,N_Stu,N_ND,N_Den,N_N,T_pHN,p_HN,p_NH
-376.3815037951301,658115.9089353635,621412.1573638043,186810.71267928992,47000.00000000002,18056.778525102134,25060.017709682637,20354.30536223987,2260.0909223908184,1455.6561808009387,3767.6258943292755,2076.708545102925,186810.7126803369,0.08899456311185373,1.0000000320468085e-08
-369.4752240995984,684002.1162035565,662930.7014275742,160073.1728406512,47005.59735689016,17667.059932065305,25866.325265658612,20647.05787265977,2273.7100766505323,802.5088461798115,3940.5633558164036,2257.9589586677585,207934.40170088183,0.09325150048869676,1.0000000436013955e-08
-457.4789393067639,542337.5487112533,453578.89209523966,201774.45399750044,47000.000001509754,19807.643875855065,21097.143515594962,18668.109801025857,2197.614341975733,3814.778678528825,2912.0394579118447,2258.6854894945054,273634.7274176645,0.12322282534180194,1.000000016274493e-08
-506.3099772127522,485639.08831538574,443119.6933045959,231171.9616139282,47000.00000000002,20646.063143670835,19002.180127885607,17486.781636567506,2164.7780432897052,1704.4150747539438,2879.7332514510713,2275.644758653907,314124.13383866416,0.1756166949325643,1.0000000892327194e-08
-366.62828733194954,753051.651291816,645367.8633071646,230183.07374873315,47000.00000002282,16616.480245213592,27933.570926027383,21789.36993817312,2304.391192342254,4084.759916298573,3859.841657076643,2411.9326427855576,230193.88470039336,0.09516131281785922,1.0000000428434097e-08
-373.18716365246206,737768.3614930527,528580.8094823948,55006.043999733694,47000.00000000019,16860.991831775118,27484.569630538146,21925.133102889587,2298.934566266605,8610.425877732227,3313.067182782845,2322.713732873677,234511.60271746226,0.09476221030325549,1.000000009675384e-08
-384.2422809232905,813571.9587643932,725344.2176395669,55000.00000686697,47000.00000001221,15669.220486296697,29686.22913894212,22495.28645909183,2333.824753702842,3163.73187584597,4131.465246969544,1906.6258812597366,163867.201667032,0.08299042037578966,1.0000000101676801e-08
-424.7565428931278,895424.3495713042,837965.7144382574,94599.04194459745,47000.00000000002,14384.15934623861,31762.28062791054,23371.119710016355,2360.3026845759982,1804.294490910921,4422.8651887335445,2977.4386346651913,300520.3901635584,0.097901473388331,1.0000000096804006e-08
-372.5007975374315,676455.1973249724,601126.705921697,179953.84889703235,47000.00000000002,17794.002583355898,25602.303372363815,20722.46149454851,2268.4718491810945,2975.497625592668,3683.901923390029,2324.445690990892,227571.23838343046,0.09915013595248476,1.0000000204883774e-08
-373.2738837039358,670569.9208127579,603864.0966062907,169640.52238611554,47000.000000101965,17877.450746379025,25429.19157160258,20575.522324452246,2266.382386221399,2644.690021148421,3694.2337569033675,2281.637148270837,219117.42184273183,0.09684682906327861,1.0000000102416157e-08
-414.6894469483412,906028.0536990222,756520.6299183469,55000.000000026135,47000.00000002532,14210.722281207854,32050.15944111159,23716.620584248405,2359.4824120108815,5012.166866118928,4216.327274218591,2824.858122810242,275129.90595286177,0.09121952895614463,1.0000000200329587e-08
-390.17584872231544,646632.7218491995,522250.3904128838,190046.43371359704,47000.00000000269,18235.0227404511,24690.416688743393,20465.87088209488,2259.2028813822826,5358.381932443897,3274.789277162687,2053.5495740684605,190046.43371374492,0.08689825389892425,1.0000000211881093e-08
-439.7731019241448,558264.7571574668,486097.98808911536,164533.2180895407,47000.00000000019,19565.983998992513,21694.914165610007,19081.19091541451,2202.7253284627377,3105.5154998714384,3102.381931399302,2338.7165369747727,261032.9528814126,0.10830711733786265,1.0000000065815461e-08
-390.96047147642366,623887.8462963989,617761.1209375701,185884.2580407809,52903.88800026525,18577.36894338451,23616.020563838425,22359.96256416452,2600.8249108877853,240.18937735411433,3760.744313356618,1983.429616960855,185884.25804108995,0.09548046009178747,1.0000000657348882e-08
-426.31409246393815,565870.582221292,517065.2501121496,182527.90734925953,47000.00000000036,19458.94539481717,21913.92410492348,18889.29978086932,2210.676955327642,1980.0246255351012,3289.4959609197726,2432.854368805457,291472.63428213826,0.13154387789039138,1.0000000323839078e-08
-393.1931291763432,616202.7747115341,573503.7502801109,163876.50551087526,47000.000000566244,18703.697487274545,23633.319124180845,19637.673535685473,2237.744517779238,1691.7473241075688,3570.1317487392016,2454.3538968829034,268763.11209818436,0.11688933488015396,1.0000000650353944e-08
-366.2135856724112,734407.5168632217,635134.3812174182,55000.00000059123,47000.00000000002,16894.02848150569,27420.295744210853,21629.00792972384,2294.2920015778054,3848.5176189079207,3816.7667975479,2369.307314462046,218686.88902618337,0.0894630539258763,1.0000000439189904e-08
