ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-272.16904568731843,753688.9904501915,737736.3120125323,125489.72127267878,87413.86415543553,16693.64365408012,26428.6157228392,652.2063978362395,3924.4451168664823,2688.454866758327,537.3747306120998,343.3546725667803,1683.4609553723196,1.4872302858882911e-05,205844.9502261603,0.0858310958452805
-221.05768810985268,782381.9658778221,767204.2420462823,129794.31402405672,85843.6831094916,16055.266207874409,28654.128275939736,573.3875225317971,3896.8471154359063,2835.9789284750605,731.349663782973,277.640324657176,1635.602245231298,7.724473625399073e-06,197536.45414134496,0.0654890063549791
-316.3822348119479,749665.3755852352,734768.5706571995,128155.34536203668,87988.37271460345,16790.14532791249,28098.745769959674,548.2545380648024,3979.505380935337,2754.696341068793,645.4038606863282,346.925053543562,1619.1000209561012,1.5368475314822247e-05,237540.2553682193,0.0916779986296757
-237.90162447171411,754516.350329239,741232.0133606885,122476.03867064824,87586.94441285732,16048.511472533924,26868.03954146168,546.8599859125798,3759.894796572025,2840.9756801788267,404.75376673678767,337.95718927475093,1569.1698663854677,1.9383755378444657e-05,215988.98626442795,0.0774378719372423
-201.4161406905801,718656.9629182448,702091.3396206518,123035.31962189646,87481.5903514989,16776.037215646356,26248.401073711502,684.384410273732,3577.9922037718125,2671.8341937924697,405.73397564604034,318.1456777121838,1596.0193214254944,2.60159060207415e-05,216325.9808476512,0.0810374011199913
-215.0049511541029,672132.1352258169,656379.3616387242,122500.56770191876,86552.51816904635,17778.505057829316,25209.30027797548,679.592302569502,3382.532807936409,2615.1171752846744,416.96028376981326,304.98324268852593,1396.3352879794843,3.0095070789236e-05,207229.3939289352,0.0764136047261755
-313.8615183683808,737107.8425045166,722741.5690735852,123595.90173106326,88033.09820503576,16954.33899491532,26947.46106184295,582.2958941505867,3831.663402704453,2722.956628058412,466.5915652096262,443.960275581195,1548.1252302947228,2.0723424906546317e-05,217119.66318844317,0.0813191226024283
-250.7135876066128,723513.5949727201,707422.1919472492,120525.27189153484,87900.83703423238,17048.340240401376,26508.93313470648,609.0401914490137,3640.794530478415,2599.4065159328675,356.99881292337,368.0329135990149,1519.1340661971915,2.4930918540860283e-05,212636.04925803785,0.0882089046031035
-169.45151465608853,725573.596750701,711384.6098540251,123759.27564354082,88923.11465612969,16838.305166333987,26826.577683969605,529.3605097816313,3574.6913936548845,2656.809511249602,369.0457658120883,437.5718364662494,1717.624823420978,2.6246740770548345e-05,232730.85122967136,0.0898834942341514
-432.8774841250282,752750.8235754174,737687.1148003038,125972.90829820464,85492.5761896681,16428.055371563878,26786.977320483933,631.1489057787581,3725.949159625574,2833.2716324912763,640.9444777631877,284.9535878606187,1755.3388133438193,1.564101727166393e-05,203368.4564402276,0.0661875754773286
-208.933683240126,690252.2016404023,675855.6384128948,121713.13282779856,86287.78432059882,17288.653265551406,24709.46069735791,609.991391202166,3530.681408223169,2693.323475399216,499.0844393248829,304.03188219508075,1471.6615445657285,2.5475694164322797e-05,211598.0233073265,0.0811942012440827
-249.1899934116131,678992.929339363,662216.045787028,125093.16635339484,85956.76639820181,17756.269385693027,24850.338596880272,688.1777684271738,3809.257324285,2666.7627501449915,525.8088810214377,316.11546374729943,1611.7713883212352,1.4573271670358663e-05,234708.9095989555,0.0941809766141035
-333.1184851608362,737913.3213442803,724189.1938376442,120398.16269199688,88101.4880461543,16631.701658590126,27404.337740915675,542.6533486436629,3802.959661833773,2589.0700912528646,304.722047429987,345.28029989721085,1657.868043024337,2.1555402475479752e-05,205417.01131552688,0.0856584078575598
