ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-134.97812993128326,724186.8544914341,702649.7457712727,118213.06109915124,83120.42801841543,16782.62243123806,26797.65134121981,830.2890268835577,3710.314165444316,2912.6197130006976,234.9631171646288,110.0281572011396,1408.833511001685,4.083233652439303e-05,248040.2410001151,0.0910020378658648
-176.08869846585802,733409.345566857,707687.7631612907,119556.0474737874,82823.6153380539,16932.821895933725,26019.660947424047,885.4500923122199,3644.804165493644,2844.495383223243,285.2880601194533,143.07795574864448,1130.2950603479426,3.181241421680447e-05,326253.3210393569,0.1670684166022578
-163.54380808565685,755476.5328343529,729733.0950997906,128921.1984851618,88274.25242697488,16372.589340761597,27418.426590227984,980.2165932633978,3812.349870415145,2900.321088449233,667.6968275736655,451.72111380131895,1578.1764422760557,1.346095179729028e-05,232983.92425799792,0.07420947594612
-156.0135683929225,740733.6619703674,719451.6167565377,116018.26032905646,85237.6607518515,16762.30570933046,26616.607609877155,833.882306375849,3867.6298060480017,2728.6743623796497,171.3280314720069,239.65294530176888,1598.244764045832,5.460730634756693e-05,226118.4214536567,0.0927457528095445
-196.60868630134945,684593.2515962443,659951.9405750803,123469.25086071096,84730.48467969477,17673.793198851832,25478.21222164564,980.1217362338396,3727.682653240761,2672.9897986018527,382.4009204549515,203.9131119527216,1437.197116941695,2.6309193684846263e-05,233353.93592874616,0.0887951676411021
-166.95475852393884,733305.5302542481,709302.6740396405,122876.95816611964,82431.13918807947,17146.972943712317,26151.65721032809,970.8029543505892,3447.878328070004,2927.781191144524,350.4545740995555,99.14089804985746,1385.005225222549,2.3980425575342e-05,258550.10672877787,0.0902422901838893
-169.67137575640766,685041.7983224621,661615.9105358004,130005.13645988444,87680.084593879,17402.68946109627,25866.036108681157,888.1462478438981,3425.5742481755715,2887.006119005047,696.1408105051047,383.9754465931971,1484.680358309303,1.4328849372082703e-05,313212.1346253728,0.1266686743553352
-152.4734030352547,747178.2566714918,723244.3492476802,119242.89592434236,83789.54489894326,16584.27650749602,26616.054112188336,1003.7053544113912,3424.7466349009987,3009.1749052509267,270.0936583385602,175.5214412229055,1519.8777277799002,3.965703277188024e-05,205805.1350368536,0.0581659116462416
-229.8848368729277,736416.6804194542,713667.0111307694,122567.3015358089,84880.16037238998,16830.2423105197,25557.42981842797,922.7296671197324,3710.649292037714,2990.0145447807186,379.8996631133186,206.88762011261736,1618.126672988716,2.542128356705334e-05,270587.46680316125,0.0933380010915196
-187.7939533708076,704435.7486722241,683322.9066236542,118195.93184363584,83522.93490165674,17473.5780858675,24898.02459229316,775.6890498436403,3591.935350345392,2943.1702901198323,203.12635419573104,149.4096683335723,1497.9217332050616,4.927942647129335e-05,305947.9908439107,0.1303371514926501
-162.84808762484738,737658.5894621133,716205.0327615796,122338.1231535658,84186.83992655587,16764.044359415748,26915.359452437875,828.4345728405806,3624.1852296513534,2848.8829513221467,434.70720801598674,219.9878795398436,1448.408121152918,1.5697534796873912e-05,215114.2617515704,0.074974217254337
-163.78715986559612,737659.1080455779,712821.8824162624,121270.70594859715,84372.17445894337,16840.515329258273,26521.80428000842,920.070745637502,3757.888135904488,2653.7728086690977,309.99699339055,182.08816205164624,1366.221655881547,3.064051577905947e-05,239805.3441486936,0.1082189253230961
-215.47197266443789,745221.7471366498,720691.0553417304,122127.35566915153,84478.43981753476,16908.72032050026,26658.099526853646,949.294347936504,3762.230560149189,2694.477211136627,350.3313288899017,202.01484719012663,1359.672079682679,2.321876319469996e-05,224340.4290741442,0.0865842220202538
-204.89926017423852,697018.4805072418,675423.2362481997,122341.9976353272,91217.08334726287,16995.49441763311,24923.13702875561,915.9872103093544,3530.1315939706874,2700.9885077623526,359.69981717999553,669.4869786357815,1703.0123410899034,3.386915403341825e-05,207381.29843308363,0.0686146861183095
-163.90299353169246,719746.773418687,698240.2722397025,117686.69547760258,82672.17337072139,17306.999709560587,26045.537099040564,868.2699390561335,3700.112390450164,2691.807801955696,229.69307129111144,96.99785317573206,1288.0604631622084,3.414580604728937e-05,211659.05270077815,0.0854641009014942
-119.39656573498694,730247.4386950987,707038.9448820777,122572.20498116464,85511.72432112161,16989.41135845765,27162.429892164404,899.2028360431797,3750.891539721552,2944.145624612224,408.24589157567465,251.88771507364183,1560.2133158409704,2.8506999169089214e-05,272779.18110150954,0.0904827115485538
-138.06670302645017,739986.1698760764,715155.3431607343,124775.67488392658,84941.7981892916,16751.893633739546,27177.920614532675,984.1304962606785,3645.0001178720186,2861.633370041726,419.3821706920156,228.5823160354345,1554.418302288374,2.1295230006921405e-05,241575.59723159968,0.0826148517129649
-194.0827364670713,718011.8895498441,696231.3797128694,119556.554995155,87811.4142995998,16977.929450993517,26015.03628065079,900.930424294822,3579.2766000160063,2724.7162657094973,260.5501731614632,343.44082290585897,1235.333642747584,3.0312599176289053e-05,215970.82088598303,0.0894740232986315
-144.29564326293686,703720.225682342,681278.4875011434,118440.57332338614,87055.82039638648,17048.091137796873,25613.86063305518,954.186750423081,3635.244029835807,2768.1851924237194,223.7765518594873,277.4030678096645,1253.22328032112,3.3817009344076245e-05,229523.30018001425,0.0861991937886771
-165.7173777814802,720279.7603271556,696510.5847048549,119441.5263290048,85808.45303349703,16994.501266391504,25730.762516742598,924.1191334077932,3687.160663364923,2696.361456345392,287.30663735272384,279.50433544700434,1392.918580718239,3.637185642451615e-05,245415.99209132744,0.1043760538179906
-174.21767000547766,747410.5415432933,637459.2703315392,121048.12406319231,83798.80592106465,16428.261870550912,26321.820821877736,4769.643687253625,3331.119553424186,2819.1802264703265,353.16093858958385,166.36673949820133,1489.705785334411,2.408319350577652e-05,216425.87317074908,0.0758124420612346
-216.0815119115718,699269.1781742402,674562.7661836211,117171.82641396504,85615.08664920261,17234.412454796395,25399.76051413991,846.3811087349898,3342.77856289319,2877.862560039154,227.75778290692625,221.03972923068147,1273.7181148812615,3.984515135579264e-05,330348.2624533892,0.180939809648503
-172.29206930365177,701372.6623947868,674703.8446410246,121198.12314563883,92772.68323433674,17218.326622836023,25653.322161930315,1052.250304490109,3762.35160404812,2612.039925624126,368.58362900913886,639.3742447934369,1985.088477025932,2.841103943913073e-05,254711.2849980872,0.1084174702177803
-215.5354486292368,714217.5017032399,692622.3317470148,117360.16449023494,83868.57511751304,17322.83150319265,25536.19031769648,837.5643437065371,3669.383766543964,2729.986774955932,199.48754241232504,160.38412764459724,1274.1357886382475,4.3638274135569616e-05,230184.34537173188,0.098317599362709
-192.459429807554,745421.0896234561,724844.0686141445,118749.87301659449,81995.78509245063,16524.78865716534,26479.09185558175,820.7667308105122,3778.0638337138616,2958.787363211817,267.1498955513467,74.59840754832241,1338.2042016493815,3.7433533782186616e-05,224155.29997972964,0.0767466404461178
-196.32719586715143,699332.9645110123,677241.102667623,119220.44227467314,88670.43115350632,17591.898548672394,26452.62311558353,807.904639916276,3545.00104559608,2583.6580179815733,282.53652240508177,429.829247036492,1741.5246772942223,4.447385881422671e-05,270418.2741191463,0.14043245222887
-205.1468849517778,697611.4331810293,675146.8184308143,123440.74239278516,84796.98635842507,17469.09817965705,25876.319708177245,903.9770102043492,3589.3981476164754,2628.90477925177,387.6788335229272,209.791332841372,1046.2046856799666,2.018010180392618e-05,234413.72099106465,0.0999669935791919
-170.79220065041756,716308.9576563323,691363.0693850823,121562.05796257406,85505.10746085813,17247.68174887919,26070.09666532081,966.5624776539976,3614.264561135624,2755.5582160444683,289.1408858112997,275.53914027960184,1463.4299269449778,3.4359769473334294e-05,256763.64841532413,0.110198139152785
-236.93500693803077,707145.5157450682,684107.6834578004,121110.33110148904,84925.93180749696,17240.827778255778,26054.693083705555,972.2123733318308,3771.299413117732,2993.0299348840467,354.15692780267176,265.03456655999696,1461.036222109593,2.735406907243369e-05,231611.990082624,0.0715250372618657
-163.0611723070864,693273.6427046784,671485.0837045287,117663.54261494908,82889.80177871467,17206.47065412848,24543.35868521209,863.6184064607442,4100.367403026245,2667.8043942677195,219.5038220538613,126.79600524335648,1342.6849355125105,3.518381449098073e-05,187932.20455337712,0.0724713103958388
-152.94167737690327,721603.5917267714,699400.4163931913,117908.73071263384,85229.04094932396,16942.724217851835,27329.62154054013,916.4684284145516,3378.7872384826524,2870.270086592331,217.0758772770314,210.3473842881669,1431.6401599423343,4.8486805231100754e-05,245391.5050884437,0.0865842009761847
-139.4445591094644,744195.7129245666,723915.8864239074,123935.3507075575,85352.9200324195,16627.575486289476,27119.774590356294,803.8234314471483,3542.6393110602435,2911.4911973149,411.0886484841686,215.6381573008585,1401.5606298900932,2.700565862075662e-05,246510.15633699347,0.0810979311950655
-172.31814332903278,685077.6631013518,664416.5978807395,116711.46512094307,85232.3003112216,17968.845829387992,26133.534069823483,825.5513316965782,3670.210733961991,2598.9467339886605,182.78591401804675,242.839827410252,1638.6781147720112,5.094340906079117e-05,226840.7565014823,0.0944676570083678
-203.39072437424997,671792.828290421,647849.7648316155,120319.98248153253,84421.34271411608,17915.41656206195,24955.199243928702,921.1598190429692,3684.0718660053694,2719.15461323343,271.0144904821589,200.39836153939612,1616.093273865257,3.063204792756254e-05,247841.57414626316,0.1057405367570955
-165.2771626158929,739936.6742022269,719665.9256348514,123593.12281541114,83943.59690464188,16800.415003027654,25663.04651389088,842.911892467506,3584.57812328233,2940.4251362907057,419.0549601577838,181.8301008737518,1307.0598469878146,1.63563851956923e-05,210663.19606208912,0.0615233510031109
-203.716057024385,727501.5249923563,705934.6514752797,120126.18043120156,85010.05507503047,16811.469811940733,26656.92645717104,833.6144439738973,3676.791736198855,2764.893287313375,274.29461814225954,242.45018827991169,1274.3377374422987,3.713625205786434e-05,219807.41349156425,0.0778970621521758
-166.21210436988798,680428.4793773184,661345.9665412628,123859.5791442437,84688.64237024737,17537.847822233278,24499.79272721189,819.5307704362974,3656.31080759511,2690.7099157547677,442.18918491698895,238.04591694830927,1456.8997889464674,1.894480828640113e-05,231097.6403130129,0.0880474631813386
-156.78715243146854,741595.388121208,720037.5716051292,116976.4860167294,86029.1516499624,16471.46546908866,26341.330022027083,839.9109887402125,3506.6842319114608,2642.337070653592,182.09217458515556,280.6870896627549,1558.3020814172305,4.762672877445549e-05,204669.25984151516,0.0838726404637838
