ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-354.8830516189015,806077.6815408912,523387.5494536572,128203.1557579141,82603.62143067397,15355.210197784798,28835.833686095157,13972.189036402842,2796.06629003896,3348.592820645187,536.1580500120875,93.62912966853212,1352.2178872107886,1.731976921503649e-05
-346.4852204029887,771799.539348574,546245.3331744823,132094.94575837586,84455.30529315492,16018.661537167727,27733.123664141352,11650.572410942726,2891.540712287845,3560.9568901842067,755.4384321049856,164.311867447062,1619.6059357642491,8.524520731728247e-06
-305.69046158921464,745535.6617208115,540011.8389916084,130437.30809891246,84004.55201898779,16191.19715406204,27233.97777728227,11066.192742231167,2995.2789374857384,3416.82767301438,705.7129617369222,205.5791466121126,1369.0260737091644,1.381664957819398e-05
-439.8207947812231,719040.828343403,531745.1047306975,127242.75671257274,84906.1866488725,16902.785541949925,27439.50823173651,10101.568355333622,3049.547653048156,3555.1432845420045,640.7698180993381,200.4923649295145,1384.482716607735,1.599197821867678e-05
-407.2121728574509,822344.9080073723,530850.4433972082,134206.53800507737,87180.02671624237,15387.219332403558,29113.135714628654,15176.72299486455,2979.668020581348,3384.893769725842,796.2537087317633,386.074902125936,1632.0569153914446,1.3189395238583102e-05
-353.0658459520364,776187.7279997844,579055.119403273,131612.9012787102,84817.31620424827,15916.336481094262,29151.15150625905,9932.639160879597,3141.478171863241,3644.3585184847375,727.7353965597532,228.90093325366573,1471.852032691246,1.3766959473764225e-05
-393.3974073423007,790954.3558498333,540627.6893904023,131890.11637841156,90458.71358172824,15965.862175485448,28927.36197351005,12928.548662028325,2788.6415380604976,3377.103876698118,796.8526206847,599.0222686137812,1660.0343381700895,1.804294945394705e-05
-434.7179948979763,779478.2794550125,556380.0873261385,129526.04628806842,84880.94122547044,15756.073308636016,28020.67583677671,11541.80575352207,3179.741094588915,3535.335138476032,647.5481752832001,209.424609062296,1336.6923750940311,1.4618651458159268e-05
-348.5454455120114,770174.3334266429,575112.6277972163,142879.6334378946,88634.92874712129,16265.442519618193,28625.26287413362,9709.652625060287,2904.459753970561,3568.596912127018,1321.4655863695348,455.67294980805497,1725.886043801174,8.894235961679584e-06
-453.5590063637631,753975.485941313,524763.6916789312,133568.1199067094,82837.5311050667,16085.7354704723,26788.511670994467,11529.822756273372,2893.9427340632733,3409.2565511880807,878.6031303434041,125.13126380103394,1306.344256237032,9.193814767822497e-06
