ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-136.2932579664302,728626.6796924307,656769.2519598379,152483.5750381826,117952.50424931264,16934.449399848305,25896.180936419554,2852.4285843720995,3546.278651890738,2327.6904187100326,1529.3289789464366,1940.7647057243967,3174.2758404423494,6.079791289292621e-06,262689.258788505,0.09839296946472781
-138.76052109152414,777988.5917518588,631675.8935320927,164269.60527018373,132365.22471059038,16173.130461924746,27242.02045110677,5835.463128117467,3458.936759231218,2063.691148687412,1983.783242707881,2718.703271749772,3888.7374823265786,4.6810912637229055e-06,257520.32589913724,0.0963159205281061
-143.7630323089208,704889.5341295259,656157.734197933,143046.2928989431,101358.65940197272,17311.107870308704,25215.709127154452,1851.8362382542518,3559.214232428213,2908.3753601745566,1188.5594335263074,1065.2333904645652,2325.8509501100625,7.845189798830204e-06,349999.9999997427,0.13169908762882615
-123.74971548348941,763758.2245778019,722505.2257832545,124701.77373035977,84726.31090209907,16397.223341523146,26954.57110276476,1568.1138036515927,3700.094498453918,2982.6547350531,472.8556838156741,204.79809897124764,1488.2535164584124,1.8929572898577863e-05,269747.17689795094,0.09388016925766758
-141.79470238056518,747762.7550051197,712823.9570485712,180548.73365940296,151884.86460451546,16638.56618799633,26332.722872886457,1304.8358370212213,3746.7337265384867,1729.60232862684,2618.383526142128,3780.858882856177,4827.5829607928235,3.4661041977059397e-06,257575.2945108431,0.10205815104887736
-150.2773202284793,656533.0938610709,641546.1717233319,124083.65447472582,82796.69008443598,18036.767261473226,23836.158226991087,589.9339757506173,3476.5014146836434,3086.670968900893,455.05497185070953,116.67163280370953,1382.6561368415548,1.9621242593379176e-05,335124.7965298719,0.12328291029697157
-185.42851186403107,621540.9388573273,574542.8741383336,153306.49220601434,116135.86201860759,18586.22889153335,22665.527374501045,1844.9470782372334,3272.9239923846403,2514.2135297342784,1572.2134703540746,1839.539909876245,3045.8804710627237,5.9592486593255e-06,349999.99999999884,0.15513148019150258
-133.22683043904553,786813.9287921713,658641.6940397953,142624.42887620552,106136.81016609921,16037.540587926464,27551.578344728612,5067.86967564448,3531.1368311906394,2554.2355208259855,1146.8447074966118,1304.434367584888,2585.9567778138075,8.134171453991013e-06,261143.42822256996,0.09215740088155637
-128.448527407045,787521.1248433524,722680.0770231987,137065.36297371105,97784.06397299214,16016.615188727274,27565.473294986678,2447.4592919834827,3725.4548725519435,2788.004130463735,942.4447047635639,868.991183143938,2158.394385773837,9.732614872036766e-06,268865.33285986964,0.09320434715796783
-142.47244387723543,692666.5456094175,653532.3371543684,126386.93499819233,83731.48836127971,17512.597423356372,24856.52286137726,1478.872492517122,3546.057769803261,3098.6283860279314,549.2428792427596,159.84507955103751,1433.5070551244607,1.5928391715698754e-05,349999.9999999995,0.13760591371992836
