ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD,T_pHN,p_HN
-144.0917278013373,669140.4188943018,632829.0808088152,130301.24564467062,96479.04703884263,17809.868093185112,24695.83892511816,1504.6568463979252,3458.9978906963647,2540.228543022807,659.4910864962849,828.2784660522391,1994.7083716847576,1.475291366706113e-05,247773.73922807898,0.09840159121029023
-142.7303671013558,654482.2617370745,641377.163309174,118118.81511554949,82485.07352114207,18028.70829595578,24271.08164879763,538.2613040422148,3490.1145101515253,2861.8823644178397,240.0429215504992,107.81994167437651,1302.0611628906006,3.6093665281568484e-05,264463.1329828022,0.10143072797582572
-150.70288978029538,747011.9328203616,633553.6304967931,158273.51758891786,128233.40163728518,16618.63048844728,26912.36581002941,4600.98480319645,3486.886265615042,2016.0943840379698,1721.1880058835477,2618.0639267668766,3552.804815214233,5.769519030101232e-06,242371.4689340482,0.09642786724644223
-141.37517707400622,702116.3286399967,651956.6267577899,135538.95965586544,102749.42120399728,17305.593679760907,25665.990979026767,2046.7888703074896,3524.22924168885,2440.1777007607625,851.0393032050544,1171.4291395967375,2299.9840504460662,1.1735915060172555e-05,241394.74404184072,0.09565700055322954
-132.48450792237924,737695.8953045568,643098.8421004256,117998.14462353845,81765.51440433666,16772.55834898702,26731.69054680876,3869.2724580508707,3488.5808717014506,2791.5169783886076,237.51834712676026,75.04339303152406,1278.6270689662674,3.6454658771956264e-05,244421.3459976837,0.0936548661436619
-129.57135815370904,772865.5981683915,733509.599184975,123466.47956804904,86983.41535077203,16223.428887455955,27719.39599275749,1498.1882411427712,3749.225948898959,2815.3187974520383,425.27403041757947,326.15069394708416,1524.816347124545,2.2421132234268363e-05,245162.35196852952,0.09330572253520525
-164.6006018883454,642325.4599038109,639854.2226121412,157177.31484454943,128410.50396347912,18204.98502608972,23797.06459986767,100.00001236947372,3526.5710186028473,1937.328404627782,1665.059227438907,2621.030412367448,3560.0380577192864,5.911270969575977e-06,239300.98037351898,0.10098591804067336
-139.17144834536998,748286.7827673283,708150.7284851316,137503.97401962001,103293.94089143646,16591.61006257806,26989.87211440443,1561.3549769320227,3706.214672430547,2471.746230260533,933.1010614697485,1207.8891037062072,2329.1470269915108,1.053187804389014e-05,237937.6397508403,0.09256358949423006
-135.83074955704518,679314.1157780924,647656.659672783,117075.1747860971,83949.25299069194,17648.320445934627,24944.448500922546,1314.5124883654348,3498.311016094109,2639.9533504960646,204.7621140501033,176.06486333775396,1378.9972757719881,4.268633713582752e-05,224295.00655266424,0.09016202509985759
-146.53935486513618,649415.3258996857,633030.6680304904,121429.46487073597,82943.35939947517,18118.233447840834,24090.90959172748,663.5517407528736,3466.27308828304,2963.6826966352046,354.05324166742923,130.09380072614331,1336.6875138787243,2.6047041167932713e-05,300963.8256095836,0.11568792776689064
-130.97865840052955,698315.4824140398,657673.0846226471,117874.31703429669,83224.61178356168,17363.32257901229,25608.29790817858,1668.7112953015962,3531.1074114012918,2728.053199335865,230.7031727524158,141.70294136131892,1345.937020605973,3.829081110620067e-05,233175.52581756574,0.09097798828459797
-183.7372214994327,617759.1954348095,615278.7220736954,172130.76604033823,148130.5881636827,18586.818651852947,22976.428540410205,100.00005081834561,3453.455083682757,1542.3360134388477,2212.35586602543,3700.2350882510727,4481.91568198445,4.460003235519752e-06,241834.88589454402,0.11129271910369001
-188.40518549715452,589548.8440927985,551291.1400268682,121600.23751745289,84399.52646665402,19035.272354677232,22176.040282016646,1556.4814718991765,3163.140909613471,2878.2457036628934,357.88992044472747,201.43069267320084,1405.628161828173,2.5830427065911313e-05,349999.9999999995,0.15675186109713488
-143.9701668790585,769139.8575780111,638410.092255294,141240.78673332874,108079.83474071206,16278.1477383643,27586.315476307256,5321.636522619388,3483.288867835537,2372.4949348190767,1072.4590192575683,1477.260223917694,2568.963005959328,9.214075637262346e-06,239943.88379727426,0.09137390410008338
