ll,T_NDH,T_ND,T_AltWN,T_ChaVin,N_Anc,N_Yor,N_ND,N_Den,N_N,N_Alt,N_Cha,N_Vin,m_AD
-432.1388347901787,644590.8478372772,505509.40170189744,127210.49976581469,80706.95595543261,17840.99308757369,24492.26680806006,7495.232501329004,2893.5022992981126,3311.822829105441,602.1171546448763,29.713396573086914,1232.9956849743337,1.5994175772165492e-05
-446.2168524423811,610322.1355528897,524279.83063914144,128861.9039850435,82663.27399172098,18350.767290330714,23406.664917855836,4621.417193462589,2972.8801376825186,3401.9331444019513,658.6716851370986,117.93026602302079,1324.2020146047125,1.5345736078260382e-05
-406.06617808665493,747738.0561634896,528197.313737094,128615.34040903645,80242.94639017805,16257.13274022443,27648.437851447823,11411.322717751398,2958.3103434742166,3449.4387485590923,670.8762074787608,10.00002209506163,1199.2068834064924,1.391841614327162e-05
-403.20574138972273,760262.187907373,562891.3038180118,130888.52973399321,82164.51103295652,16088.947645792161,28100.49459794246,9999.35480830239,3186.2752465292047,3628.786815930254,769.512497512747,95.60985414055608,1305.2316738609184,1.3257855418871666e-05
-425.99948809952366,691372.3189168748,524959.4781799688,131459.86333530385,80345.58009907034,17095.48765290929,25920.3661877373,8662.82320651371,3053.477339552368,3432.821244281922,848.0037444545177,14.54015628265431,1195.3030120761898,8.077102700733117e-06
-400.3285573281313,779192.10459211,523742.4387878435,129973.77324203977,80788.87992983086,15790.92009176737,28558.511304271895,13179.463615343908,2971.5180871386938,3414.816954388419,724.9689799455723,33.218753485837375,1239.429563536757,1.3321256833404267e-05
-452.82956571440525,626571.5802175096,528828.8245612554,132748.44600438443,80703.23510091679,18198.71811945231,23858.019826511187,5151.598903007672,3076.5983529881364,3447.052496374462,882.6757868943928,30.279887702865825,1238.3599316384277,8.559670330947011e-06
-442.9600768831024,626988.2553464139,560540.0765758799,130655.31899040808,81531.15789912663,18092.98616809507,23939.495301857994,3477.871521585507,3135.1510341872126,3613.192877113185,742.0097951633252,66.41579614930563,1268.1749295430222,1.3657525104032959e-05
-416.57483085016116,702819.8115002661,479213.7243112956,120004.05499132755,80616.33790354936,16964.740926737046,26422.39385537822,12165.90300810911,2713.269274640234,3170.361901546819,312.6683958749698,25.15326882638016,1216.5246225339142,3.309650608195896e-05
-426.8808470160855,646954.3150690587,521022.3706623794,127551.56316830084,81694.25345720864,17803.388350903555,24605.029991024196,6739.573488048099,2951.701202722702,3396.00582012453,608.9459227743753,72.627277293055,1276.4513706093971,1.6615280563278918e-05
