model,ll
bherer_amh_nea_no_pulse,-567.8460982326355
bherer_amh_nea_one_pulse,-498.7260765879989
bherer_amh_nea_two_pulse,-420.0770550751543
bherer_amh_nea_two_pulse_free_time,-405.32834921215294
bherer_sup_den_no_pulse,-313.58869827217666
bherer_sup_den,-300.3878586055432
bherer_sup_den_without_amh_nea_no_pulse,-591.7000378551288
bherer_sup_den_without_amh_nea,-390.3892339759618
bherer_sup_den_free_time,-339.74323462168246
bherer_los_stu_isolation,-152.29834458261251
bherer_los_stu_migration,-87.69260315436826
bherer_los_stu_admixture,-78.63297093989416
bherer_full,-548.3374553633398
bherer_full_fast_mutation,-4261.48971151996
bherer_full_slow_mutation,-9905.689944184202
bherer_full_without_sup_den,-574.6939823923768
bherer_full_edited,-566.0270736647204
zhou_amh_nea_no_pulse,-538.7704810423456
zhou_amh_nea_one_pulse,-488.6689262258505
zhou_amh_nea_two_pulse,-426.08593800888684
zhou_amh_nea_two_pulse_free_time,-419.69275193883044
zhou_sup_den_no_pulse,-313.24959630414253
zhou_sup_den,-307.5673640680018
zhou_sup_den_without_amh_nea_no_pulse,-584.7696476660329
zhou_sup_den_without_amh_nea,-411.78443354819063
zhou_sup_den_free_time,-308.1105196560136
zhou_los_stu_isolation,-176.79556246327854
zhou_los_stu_migration,-112.76785655379584
zhou_los_stu_admixture,-99.65495259930094
zhou_full,-594.7879089513905
zhou_full_without_sup_den,-606.5853310143161
